Association,Fermi Name,CGRABS Name,Class,dec,RA,Redshift,Fermi-LAT Flux,Disk Luminosity,BLR Radius,Muon Neutrino Flux Best Fit,Muon Neutrino Flux Min,Muon Neutrino Flux Max,IceCube Event Rate Best Fit,IceCube Event Rate Min,IceCube Event Rate Max,Neutrino Peak Energy Best Fit,Blob Radius Best Fit,B-Field Best Fit,Bulk Lorentz Best Fit,Dissipation Radius Best Fit,Electron Luminosity Best Fit,Electron Max Lorentz Factor Best Fit,Electron Min Lorentz Factor Best Fit,Electron Spectral Index Best Fit,Proton Luminosity Best Fit,Proton Luminosity Min,Proton Luminosity Max,Proton Max Lorentz Factor Best Fit,Proton Min Lorentz Factor Fixed,Proton Spectral Index Fixed
PKS 0426-380,3FGL J2036.8-2830,CGRABS J0428-3756,LBL,-37.940299987793,67.1729965209961,1.1,2.13844802976482e-10,1e+46,3.147391133096535e+17,6.96855761428078e-12,2.1890289583015364e-13,7.966671875820557e-12,0.26179993188959944,0.009235929380027492,0.2983512982557792,1.0540310301421205,1.62e+16,0.0481,13.6,0.0,4.77e+43,42600.0,134.0,1.46,9.26e+47,9.26e+46,9.950868490255399e+47,1610000.0,100,1.0
PKS B0802-010,3FGL J2036.8-2830,CGRABS J0805-0111,FSRQ,-1.18099999427795,121.300399780273,1.39,8.12099606312122e-12,2.511886431509572e+46,4.967940906162178e+17,3.3350909833146857e-12,1.8552511889626105e-12,3.865777977549213e-12,0.31257190087262043,0.1735927226570301,0.36251599463624046,0.17787062336392037,1490000000000000.0,0.462,19.3,4.97e+17,1.12e+43,1000.0,10.3,3.0,1.3e+46,7.310437227474538e+45,1.5012165800962957e+46,140000.0,100,1.0
GB6 J0654+5042,3FGL J2036.8-2830,CGRABS J0654+5042,FSRQ,50.7027015686035,103.596199035645,1.25,1.3098474561934499e-11,9.120108393559115e+44,9.565600502548293e+16,3.0572726222505892e-12,1.4884631827865113e-13,3.2854261236693336e-12,0.062975371916446,0.003066075027269761,0.06767490389345315,1.207348978660019,6550000000000000.0,2.64,24.9,1.04e+17,2.8e+41,1260.0,568.0,1.89,1.21e+44,5.892307054506943e+42,1.3002754722687939e+44,1580000.0,100,1.0
S4 1849+67,3FGL J2036.8-2830,CGRABS J1849+6705,FSRQ,67.0908966064453,282.319213867188,0.66,4.98978774965408e-11,3.019951720401995e+45,1.7279794456216272e+17,2.71550900651353e-12,1.6405709907914426e-12,2.9182417951326194e-12,0.027788080228873992,0.01678620816497144,0.029863309884820406,2.7059216407945703,3.64e+16,0.753,18.5,2.36e+17,1.62e+42,8410.0,20.8,2.04,2.97e+44,1.7947602790072544e+44,3.1915852501143125e+44,2680000.0,100,1.0
AP Librae,3FGL J2036.8-2830,CGRABS J1517-2422,IBL,-24.3729991912842,229.425399780273,0.05,6.44101716407164e-11,1.513561248436207e+43,1.2342710325868766e+16,1.9945565286089752e-12,1.2461965096638668e-12,2.1606465541874356e-12,0.008660093761158073,0.0050771758006221135,0.009498790571296616,7.610018887672764,1.86e+17,0.0481,4.03,0.0,1.11e+43,63800.0,305.0,2.11,4.18e+46,2.714415219988563e+46,4.491860722383107e+46,14000000.0,100,1.0
PKS 1954-388,3FGL J2036.8-2830,CGRABS J1957-3845,FSRQ,-38.7546997070313,299.502593994141,0.63,3.3182789849206496e-11,1e+46,3.147391133096535e+17,1.2954662826915567e-12,6.211594888386313e-13,2.9669191090443584e-12,0.11513937654150048,0.056086990256817605,0.2594738730537592,0.20080571001639017,1000000000000000.0,1.09,24.5,1.17e+18,5.23e+41,6180.0,61.6,1.86,4.74e+46,2.86436488972875e+46,7.84383305373068e+46,132000.0,100,1.0
TXS 0938-133,3FGL J2036.8-2830,CGRABS J0941-1335,FSRQ,-13.5890998840332,145.243804931641,0.55,9.46780241012357e-12,3.8904514499428366e+45,1.9748336521390026e+17,1.018544629076264e-12,5.721144796286848e-13,1.2647516258251678e-12,0.09066774401902329,0.05091763772361197,0.11259699497182872,0.254370153372284,1000000000000000.0,0.597,17.9,1.93e+17,1.63e+41,1900.0,39.1,2.56,1.02e+45,5.735881516941561e+44,1.2657565159667538e+45,100000.0,100,1.0
B2 2234+28A,3FGL J2036.8-2830,CGRABS J2236+2828,FSRQ,28.4832000732422,339.09619140625,0.8,4.10382838822443e-11,2.3442288153199083e+45,1.5119820149189238e+17,9.950015544337608e-13,1.5321518420753278e-13,1.7694730493193225e-12,0.04043344099604251,0.006226017583194253,0.0719065793557523,0.6619419000735759,6.43e+16,0.505,19.9,1.85e+17,7.83e+41,3880.0,24.7,1.44,1.92e+44,2.9566589300342247e+43,3.414296467274732e+44,415000.0,100,1.0
PKS 2201+171,3FGL J2036.8-2830,CGRABS J2203+1725,FSRQ,17.4318008422852,330.872100830078,1.08,3.5837905559832396e-11,5.754399373371542e+45,2.4068285135444093e+17,9.553911001494932e-13,2.1080710241196254e-13,9.553911001494932e-13,0.0007757096787222763,0.0001710575040303726,0.0007757096787222763,16.474436613835913,2e+17,0.587,19.1,9.48e+17,2.32e+42,5580.0,1500.0,2.24,7.76e+43,1.7124256376096418e+43,7.76e+43,9540000.0,100,1.0
PKS 1104-445,3FGL J2036.8-2830,CGRABS J1107-4449,FSRQ,-44.8322982788086,166.77490234375,1.6,1.3310666804877699e-11,8.912509381337514e+46,9.442173399289605e+17,8.229101563443888e-13,3.982326390248933e-13,9.52070859482815e-13,0.0013792131903049938,0.0006447421319191154,0.0016119417771774504,9.837536346013321,2e+17,0.429,12.9,3.64e+18,2e+43,9530.0,609.0,2.22,3.84e+45,1.8699552966369145e+45,4.43436282120752e+45,9860000.0,100,1.0
