Energy,Flux Value,Flux Error,Is Upper Limit
1.344091883847808e-06,8.19e-16,3.6e-17,0.0
1.344091883847808e-06,8e-16,3.52e-17,0.0
1.344091883847808e-06,8.19e-16,0.0,0.0
1.5095185772444614e-06,1.3724e-15,2.4455e-16,0.0
1.5095185772444614e-06,1.3724e-15,2.7375e-16,0.0
1.5095185772444614e-06,1.37e-15,2.45e-16,0.0
3.4863675633344683e-06,2.1075e-15,0.0,0.0
4.549234068407966e-06,3.168e-15,0.0,0.0
5.7899342688828654e-06,3.5e-15,1.12e-16,0.0
5.7899342688828654e-06,3.5e-15,1.05e-16,0.0
5.7899342688828654e-06,3.5e-15,7e-16,0.0
5.7899342688828654e-06,3.304e-15,0.0,0.0
5.7899342688828654e-06,3.5033e-15,1.0524e-16,0.0
5.7899342688828654e-06,3.5e-15,0.0,0.0
5.7899342688828654e-06,3.3e-15,0.0,0.0
5.7899342688828654e-06,3.612e-15,0.0,0.0
5.7899342688828654e-06,3.64e-15,0.0,0.0
5.7899342688828654e-06,2.8e-15,0.0,0.0
5.7899342688828654e-06,3.5e-15,0.0,0.0
5.7899342688828654e-06,3.5e-15,1.12e-16,0.0
5.7899342688828654e-06,3.5e-15,0.0,0.0
5.7899342688828654e-06,3.5e-15,0.0,0.0
5.7899342688828654e-06,3.388e-15,0.0,0.0
6.199365335039582e-06,3.6276e-15,0.0,0.0
6.203501002374499e-06,3.63e-15,0.0,0.0
6.203501002374499e-06,3.6e-15,0.0,0.0
1.2407002004748997e-05,7.2e-15,0.0,0.0
1.2407002004748997e-05,7.23e-15,0.0,0.0
1.9851203207598396e-05,1.1424e-14,0.0,0.0
1.9851203207598396e-05,1.22e-14,7.68e-16,0.0
1.9851203207598396e-05,1.0704e-14,0.0,0.0
1.9851203207598396e-05,1.104e-14,4.32e-16,0.0
2.0057986574344214e-05,1.16e-14,0.0,0.0
2.0057986574344214e-05,1.23e-14,1.12e-15,0.0
2.0057986574344214e-05,1.19e-14,1.79e-15,0.0
2.0057986574344214e-05,1.0922e-14,1.455e-17,0.0
2.0057986574344214e-05,1.1543e-14,1.0185e-15,0.0
2.0223413267740866e-05,1.12e-14,4.89e-16,0.0
2.067833667458166e-05,1.265e-14,0.0,0.0
2.067833667458166e-05,1.23e-14,0.0,0.0
2.067833667458166e-05,1.25e-14,0.0,0.0
2.067833667458166e-05,1.065e-14,0.0,0.0
2.067833667458166e-05,1.1e-14,0.0,0.0
2.067833667458166e-05,1.06e-14,0.0,0.0
2.067833667458166e-05,1.1e-14,0.0,0.0
2.067833667458166e-05,1.26e-14,0.0,0.0
2.067833667458166e-05,1.19e-14,0.0,0.0
2.067833667458166e-05,9.09e-15,0.0,0.0
2.4814004009497995e-05,1.32e-14,0.0,0.0
2.4814004009497995e-05,1.32e-14,0.0,0.0
3.308533867933066e-05,1.36e-14,0.0,0.0
3.308533867933066e-05,1.784e-14,0.0,0.0
3.453282224655138e-05,1.92e-14,0.0,0.0
3.473960561329719e-05,1.8715e-14,0.0,0.0
3.473960561329719e-05,1.43e-14,0.0,0.0
3.473960561329719e-05,1.87e-14,0.0,0.0
3.473960561329719e-05,1.764e-14,3.528e-15,0.0
3.473960561329719e-05,1.8732e-14,3.78e-15,0.0
3.473960561329719e-05,1.76e-14,0.0,0.0
3.473960561329719e-05,1.8732e-14,0.0,0.0
3.498774565339217e-05,1.8849e-14,3.384e-17,0.0
4.3424507016621493e-05,2.28e-14,0.0,0.0
4.962800801899599e-05,2.004e-14,0.0,0.0
5.996717635628682e-05,2.52e-14,5.8e-16,0.0
6.203501002374499e-05,1.37e-14,1.37e-15,0.0
6.203501002374499e-05,3.23e-14,0.0,0.0
6.203501002374499e-05,4.73e-14,0.0,0.0
6.203501002374499e-05,3.3e-14,1.65e-15,0.0
6.203501002374499e-05,3.15e-14,0.0,0.0
6.203501002374499e-05,1.24e-14,1.24e-15,0.0
6.203501002374499e-05,1.27e-14,1.27e-15,0.0
6.203501002374499e-05,3.39e-14,1.8e-15,0.0
6.203501002374499e-05,2.51e-14,1.5e-15,0.0
6.203501002374499e-05,3.825e-14,3e-16,0.0
6.203501002374499e-05,4.74e-14,0.0,0.0
6.203501002374499e-05,3.24e-14,0.0,0.0
6.203501002374499e-05,4.5e-15,0.0,0.0
6.203501002374499e-05,3.15e-14,0.0,0.0
6.203501002374499e-05,3.3e-14,0.0,0.0
6.203501002374499e-05,3.075e-14,1.5e-16,0.0
6.203501002374499e-05,3.08e-14,1.5e-16,0.0
6.203501002374499e-05,2.7e-14,1.5e-15,0.0
6.368927695771152e-05,9.7e-15,0.0,0.0
6.368927695771152e-05,1.25e-14,0.0,0.0
9.181181483514258e-05,2e-14,0.0,0.0
9.181181483514258e-05,1.31e-14,0.0,0.0
9.181181483514258e-05,1.82e-14,0.0,0.0
9.181181483514258e-05,2.13e-14,0.0,0.0
0.00012407002004748998,6e-14,5.4e-15,0.0
0.0001530196913919043,3.034e-13,5.18e-14,0.0
0.0001530196913919043,1.591e-13,3.7e-14,0.0
0.0001530196913919043,1.554e-13,2.96e-14,0.0
0.00017866082886838555,2.51e-14,0.0,0.0
0.0005914004288930355,1.9514e-13,3.9338e-14,0.0
0.0008974398116768441,2.7979e-13,4.1308e-14,0.0
0.056121005734814634,3.4335e-12,1.0857e-13,0.0
0.056121005734814634,3.352e-12,9.4997e-14,0.0
0.05636914577490961,1.8873e-12,8.4151e-14,0.0
0.05636914577490961,1.8257e-12,9.649e-14,0.0
0.10330897002620998,2.0432e-12,3.4167e-14,0.0
0.10330897002620998,2.0432e-12,3.4167e-14,0.0
0.1072378539943805,3.7604e-12,5.1868e-14,0.0
0.1072378539943805,3.7604e-12,7.7802e-14,0.0
0.2695214402164974,7.6383e-12,1.2211e-13,0.0
0.2695214402164974,7.6251e-12,1.3034e-13,0.0
0.2695214402164974,6.2086e-12,9.9252e-14,0.0
0.2695214402164974,9.4499e-12,1.9552e-13,0.0
0.36464178891957305,8.8476e-12,1.4143e-13,0.0
0.36464178891957305,1.0569e-11,1.6894e-13,0.0
0.37010086980166257,1.2976e-11,2.6847e-13,0.0
0.37010086980166257,1.0649e-11,2.6847e-13,0.0
0.5661728581500459,1.6427e-11,0.0,0.0
