Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
7780952380.95238,4.654807361472727e-31,4.654807361472727e-31,2.4740948352921833e-20
8599282286.360039,5.685375365524715e-31,5.685375365524715e-31,3.021845961606806e-20
9503676699.208178,6.944106966601114e-31,6.944106966601114e-31,3.6908630495029204e-20
10503187102.758043,8.481515623900009e-31,8.481515623900009e-31,4.50799177530455e-20
11607816933.075407,1.0359297641176602e-30,1.0359297641176602e-30,5.506020364290975e-20
12828621696.780996,1.2652807705427971e-30,1.2652807705427971e-30,6.724994820664976e-20
14177819618.276627,1.54540823700501e-30,1.54540823700501e-30,8.213825160416855e-20
15668913923.841707,1.887553274009223e-30,1.887553274009223e-30,1.003224699473892e-19
17316827986.460438,2.305445443992616e-30,2.305445443992616e-30,1.2253217023623715e-19
19138054683.95455,2.8158535694921564e-30,2.8158535694921564e-30,1.4965838342805152e-19
21150821465.247997,3.4392584346946595e-30,3.4392584346946595e-30,1.827893262912078e-19
23375272776.802246,4.200674344496022e-30,4.200674344496022e-30,2.2325402085840367e-19
25833671675.007233,5.130652465378256e-30,5.130652465378256e-30,2.726755551790813e-19
28550622642.332596,6.266506148100712e-30,6.266506148100712e-30,3.3303611304562376e-19
31553317837.25809,7.653807312937761e-30,7.653807312937761e-30,4.0675636846929986e-19
34871809242.535225,9.348213816924122e-30,9.348213816924122e-30,4.967924111687401e-19
38539309435.53151,1.141770092271864e-29,1.141770092271864e-29,6.067540570555459e-19
42592523990.867836,1.394528587092592e-29,1.394528587092592e-29,7.4104917382895395e-19
47072018842.14645,1.7032355598449534e-29,1.7032355598449534e-29,9.050600529592705e-19
52022626279.44917,2.080272906897831e-29,2.080272906897831e-29,1.1053584071787035e-18
57493893645.96515,2.540761795670962e-29,2.540761795670962e-29,1.349967894680764e-18
63540579224.454956,3.1031682105178445e-29,3.1031682105178445e-29,1.64868415174515e-18
70223200276.5493,3.790042330444602e-29,3.790042330444602e-29,2.0134654335921845e-18
77608638719.84409,4.628920933421366e-29,4.628920933421366e-29,2.4589086477198195e-18
85770810504.61133,5.653428054390577e-29,5.653428054390577e-29,3.002827314682327e-18
94791405389.47368,6.904612878425108e-29,6.904612878425108e-29,3.666941392335e-18
104760704519.96553,8.432587865239541e-29,8.432587865239541e-29,4.4777324281612985e-18
115778483992.58197,1.029852735658573e-28,1.029852735658573e-28,5.46748618084136e-18
127955013447.4885,1.2577106227755502e-28,1.2577106227755502e-28,6.675561759386833e-18
141412159684.1427,1.5359478129603562e-28,1.5359478129603562e-28,8.149950388088144e-18
156284606345.18402,1.8756904987246256e-28,1.8756904987246256e-28,9.949160899831112e-18
172721201875.59824,2.290518823920688e-28,2.290518823920688e-28,1.2144537574557835e-17
190886449247.9842,2.797006833878768e-28,2.797006833878768e-28,1.482306321856424e-17
210962152363.5952,3.415380479911934e-28,3.415380479911934e-28,1.8090781308293095e-17
233149235606.88922,4.170320601794398e-28,4.170320601794398e-28,2.2076970921070825e-17
257669754764.30112,5.091940490855848e-28,5.091940490855848e-28,2.6939234161783598e-17
284769119433.18964,6.216969739262291e-28,6.216969739262291e-28,3.286945999461367e-17
314718549163.572,7.5901715616470925e-28,7.5901715616470925e-28,4.010046730842641e-17
347817787914.5408,9.266232117652701e-28,9.266232117652701e-28,4.891852161845002e-17
384398103992.5539,1.1311714064729626e-27,1.1311714064729626e-27,5.966922554379994e-17
424825605495.9889,1.380790441121953e-27,1.380790441121953e-27,7.277724644787702e-17
469504904448.0452,1.6853696075865724e-27,1.6853696075865724e-27,8.875523416878743e-17
518883166289.8652,2.0569803444078376e-27,2.0569803444078376e-27,1.0823245803055111e-16
573454585262.5691,2.5102987774473233e-27,2.5102987774473233e-27,1.319684287230786e-16
633765330469.3235,3.0632353215711945e-27,3.0632353215711945e-27,1.6089545924975587e-16
700419012119.2982,3.737539732256501e-27,3.737539732256501e-27,1.9613699668062042e-16
774082722661.5234,4.559750381389781e-27,4.559750381389781e-27,2.3907222795105785e-16
855493713270.3325,5.562050652267206e-27,5.562050652267206e-27,2.9136096401838743e-16
945466772502.9187,6.783693117875532e-27,6.783693117875532e-27,3.5503747580937923e-16
1044902380977.0697,8.272207073192146e-27,8.272207073192146e-27,4.325488895269e-16
1154795723683.858,1.0085566118816956e-26,1.0085566118816956e-26,5.268955273604197e-16
