Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
7.473115871346646e-06,7.351433729996495e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.351433729996495e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.351433729996495e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.970150212421822e-20,1.8157216634571605e-18
8.259070328421848e-06,3.231591797187141e-16,3.246343105688905e-16,0.0,2.88558769165022e-31,0.0,1.3107218922807266e-20,0.0,2.209021330176184e-35,0.0,5.9911693083136804e-30,0.0,6.1242588827968635e-62,3.23481318091383e-16,3.246483457599109e-16,0.0,1.4334055164771495e-20,0.0,1.5447154138966135e-20,0.0,1.1013773798767957e-24,0.0,2.9176905112057667e-19,0.0,3.259443487814067e-51,3.231591797187141e-16,3.246343105688905e-16,0.0,2.88558769165022e-31,0.0,1.3107218922807266e-20,0.0,2.209021330176184e-35,0.0,5.9911693083136804e-30,0.0,6.1242588827968635e-62,6.970150212421822e-20,1.8157216634571605e-18
9.127684337313328e-06,3.6945176706822615e-16,3.711428590437872e-16,0.0,3.295719891283889e-31,0.0,1.4857956576856353e-20,0.0,2.52682224000092e-35,0.0,6.622570519296503e-30,0.0,7.490820151690461e-62,3.698089914972119e-16,3.7115906683098774e-16,0.0,1.6370516073390478e-20,0.0,1.7461932097681942e-20,0.0,1.2598188595460987e-24,0.0,3.2251837097691916e-19,0.0,3.98662944564771e-51,3.6945176706822615e-16,3.711428590437872e-16,0.0,3.295719891283889e-31,0.0,1.4857956576856353e-20,0.0,2.52682224000092e-35,0.0,6.622570519296503e-30,0.0,7.490820151690461e-62,6.970150212421822e-20,1.8157216634571605e-18
1.0087651278973257e-05,4.2224330443840014e-16,4.2418054736995704e-16,0.0,3.763189352927062e-31,0.0,1.6836534067336228e-20,0.0,2.889856722550093e-35,0.0,7.318371264374863e-30,0.0,9.160326076038326e-62,4.226393323631931e-16,4.2419921387675044e-16,0.0,1.8691555583249768e-20,0.0,1.9732892742696388e-20,0.0,1.4408118283379265e-24,0.0,3.564039406470734e-19,0.0,4.875016168802894e-51,4.2224330443840014e-16,4.2418054736995704e-16,0.0,3.763189352927062e-31,0.0,1.6836534067336228e-20,0.0,2.889856722550093e-35,0.0,7.318371264374863e-30,0.0,9.160326076038326e-62,6.970150212421822e-20,1.8157216634571605e-18
1.1148578825209872e-05,4.82442160655421e-16,4.846599625503562e-16,0.0,4.295984557503561e-31,0.0,1.9072165767254352e-20,0.0,3.304577131355136e-35,0.0,8.085241104692795e-30,0.0,1.1199859595373348e-61,4.828811112558589e-16,4.84681413040213e-16,0.0,2.1336802924449433e-20,0.0,2.229218698847466e-20,0.0,1.6475731204253523e-24,0.0,3.937505684243378e-19,0.0,5.960299254172495e-51,4.82442160655421e-16,4.846599625503562e-16,0.0,4.295984557503561e-31,0.0,1.9072165767254352e-20,0.0,3.304577131355136e-35,0.0,8.085241104692795e-30,0.0,1.1199859595373348e-61,6.970150212421822e-20,1.8157216634571605e-18
1.2321085095495938e-05,5.510821128287831e-16,5.536196824367327e-16,0.0,4.903198309158092e-31,0.0,2.1597734799930038e-20,0.0,3.7783559801304846e-35,0.0,8.930511957247958e-30,0.0,1.3691356693116266e-61,5.515685500961281e-16,5.536442863366582e-16,0.0,2.4351362611574777e-20,0.0,2.517592487841203e-20,0.0,1.8837783127553573e-24,0.0,4.349153192862489e-19,0.0,7.286077762596095e-51,5.510821128287831e-16,5.536196824367327e-16,0.0,4.903198309158092e-31,0.0,2.1597734799930038e-20,0.0,3.7783559801304846e-35,0.0,8.930511957247958e-30,0.0,1.3691356693116266e-61,6.970150212421822e-20,1.8157216634571605e-18
1.3616904926677395e-05,6.293393006873453e-16,6.322413085223633e-16,0.0,5.595178883352139e-31,0.0,2.445024293361198e-20,0.0,4.3196171192458793e-35,0.0,9.86224829414864e-30,0.0,1.6734894885374672e-61,6.298782810854942e-16,6.322694850417198e-16,0.0,2.778656338234459e-20,0.0,2.8424652982565254e-20,0.0,2.153627122077537e-24,0.0,4.802909335970111e-19,0.0,8.905604059398639e-51,6.293393006873453e-16,6.322413085223633e-16,0.0,5.595178883352139e-31,0.0,2.445024293361198e-20,0.0,4.3196171192458793e-35,0.0,9.86224829414864e-30,0.0,1.6734894885374672e-61,6.970150212421822e-20,1.8157216634571605e-18
1.5049007319164886e-05,7.185513972241467e-16,7.218687250026249e-16,0.0,6.383701632162344e-31,0.0,2.767131422111913e-20,0.0,4.937985620998745e-35,0.0,1.0889323892536905e-29,0.0,2.0452709793874045e-61,7.191485224238359e-16,7.219009494079784e-16,0.0,3.1700808432318536e-20,0.0,3.2083888071242995e-20,0.0,2.4619181289677927e-24,0.0,5.303095648292446e-19,0.0,1.088392107633245e-50,7.185513972241467e-16,7.218687250026249e-16,0.0,6.383701632162344e-31,0.0,2.767131422111913e-20,0.0,4.937985620998745e-35,0.0,1.0889323892536905e-29,0.0,2.0452709793874045e-61,6.970150212421822e-20,1.8157216634571605e-18
1.6631725235048563e-05,8.202392676863107e-16,8.240298563871406e-16,0.0,7.282163772444247e-31,0.0,3.130775859765113e-20,0.0,5.644459040096956e-35,0.0,1.2021505297003588e-29,0.0,2.4994101002689728e-61,8.209007429019689e-16,8.240666669965214e-16,0.0,3.616054043189893e-20,0.0,3.6204713507657715e-20,0.0,2.8141341581316948e-24,0.0,5.854468441852804e-19,0.0,1.3300472771002203e-50,8.202392676863107e-16,8.240298563871406e-16,0.0,7.282163772444247e-31,0.0,3.130775859765113e-20,0.0,5.644459040096956e-35,0.0,1.2021505297003588e-29,0.0,2.4994101002689728e-61,6.970150212421822e-20,1.8157216634571605e-18
1.838089904720056e-05,9.361314086541012e-16,9.404612249932812e-16,0.0,8.305805439488752e-31,0.0,3.5412202343112005e-20,0.0,6.451603096026507e-35,0.0,1.3269542563930877e-29,0.0,3.054142408847873e-61,9.368641071638455e-16,9.40503230955273e-16,0.0,4.124133657660051e-20,0.0,4.08444455180379e-20,0.0,3.21653983384195e-24,0.0,6.462262998490248e-19,0.0,1.6252292550903534e-50,9.361314086541012e-16,9.404612249932812e-16,0.0,8.305805439488752e-31,0.0,3.5412202343112005e-20,0.0,6.451603096026507e-35,0.0,1.3269542563930877e-29,0.0,3.054142408847873e-61,6.970150212421822e-20,1.8157216634571605e-18
