Energy,Flux Value,Flux Error,Is Upper Limit
3.0521224931682534e-07,4.13e-16,6.64e-17,0.0
3.060393827838086e-07,4.144e-16,6.66e-17,0.0
4.218380681614659e-07,4.386e-16,0.0,0.0
6.244857675723662e-07,1.0374e-15,0.0,0.0
6.244857675723662e-07,1.0419e-15,0.0,0.0
6.244857675723662e-07,1.0117e-15,0.0,0.0
6.244857675723662e-07,9.2412e-16,1.812e-16,0.0
6.244857675723662e-07,8.3201e-16,0.0,0.0
6.286214349072825e-07,9.39e-16,6.06e-17,0.0
1.344091883847808e-06,1.7713e-15,3.5425e-16,0.0
1.344091883847808e-06,1.7713e-15,3.5425e-16,0.0
1.344091883847808e-06,1.7713e-15,3.575e-16,0.0
1.5095185772444614e-06,2.033e-15,1.095e-16,0.0
1.5095185772444614e-06,2.03e-15,1.09e-16,0.0
1.5095185772444614e-06,2.033e-15,4.015e-16,0.0
1.5880962566078716e-06,2.0198e-15,0.0,0.0
3.4863675633344683e-06,3.1865e-15,0.0,0.0
5.7899342688828654e-06,5.292e-15,1.064e-15,0.0
5.7899342688828654e-06,5.572e-15,1.12e-15,0.0
5.7899342688828654e-06,5.572e-15,0.0,0.0
5.7899342688828654e-06,5.404e-15,0.0,0.0
5.7899342688828654e-06,5.292e-15,1.54e-16,0.0
5.7899342688828654e-06,5.404e-15,0.0,0.0
5.7899342688828654e-06,5.572e-15,0.0,0.0
5.7899342688828654e-06,5.404e-15,0.0,0.0
5.7899342688828654e-06,5.572e-15,0.0,0.0
5.7899342688828654e-06,5.348e-15,0.0,0.0
5.7899342688828654e-06,5.292e-15,0.0,0.0
5.7899342688828654e-06,5.292e-15,0.0,0.0
5.7899342688828654e-06,5.35e-15,0.0,0.0
5.7899342688828654e-06,6.44e-15,0.0,0.0
5.7899342688828654e-06,5.5742e-15,2.156e-18,0.0
5.7899342688828654e-06,5.295e-15,1.5895e-16,0.0
5.7899342688828654e-06,5.572e-15,0.0,0.0
5.7899342688828654e-06,5.572e-15,0.0,0.0
5.7899342688828654e-06,5.29e-15,1.6e-16,0.0
5.7899342688828654e-06,5.292e-15,0.0,0.0
6.162144329025336e-06,5.1256e-15,0.0,0.0
6.162144329025336e-06,5.513e-15,0.0,0.0
6.199365335039582e-06,5.7861e-15,0.0,0.0
6.199365335039582e-06,5.966e-15,0.0,0.0
6.199365335039582e-06,5.5313e-15,0.0,0.0
6.203501002374499e-06,5.97e-15,0.0,0.0
6.203501002374499e-06,6e-15,0.0,0.0
9.512034870307564e-06,4.462e-15,0.0,0.0
9.512034870307564e-06,2.921e-15,0.0,0.0
1.2407002004748997e-05,5.7e-15,0.0,0.0
1.2407002004748997e-05,5.82e-15,0.0,0.0
2.0057986574344214e-05,1.4501e-14,1.3095e-15,0.0
2.0057986574344214e-05,1.1034e-14,2.425e-17,0.0
2.0057986574344214e-05,1.37e-14,2.06e-15,0.0
2.0057986574344214e-05,1.39e-14,1.55e-15,0.0
2.0202734931066285e-05,1.4606e-14,2.931e-15,0.0
2.0223413267740866e-05,1.18e-14,0.0,0.0
2.067833667458166e-05,1.43e-14,0.0,0.0
2.067833667458166e-05,7.29e-15,0.0,0.0
2.067833667458166e-05,1.495e-14,0.0,0.0
2.067833667458166e-05,8.65e-15,0.0,0.0
2.067833667458166e-05,1.43e-14,0.0,0.0
2.067833667458166e-05,1.005e-14,0.0,0.0
2.067833667458166e-05,4.3e-15,0.0,0.0
2.067833667458166e-05,1.415e-14,0.0,0.0
2.067833667458166e-05,7.15e-15,0.0,0.0
2.067833667458166e-05,1e-14,0.0,0.0
2.4814004009497995e-05,1.716e-14,0.0,0.0
2.4814004009497995e-05,1.74e-14,0.0,0.0
3.308533867933066e-05,2.016e-14,0.0,0.0
3.308533867933066e-05,1.2e-14,0.0,0.0
3.473960561329719e-05,2.1168e-14,0.0,0.0
3.473960561329719e-05,2.0832e-14,4.2e-15,0.0
3.473960561329719e-05,2.1185e-14,0.0,0.0
3.473960561329719e-05,2.1168e-14,4.2e-15,0.0
3.473960561329719e-05,2.12e-14,0.0,0.0
3.473960561329719e-05,2.08e-14,0.0,0.0
3.473960561329719e-05,1.26e-14,0.0,0.0
3.498774565339217e-05,2.1336e-14,3.384e-17,0.0
3.5153172346788825e-05,2.142e-14,0.0,0.0
3.556673908028046e-05,7.654e-15,0.0,0.0
3.556673908028046e-05,1.2556e-14,0.0,0.0
4.962800801899599e-05,1.752e-14,0.0,0.0
6.203501002374499e-05,4.29e-14,2.4e-15,0.0
6.203501002374499e-05,4.2e-14,0.0,0.0
6.203501002374499e-05,4.17e-14,0.0,0.0
6.203501002374499e-05,4.18e-14,1.5e-16,0.0
6.203501002374499e-05,3.69e-14,2.1e-15,0.0
6.203501002374499e-05,5.01e-14,0.0,0.0
6.203501002374499e-05,3e-14,1.5e-15,0.0
6.203501002374499e-05,4.17e-14,0.0,0.0
6.203501002374499e-05,1.2e-14,0.0,0.0
6.203501002374499e-05,4.2e-14,0.0,0.0
6.203501002374499e-05,3e-14,0.0,0.0
6.203501002374499e-05,4.185e-14,1.5e-16,0.0
6.203501002374499e-05,5.01e-14,0.0,0.0
0.0001530196913919043,2.072e-13,4.44e-14,0.0
0.056121005734814634,3.3928e-12,1.4928e-13,0.0
0.056121005734814634,3.3792e-12,1.7642e-13,0.0
0.05636914577490961,3.3871e-12,2.1112e-13,0.0
0.05636914577490961,3.4028e-12,1.8942e-13,0.0
0.10330897002620998,3.3076e-12,8.5876e-14,0.0
0.10330897002620998,3.2833e-12,7.802e-14,0.0
0.1072378539943805,3.3974e-12,5.1868e-14,0.0
0.1072378539943805,3.4233e-12,7.7802e-14,0.0
0.2695214402164974,6.5614e-12,1.606e-13,0.0
0.2695214402164974,6.5824e-12,1.3034e-13,0.0
0.2695214402164974,5.9785e-12,1.4634e-13,0.0
0.2695214402164974,5.9763e-12,1.1731e-13,0.0
0.2755181578521261,5.9293e-12,1.1326e-13,0.0
0.34441837565183214,6.5955e-12,1.4157e-13,0.0
0.36464178891957305,7.6353e-12,1.9819e-13,0.0
0.36464178891957305,6.8933e-12,1.7893e-13,0.0
0.37010086980166257,7.7498e-12,1.6108e-13,0.0
0.37010086980166257,6.9981e-12,1.5213e-13,0.0
0.5583150902137048,5.94e-12,4.05e-13,0.0
0.5661728581500459,4.9691e-12,1.5058e-13,0.0
0.5661728581500459,4.9554e-12,0.0,0.0
0.5661728581500459,4.9691e-12,0.0,0.0
0.5661728581500459,5.3387e-12,2.0534e-13,0.0
0.5707220922184538,5.12e-12,1.6e-13,0.0
0.5732034926194037,5.1956e-12,1.6626e-13,0.0
0.5732034926194037,5.251e-12,0.0,0.0
0.5732034926194037,5.1956e-12,0.0,0.0
0.5732034926194037,5.1956e-12,1.6626e-13,0.0
0.5732034926194037,5.1956e-12,0.0,0.0
0.5732034926194037,5.1956e-12,1.6626e-13,0.0
0.5732034926194037,5.1956e-12,1.6626e-13,0.0
0.5732034926194037,5.1818e-12,0.0,0.0
0.5732034926194037,5.1956e-12,1.6626e-13,0.0
0.5732034926194037,5.1956e-12,1.6626e-13,0.0
0.5732034926194037,5.1956e-12,0.0,0.0
0.5732034926194037,5.1956e-12,1.3855e-13,0.0
0.5732034926194037,5.1956e-12,0.0,0.0
0.5748577595533703,5.1531e-12,1.6392e-13,0.0
0.746487953952398,5.9005e-12,2.2144e-13,0.0
0.7485557876198562,6.7e-12,3.62e-13,0.0
0.7518643214877893,6.0886e-12,0.0,0.0
0.7518643214877893,6.0886e-12,2.181e-13,0.0
0.7518643214877893,6.0886e-12,2.181e-13,0.0
0.7518643214877893,6.0886e-12,0.0,0.0
0.7518643214877893,6.0886e-12,2.181e-13,0.0
0.7518643214877893,6.0886e-12,2.181e-13,0.0
0.7518643214877893,6.0886e-12,2.181e-13,0.0
0.7518643214877893,6.0886e-12,0.0,0.0
0.7518643214877893,6.0886e-12,2.181e-13,0.0
0.7518643214877893,6.0886e-12,0.0,0.0
0.7518643214877893,5.925e-12,0.0,0.0
0.7518643214877893,6.0886e-12,2.181e-13,0.0
0.7526914549547725,5.95e-12,2.19e-13,0.0
0.7605492228911135,6.7866e-12,2.391e-13,0.0
0.7605492228911135,6.1061e-12,2.207e-13,0.0
0.9917330269129365,6.9071e-12,3.1178e-13,0.0
0.9917330269129365,6.4514e-12,1.9186e-13,0.0
0.9917330269129365,6.4754e-12,0.0,0.0
0.9917330269129365,6.4514e-12,0.0,0.0
0.9925601603799198,6.39e-12,1.94e-13,0.0
1.0008314950497526,6.3877e-12,1.9357e-13,0.0
1.0008314950497526,6.3877e-12,0.0,0.0
1.0008314950497526,6.3877e-12,1.9357e-13,0.0
1.0008314950497526,6.3877e-12,1.9357e-13,0.0
1.0008314950497526,6.3877e-12,0.0,0.0
1.0008314950497526,6.3877e-12,1.6937e-13,0.0
1.0008314950497526,6.3877e-12,1.9357e-13,0.0
1.0008314950497526,6.3877e-12,0.0,0.0
1.0008314950497526,6.3877e-12,1.9357e-13,0.0
1.0008314950497526,6.3877e-12,0.0,0.0
1.0008314950497526,6.3877e-12,0.0,0.0
1.0008314950497526,6.3877e-12,0.0,0.0
1.0008314950497526,6.3877e-12,1.9357e-13,0.0
1.004553595651177,6.4722e-12,1.9974e-13,0.0
1.0091028297195852,8.05e-12,7.32e-13,0.0
1.344091883847808,1.16e-11,1.92e-13,0.0
1.3589802862535068,1.0218e-11,4.4541e-14,0.0
1.3589802862535068,1.2603e-11,5.42e-14,0.0
1.374695822126189,9.8735e-12,0.0,0.0
1.374695822126189,1.2234e-11,1.9946e-13,0.0
1.374695822126189,1.0605e-11,9.9732e-14,0.0
1.374695822126189,1.2433e-11,0.0,0.0
1.374695822126189,1.2234e-11,0.0,0.0
1.374695822126189,1.2068e-11,0.0,0.0
1.374695822126189,9.9067e-12,1.3298e-13,0.0
1.3771772225271388,7.53e-12,0.0,0.0
1.6087745932824533,1.21e-11,2.44e-13,0.0
1.6240765624216438,1.4803e-11,2.5916e-12,0.0
1.6240765624216438,1.2369e-11,2.356e-13,0.0
1.6240765624216438,1.2369e-11,0.0,0.0
1.6240765624216438,1.0563e-11,7.8532e-14,0.0
1.6240765624216438,1.0759e-11,0.0,0.0
1.6240765624216438,1.2212e-11,0.0,0.0
1.6240765624216438,1.017e-11,1.178e-13,0.0
