Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
6016528925.619835,3.4922850238431297e-31,3.4922850238431297e-31,7.11529555730483e-22
6649292796.355964,4.265452020308068e-31,4.265452020308068e-31,8.690560622306304e-22
7348605024.302509,5.20978693897272e-31,5.20978693897272e-31,1.0614562393428466e-21
8121464561.283722,6.3631815182988515e-31,6.3631815182988515e-31,1.2964499733090779e-21
8975606445.312767,7.771914670554419e-31,7.771914670554419e-31,1.583465850674473e-21
9919579215.452011,9.492508523860732e-31,9.492508523860732e-31,1.9340192595935884e-21
10962830468.465212,1.1593995012975207e-30,1.1593995012975207e-30,2.3621741146304303e-21
12115801413.54138,1.4160683748949412e-30,1.4160683748949412e-30,2.8851066809255477e-21
13390031371.425758,1.729554191277612e-30,1.729554191277612e-30,3.5237940473197204e-21
14798273263.820328,2.1124321332463676e-30,2.1124321332463676e-30,4.3038547662577435e-21
16354621248.91062,2.5800597676744226e-30,2.5800597676744226e-30,5.256575235867531e-21
18074651780.438046,3.1511922998574785e-30,3.1511922998574785e-30,6.4201627831000086e-21
19975579502.084354,3.848733710448229e-30,3.848733710448229e-30,7.84127540325502e-21
22076429537.41165,4.7006537130507464e-30,4.7006537130507464e-30,9.576889068500476e-21
24398227899.693584,5.7411070355542665e-30,5.7411070355542665e-30,1.1696576857326755e-20
26964211927.32323,7.011799520147968e-30,7.011799520147968e-30,1.428529038769313e-20
29800062850.906147,8.563655046388474e-30,8.563655046388474e-30,1.7446753298161803e-20
32934162819.647953,1.0458847042570947e-29,1.0458847042570947e-29,2.1307595927587015e-20
36397878959.443184,1.2773283627544864e-29,1.2773283627544864e-29,2.602241366448427e-20
40225877305.61412,1.5599632362702438e-29,1.5599632362702438e-29,3.177992115338674e-20
44456469752.24391,1.9051014135882318e-29,1.9051014135882318e-29,3.881046755085454e-20
49131997490.48968,2.326550110757315e-29,2.326550110757315e-29,4.7395183741003487e-20
54299254773.45489,2.841160619494199e-29,2.841160619494199e-29,5.787714474223634e-20
60009957248.802635,3.469496469047697e-29,3.469496469047697e-29,7.067494905033142e-20
66321259546.33958,4.236639909429615e-29,4.236639909429615e-29,8.629909031595103e-20
73296327300.7614,5.17313151187101e-29,5.17313151187101e-29,1.0537093971825304e-19
81004969334.55563,6.316156745799837e-29,6.316156745799837e-29,1.286467892164369e-19
89524336328.16054,7.710997578434636e-29,7.710997578434636e-29,1.570472376155807e-19
98939692969.90625,9.412792305766305e-29,9.412792305766305e-29,1.9169280070013714e-19
109345271313.674,1.148872383722768e-28,1.148872383722768e-28,2.3394821773908685e-19
120845213884.96382,1.4020639099338212e-28,1.4020639099338212e-28,2.854753927098344e-19
133554615974.29349,1.710831241946058e-28,1.710831241946058e-28,3.482994191932052e-19
147600677549.55048,2.0873355696151603e-28,2.0873355696151603e-28,4.2488753177339445e-19
163123976316.02435,2.5464020617555096e-28,2.5464020617555096e-28,5.182460616402756e-19
180279874665.33087,3.106106772206458e-28,3.106106772206458e-28,6.320388841047052e-19
199240074594.44632,3.788495472728541e-28,3.788495472728541e-28,7.707324521613747e-19
220194336157.00476,4.620391261176679e-28,4.620391261176679e-28,9.39757239322463e-19
243352376645.69476,5.634202596208128e-28,5.634202596208128e-28,1.1456652332701426e-18
268945969513.4133,6.870214914556897e-28,6.870214914556897e-28,1.3966113408596479e-18
297231264039.8841,8.376666552454835e-28,8.376666552454835e-28,1.7023360387627259e-18
328491348959.74384,1.0213411542468959e-27,1.0213411542468959e-27,2.074942213866279e-18
363039085709.7482,1.2452272350062367e-27,1.2452272350062367e-27,2.5289141514655884e-18
