Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
5.778498004245908e-06,5.091420783357956e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.091420783357956e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.091420783357956e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05124428785189e-21,1.918475316026361e-18
6.386227944450733e-06,2.1711466644867619e-16,2.1688484712763564e-16,0.0,1.6078570734110442e-30,0.0,1.4403155425578454e-19,0.0,4.374980952928337e-34,0.0,2.1931006454432542e-30,0.0,1.6598945342567815e-62,2.1709814245253112e-16,2.1685075162213263e-16,0.0,3.099220790303741e-21,0.0,1.5289501134230193e-19,0.0,8.512167385832727e-25,0.0,4.19531060514368e-21,0.0,3.4257145529457545e-53,2.1711466644867619e-16,2.1688484712763564e-16,0.0,1.6078570734110442e-30,0.0,1.4403155425578454e-19,0.0,4.374980952928337e-34,0.0,2.1931006454432542e-30,0.0,1.6598945342567815e-62,7.05124428785189e-21,1.918475316026361e-18
7.057873400408984e-06,2.769035570163768e-16,2.765807878824419e-16,0.0,2.0283163024688115e-30,0.0,1.8044275324752524e-19,0.0,5.508295117493051e-34,0.0,2.709125779550639e-30,0.0,2.2612245793598554e-62,2.7688796989006895e-16,2.7654369846858943e-16,0.0,3.90945510937611e-21,0.0,1.9133056272049972e-19,0.0,1.0715569836830575e-24,0.0,5.182579982186873e-21,0.0,4.663648738418444e-53,2.769035570163768e-16,2.765807878824419e-16,0.0,2.0283163024688115e-30,0.0,1.8044275324752524e-19,0.0,5.508295117493051e-34,0.0,2.709125779550639e-30,0.0,2.2612245793598554e-62,7.05124428785189e-21,1.918475316026361e-18
7.800156425591672e-06,3.50668757613344e-16,3.502113513484232e-16,0.0,2.5391455480984958e-30,0.0,2.242932328440755e-19,0.0,6.881858847808128e-34,0.0,3.323351655701192e-30,0.0,3.058145147708588e-62,3.506557048563821e-16,3.5017219193315125e-16,0.0,4.89376547455287e-21,0.0,2.375630466124388e-19,0.0,1.3385616210743688e-24,0.0,6.357759329077895e-21,0.0,6.3028861746914e-53,3.50668757613344e-16,3.502113513484232e-16,0.0,2.5391455480984958e-30,0.0,2.242932328440755e-19,0.0,6.881858847808128e-34,0.0,3.323351655701192e-30,0.0,3.058145147708588e-62,7.05124428785189e-21,1.918475316026361e-18
8.620506038004821e-06,4.4073718133483894e-16,4.400871026456659e-16,0.0,3.1538553338774306e-30,0.0,2.7660145157821274e-19,0.0,8.531010673733158e-34,0.0,4.0467401270873975e-30,0.0,4.104497173846639e-62,4.407287669215431e-16,4.400472372001201e-16,0.0,6.078163251962282e-21,0.0,2.9264900533556025e-19,0.0,1.6590879157331448e-24,0.0,7.741828998961861e-21,0.0,8.45348132303245e-53,4.4073718133483894e-16,4.400871026456659e-16,0.0,3.1538553338774306e-30,0.0,2.7660145157821274e-19,0.0,8.531010673733158e-34,0.0,4.0467401270873975e-30,0.0,4.104497173846639e-62,7.05124428785189e-21,1.918475316026361e-18
9.527132572298468e-06,5.495565274536348e-16,5.486372628770444e-16,0.0,3.8869208613606326e-30,0.0,3.3844560806439487e-19,0.0,1.0493688392627054e-33,0.0,4.8896480392630004e-30,0.0,5.465769293438059e-62,5.495553832960107e-16,5.485985138054348e-16,0.0,7.490516965865493e-21,0.0,3.577059835854477e-19,0.0,2.04049843572571e-24,0.0,9.354611271175395e-21,0.0,1.1249251192304748e-52,5.495565274536348e-16,5.486372628770444e-16,0.0,3.8869208613606326e-30,0.0,3.3844560806439487e-19,0.0,1.0493688392627054e-33,0.0,4.8896480392630004e-30,0.0,5.465769293438059e-62,7.05124428785189e-21,1.918475316026361e-18
1.052910985155548e-05,6.796599830817592e-16,6.78387155058871e-16,0.0,4.75393493979652e-30,0.0,4.1097636629666894e-19,0.0,1.2810896314743977e-33,0.0,5.861716410018708e-30,0.0,7.221183704076966e-62,6.796692608678991e-16,6.783517886998512e-16,0.0,9.160847414880927e-21,0.0,4.339259927293176e-19,0.0,2.4907522902904236e-24,0.0,1.1214557798528241e-20,0.0,1.4852054018635318e-52,6.796599830817592e-16,6.78387155058871e-16,0.0,4.75393493979652e-30,0.0,4.1097636629666894e-19,0.0,1.2810896314743977e-33,0.0,5.861716410018708e-30,0.0,7.221183704076966e-62,7.05124428785189e-21,1.918475316026361e-18
1.1636466001162934e-05,8.33669162250541e-16,8.319545297700829e-16,0.0,5.771867565504336e-30,0.0,4.954372527322822e-19,0.0,1.552744259769351e-33,0.0,6.971952175688795e-30,0.0,9.466332707898764e-62,8.336924842119975e-16,8.319252132794285e-16,0.0,1.112182797877432e-20,0.0,5.225968978088207e-19,0.0,3.0185486500876402e-24,0.0,1.3338905684409708e-20,0.0,1.9457198589971164e-52,8.33669162250541e-16,8.319545297700829e-16,0.0,5.771867565504336e-30,0.0,4.954372527322822e-19,0.0,1.552744259769351e-33,0.0,6.971952175688795e-30,0.0,9.466332707898764e-62,7.05124428785189e-21,1.918475316026361e-18
1.286028381366127e-05,1.0144074429436013e-15,1.0120675153378807e-15,0.0,6.959424193216859e-30,0.0,5.9319155837147645e-19,0.0,1.8692921780503875e-33,0.0,8.228985149843697e-30,0.0,1.2316534333819273e-61,1.014448870967398e-15,1.0120472543358821e-15,0.0,1.3409474731155964e-20,0.0,6.251304748503293e-19,0.0,3.6335177022670124e-24,0.0,1.5744169034380565e-20,0.0,2.5300324968837538e-52,1.0144074429436013e-15,1.0120675153378807e-15,0.0,6.959424193216859e-30,0.0,5.9319155837147645e-19,0.0,1.8692921780503875e-33,0.0,8.228985149843697e-30,0.0,1.2316534333819273e-61,7.05124428785189e-21,1.918475316026361e-18
1.4212811669057438e-05,1.224736865976577e-15,1.221602498279394e-15,0.0,8.337487457608358e-30,0.0,7.057542197962088e-19,0.0,2.2362903155889253e-33,0.0,9.641451779118052e-30,0.0,1.5911082079305675e-61,1.2248008373736509e-15,1.221594566576094e-15,0.0,1.606399700041694e-20,0.0,7.430955330710631e-19,0.0,4.346451421479835e-24,0.0,1.8446873331265296e-20,0.0,3.266611159710011e-52,1.224736865976577e-15,1.221602498279394e-15,0.0,8.337487457608358e-30,0.0,7.057542197962088e-19,0.0,2.2362903155889253e-33,0.0,9.641451779118052e-30,0.0,1.5911082079305675e-61,7.05124428785189e-21,1.918475316026361e-18
