Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
7.4104318768897465e-06,4.283086646444582e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.868198458057169e-22,6.875250967827386e-20,4.283086646444582e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.283086646444582e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.189793800719268e-06,8.386036589705312e-17,8.353748174328383e-17,0.0,2.9620131594227345e-32,0.0,9.34725624458623e-22,0.0,3.5844959416379696e-36,0.0,1.5472445642433433e-30,0.0,1.686503192673331e-62,4.868198458057169e-22,6.875250967827386e-20,8.386707967538522e-17,8.353771969724187e-17,0.0,9.420167131440766e-23,0.0,9.733644168543334e-22,0.0,1.1436654458301682e-26,0.0,4.897462902693413e-21,0.0,5.4987609945876935e-53,8.386036589705312e-17,8.353748174328383e-17,0.0,2.9620131594227345e-32,0.0,9.34725624458623e-22,0.0,3.5844959416379696e-36,0.0,1.5472445642433433e-30,0.0,1.686503192673331e-62
9.051121933591174e-06,9.675373728899023e-17,9.63744120570205e-17,0.0,3.407741110061493e-32,0.0,1.0587348395602595e-21,0.0,4.123823002945395e-36,0.0,1.762121567328334e-30,0.0,2.077700768444798e-62,4.868198458057169e-22,6.875250967827386e-20,9.676128125146023e-17,9.637473430202642e-17,0.0,1.0837531155556037e-22,0.0,1.1021047391505823e-21,0.0,1.315726684630936e-26,0.0,5.5776117260411755e-21,0.0,6.773867694633232e-53,9.675373728899023e-17,9.63744120570205e-17,0.0,3.407741110061493e-32,0.0,1.0587348395602595e-21,0.0,4.123823002945395e-36,0.0,1.762121567328334e-30,0.0,2.077700768444798e-62
1.0003036736961567e-05,1.1146500508928072e-16,1.1102126774462982e-16,0.0,3.916181395089164e-32,0.0,1.1979691531821994e-21,0.0,4.739440036675981e-36,0.0,2.0022952050921743e-30,0.0,2.556358043778321e-62,4.868198458057169e-22,6.875250967827386e-20,1.1147346339582032e-16,1.1102168368448316e-16,0.0,1.245429109973433e-22,0.0,1.2466010246732774e-21,0.0,1.5121268507621246e-26,0.0,6.3378316723897974e-21,0.0,8.3340279831250125e-53,1.1146500508928072e-16,1.1102126774462982e-16,0.0,3.916181395089164e-32,0.0,1.1979691531821994e-21,0.0,4.739440036675981e-36,0.0,2.0022952050921743e-30,0.0,2.556358043778321e-62
1.105506529413226e-05,1.2825088228615672e-16,1.277336721217869e-16,0.0,4.4961899972813734e-32,0.0,1.3542992914966123e-21,0.0,5.44219813001446e-36,0.0,2.2704155191756553e-30,0.0,3.1418403698548236e-62,4.868198458057169e-22,6.875250967827386e-20,1.2826034829692072e-16,1.277341925004918e-16,0.0,1.4298601257764907e-22,0.0,1.4087834948740157e-21,0.0,1.7363278237335123e-26,0.0,7.186510886743531e-21,0.0,1.0242358723494447e-52,1.2825088228615672e-16,1.277336721217869e-16,0.0,4.4961899972813734e-32,0.0,1.3542992914966123e-21,0.0,5.44219813001446e-36,0.0,2.2704155191756553e-30,0.0,3.1418403698548236e-62
1.2217736660502398e-05,1.4740493335279437e-16,1.4680393756641555e-16,0.0,5.157883257137862e-32,0.0,1.5298238144494167e-21,0.0,6.244505002697866e-36,0.0,2.5693630271305643e-30,0.0,3.8578032680735828e-62,4.868198458057169e-22,6.875250967827386e-20,1.4741551070169898e-16,1.4680457469093756e-16,0.0,1.6402622088557381e-22,0.0,1.5908167373015358e-21,0.0,1.9922880947626245e-26,0.0,8.132767038611204e-21,0.0,1.2575959523592512e-52,1.4740493335279437e-16,1.4680393756641555e-16,0.0,5.157883257137862e-32,0.0,1.5298238144494167e-21,0.0,6.244505002697866e-36,0.0,2.5693630271305643e-30,0.0,3.8578032680735828e-62
1.3502687241893904e-05,1.6926272753681793e-16,1.6856619673914663e-16,0.0,5.912814127341921e-32,0.0,1.7268956554951682e-21,0.0,7.160545495777014e-36,0.0,2.902260110982747e-30,0.0,4.733142251640726e-62,4.868198458057169e-22,6.875250967827386e-20,1.6927453130815794e-16,1.6856696472414261e-16,0.0,1.880308035505468e-22,0.0,1.7951269201051787e-21,0.0,2.284533110329632e-26,0.0,9.186483369740806e-21,0.0,1.5429008441379502e-52,1.6926272753681793e-16,1.6856619673914663e-16,0.0,5.912814127341921e-32,0.0,1.7268956554951682e-21,0.0,7.160545495777014e-36,0.0,2.902260110982747e-30,0.0,4.733142251640726e-62
1.492277725561224e-05,1.9420772445509992e-16,1.9340226283336277e-16,0.0,6.774173345685368e-32,0.0,1.9481517745953675e-21,0.0,8.206533693194871e-36,0.0,3.272483400182979e-30,0.0,5.803152908355387e-62,4.868198458057169e-22,6.875250967827386e-20,1.9422088247753387e-16,1.934031778725065e-16,0.0,2.154190843739903e-22,0.0,2.024432190728027e-21,0.0,2.618235707571933e-26,0.0,1.0358347889438931e-20,0.0,1.8916542986281406e-52,1.9420772445509992e-16,1.9340226283336277e-16,0.0,6.774173345685368e-32,0.0,1.9481517745953675e-21,0.0,8.206533693194871e-36,0.0,3.272483400182979e-30,0.0,5.803152908355387e-62
1.6492219439823338e-05,2.226779954287123e-16,2.2174832120357096e-16,0.0,7.757019002468935e-32,0.0,2.1965462662047815e-21,0.0,9.40100117717785e-36,0.0,3.683677849774531e-30,0.0,7.1109478098403175e-62,4.868198458057169e-22,6.875250967827386e-20,2.2269264970222995e-16,2.217494018725422e-16,0.0,2.4666973862015575e-22,0.0,2.281776607116161e-21,0.0,2.999308077463457e-26,0.0,1.1659897935796771e-20,0.0,2.3179078183794918e-52,2.226779954287123e-16,2.2174832120357096e-16,0.0,7.757019002468935e-32,0.0,2.1965462662047815e-21,0.0,9.40100117717785e-36,0.0,3.683677849774531e-30,0.0,7.1109478098403175e-62
1.8226721299414627e-05,2.5517389228558095e-16,2.541025684431481e-16,0.0,8.878538455895023e-32,0.0,2.4753873003715128e-21,0.0,1.0765126555177186e-35,0.0,4.139773474812659e-30,0.0,8.709187118888008e-62,4.868198458057169e-22,6.875250967827386e-20,2.551902005585056e-16,2.5410383603984674e-16,0.0,2.823291160472268e-22,0.0,2.5705679867941447e-21,0.0,3.4345068948713165e-26,0.0,1.3103573144770994e-20,0.0,2.838824706223128e-52,2.5517389228558095e-16,2.541025684431481e-16,0.0,8.878538455895023e-32,0.0,2.4753873003715128e-21,0.0,1.0765126555177186e-35,0.0,4.139773474812659e-30,0.0,8.709187118888008e-62
