Energy,Flux Value,Flux Error,Is Upper Limit
1.5095185772444614e-06,3.0258e-15,6.205e-16,0.0
1.5095185772444614e-06,3.0258e-15,2.336e-16,0.0
1.5095185772444614e-06,3.03e-15,2.34e-16,0.0
1.6873522726458637e-06,2.98e-15,2.45e-16,0.0
3.4863675633344683e-06,4.0633e-15,0.0,0.0
5.7899342688828654e-06,6.734e-15,2.38e-16,0.0
5.7899342688828654e-06,6.734e-15,1.344e-15,0.0
5.7899342688828654e-06,6.146e-15,0.0,0.0
5.7899342688828654e-06,6.74e-15,2.37e-16,0.0
5.7899342688828654e-06,6.745e-15,2.3623e-16,0.0
5.7899342688828654e-06,6.734e-15,0.0,0.0
6.199365335039582e-06,6.5806e-15,0.0,0.0
6.203501002374499e-06,6.6e-15,0.0,0.0
6.203501002374499e-06,6.585e-15,0.0,0.0
9.512034870307564e-06,7.13e-15,0.0,0.0
9.512034870307564e-06,7.13e-15,0.0,0.0
9.512034870307564e-06,4.83e-15,0.0,0.0
9.512034870307564e-06,4.83e-15,0.0,0.0
1.2407002004748997e-05,9.3e-15,0.0,0.0
1.2407002004748997e-05,9.24e-15,0.0,0.0
1.9851203207598396e-05,2.016e-14,2.448e-15,0.0
2.0057986574344214e-05,2.003e-14,1.164e-15,0.0
2.0057986574344214e-05,2e-14,1.16e-15,0.0
2.067833667458166e-05,2.085e-14,1.05e-15,0.0
2.067833667458166e-05,2.065e-14,0.0,0.0
2.067833667458166e-05,2.09e-14,1.05e-15,0.0
2.4814004009497995e-05,2.478e-14,0.0,0.0
2.4814004009497995e-05,2.46e-14,0.0,0.0
3.308533867933066e-05,3.032e-14,1.52e-15,0.0
3.308533867933066e-05,3.03e-14,1.52e-15,0.0
3.308533867933066e-05,2.576e-14,0.0,0.0
3.473960561329719e-05,2.7065e-14,0.0,0.0
3.556673908028046e-05,1.72e-14,0.0,0.0
3.556673908028046e-05,2.322e-14,0.0,0.0
3.556673908028046e-05,2.32e-14,0.0,0.0
3.556673908028046e-05,1.72e-14,0.0,0.0
4.962800801899599e-05,3.168e-14,0.0,0.0
6.203501002374499e-05,4.995e-14,3e-16,0.0
6.203501002374499e-05,8.06e-14,0.0,0.0
6.203501002374499e-05,5.07e-14,0.0,0.0
6.203501002374499e-05,5e-14,3e-16,0.0
6.203501002374499e-05,8.055e-14,0.0,0.0
6.203501002374499e-05,5.07e-14,0.0,0.0
8.229977996483502e-05,6.07e-14,2.98e-15,0.0
8.271334669832664e-05,6.1e-14,3e-15,0.0
0.056121005734814634,3.6235e-12,1.7642e-13,0.0
0.056121005734814634,3.4199e-12,1.8999e-13,0.0
0.05636914577490961,3.4248e-12,2.2937e-13,0.0
0.10330897002620998,3.329e-12,8.6431e-14,0.0
0.1072378539943805,3.3714e-12,7.7802e-14,0.0
0.1072378539943805,3.4492e-12,7.7802e-14,0.0
