Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
7692982456.14035,3.1122302503270536e-21,4.245894434145786e-22,6.555859105064695e-21
8502060483.792482,3.801097341460176e-21,5.185539036217622e-22,8.007007525003164e-21
9396229990.407621,4.642407975752782e-21,6.333064328154899e-22,9.77931362212928e-21
10384440124.948725,5.669884305164407e-21,7.734432006856389e-22,1.1943830736575714e-20
11476581226.591175,6.924702710764623e-21,9.445753707991858e-22,1.4587322497307643e-20
12683583810.561512,8.457139191538294e-21,1.153552726114976e-21,1.781573231114764e-20
14017527964.407688,1.0328576910455916e-20,1.4087363350778592e-21,2.1758417247653145e-20
15491764249.575508,1.261395515171708e-20,1.7203309107026594e-21,2.657331392820301e-20
17121047318.314861,1.5404756082134194e-20,2.100789783115796e-21,3.2453240421086226e-20
18921683583.19864,1.8812646463694544e-20,2.5653081363629002e-21,3.963358228066673e-20
20911694417.180546,2.2973916555377807e-20,3.1324234378501065e-21,4.840166432472628e-20
23110996517.552822,2.8054888718683504e-20,3.824745909887953e-21,5.910817438730171e-20
25541601238.946953,3.425850469225174e-20,4.6698465646819335e-21,7.218108331321173e-20
28227834890.3691,4.183234426915292e-20,5.701335863229909e-21,8.814259944526106e-20
31196582201.07702,5.107838050120403e-20,6.960172587216823e-21,1.0762980877632464e-19
34477555391.98669,6.236483903935598e-20,8.496250153355311e-21,1.314197872201642e-19
38103591545.565926,7.614059193068295e-20,1.0370313797380483e-20,1.604601133756931e-19
42110981250.392586,9.295249329694193e-20,1.2656246578713358e-20,1.9590571366436202e-19
46539831809.56275,1.1346675157992244e-19,1.5443909248553814e-20,2.391641954033997e-19
51434468648.0607,1.3849445021941597e-19,1.8842476465183204e-20,2.919502076706476e-19
56843878936.51035,1.6902268229076917e-19,2.2984505198393265e-20,3.5635176715020494e-19
62822201871.244125,2.0625180128509453e-19,2.8030730840881703e-20,4.349099084141698e-19
69429270517.57652,2.516406771094166e-19,3.417587238788436e-20,5.307155413213643e-19
76731210639.23256,3.0696064384673275e-19,4.165542991763784e-20,6.475254156988682e-19
84801102507.21655,3.7435619789286597e-19,5.075278880730365e-20,7.898948739722474e-19
93719712311.72758,4.563945148298898e-19,6.180221628614524e-20,9.632978611006878e-19
103576300497.33757,5.561467292270065e-19,7.519737829304703e-20,1.1743088226327292e-18
114469515111.52173,6.7728752194336775e-19,9.140196645201949e-20,1.4308246483483242e-18
126508379107.4747,8.242100040821038e-19,1.1096107799405892e-19,1.7423244347695955e-18
139813381482.4699,1.002185480520117e-18,1.3451987486872786e-19,2.120218719441591e-18
154517683172.24197,1.2175301904258898e-18,1.6283975939751477e-19,2.5782277722718816e-18
170768449770.3887,1.4778417230839397e-18,1.9682605962357403e-19,3.132898009077197e-18
188728324411.0956,1.7922467848534813e-18,2.3755240645735556e-19,3.804162477451376e-18
208577055556.2892,2.1717162422230694e-18,2.8629379299069194e-19,4.616044913813274e-18
230513295978.65955,2.6294504681687326e-18,3.4456736746775864e-19,5.597519184290842e-18
254756590945.37854,3.1813583968625878e-18,4.141848089450917e-19,6.783570855320565e-18
281549575500.9263,3.8462617505929444e-18,4.972284188767183e-19,8.21584187836769e-18
311160402840.1676,4.6451811376042954e-18,5.957994013183476e-19,9.941771212332546e-18
343885428075.65643,5.607474614785559e-18,7.133389198685269e-19,1.2025490185838883e-17
380052174259.21027,6.763643687785671e-18,8.5283930738975e-19,1.4536045905815594e-17
420022610342.6973,8.155945372485735e-18,1.0191336462832182e-18,1.756623519548558e-17
464196773884.96906,9.828702223987467e-18,1.2165082726043821e-18,2.121661596501798e-17
513016774762.2049,1.1842415213120925e-17,1.4516828701384739e-18,2.562086284014169e-17
566971219952.1536,1.426122008575149e-17,1.7307528146676737e-18,3.0924883591654176e-17
626600103676.9917,1.7172965804220002e-17,2.063354339706575e-18,3.732324804190468e-17
692500211846.9967,2.0669785574884798e-17,2.4580288223310972e-18,4.502638523753117e-17
765331094894.5262,2.4878472284983367e-17,2.928447927540848e-18,5.43160566382072e-17
845821668776.424,2.9932148416680237e-17,3.486803871786424e-18,6.549683606004954e-17
934777510209.9172,3.60088382197454e-17,4.151386767889221e-18,7.896803429896776e-17
1033088919155.1619,4.329962511814732e-17,4.93939138735528e-18,9.516797922395547e-17
1141739829236.4883,5.2061728103824267e-17,5.876971986223204e-18,1.1467463308239256e-16
1261817655280.8237,6.256827306044282e-17,6.988244605856188e-18,1.38116263286761e-16
1394524176530.7686,7.518249440023052e-17,8.308798429580168e-18,1.6631447722701773e-16
1541187564455.1968,9.02906170896173e-17,9.871706808787393e-18,2.0016173047305656e-16
1703275675535.7205,1.0840852431265155e-16,1.1726221319484219e-17,2.408300418009465e-16
1882410742067.7305,1.3008190940533415e-16,1.3917913135681555e-17,2.8958481648465337e-16
2080385608006.4558,1.560416851096933e-16,1.651485180123183e-17,3.4809334614982047e-16
2299181672351.8584,1.8705607961922413e-16,1.9579740129732998e-17,4.181426276151177e-16
2540988719655.8076,2.2415584193123783e-16,2.320606967594122e-17,5.020937960132226e-16
2808226836121.872,2.6841809560376153e-16,2.7480008068108594e-17,6.024589905641045e-16
3103570630641.4795,3.2129452191624314e-16,3.2530368847718533e-17,7.225747289438229e-16
3429976003178.6626,3.84289000240085e-16,3.847557495599242e-17,8.659554308046065e-16
3790709728410.4014,4.594337258242265e-16,4.5491656195219993e-17,1.0372887003308344e-15
4189382150705.6147,5.487935624968429e-16,5.3735668113759474e-17,1.2414217173354498e-15
4629983317665.054,6.551796013847075e-16,6.344252547565997e-17,1.4848729663737435e-15
5116922913858.818,7.814160469558606e-16,7.482154414646178e-17,1.7742933412053722e-15
5655074394431.671,9.313863482654375e-16,8.818820818480311e-17,2.1187235312430515e-15
6249823760280.136,1.1089123248615954e-15,1.0381785090444446e-16,2.5271944576427376e-15
6907123462959.797,1.319325062649256e-15,1.2213159577900868e-16,3.0121638724626546e-15
7633551978821.122,1.5677402963659735e-15,1.434878350199178e-16,3.585759435871161e-15
8436379648611.913,1.8614321463513416e-15,1.6844662753733705e-16,4.265036178195226e-15
9323641441491.143,2.207165275977259e-15,1.9746979695666418e-16,5.06607713856529e-15
10304217371700.916,2.614794916285505e-15,2.3129856252088435e-16,6.012057196926794e-15
11387921372733.746,3.093126596677717e-15,2.705186676474645e-16,7.123970517350183e-15
12585599518477.438,3.65539991430638e-15,3.1610421622790546e-16,8.433034128524775e-15
13909238574368.135,4.312847076787824e-15,3.687808839259231e-16,9.966110493517522e-15
15372085964967.652,5.083069849907901e-15,4.298148494446951e-16,1.1764813933210796e-14
16988782358641.072,5.980067287434609e-15,5.000853798895027e-16,1.386271998712941e-14
18775508196286.727,7.027041102128384e-15,5.812342869804838e-16,1.6314785790110643e-14
20750145630627.043,8.240923546277382e-15,6.74296368619397e-16,1.9161730300849595e-14
22932457496803.47,9.651960751940827e-15,7.813838371484886e-16,2.2475301963589938e-14
25344285105473.05,1.1279799148873033e-14,9.036621580896617e-16,2.6302879109074975e-14
28009766837986.652,1.3163393643817278e-14,1.0438258094712062e-15,3.073696389644769e-14
30955579731422.527,1.532418976723065e-14,1.203100389094003e-15,3.5829447959898416e-14
34211206471340.133,1.781168871287516e-14,1.3848878283173833e-15,4.169795511205419e-14
37809230464406.49,2.0647048632851125e-14,1.590326170190767e-15,4.839394919564661e-14
41785661944081.85,2.389232929676623e-14,1.8236747597057508e-15,5.6064906716049495e-14
46180298373139.664,2.756454346351695e-14,2.0857307204433997e-15,6.475265096507044e-14
51037122750050.08,3.174023294497469e-14,2.381736380664965e-15,7.463910714128543e-14
56404743805612.34,3.642554975410544e-14,2.7116837848709254e-15,8.574052125665094e-14
62336882495470.27,4.1713493883300274e-14,3.0819383306690405e-15,9.827794378340729e-14
68892909657492.625,4.758888587730216e-14,3.490986581661436e-15,1.1221710161499647e-13
76138440215073.89,5.416326120607383e-14,3.9464668110593505e-15,1.2782307604574778e-13
84145989873340.98,6.138457250499247e-14,4.444326559857603e-15,1.4497404421713223e-13
92995700880704.36,6.938540423377176e-14,4.993650902219618e-15,1.63985082373152e-13
102776144119416.33,7.80550120921065e-14,5.586401933247568e-15,1.8459476512297144e-13
113585205552730.58,8.755092960125599e-14,6.2333815567200955e-15,2.0717741368980866e-13
125531065900522.36,9.767479372573391e-14,6.920673343541083e-15,2.312629352355567e-13
138733283348294.86,1.086161091530157e-13,7.661283737957682e-15,2.573015427370456e-13
