Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
7.38862628586566e-06,3.70564657987726e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.086098240095625e-22,1.7869199095057916e-18,3.70564657987726e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.70564657987726e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.165694895667996e-06,4.3083706285079614e-16,4.306700126544314e-16,0.0,3.7940753440836057e-22,0.0,2.1757387006246594e-22,0.0,2.5516251429793e-26,0.0,9.463339632795877e-20,0.0,1.0821127689798004e-52,7.086098240095625e-22,1.7869199095057916e-18,4.3088597758697026e-16,4.3066633703728976e-16,0.0,7.563881508366788e-22,0.0,3.3136256733891075e-22,0.0,5.971774069901505e-26,0.0,1.4585787878490333e-19,0.0,2.2879623696241695e-52,4.307696138985132e-16,4.3067491328210185e-16,0.0,5.868162003286403e-23,0.0,7.447578072544924e-23,0.0,1.9902989554443486e-27,0.0,2.412819910014875e-20,0.0,1.4947060814413014e-53
9.024488524571043e-06,5.561460805549554e-16,5.559092270694157e-16,0.0,4.968964433118117e-22,0.0,2.740743680543463e-22,0.0,3.3185789967545435e-26,0.0,1.2171299857667863e-19,0.0,1.5222590113020086e-52,7.086098240095625e-22,1.7869199095057916e-18,5.56209531277452e-16,5.5590504411776725e-16,0.0,9.89357248135459e-22,0.0,4.1779674462078166e-22,0.0,7.765827401612347e-26,0.0,1.8759579735400605e-19,0.0,3.2178930930500326e-52,5.5605861316655035e-16,5.559148057612102e-16,0.0,7.711352667366633e-23,0.0,9.305472368745851e-23,0.0,2.5887840262593766e-27,0.0,3.103248420657731e-20,0.0,2.102054202728856e-53
9.973602267863305e-06,7.142056491445595e-16,7.138646168656872e-16,0.0,6.469567160612991e-22,0.0,3.4278802586734903e-22,0.0,4.287121206711304e-26,0.0,1.5598700916276034e-19,0.0,2.129563184876048e-52,7.086098240095625e-22,1.7869199095057916e-18,7.142877186644601e-16,7.138600191248378e-16,0.0,1.28634673528464e-21,0.0,5.230045694421023e-22,0.0,1.00310645268407e-25,0.0,2.4042259839810373e-19,0.0,4.50060981210498e-52,7.14092548315976e-16,7.138707501355263e-16,0.0,1.0077375181303582e-22,0.0,1.1545675639360671e-22,0.0,3.344715496992003e-27,0.0,3.9771050554908284e-20,0.0,2.939720958074497e-53
1.1022535174895865e-05,9.116610209152273e-16,9.11159811703407e-16,0.0,8.365846438622485e-22,0.0,4.25321400780915e-22,0.0,5.496519349385464e-26,0.0,1.9902707872871944e-19,0.0,2.95959704185686e-52,7.086098240095625e-22,1.7869199095057916e-18,9.117667488794576e-16,9.111549805089891e-16,0.0,1.6608844317449718e-21,0.0,6.494804593364521e-22,0.0,1.2859151771766253e-25,0.0,3.067607289341675e-19,0.0,6.253220810042467e-52,9.115153571602004e-16,9.111662570725769e-16,0.0,1.3083295571192064e-22,0.0,1.4213448315208423e-22,0.0,4.288822748018905e-27,0.0,5.0744598177622173e-20,0.0,4.084122755280101e-53
1.21817853187608e-05,1.1554798475704459e-15,1.1547252953526999e-15,0.0,1.073362822746787e-21,0.0,5.231463356674743e-22,0.0,6.988474877677079e-26,0.0,2.5254831888930597e-19,0.0,4.081866062110461e-52,7.086098240095625e-22,1.7869199095057916e-18,1.1556153284367596e-15,1.1547205207225365e-15,0.0,2.1275611040425683e-21,0.0,7.9952077277841805e-22,0.0,1.6347416972375705e-25,0.0,3.8925376393146974e-19,0.0,8.622141669884341e-52,1.1552932423583712e-15,1.1547316645284825e-15,0.0,1.6857529563478382e-22,0.0,1.7348476700464831e-22,0.0,5.4537565692899256e-27,0.0,6.439040186364616e-20,0.0,5.630790183826982e-53
1.3462954864535291e-05,1.4523851262609251e-15,1.451224863388224e-15,0.0,1.3651996846091496e-21,0.0,6.375178088279537e-22,0.0,8.805966451662665e-26,0.0,3.1831087606362804e-19,0.0,5.581351869644802e-52,7.086098240095625e-22,1.7869199095057916e-18,1.4525575431885712e-15,1.4512205536791225e-15,0.0,2.7015246423438606e-21,0.0,9.750981238312604e-22,0.0,2.0596158126023539e-25,0.0,4.906146967768575e-19,0.0,1.178633689145009e-51,1.4521477054465698e-15,1.451230609158674e-15,0.0,2.153554544745186e-22,0.0,2.0982442968054989e-22,0.0,6.873179930292661e-27,0.0,8.115721723514887e-20,0.0,7.696483613027243e-53
1.4878866187649495e-05,1.8080818627261562e-15,1.806281679040349e-15,0.0,1.720047643061972e-21,0.0,7.694226599212417e-22,0.0,1.0992267177944482e-25,0.0,3.9797865835156136e-19,0.0,7.559841547627469e-52,7.086098240095625e-22,1.7869199095057916e-18,1.808299425886804e-15,1.8062783519584676e-15,0.0,3.397947102220529e-21,0.0,1.1777822940065333e-21,0.0,2.5706363505828212e-25,0.0,6.134081857783992e-19,0.0,1.596012395422855e-51,1.807782341249555e-15,1.8062861072329934e-15,0.0,2.725490045632393e-22,0.0,2.513769386502077e-22,0.0,8.580989646056819e-27,0.0,1.0146926328898865e-19,0.0,1.042102575808188e-52
1.6443690204529267e-05,2.226424237846286e-15,2.223657148255849e-15,0.0,2.145674270415951e-21,0.0,9.195734956234377e-22,0.0,1.3590452477668596e-25,0.0,4.929611329475572e-19,0.0,1.0137296710986531e-51,7.086098240095625e-22,1.7869199095057916e-18,2.2266960123442745e-15,2.2236553978932278e-15,0.0,4.231606617895195e-21,0.0,1.4087296946745714e-21,0.0,3.1778579806930665e-25,0.0,7.598067048440424e-19,0.0,2.139607429735925e-51,2.2260501560734633e-15,2.2236594619676574e-15,0.0,3.4150893445352604e-22,0.0,2.9827408021930006e-22,0.0,1.0610918396498462e-26,0.0,1.2568588908731735e-19,0.0,1.396919952113899e-52
1.817308819989117e-05,2.7086173057446684e-15,2.7046255115020116e-15,0.0,2.6495604330863562e-21,0.0,1.0884519814234975e-21,0.0,1.664363755382054e-25,0.0,6.042815402231988e-19,0.0,1.345371269645139e-51,7.086098240095625e-22,1.7869199095057916e-18,2.70895291552535e-15,2.7046259540217074e-15,0.0,5.216720516017622e-21,0.0,1.6687480759234981e-21,0.0,3.89134824605458e-25,0.0,9.313874111764758e-19,0.0,2.838895762743516e-51,2.708155435884598e-15,2.7046248841024243e-15,0.0,4.235421273708716e-22,0.0,3.5057320864604116e-22,0.0,1.2996707102032193e-26,0.0,1.5406797551710114e-19,0.0,1.8533327532869145e-52
