Energy,Flux Value,Flux Error,Is Upper Limit
1.455754901890549e-06,8.48e-16,3.55e-17,0.0
1.455754901890549e-06,7.81e-16,3.3e-17,0.0
5.7899342688828654e-06,2.1984e-15,6.6179e-17,0.0
5.7899342688828654e-06,2.2e-15,6.58e-17,0.0
9.512034870307564e-06,3.45e-15,0.0,0.0
3.473960561329719e-05,2.2e-14,0.0,0.0
3.473960561329719e-05,2.2e-14,0.0,0.0
3.556673908028046e-05,2.32e-14,0.0,0.0
6.203501002374499e-05,3.33e-14,1.5e-16,0.0
0.00011745295231162385,1.5093e-13,2.9903e-14,0.0
0.10330897002620998,1.1768e-13,3.0076e-14,0.0
0.10330897002620998,1.1074e-13,2.4129e-14,0.0
0.2695214402164974,1.095e-13,6.0755e-15,0.0
0.2695214402164974,9.7408e-14,8.1173e-15,0.0
0.36464178891957305,9.3676e-14,4.7838e-15,0.0
0.36464178891957305,7.7131e-14,6.0087e-15,0.0
1.9354923127408437,1.88e-13,0.0,0.0
1.9388008466087767,4.4479e-13,4.2913e-14,0.0
2.8196979889459555,8.0382e-13,7.7551e-14,0.0
3.531859904018548,1.969e-13,1.497e-14,0.0
5.335010862042068,1.11e-13,1.35e-14,0.0
5.335010862042068,6.39e-14,6.41e-15,0.0
5.541794228787886,1.679e-13,3.755e-14,0.0
6.0794309823270085,9.803e-14,2.493e-14,0.0
8.064551303086848,8.93e-14,2.52e-14,0.0
8.064551303086848,3.65e-14,1.18e-14,0.0
300.00130847483075,4.4295e-14,6.7298e-15,0.0
700.1684798013351,5.6041e-14,4.7176e-15,0.0
1000.8314950497524,2.2728e-13,7.6662e-14,0.0
1000.8314950497524,8.11e-14,1.4228e-14,0.0
1000.8314950497524,2.4958e-13,8.475e-14,0.0
1399.9233928691785,6.9804e-14,4.9496e-15,0.0
3000.0130847483074,7.5043e-14,7.738e-15,0.0
7349.080854146323,1.1466e-13,2.3652e-14,0.0
69151244.4332,3.19315780954e-12,1.04148740247e-12,1.0
91854407.4725,1.13344933142e-12,6.34765018018e-13,1.0
122011284.703,1.59046005803e-12,6.45585609225e-13,1.0
162069017.748,1.97544829668e-12,5.51143616394e-13,1.0
200166299.00995046,1.6148e-12,4.7534e-13,0.0
215278173.472,1.3493460943e-12,4.68782786933e-13,1.0
285956517.893,1.75427952772e-12,4.24932654477e-13,1.0
379835017.117,1.09610429059e-12,3.64346854944e-13,1.0
504533490.93600005,1.2465399473e-12,3.24694901575e-13,1.0
600498897.0298514,6.8184e-13,2.4556e-13,0.0
670177742.133,9.55188941253e-13,2.74817823458e-13,1.0
890204940.048,1.03913840252e-12,2.58497415302e-13,1.0
1182469642.6999998,4.78437232562e-13,2.02248049754e-13,1.0
1570688268.51,9.98470288859e-13,2.44570075222e-13,1.0
2001662990.099505,2.7583e-13,1.6372e-13,0.0
2086363613.7100003,7.69405990473e-13,2.17167181078e-13,1.0
2771341211.29,2.41033588049e-13,1.14902235881e-13,1.0
3681204972.5699997,5.17274292713e-13,2.12853120591e-13,1.0
4889787657.650001,7.82374963626e-13,2.20866661724e-13,1.0
6004988970.298514,3.2828e-13,1.6012e-13,0.0
6495087408.139999,5.62009903655e-13,1.70084794906e-13,1.0
8627401309.22,8.84463117043e-13,2.49453388894e-13,1.0
11459878152.3,1.24660400847e-12,3.65110171687e-13,1.0
15222290300.3,4.06994536529e-13,1.50453270454e-13,1.0
20219946399.600002,5.77749845354e-13,2.14390559714e-13,1.0
26858391499.5,6.93335176795e-13,2.56264932602e-13,1.0
35676315836.0,9.12843801653e-13,3.37397651722e-13,1.0
47389267955.700005,3.89441012008e-12,1.11795505679e-12,1.0
60049889702.985146,1.6318e-13,1.3211e-13,0.0
62947719369.4,1.63080602943e-12,6.02811411424e-13,1.0
83614192511.1,2.24349803985e-12,8.2973073159e-13,1.0
111064432025.0,2.90876534533e-12,1.07511322133e-12,1.0
147526486720.0,3.92219183441e-12,1.44968729531e-12,1.0
195961159271.0,5.27984446601e-12,1.95149128343e-12,1.0
260297501802.0,7.18467822863e-12,2.65553976513e-12,1.0
