Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
5637860082.304527,3.175266913856417e-30,3.175266913856417e-30,7.422579628373705e-21
6230799003.142541,3.878027173969963e-30,3.878027173969963e-30,9.065373839956562e-21
6886097854.647872,4.736282560785012e-30,4.736282560785012e-30,1.1071660258120788e-20
7610315087.979937,5.784421226515927e-30,5.784421226515927e-30,1.3521826913579643e-20
8410698912.627739,7.064429110740595e-30,7.064429110740595e-30,1.6514023249123916e-20
9295259838.92665,8.627565497094889e-30,8.627565497094889e-30,2.0168077216352242e-20
10272850849.938263,1.0536406720425479e-29,1.0536406720425479e-29,2.4630273087487005e-20
11353256005.080465,1.2867338308462472e-29,1.2867338308462472e-29,3.0079177706983314e-20
12547288362.282639,1.5713593079156162e-29,1.5713593079156162e-29,3.6732743223549924e-20
13866898198.703793,1.9188953531300052e-29,1.9188953531300052e-29,4.4856963036074895e-20
15325292613.123013,2.3432261950841642e-29,2.3432261950841642e-29,5.477641637143226e-20
16937067707.023104,2.8612911805506286e-29,2.8612911805506286e-29,6.688710745774663e-20
18718354667.28013,3.4937530127293186e-29,3.4937530127293186e-29,8.167208980231387e-20
20686981212.503563,4.265810371191918e-29,4.265810371191918e-29,9.972046703954612e-20
22862650018.83624,5.208185322881176e-29,5.208185322881176e-29,1.217504818458642e-19
25267135910.95946,6.358321995320378e-29,6.358321995320378e-29,1.4863754639856327e-19
27924503791.857235,7.761838713793899e-29,7.761838713793899e-29,1.8144820245656496e-19
30861349492.45377,9.474270712947978e-29,9.474270712947978e-29,2.214808830363216e-19
34107065951.628548,1.1563220789379578e-28,1.1563220789379578e-28,2.7031621221995315e-19
37694137390.62799,1.4110911627725552e-28,1.4110911627725552e-28,3.2987671465296767e-19
41658464426.06992,1.7217298340670692e-28,1.7217298340670692e-28,4.0249963163119974e-19
46039723375.38142,2.1003765652838236e-28,2.1003765652838236e-28,4.910234384925068e-19
50881763350.71913,2.5617613881529364e-28,2.5617613881529364e-28,5.988928263166372e-19
56233045115.62211,3.1237356655416934e-28,3.1237356655416934e-28,7.30282723638407e-19
62147126096.6214,3.80785630258189e-28,3.80785630258189e-28,8.90235194431253e-19
68683196403.96609,4.639798443175273e-28,4.639798443175273e-28,1.0847568553764897e-18
75906671226.14124,5.650105268072315e-28,5.650105268072315e-28,1.3209948930818168e-18
83889845527.06085,6.8750793300289195e-28,6.8750793300289195e-28,1.6074464815995523e-18
92712617598.36612,8.357802686848852e-28,8.357802686848852e-28,1.954198605935385e-18
102463288708.38274,1.0149580017151073e-27,1.0149580017151073e-27,2.373266843222089e-18
113239446850.89345,1.2311370773061085e-27,1.2311370773061085e-27,2.87893243148814e-18
125148943438.58043,1.4915902873266626e-27,1.4915902873266626e-27,3.4882385913753635e-18
138310972716.21323,1.804975028085935e-27,1.804975028085935e-27,4.221479828254579e-18
152857264696.71323,2.181601452544947e-27,2.181601452544947e-27,5.102832896128767e-18
168933403559.3989,2.6337555342764246e-27,2.6337555342764246e-27,6.161117330419171e-18
186700284705.38464,3.1761050897544166e-27,3.1761050897544166e-27,7.43075069523562e-18
206335725052.83478,3.825729619974021e-27,3.825729619974021e-27,8.951834232545588e-18
228036242688.44586,4.600999243453488e-27,4.600999243453488e-27,1.0767571549004265e-17
252019023686.51093,5.528614411365228e-27,5.528614411365228e-27,1.2940627363988632e-17
278524095780.14966,6.634406563517804e-27,6.634406563517804e-27,1.5531818524957655e-17
307816730639.5375,7.956090889473253e-27,7.956090889473253e-27,1.8629719655307087e-17
340190098799.9422,9.53004524803791e-27,9.53004524803791e-27,2.2320069511110626e-17
375968203810.97723,1.140908058549116e-26,1.140908058549116e-26,2.6726995677305226e-17
415509124973.0298,1.3644112997884838e-26,1.3644112997884838e-26,3.197064307445274e-17
459208601115.2525,1.6310438681083614e-26,1.6310438681083614e-26,3.822809664534545e-17
507503991282.77734,1.9478526295527666e-26,1.9478526295527666e-26,4.5665869570293933e-17
560878651973.0428,2.3254864350676703e-26,2.3254864350676703e-26,5.453458515520866e-17
619866774730.0792,2.773787555190478e-26,2.773787555190478e-26,6.506709981262885e-17
685058732513.0326,3.307219772431936e-26,3.307219772431936e-26,7.76042746087208e-17
757106988347.1675,3.939402367659876e-26,3.939402367659876e-26,9.24687833464689e-17
836732625393.1274,4.6907833854071744e-26,4.6907833854071744e-26,1.1014288928099884e-16
924732563789.5702,5.580101487632882e-26,5.580101487632882e-26,1.310712425173417e-16
1021987536497.7662,6.635301303308389e-26,6.635301303308389e-26,1.559137892036084e-16
1129470903973.1064,7.881718799438463e-26,7.881718799438463e-26,1.8527290437918816e-16
1248258395883.689,9.357849009153785e-26,9.357849009153785e-26,2.2005881961983613e-16
1379538877374.4114,1.1097936771713793e-25,1.1097936771713793e-25,2.610873581437037e-16
1524626247628.9272,1.3154838746504652e-25,1.3154838746504652e-25,3.096099738502952e-16
1684972589814.2908,1.5574653264797798e-25,1.5574653264797798e-25,3.6672721556967103e-16
1862182704017.3623,1.842948419415736e-25,1.842948419415736e-25,4.3414870243330487e-16
2058030168623.4595,2.1781152564362897e-25,2.1781152564362897e-25,5.133536235175428e-16
2274475090884.968,2.5727982925221887e-25,2.5727982925221887e-25,6.066766569344721e-16
2513683724333.533,3.035267630062867e-25,3.035267630062867e-25,7.161010234424013e-16
2778050149373.503,3.57882710791573e-25,3.57882710791573e-25,8.447906741809103e-16
3070220234043.306,4.214217330774416e-25,4.214217330774416e-25,9.953294303959995e-16
3393118114752.069,4.959096019559895e-25,4.959096019559895e-25,1.171925247887211e-15
3749975462019.6533,5.8274001855866e-25,5.8274001855866e-25,1.3779415503901678e-15
4144363824121.413,6.842585644539582e-25,6.842585644539582e-25,1.618979193570693e-15
4580230372343.763,8.0224793412355765e-25,8.0224793412355765e-25,1.899356047187718e-15
5061937405601.125,9.398008883140633e-25,9.398008883140633e-25,2.226472958181119e-15
5594306009789.654,1.0991684186803303e-24,1.0991684186803303e-24,2.6058041932113686e-15
6182664308835.343,1.2844049601586536e-24,1.2844049601586536e-24,3.0470734290991187e-15
6832900790349.1,1.4983166235949343e-24,1.4983166235949343e-24,3.557135166606976e-15
7551523239589.93,1.7461843314998416e-24,1.7461843314998416e-24,4.148683513371408e-15
8345723871567.196,2.031444408174149e-24,2.031444408174149e-24,4.830154173256588e-15
9223451313145.762,2.3609212549037585e-24,2.3609212549037585e-24,5.617990076686802e-15
10193490155575.336,2.7387112360582997e-24,2.7387112360582997e-24,6.522307321755739e-15
11265548873632.277,3.1735215090242113e-24,3.1735215090242113e-24,7.564139123627289e-15
12450356991298.258,3.6701090757165584e-24,3.6701090757165584e-24,8.755313728249903e-15
13759772466442.66,4.2395479058554926e-24,4.2395479058554926e-24,1.0122644663840987e-14
15206900369250.447,4.8871984628219405e-24,4.8871984628219405e-24,1.1679564407724842e-14
16806224042169.416,5.627047702751229e-24,5.627047702751229e-24,1.3460013707308947e-14
18573750054069.39,6.464884586238869e-24,6.464884586238869e-24,1.547863173267908e-14
20527168399363.504,7.418274234972323e-24,7.418274234972323e-24,1.7778121051492566e-14
22686029545417.98,8.493096329220956e-24,8.493096329220956e-24,2.037351844833237e-14
25071940100200.848,9.71128294800724e-24,9.71128294800724e-24,2.3318217966052987e-14
27708779058476.605,1.1078212117007732e-23,1.1078212117007732e-23,2.6626193470018426e-14
30622936790811.855,1.2621208421478321e-23,1.2621208421478321e-23,3.0364012034653486e-14
33843579167274.117,1.4344284124323936e-23,1.4344284124323936e-23,3.454239402982012e-14
37402939459262.18,1.6281154471183434e-23,1.6281154471183434e-23,3.924349250681554e-14
41336640940920.63,1.8432839502799002e-23,1.8432839502799002e-23,4.447066274111377e-14
45684053418840.65,2.084063203165589e-23,2.084063203165589e-23,5.032448389070421e-14
50488687258317.02,2.3500186670966286e-23,2.3500186670966286e-23,5.679488480359898e-14
55798628849708.56,2.6461648405428532e-23,2.6461648405428532e-23,6.400390532236815e-14
61667021873194.7,2.971171846357133e-23,2.971171846357133e-23,7.191887818595212e-14
68152599178589.61,3.3310075579414727e-23,3.3310075579414727e-23,8.068512449696359e-14
75320270603443.48,3.7224756782524904e-23,3.7224756782524904e-23,9.022483163300375e-14
83241772612513.97,4.151856940310007e-23,4.151856940310007e-23,1.0069394409967874e-13
91996386260416.33,4.6133724833174906e-23,4.6133724833174906e-23,1.1195121200652276e-13
101671730663066.17,5.1146032530689925e-23,5.1146032530689925e-23,1.2418415223216877e-13
112364639919240.78,5.646859783758922e-23,5.646859783758922e-23,1.3717658102110174e-13
124182132258786.86,6.219473344235586e-23,6.219473344235586e-23,1.511579040856934e-13
137242481117035.14,6.819722790153256e-23,6.819722790153256e-23,1.6580800196788328e-13
151676398855093.44,7.459388498993117e-23,7.459388498993117e-23,1.8141436238137622e-13
167628344973091.66,8.120378770049545e-23,8.120378770049545e-23,1.9751831733376964e-13
185257971909413.0,8.817411848626347e-23,8.817411848626347e-23,2.1447865640658638e-13
204741722895958.4,9.525723638320341e-23,9.525723638320341e-23,2.316636358333537e-13
226274597861316.53,1.0260916801502402e-22,1.0260916801502402e-22,2.494664988570401e-13
250072105055589.1,1.096902542472826e-22,1.096902542472826e-22,2.666120544729026e-13
276372417929395.06,1.1693772461859398e-22,1.1693772461859398e-22,2.84095444135831e-13
305438758853816.06,1.2379480985358264e-22,1.2379480985358264e-22,3.005561150661701e-13
337562033538358.06,1.3041986434786955e-22,1.3041986434786955e-22,3.164523756677799e-13
373063742513070.25,1.3614331697223779e-22,1.3614331697223779e-22,3.301378457709015e-13
412299198813906.8,1.4129118133346659e-22,1.4129118133346659e-22,3.424650003037632e-13
455661084075019.1,1.4513019862574702e-22,1.4513019862574702e-22,3.516024331749398e-13
503583378618533.56,1.4824304004873502e-22,1.4824304004873502e-22,3.5899454351103297e-13
556545704875481.0,1.4979567616498477e-22,1.4979567616498477e-22,3.6255416810473343e-13
615078127608294.8,1.505769456865644e-22,1.505769456865644e-22,3.6422632287547243e-13
679766458977109.1,1.4972373544793542e-22,1.4972373544793542e-22,3.61826393868409e-13
751258121544763.4,1.4806267165214355e-22,1.4806267165214355e-22,3.5745878618006453e-13
830268627899412.5,1.446877619485103e-22,1.446877619485103e-22,3.488310269737201e-13
917588741745001.6,1.405573041516713e-22,1.405573041516713e-22,3.3839205668908973e-13
1014092392130203.1,1.326318483076539e-22,1.326318483076539e-22,3.1947182445914176e-13
1120745420024065.9,1.2450389699301925e-22,1.2450389699301925e-22,2.999768613075705e-13
1238615244777074.0,1.149550566620606e-22,1.149550566620606e-22,2.770056560417698e-13
1368881547212771.2,1.052174219387644e-22,1.052174219387644e-22,2.5362454623667297e-13
1512848076269951.0,9.438704038691144e-23,9.438704038691144e-23,2.2763148578789634e-13
1671955697360241.0,8.376806203459698e-23,8.376806203459698e-23,2.0219653350821484e-13
1847796813033427.0,7.277632200064199e-23,7.277632200064199e-23,1.7584553067038012e-13
2042131300277407.5,6.274861119221713e-23,6.274861119221713e-23,1.517245525260235e-13
2256904123958597.5,5.315409983244209e-23,5.315409983244209e-23,1.2854641951819847e-13
2494264802684037.5,4.4688438968602586e-23,4.4688438968602586e-23,1.0802222411873419e-13
2756588921906095.5,3.691721782113679e-23,3.691721782113679e-23,8.913188687222905e-14
3046501909580118.5,3.002909592739785e-23,3.002909592739785e-23,7.242618380792289e-14
3366905312329872.0,2.3847368337631634e-23,2.3847368337631634e-23,5.746322582883915e-14
3721005835101378.5,1.8689907558970274e-23,1.8689907558970274e-23,4.496235832380538e-14
4112347434943830.5,1.4336241949672362e-23,1.4336241949672362e-23,3.441768128725399e-14
4544846790122915.0,1.0747024356582868e-23,1.0747024356582868e-23,2.575216278291841e-14
5022832499553300.0,7.819670141581605e-24,7.819670141581605e-24,1.8711286138854087e-14
5551088404871518.0,5.533849922699369e-24,5.533849922699369e-24,1.3226060264344429e-14
6134901468730937.0,3.792365674188417e-24,3.792365674188417e-24,9.056635607040891e-15
6780114688501006.0,2.5182830373385945e-24,2.5182830373385945e-24,6.009588526780447e-15
7493185574948850.0,1.616021723337151e-24,1.616021723337151e-24,3.853944820914188e-15
8281250781177417.0,9.961380953834179e-25,9.961380953834179e-25,2.3752330599721114e-15
9152197528648518.0,5.8807771573272e-25,5.8807771573272e-25,1.4027494505495304e-15
1.0114742545146152e+16,3.3203520782704007e-25,3.3203520782704007e-25,7.923893180290413e-16
1.1178519304717982e+16,1.7936037521850897e-25,1.7936037521850897e-25,4.2809738292314644e-16
1.235417444272154e+16,9.219777995727902e-26,9.219777995727902e-26,2.200192134004676e-16
1.3653474310929262e+16,4.4967831723415366e-26,4.4967831723415366e-26,1.0725727018016994e-16
1.5089422739131958e+16,2.0671794615607466e-26,2.0671794615607466e-26,4.9274900221611e-17
1.6676391181838012e+16,8.931772964751331e-27,8.931772964751331e-27,2.127482715455667e-17
1.8430262552620544e+16,3.613838739385907e-27,3.613838739385907e-27,8.59907355132978e-18
2.0368590185654904e+16,1.3661345659104564e-27,1.3661345659104564e-27,3.2467357852708494e-18
2.251077351538685e+16,4.7988444436372615e-28,4.7988444436372615e-28,1.1389758090765157e-18
2.487825223259305e+16,1.5630733310223068e-28,1.5630733310223068e-28,3.7050471313979383e-19
2.749472086001238e+16,4.6912813960100876e-29,4.6912813960100876e-29,1.1107204405123021e-19
3.038636589509353e+16,1.2927079199385583e-29,1.2927079199385583e-29,3.0577858627262903e-20
3.358212789326311e+16,3.245007329239228e-30,3.245007329239228e-30,7.670472144130976e-21
3.71139911147314e+16,7.3684249229502705e-31,7.3684249229502705e-31,1.740768901122859e-21
4.101730363371911e+16,1.4993688228004646e-31,1.4993688228004646e-31,3.5402560163908374e-22
4.533113111386493e+16,2.7052367927190193e-32,2.7052367927190193e-32,6.382483056113857e-23
5.009864779051764e+16,4.282938626188519e-33,4.282938626188519e-33,1.0092616670434894e-23
5.536756857299498e+16,5.869451482515702e-34,5.869451482515702e-34,1.380729030852301e-24
6.11906265914331e+16,6.873672427641059e-35,6.873672427641059e-35,1.6133413189060851e-25
6.762610096767835e+16,6.742952913298042e-36,6.742952913298042e-36,1.5786213663007674e-26
7.473840009232563e+16,5.430917830239046e-37,5.430917830239046e-37,1.2681099411957848e-27
8.259870624554042e+16,3.4803278944018155e-38,3.4803278944018155e-38,8.106859625656691e-29
9.128568801324475e+16,1.723345472129248e-39,1.723345472129248e-39,4.0059621349074625e-30
1.0088628762876464e+17,6.321709979943197e-41,6.321709979943197e-41,1.4671188402084462e-31
1.1149659111992581e+17,1.6577870211054274e-42,1.6577870211054274e-42,3.8426369896085496e-33
1.232227899703137e+17,2.958071221011411e-44,2.958071221011411e-44,6.850690557146867e-35
1.36182243919334e+17,3.447783932722935e-46,3.447783932722935e-46,7.980083319156456e-37
1.5050465553793235e+17,2.4813146528056417e-48,2.4813146528056417e-48,5.740943416724114e-39
1.6633336833551546e+17,1.051017909677009e-50,1.051017909677009e-50,2.431133067619669e-41
1.8382680138997674e+17,2.4550113905859374e-53,2.4550113905859374e-53,5.678064003105549e-44
2.031600348590706e+17,2.9841926089735305e-56,2.9841926089735305e-56,6.901741226693293e-47
2.2452656224147917e+17,1.7491223417320441e-59,1.7491223417320441e-59,4.0454052773118475e-50
2.4814022692478493e+17,4.6045305597784147e-63,4.6045305597784147e-63,1.065016424905635e-53
2.742373624019635e+17,4.971944292166111e-67,4.971944292166111e-67,1.1501119352793758e-57
3.0307915757642246e+17,2.0173793570086725e-71,2.0173793570086725e-71,4.667225216178634e-62
3.349542708283292e+17,2.7584435601438245e-76,2.7584435601438245e-76,6.382685993435869e-67
3.701817190047029e+17,1.140614522545007e-81,1.140614522545007e-81,2.639740019086668e-72
4.0911407024724954e+17,1.2505279468829441e-87,1.2505279468829441e-87,2.894737659358675e-78
4.521409726128168e+17,3.1805796079957506e-94,3.1805796079957506e-94,7.36431219245748e-85
4.9969305380212365e+17,1.6003185092442636e-101,1.6003185092442636e-101,3.706411842778411e-92
5.5224623102651776e+17,1.3512382000862453e-109,1.3512382000862453e-109,3.130541264034947e-100
6.103264741473916e+17,1.5782108248159704e-118,1.5782108248159704e-118,3.6576716325339157e-109
6.745150697593467e+17,2.0827825004513756e-128,2.0827825004513756e-128,4.829003287919838e-119
7.454544389017952e+17,2.4559801849938576e-139,2.4559801849938576e-139,5.6967232521223265e-130
8.238545666246648e+17,2.018516029643578e-151,2.018516029643578e-151,4.684291339029363e-142
9.105001077573969e+17,8.691479530526327e-165,8.691479530526327e-165,2.0180441441748514e-155
1.0062582399982163e+18,1.4457850853612363e-179,1.4457850853612363e-179,3.358876385346308e-170
1.1120873429200156e+18,6.564089309160301e-196,6.564089309160301e-196,1.5259245238008053e-186
1.229046589755223e+18,5.599826610805047e-214,5.599826610805047e-214,1.3026662567039888e-204
1.358306547957521e+18,5.879397417228476e-234,5.879397417228476e-234,1.3686976350591527e-224
1.501160894634379e+18,4.809506565921751e-256,4.809506565921751e-256,1.1205388973046283e-246
