Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
5.414810372653214e-06,3.158468268914391e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8363185440890323e-21,1.108762283422668e-18,3.158468268914391e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.158468268914391e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.984290950750679e-06,6.841973036819157e-24,4.183501140837587e-24,0.0,6.814492321677508e-37,0.0,2.0964913121189426e-24,0.0,7.155129493248408e-40,0.0,2.6357147128133016e-38,0.0,2.3657807487973036e-66,2.8363185440890323e-21,1.108762283422668e-18,6.022899299313214e-24,3.257918544817737e-24,0.0,1.2363485318708635e-27,0.0,2.2159786861398e-24,0.0,1.3541130340240934e-30,0.0,4.0646556370431255e-29,0.0,4.1828333027835623e-57,6.841973036819157e-24,4.183501140837587e-24,0.0,6.814492321677508e-37,0.0,2.0964913121189426e-24,0.0,7.155129493248408e-40,0.0,2.6357147128133016e-38,0.0,2.3657807487973036e-66
6.613664324072928e-06,9.681541492697797e-24,6.0073761323225415e-24,0.0,9.784305958939355e-37,0.0,2.904871647792135e-24,0.0,1.0276645793036972e-39,0.0,3.757602191984604e-38,0.0,3.632849884223081e-66,2.8363185440890323e-21,1.108762283422668e-18,8.503664080590308e-24,4.677391595781947e-24,0.0,1.774872714862035e-27,0.0,3.0752322214774876e-24,0.0,1.944534246331108e-30,0.0,5.79389687804955e-29,0.0,6.422115642557325e-57,9.681541492697797e-24,6.0073761323225415e-24,0.0,9.784305958939355e-37,0.0,2.904871647792135e-24,0.0,1.0276645793036972e-39,0.0,3.757602191984604e-38,0.0,3.632849884223081e-66
7.3092294728798195e-06,1.3724229565095613e-23,8.640928930646698e-24,0.0,1.4072041354563889e-36,0.0,4.029219907447401e-24,0.0,1.4785028138799118e-39,0.0,5.363315844993388e-38,0.0,5.588087891242284e-66,2.8363185440890323e-21,1.108762283422668e-18,1.202757079580223e-23,6.726658260443078e-24,0.0,2.5522674582342945e-27,0.0,4.272492934771752e-24,0.0,2.797146257953495e-30,0.0,8.268571858841932e-29,0.0,9.87713682830994e-57,1.3724229565095613e-23,8.640928930646698e-24,0.0,1.4072041354563889e-36,0.0,4.029219907447401e-24,0.0,1.4785028138799118e-39,0.0,5.363315844993388e-38,0.0,5.588087891242284e-66
8.077947846968183e-06,1.9488717215271475e-23,1.2448683202309093e-23,0.0,2.0270838170930083e-36,0.0,5.594333901416079e-24,0.0,2.1305264680600942e-39,0.0,7.66316675205674e-38,0.0,8.609528457066832e-66,2.8363185440890323e-21,1.108762283422668e-18,1.704103504384438e-23,9.689137529788278e-24,0.0,3.6760053284378546e-27,0.0,5.942244204763278e-24,0.0,4.030065743812564e-30,0.0,1.1812627935702386e-28,0.0,1.5215573519609229e-56,1.9488717215271475e-23,1.2448683202309093e-23,0.0,2.0270838170930083e-36,0.0,5.594333901416079e-24,0.0,2.1305264680600942e-39,0.0,7.66316675205674e-38,0.0,8.609528457066832e-66
8.927513038201041e-06,2.772041124015844e-23,1.796095375425577e-23,0.0,2.924352760736225e-36,0.0,7.774664792715557e-24,0.0,3.074693390462122e-39,0.0,1.0959126268148633e-37,0.0,1.328471973222494e-65,2.8363185440890323e-21,1.108762283422668e-18,2.4184280346399799e-23,1.397713443271778e-23,0.0,5.302425105356406e-27,0.0,8.272929687783314e-24,0.0,5.815192777939086e-30,0.0,1.6891213335173022e-28,0.0,2.347513111216917e-56,2.772041124015844e-23,1.796095375425577e-23,0.0,2.924352760736225e-36,0.0,7.774664792715557e-24,0.0,3.074693390462122e-39,0.0,1.0959126268148633e-37,0.0,1.328471973222494e-65
9.866427780560937e-06,3.949145133355564e-23,2.5949660611869883e-23,0.0,4.224593289554008e-36,0.0,1.0814120110281393e-23,0.0,4.4434531591027654e-39,0.0,1.5684613778661415e-37,0.0,2.0527525548822217e-65,2.8363185440890323e-21,1.108762283422668e-18,3.43763091364075e-23,2.0190798656870644e-23,0.0,7.659084458936464e-27,0.0,1.1528687914133026e-23,0.0,8.402852631891758e-30,0.0,2.417201253511186e-28,0.0,3.626989504594522e-56,3.949145133355564e-23,2.5949660611869883e-23,0.0,4.224593289554008e-36,0.0,1.0814120110281393e-23,0.0,4.4434531591027654e-39,0.0,1.5684613778661415e-37,0.0,2.0527525548822217e-65
1.0904089048369621e-05,5.634496796304047e-23,3.753880849318145e-23,0.0,6.110654298496449e-36,0.0,1.5053732328745824e-23,0.0,6.429749477364385e-39,0.0,2.2461347543415645e-37,0.0,3.176019979567214e-65,2.8363185440890323e-21,1.108762283422668e-18,4.893728801956474e-23,2.920407180796386e-23,0.0,1.1077345769897072e-26,0.0,1.607982278219442e-23,0.0,1.2157739361005504e-29,0.0,3.4612930032460173e-28,0.0,5.61120971546826e-56,5.634496796304047e-23,3.753880849318145e-23,0.0,6.110654298496449e-36,0.0,1.5053732328745824e-23,0.0,6.429749477364385e-39,0.0,2.2461347543415645e-37,0.0,3.176019979567214e-65
1.2050882104365243e-05,8.050311051210287e-23,5.436538705032227e-23,0.0,8.848818335138067e-36,0.0,2.0970280868865173e-23,0.0,9.314711529900666e-39,0.0,3.2180421263406884e-37,0.0,4.919716399894494e-65,2.8363185440890323e-21,1.108762283422668e-18,6.976479408608395e-23,4.228991784751454e-23,0.0,1.6039858286318525e-26,0.0,2.244549023089772e-23,0.0,1.7611322105532315e-29,0.0,4.958721936830428e-28,0.0,8.69138161930257e-56,8.050311051210287e-23,5.436538705032227e-23,0.0,8.848818335138067e-36,0.0,2.0970280868865173e-23,0.0,9.314711529900666e-39,0.0,3.2180421263406884e-37,0.0,4.919716399894494e-65
1.3318284438902748e-05,1.151668661944157e-22,7.881350542675183e-23,0.0,1.2826879123377914e-35,0.0,2.9230137225122945e-23,0.0,1.3507975220887454e-38,0.0,4.611767220312831e-37,0.0,7.628713082194484e-65,2.8363185440890323e-21,1.108762283422668e-18,9.958752387791e-23,6.1302661730404e-23,0.0,2.3249698841112242e-26,0.0,3.135343926140153e-23,0.0,2.553820374576528e-29,0.0,7.106167912398547e-28,0.0,1.3476902650261703e-55,1.151668661944157e-22,7.881350542675183e-23,0.0,1.2826879123377914e-35,0.0,2.9230137225122945e-23,0.0,1.3507975220887454e-38,0.0,4.611767220312831e-37,0.0,7.628713082194484e-65
1.4718980640534785e-05,1.6494780394776604e-22,1.1435471390396671e-22,0.0,1.8609490271370103e-35,0.0,4.07642165955049e-23,0.0,1.9606332176955472e-38,0.0,6.609742389372369e-37,0.0,1.1840151234308697e-64,2.8363185440890323e-21,1.108762283422668e-18,1.4233026593434684e-22,8.89432227227087e-23,0.0,3.3730956108522535e-26,0.0,4.382351307369886e-23,0.0,3.706727802191939e-29,0.0,1.0184981733687984e-27,0.0,2.0917207094119305e-55,1.6494780394776604e-22,1.1435471390396671e-22,0.0,1.8609490271370103e-35,0.0,4.07642165955049e-23,0.0,1.9606332176955472e-38,0.0,6.609742389372369e-37,0.0,1.1840151234308697e-64
1.6266989347637472e-05,2.3648909473685557e-22,1.660419909754183e-22,0.0,2.7018510440438467e-35,0.0,5.687211581116855e-23,0.0,2.847892457653615e-38,0.0,9.472421918206373e-37,0.0,1.8390541069082187e-64,2.8363185440890323e-21,1.108762283422668e-18,2.0363844688858714e-22,1.2914446248586185e-22,0.0,4.8974886236021646e-26,0.0,6.12841781673336e-23,0.0,5.3843357996609e-29,0.0,1.4597056458182778e-27,0.0,3.2491479626695026e-55,2.3648909473685557e-22,1.660419909754183e-22,0.0,2.7018510440438467e-35,0.0,5.687211581116855e-23,0.0,2.847892457653615e-38,0.0,9.472421918206373e-37,0.0,1.8390541069082187e-64
