Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
3.8003505193469767e-06,1.5540119643505015e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5540119643505015e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5540119643505015e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111476484423808e-19,1.7581052924681012e-16
4.200036872475953e-06,1.8349514760677797e-19,1.5035670201353917e-19,0.0,2.0129521981946575e-31,0.0,2.914108532914285e-20,0.0,1.303301373445366e-34,0.0,2.2594277056188447e-34,0.0,6.449885051486836e-64,1.8188104756649015e-19,1.4791837436262676e-19,0.0,6.773237414728228e-24,0.0,2.98740636229983e-20,0.0,4.402424727314647e-27,0.0,7.539427126884854e-27,0.0,2.1792910924186323e-56,1.8349514760677797e-19,1.5035670201353917e-19,0.0,2.0129521981946575e-31,0.0,2.914108532914285e-20,0.0,1.303301373445366e-34,0.0,2.2594277056188447e-34,0.0,6.449885051486836e-64,1.1111476484423808e-19,1.7581052924681012e-16
4.641758606305828e-06,2.5228377549745142e-19,2.078860579363414e-19,0.0,2.789712396790414e-31,0.0,3.898073855337067e-20,0.0,1.8070535007949512e-34,0.0,3.141623782340882e-34,0.0,9.62265035504066e-64,2.501221301514091e-19,2.045851683793068e-19,0.0,9.390317169817722e-24,0.0,3.9994342824809426e-20,0.0,6.1062855475061905e-27,0.0,1.0487219729351478e-26,0.0,3.2525521489158794e-56,2.5228377549745142e-19,2.078860579363414e-19,0.0,2.789712396790414e-31,0.0,3.898073855337067e-20,0.0,1.8070535007949512e-34,0.0,3.141623782340882e-34,0.0,9.62265035504066e-64,1.1111476484423808e-19,1.7581052924681012e-16
5.129936620416539e-06,3.4661193340605336e-19,2.871957639428531e-19,0.0,3.863691226320927e-31,0.0,5.208888130118533e-20,0.0,2.50395882137741e-34,0.0,4.366405516161079e-34,0.0,1.4353829414164604e-63,3.4372333692634404e-19,2.827343277140376e-19,0.0,1.3010202329363787e-23,0.0,5.348907756511272e-20,0.0,8.464380411870076e-27,0.0,1.4581422953316728e-26,0.0,4.853633644731321e-56,3.4661193340605336e-19,2.871957639428531e-19,0.0,3.863691226320927e-31,0.0,5.208888130118533e-20,0.0,2.50395882137741e-34,0.0,4.366405516161079e-34,0.0,1.4353829414164604e-63,1.1111476484423808e-19,1.7581052924681012e-16
5.669456764455639e-06,4.758332217950762e-19,3.96410757900812e-19,0.0,5.347246202367225e-31,0.0,6.95306269429376e-20,0.0,3.4672233198785258e-34,0.0,6.065709274173186e-34,0.0,2.140686068255347e-63,4.719817662466753e-19,3.903905670713211e-19,0.0,1.8012534655868368e-23,0.0,7.146263612192926e-20,0.0,1.1725030014397375e-26,0.0,2.0264217743927113e-26,0.0,7.241434497619695e-56,4.758332217950762e-19,3.96410757900812e-19,0.0,5.347246202367225e-31,0.0,6.95306269429376e-20,0.0,3.4672233198785258e-34,0.0,6.065709274173186e-34,0.0,2.140686068255347e-63,1.1111476484423808e-19,1.7581052924681012e-16
6.265718737363639e-06,6.526754159250274e-19,5.466373344051376e-19,0.0,7.394647595299878e-31,0.0,9.271189954347704e-20,0.0,4.797448420737602e-34,0.0,8.421846161884073e-34,0.0,3.191830049265374e-63,6.475515441914889e-19,5.385270565010681e-19,0.0,2.4918775475465964e-23,0.0,9.53744313293095e-20,0.0,1.6229615941687267e-26,0.0,2.814687037884327e-26,0.0,1.080154650699483e-55,6.526754159250274e-19,5.466373344051376e-19,0.0,7.394647595299878e-31,0.0,9.271189954347704e-20,0.0,4.797448420737602e-34,0.0,8.421846161884073e-34,0.0,3.191830049265374e-63,1.1111476484423808e-19,1.7581052924681012e-16
6.9246901293759455e-06,8.944427250795448e-19,7.530419925317243e-19,0.0,1.0217549570919686e-30,0.0,1.23487275376387e-19,0.0,6.632782721292144e-34,0.0,1.1686636700932113e-33,0.0,4.7580165235066215e-63,8.876409869197046e-19,7.421336051853294e-19,0.0,3.4444623004724493e-23,0.0,1.2715182978381603e-19,0.0,2.244711072723766e-26,0.0,3.907404941728922e-26,0.0,1.610824386818192e-55,8.944427250795448e-19,7.530419925317243e-19,0.0,1.0217549570919686e-30,0.0,1.23487275376387e-19,0.0,6.632782721292144e-34,0.0,1.1686636700932113e-33,0.0,4.7580165235066215e-63,1.1111476484423808e-19,1.7581052924681012e-16
7.6529661476718e-06,1.2246449530582244e-18,1.0363186204114428e-18,0.0,1.4106158333443797e-30,0.0,1.643020815927503e-19,0.0,9.162828859338449e-34,0.0,1.6207834782779785e-33,0.0,7.091177773791937e-63,1.2156351311687036e-18,1.0216696970421356e-18,0.0,4.7571752350342625e-23,0.0,1.69339109280788e-19,0.0,3.102139458501949e-26,0.0,5.421267378102182e-26,0.0,2.4016934397321595e-55,1.2246449530582244e-18,1.0363186204114428e-18,0.0,1.4106158333443797e-30,0.0,1.643020815927503e-19,0.0,9.162828859338449e-34,0.0,1.6207834782779785e-33,0.0,7.091177773791937e-63,1.1111476484423808e-19,1.7581052924681012e-16
8.457835623424277e-06,1.6752068321020137e-18,1.4246850790756664e-18,0.0,1.945821659131164e-30,0.0,2.1837989188298686e-19,0.0,1.2647709310136167e-33,0.0,2.2465657452062562e-33,0.0,1.056655223062761e-62,1.663296422779064e-18,1.4050422663631453e-18,0.0,6.564607233438612e-23,0.0,2.2529424406544085e-19,0.0,4.283614299129975e-26,0.0,7.517478021418087e-26,0.0,3.580219973661858e-55,1.6752068321020137e-18,1.4246850790756664e-18,0.0,1.945821659131164e-30,0.0,2.1837989188298686e-19,0.0,1.2647709310136167e-33,0.0,2.2465657452062562e-33,0.0,1.056655223062761e-62,1.1111476484423808e-19,1.7581052924681012e-16
9.34735396087274e-06,2.289467360220065e-18,1.9566028095706605e-18,0.0,2.6818730982414076e-30,0.0,2.899703260097507e-19,0.0,1.744423226077632e-33,0.0,3.112335322387603e-33,0.0,1.5743333186759784e-62,2.2737527524784775e-18,1.9303002519016142e-18,0.0,9.051243561981693e-23,0.0,2.994492998283343e-19,0.0,5.910390186244009e-26,0.0,1.0418766157620252e-25,0.0,5.336419577547464e-55,2.289467360220065e-18,1.9566028095706605e-18,0.0,2.6818730982414076e-30,0.0,2.899703260097507e-19,0.0,1.744423226077632e-33,0.0,3.112335322387603e-33,0.0,1.5743333186759784e-62,1.1111476484423808e-19,1.7581052924681012e-16
1.0330423758515783e-05,3.1262571476838248e-18,2.6844859029370687e-18,0.0,3.6934493235103406e-30,0.0,3.8467714984460255e-19,0.0,2.4041847888565052e-33,0.0,4.309731329693345e-33,0.0,2.3455473119829243e-62,3.1055599933302386e-18,2.6493102241228407e-18,0.0,1.2469955783727028e-22,0.0,3.9765563505735495e-19,0.0,8.148852254706314e-26,0.0,1.4432982764914035e-25,0.0,7.95377803216783e-55,3.1262571476838248e-18,2.6844859029370687e-18,0.0,3.6934493235103406e-30,0.0,3.8467714984460255e-19,0.0,2.4041847888565052e-33,0.0,4.309731329693345e-33,0.0,2.3455473119829243e-62,1.1111476484423808e-19,1.7581052924681012e-16
