Energy,Flux Value,Flux Error,Is Upper Limit
5.789934268882866e-08,1.5148e-14,2.576e-15,0.0
6.617067735866132e-08,9.84e-15,1.472e-15,0.0
8.271334669832664e-08,1.698e-14,2.54e-15,0.0
1.0339168337290831e-07,1.5075e-14,2.25e-15,0.0
1.5715535872682064e-07,1.82e-14,4.97e-15,0.0
1.5715535872682064e-07,1.8206e-14,4.9666e-15,0.0
3.0521224931682534e-07,2.26e-14,2.26e-15,0.0
3.060393827838086e-07,2.2666e-14,2.2644e-15,0.0
3.308533867933066e-07,2.64e-14,0.0,0.0
3.308533867933066e-07,2.8e-14,4e-15,0.0
3.308533867933066e-07,2.64e-14,0.0,0.0
3.308533867933066e-07,2.8e-14,4e-15,0.0
5.996717635628682e-07,3.38e-14,0.0,0.0
6.244857675723662e-07,3.33e-14,0.0,0.0
6.617067735866132e-07,3.216e-14,4.8e-15,0.0
6.617067735866132e-07,3.33e-14,0.0,0.0
6.617067735866132e-07,3.22e-14,4.8e-15,0.0
7.361487856151071e-07,3.72e-14,0.0,0.0
7.361487856151071e-07,4.13e-14,4.98e-15,0.0
7.361487856151071e-07,4.1296e-14,4.984e-15,0.0
7.361487856151071e-07,3.72e-14,2.98e-15,0.0
1.5095185772444614e-06,5.5736e-14,4.38e-15,0.0
1.5095185772444614e-06,5.64e-14,1.27e-15,0.0
1.5095185772444614e-06,5.57e-14,4.38e-15,0.0
1.5880962566078716e-06,5.8291e-14,0.0,0.0
1.6873522726458637e-06,5.508e-14,0.0,0.0
1.6873522726458637e-06,5.92e-14,0.0,0.0
1.6873522726458637e-06,5.9e-14,2.57e-15,0.0
1.9354923127408434e-06,6.27e-14,1.54e-15,0.0
1.9354923127408434e-06,6.2712e-14,1.5444e-15,0.0
2.626148757671871e-06,7.8168e-14,1.905e-15,0.0
2.626148757671871e-06,9.08e-14,0.0,0.0
2.626148757671871e-06,7.82e-14,1.91e-15,0.0
3.1017505011872493e-06,8.59e-14,1.42e-15,0.0
3.1017505011872493e-06,8.115e-14,0.0,0.0
3.1017505011872493e-06,8.11e-14,1.35e-15,0.0
3.1017505011872493e-06,8.595e-14,1.425e-15,0.0
3.970240641519679e-06,1.08e-13,1.92e-15,0.0
3.970240641519679e-06,1.0819e-13,1.92e-15,0.0
5.7899342688828654e-06,1.2138e-13,0.0,0.0
5.7899342688828654e-06,1.3597e-13,4.079e-15,0.0
5.7899342688828654e-06,1.5207e-13,0.0,0.0
5.7899342688828654e-06,1.26e-13,3.08e-15,0.0
5.7899342688828654e-06,1.21e-13,2.94e-15,0.0
5.7899342688828654e-06,1.36e-13,4.08e-15,0.0
5.7899342688828654e-06,1.4991e-13,1.6184e-17,0.0
5.7899342688828654e-06,1.52e-13,0.0,0.0
5.7899342688828654e-06,1.26e-13,3.08e-15,0.0
5.7899342688828654e-06,1.07e-13,0.0,0.0
5.8312909422320285e-06,1.62e-13,4.51e-15,0.0
5.8312909422320285e-06,1.4664e-13,0.0,0.0
5.8312909422320285e-06,1.6187e-13,4.512e-15,0.0
5.8312909422320285e-06,1.64e-13,0.0,0.0
5.8519692789066105e-06,1.49e-13,0.0,0.0
9.305251503561748e-06,2.1e-13,0.0,0.0
1.033916833729083e-05,2.42e-13,0.0,0.0
1.0918161764179118e-05,2.68e-13,0.0,0.0
1.095951843752828e-05,2.968e-13,0.0,0.0
1.1145623467599516e-05,3.2583e-13,3.234e-15,0.0
1.1166301804274097e-05,3.4e-13,4.32e-15,0.0
1.1166301804274097e-05,3.54e-13,1.08e-14,0.0
1.1166301804274097e-05,3.26e-13,3.23e-15,0.0
1.1166301804274097e-05,3.24e-13,0.0,0.0
1.1166301804274097e-05,3.24e-13,9.72e-15,0.0
1.1166301804274097e-05,3.24e-13,0.0,0.0
1.1166301804274097e-05,3.24e-13,9.72e-15,0.0
1.1166301804274097e-05,3.537e-13,1.08e-14,0.0
1.1166301804274097e-05,3.3993e-13,4.32e-15,0.0
1.9851203207598396e-05,5.04e-13,9.6e-15,0.0
1.9851203207598396e-05,7.06e-13,0.0,0.0
2.0057986574344214e-05,5.6e-13,0.0,0.0
2.0057986574344214e-05,5.43e-13,4.8e-15,0.0
2.0057986574344214e-05,5.4281e-13,4.8015e-15,0.0
2.067833667458166e-05,6.5e-13,0.0,0.0
2.067833667458166e-05,5.2e-13,1.15e-14,0.0
2.067833667458166e-05,6.7e-13,2e-14,0.0
2.067833667458166e-05,6.5e-13,0.0,0.0
2.067833667458166e-05,6.695e-13,2e-14,0.0
2.067833667458166e-05,5.51e-13,8e-15,0.0
2.067833667458166e-05,5.15e-13,8e-15,0.0
2.071555768059591e-05,8.3049e-13,2.5045e-14,0.0
2.071555768059591e-05,7.4584e-13,1.5528e-14,0.0
2.0719693347930826e-05,7.46e-13,1.55e-14,0.0
2.0719693347930826e-05,8.3e-13,2.5e-14,0.0
2.7295404410447793e-05,9.306e-13,1.914e-14,0.0
2.7295404410447793e-05,8.052e-13,1.716e-14,0.0
3.2175491865649064e-05,1.0791e-12,2.1006e-14,0.0
3.256838026246612e-05,8.8436e-13,1.1813e-14,0.0
3.308533867933066e-05,9.35e-13,8e-15,0.0
3.308533867933066e-05,9.36e-13,1.6e-14,0.0
