Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
8742857142.857143,3.204081084536163e-21,2.2399818407257806e-21,4.2388909023629985e-21
9662351455.175663,3.9132025118221425e-21,2.735719674461093e-21,5.1770519580689585e-21
10678549828.486057,4.7792200084552646e-21,3.341137298474161e-21,6.3227918725722725e-21
11801622717.664486,5.8368288089151315e-21,4.080487051929948e-21,7.722016367107845e-21
13042810213.66368,7.128388608229065e-21,4.983378105356176e-21,9.430773242452996e-21
14414534538.121122,8.705613308318886e-21,6.0859571555193965e-21,1.1517488832362993e-20
15930524369.128452,1.063163180377628e-20,7.432348251025458e-21,1.4065695751048563e-20
17605952242.45617,1.2983500618056861e-20,9.076408129098319e-21,1.7177359028080258e-20
19457586403.391293,1.585526650444862e-20,1.1083865490556294e-20,2.0976930696125913e-20
21503958628.97219,1.9361698001241793e-20,1.353492716144153e-20,2.56162906295075e-20
23765549700.24194,2.3642830054775038e-20,1.6527451549984224e-20,3.1280764836468344e-20
26264994380.78882,2.8869495976560164e-20,2.0180810737369525e-20,3.819645253819206e-20
29027307953.068108,3.525005706507949e-20,2.464058753798141e-20,4.66391414236685e-20
32080136579.756824,4.3038583183440085e-20,3.0084283589315767e-20,5.694514779881856e-20
35454033995.84202,5.254478851213336e-20,3.6728249692483865e-20,6.952448643204558e-20
39182767300.66994,6.414608672171716e-20,4.4836090954794795e-20,8.487685532158429e-20
43303654910.425865,7.830218382010192e-20,5.472883540171764e-20,1.0361099468611788e-19
47857940053.38639,9.557255214798916e-20,6.679709404555549e-20,1.2646789396146032e-19
52891203546.01034,1.1663804775081853e-19,8.151611847163298e-20,1.5434947894549392e-19
58453819981.0702,1.423264759088615e-19,9.946356952536427e-20,1.883526005680458e-19
64601461893.50797,1.7364377138317455e-19,1.2134118709182438e-19,2.298104903308538e-19
71395656949.87718,2.1181094420319164e-19,1.4800041352510081e-19,2.80341966390104e-19
78904403737.90976,2.583088749478071e-19,1.8047344581811222e-19,3.419111182346678e-19
87202852319.2373,3.1493107632854327e-19,2.2000971638033397e-19,4.168977550763326e-19
96374056356.46661,3.8384083454307936e-19,2.6811501674211747e-19,5.081743175784121e-19
106509804342.15038,4.676061958337049e-19,3.265733792675216e-19,6.191562796765312e-19
117711538248.87193,5.692717664324081e-19,3.974954617607544e-19,7.53900028971937e-19
130091368794.60252,6.924455528178031e-19,4.833770709117957e-19,9.1722124462212e-19
143773197484.44855,8.413962753757477e-19,5.871641141311408e-19,1.1148285581875802e-18
158893956658.5594,1.0211981642085619e-18,7.123513558661449e-19,1.353519057497691e-18
175604979957.0122,1.2378685021654913e-18,8.630737569161689e-19,1.641367942356041e-18
194073516917.7469,1.4985811919646248e-18,1.0442521281114875e-18,1.9880168950195166e-18
214484406866.15607,1.811869426055251e-18,1.261727736552719e-18,2.404953509408018e-18
237041928849.18045,2.1878922081848304e-18,1.5224410570898307e-18,2.905875981151735e-18
261971846128.67114,2.638758247416614e-18,1.834648997743246e-18,3.5071363093342316e-18
289523665695.99567,3.17893686191511e-18,2.2082019342184188e-18,4.2283002366314165e-18
319973135421.8704,3.8252209042374e-18,2.654480958293032e-18,5.0921570086479516e-18
353625003833.7321,4.595331468393655e-18,3.1853164762847353e-18,6.123042628069948e-18
390816070141.4302,5.516063871630028e-18,3.819003143414348e-18,7.357105585198587e-18
431918555036.9211,6.612516773349424e-18,4.572219820821213e-18,8.828935757733695e-18
477343826004.0611,7.922556657563914e-18,5.470717473737284e-18,1.0589781075861125e-17
527546514422.65063,9.48186401350711e-18,6.538111368336044e-18,1.2688967291056115e-17
583029065672.0885,1.1343482820230924e-17,7.810299628011476e-18,1.5198561476130528e-17
644346767773.6089,1.355785366423714e-17,9.320513525603143e-18,1.818853832271714e-17
712113308899.4358,1.6200976388309432e-17,1.1120057655872836e-17,2.1762359558036966e-17
787006919370.2765,1.9343356239812314e-17,1.3255107032540083e-17,2.6018274237443996e-17
869777159612.336,2.3092949642087957e-17,1.5798301828723194e-17,3.110362632341319e-17
961252422009.9943,2.754957360974987e-17,1.881475449733396e-17,3.7157924541649615e-17
1062348221735.2258,3.2859758198975936e-17,2.2402252189488798e-17,4.438244969782699e-17
1174076359531.1506,3.916352281469565e-17,2.6651680263490305e-17,5.297362021468695e-17
1297555048153.9556,4.6669646249337694e-17,3.17020051986107e-17,6.321880328258893e-17
1434020103821.999,5.557361373960926e-17,3.767944385397793e-17,7.539329512839543e-17
1584837314679.8936,6.616181913725335e-17,4.47732940551029e-17,8.989341771425969e-17
1751516110065.323,7.870242392874109e-17,5.31553732203374e-17,1.0709892767657738e-16
1935724667385.1794,9.359268914587637e-17,6.308682187494208e-17,1.2756186303258914e-16
2139306607795.7554,1.112012496513405e-16,7.480219953620712e-17,1.5180687312807312e-16
2364299447782.9355,1.3207797611140654e-16,8.866097628671265e-17,1.806012384841984e-16
2612954991312.013,1.5672845343243696e-16,1.0498268450461151e-16,2.146679783963143e-16
2887761866638.645,1.8590935258910585e-16,1.2425901971945764e-16,2.5506767592607478e-16
3191470433336.8755,2.2031258077167873e-16,1.4692448369141363e-16,3.027942526198477e-16
3527120308822.1987,2.609805131418988e-16,1.7365274822568857e-16,3.593146189736985e-16
3898070789864.293,3.088589624487515e-16,2.05034424802493e-16,4.259927583774265e-16
4308034473558.184,3.653733647260251e-16,2.4198519151429645e-16,5.048435306709868e-16
4761114414243.841,4.3178008444003085e-16,2.8528164719713034e-16,5.976914455839775e-16
5261845188253.0625,5.099908034913366e-16,3.3614121158848927e-16,7.072556211318881e-16
5815238277473.563,6.016767977470756e-16,3.955879935831825e-16,8.359774137894933e-16
6426832225944.109,7.094089815914477e-16,4.652467658952843e-16,9.87533518764395e-16
7102748071464.808,8.353834687266526e-16,5.46450083791206e-16,1.1651529758692335e-15
7849750607000.801,9.830356053194894e-16,6.413517020175603e-16,1.373776374011e-15
8675316085003.944,1.1552206415126133e-15,7.516662593857115e-16,1.6176304437504194e-15
9587707042260.238,1.3565071786061608e-15,8.80235330067496e-16,1.903321769023627e-15
10596054994135.107,1.5905681902385498e-15,1.0292415236374178e-15,2.2363244687287787e-15
11710451825848.342,1.8634448779660007e-15,1.2024128604513868e-15,2.6254217071274214e-15
12942050795453.463,2.179790003425648e-15,1.4024829202718375e-15,3.077597792675552e-15
14303178159392.963,2.547533038205825e-15,1.6343061228108994e-15,3.604443247528797e-15
15807456537815.867,2.9724340502260896e-15,1.901220598805098e-15,4.214678087640115e-15
17469941254338.871,3.4647755273115394e-15,2.209465352998828e-15,4.923421573853466e-15
19307271014785.312,4.0315305366705725e-15,2.5630209269526688e-15,5.741326837859355e-15
21337834432945.637,4.685987075599726e-15,2.9698881451790598e-15,6.688031133844004e-15
