Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
8.396964957033319e-06,4.111060987838743e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3409078241580705e-22,4.371915403147159e-19,4.111060987838743e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.111060987838743e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.280081470613534e-06,6.491190891776825e-15,6.506734698407976e-15,0.0,6.808161320622101e-22,0.0,1.6857497150691668e-22,0.0,4.554121827769842e-26,0.0,1.605108709798129e-18,0.0,4.161493931459536e-52,3.3409078241580705e-22,4.371915403147159e-19,6.49158847944056e-15,6.5067424081503745e-15,0.0,9.255636748782182e-22,0.0,1.8884573126665423e-22,0.0,6.61303764270297e-26,0.0,1.990951486821343e-18,0.0,5.497282295052608e-52,6.49077823295938e-15,6.5067267118605944e-15,0.0,4.59872283151251e-22,0.0,1.4791740737218114e-22,0.0,2.8122977269060285e-26,0.0,1.2038319463667051e-18,0.0,2.9130895585469187e-52
1.0256076158694781e-05,7.500774299184673e-15,7.519280270996154e-15,0.0,7.8270912276946265e-22,0.0,1.8393078540526767e-22,0.0,5.242586992344943e-26,0.0,1.7953195041662515e-18,0.0,5.130609274736527e-52,3.3409078241580705e-22,4.371915403147159e-19,7.501219457923397e-15,7.519289453238945e-15,0.0,1.0638998285814108e-21,0.0,2.0639716024886216e-22,0.0,7.612760336364504e-26,0.0,2.2268860617881548e-18,0.0,6.777472380932728e-52,7.50031226977427e-15,7.519270760140295e-15,0.0,5.288143078663883e-22,0.0,1.6103420028610722e-22,0.0,3.2374392085792554e-26,0.0,1.3464900222082649e-18,0.0,3.591474058085362e-52
1.1334717104158447e-05,8.648350971866423e-15,8.670238492548127e-15,0.0,8.98617102380788e-22,0.0,2.0042735783272785e-22,0.0,6.02835585935837e-26,0.0,2.0040314811313754e-18,0.0,6.316646061243076e-52,3.3409078241580705e-22,4.371915403147159e-19,8.648848375707018e-15,8.670249338492403e-15,0.0,1.2212375044234398e-21,0.0,2.252895681617077e-22,0.0,8.75378771994792e-26,0.0,2.4857692192232623e-18,0.0,8.344213140529052e-52,8.64783472136141e-15,8.670227259428992e-15,0.0,6.072553430938596e-22,0.0,1.75087726606207e-22,0.0,3.7226617191228614e-26,0.0,1.5030239848640324e-18,0.0,4.421704074332596e-52
1.2526799708130556e-05,9.952286715839069e-15,9.978028063717124e-15,0.0,1.0304690342316128e-21,0.0,2.1815461719909827e-22,0.0,6.925243961960934e-26,0.0,2.233119489232966e-18,0.0,7.767631558276783e-52,3.3409078241580705e-22,4.371915403147159e-19,9.952841514771334e-15,9.978040785775579e-15,0.0,1.4001871281590068e-21,0.0,2.4563064851846093e-22,0.0,1.0056184353430123e-25,0.0,2.7699264919826024e-18,0.0,1.0260948031362947e-51,9.951710899827972e-15,9.978014888415442e-15,0.0,6.965058343259788e-22,0.0,1.9014986215061046e-22,0.0,4.276494781578693e-26,0.0,1.6748399710065536e-18,0.0,5.437398809190081e-52
1.3844254733984421e-05,1.1433407016103114e-14,1.1463534976568701e-14,0.0,1.1804628250982492e-21,0.0,2.3720893875224943e-22,0.0,7.949049773423068e-26,0.0,2.4846652158008167e-18,0.0,9.542233629589018e-52,3.3409078241580705e-22,4.371915403147159e-19,1.1434024888726077e-14,1.1463549810949636e-14,0.0,1.6037220885298719e-21,0.0,2.6753601109424153e-22,0.0,1.1542894849580472e-25,0.0,3.0819399726691257e-18,0.0,1.2605176614431915e-51,1.143276574163692e-14,1.1463519614525742e-14,0.0,7.980595552613683e-22,0.0,2.062974441281402e-22,0.0,4.908692037193258e-26,0.0,1.8634992463426603e-18,0.0,6.679625906291298e-52
1.530026771443066e-05,1.3115291937463246e-14,1.3150408309475485e-14,0.0,1.3511017985525106e-21,0.0,2.5769338987215333e-22,0.0,9.117834980763324e-26,0.0,2.7609743893723768e-18,0.0,1.1712116622001862e-51,3.3409078241580705e-22,4.371915403147159e-19,1.3115979147972026e-14,1.3150425518920889e-14,0.0,1.835227788605262e-21,0.0,2.9112951381195515e-22,0.0,1.3240150990989545e-25,0.0,3.4246696512333826e-18,0.0,1.547156665275217e-51,1.311457870392383e-14,1.3150390488658435e-14,0.0,9.136185783766232e-22,0.0,2.236124304487957e-22,0.0,5.630404238368066e-26,0.0,2.070731107434694e-18,0.0,8.198550577006272e-52
1.690941091676055e-05,1.5024602982922512e-14,1.5065388064124016e-14,0.0,1.5452361988456276e-21,0.0,2.7971801068997518e-22,0.0,1.045224493913826e-25,0.0,3.064596130057969e-18,0.0,1.4364818729242935e-51,3.3409078241580705e-22,4.371915403147159e-19,1.5025366442943664e-14,1.506540794078439e-14,0.0,2.098557432681145e-21,0.0,3.1654363663369795e-22,0.0,1.5177937218121943e-25,0.0,3.801277416856067e-18,0.0,1.8975755075214464e-51,1.5023810617860174e-14,1.5065367482049628e-14,0.0,1.0451217081606364e-21,0.0,2.4218208787748293e-22,0.0,6.454377038756398e-26,0.0,2.2984473944824117e-18,0.0,1.0055449761707574e-51
1.8687789186994592e-05,1.7191444498010804e-14,1.7238667644448962e-14,0.0,1.7661104119560632e-21,0.0,3.0340012657002716e-22,0.0,1.1975875027507518e-25,0.0,3.3983446494980125e-18,0.0,1.760726633292096e-51,3.3409078241580705e-22,4.371915403147159e-19,1.7192291833835946e-14,1.7238690512870654e-14,0.0,2.398095462809267e-21,0.0,3.439198939704544e-22,0.0,1.739052279952837e-25,0.0,4.2152539742293305e-18,0.0,2.3258990379795803e-51,1.719056508738036e-14,1.7238643965090553e-14,0.0,1.1947768529535926e-21,0.0,2.620992056352631e-22,0.0,7.395177110304129e-26,0.0,2.5487587662982388e-18,0.0,1.2325172176503632e-51
2.0653201132595005e-05,1.9649762011273033e-14,1.9704293382793935e-14,0.0,2.017416680398844e-21,0.0,3.288646890986833e-22,0.0,1.3715689429236109e-25,0.0,3.7653234956264885e-18,0.0,2.1570066382461986e-51,3.3409078241580705e-22,4.371915403147159e-19,1.9650701637078252e-14,1.9704319602984162e-14,0.0,2.7388296779711524e-21,0.0,3.734092822015798e-22,0.0,1.9917070162448947e-25,0.0,4.670448916377907e-18,0.0,2.849380281713502e-51,1.964878682345849e-14,1.9704266233407823e-14,0.0,1.365097874202878e-21,0.0,2.834623311924129e-22,0.0,8.469450612466256e-26,0.0,2.8239928838864075e-18,0.0,1.5099142989033063e-51
