Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
7903225806.451613,1.3396089638826222e-28,1.3396089638826222e-28,2.2168820506679043e-23
8734415320.27528,1.636065105134804e-28,1.636065105134804e-28,2.707479174978124e-23
9653021798.362633,1.9981040030369556e-28,1.9981040030369556e-28,3.306607403735007e-23
10668238963.100672,2.4402244828509928e-28,2.4402244828509928e-28,4.0382604458662875e-23
11790227449.100363,2.980126680021068e-28,2.980126680021068e-28,4.9317297712113573e-23
13030216494.24295,3.639417133443207e-28,3.639417133443207e-28,6.022771450291165e-23
14400616325.666927,4.444468406354251e-28,4.444468406354251e-28,7.355028717717638e-23
15915142365.492477,5.4274667575848395e-28,5.4274667575848395e-28,8.981765735168234e-23
17588952499.375957,6.627688504013844e-28,6.627688504013844e-28,1.0967979809412003e-22
19438798781.72428,8.093054275094238e-28,8.093054275094238e-28,1.3392973486672144e-22
21483195095.886,9.882020623010487e-28,9.882020623010487e-28,1.635348492810561e-22
23742602447.31859,1.2065880710895021e-27,1.2065880710895021e-27,1.9967495258117586e-22
26239633744.208206,1.4731560380089242e-27,1.4731560380089242e-27,2.4378855702990554e-22
28999280115.05532,1.798501314210748e-27,1.798501314210748e-27,2.9762905875196836e-22
32049161028.288567,2.1955337907799552e-27,2.1955337907799552e-27,3.6333288098015265e-22
35419800717.187935,2.679976689905006e-27,2.679976689905006e-27,4.435020177472893e-22
39144933676.671074,3.2709689404254576e-27,3.2709689404254576e-27,5.413037195254127e-22
43261842289.45691,3.991782084250421e-27,3.991782084250421e-27,6.605891323826889e-22
47811729960.68297,4.8707123077919165e-27,4.8707123077919165e-27,8.060409180788399e-22
52840133495.432945,5.9421251801623026e-27,5.9421251801623026e-27,9.833461454357747e-22
58397378846.387405,7.247729710658208e-27,7.247729710658208e-27,1.199407131244698e-21
64539084792.87338,8.838076254328935e-27,8.838076254328935e-27,1.4625893255557683e-21
71326719592.30194,1.0774368363593736e-26,1.0774368363593736e-26,1.783021151332622e-21
78828216175.14862,1.3130577509948417e-26,1.3130577509948417e-26,2.1729439659260812e-21
87118652040.55463,1.5995620261670047e-26,1.5995620261670047e-26,2.6470723605040608e-21
96281000657.17262,1.9474094691366114e-26,1.9474094691366114e-26,3.222716040054691e-21
106406961889.52951,2.3688827697653876e-26,2.3688827697653876e-26,3.9202013819314975e-21
117597879761.09178,2.878407378140149e-26,2.878407378140149e-26,4.763400802894496e-21
129965756739.31544,3.4928877724917706e-26,3.4928877724917706e-26,5.780289255064911e-21
143634374693.98553,4.2322818886253286e-26,4.2322818886253286e-26,7.00389484315797e-21
158740533747.77353,5.1200779483771934e-26,5.1200779483771934e-26,8.473087937803811e-21
175435421417.84518,6.18414810656552e-26,6.18414810656552e-26,1.0233993866752663e-20
193886125751.3481,7.457471359887747e-26,7.457471359887747e-26,1.2341189268345445e-20
