Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
7.590551813890018e-06,9.044361969994514e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.044361969994514e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.044361969994514e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5498478847852992e-21,3.1226387135956718e-18
8.388857116857585e-06,1.225675507233495e-16,1.2048894520720184e-16,0.0,2.7037292241073836e-29,0.0,2.246535138385667e-18,0.0,2.1674121773788632e-33,0.0,5.425660216233275e-31,0.0,1.3152784249329022e-61,1.2256634082271623e-16,1.2048758754347533e-16,0.0,4.468717976084882e-24,0.0,2.2466375363329695e-18,0.0,3.5826608318518396e-28,0.0,8.967451480841514e-26,0.0,2.173956286263535e-56,1.225675507233495e-16,1.2048894520720184e-16,0.0,2.7037292241073836e-29,0.0,2.246535138385667e-18,0.0,2.1674121773788632e-33,0.0,5.425660216233275e-31,0.0,1.3152784249329022e-61,1.5498478847852992e-21,3.1226387135956718e-18
9.271120921442943e-06,1.6909384990709864e-16,1.6641854398434808e-16,0.0,3.736632194240822e-29,0.0,2.9329130299492312e-18,0.0,2.99572979567148e-33,0.0,7.290944142338837e-31,0.0,1.9464954640309745e-61,1.6909223321246105e-16,1.6641672689416528e-16,0.0,6.175900024776621e-24,0.0,2.933051652109377e-18,0.0,4.951844293146112e-28,0.0,1.2050369691880572e-25,0.0,3.2172637168513964e-56,1.6909384990709864e-16,1.6641854398434808e-16,0.0,3.736632194240822e-29,0.0,2.9329130299492312e-18,0.0,2.99572979567148e-33,0.0,7.290944142338837e-31,0.0,1.9464954640309745e-61,1.5498478847852992e-21,3.1226387135956718e-18
1.0246173220341418e-05,2.3273436056896084e-16,2.2931402327145044e-16,0.0,5.15185309932837e-29,0.0,3.8195457701707196e-18,0.0,4.1306437422812664e-33,0.0,9.7681300313466e-31,0.0,2.8742946222909378e-61,2.3273220838322936e-16,2.293116003489288e-16,0.0,8.514978047209358e-24,0.0,3.8197328203543815e-18,0.0,6.827822714862002e-28,0.0,1.6144633503792393e-25,0.0,4.750777632426588e-56,2.3273436056896084e-16,2.2931402327145044e-16,0.0,5.15185309932837e-29,0.0,3.8195457701707196e-18,0.0,4.1306437422812664e-33,0.0,9.7681300313466e-31,0.0,2.8742946222909378e-61,1.5498478847852992e-21,3.1226387135956718e-18
1.1323772664686855e-05,3.1959691409008126e-16,3.1525492817013556e-16,0.0,7.086585312666866e-29,0.0,4.962195021166902e-18,0.0,5.682100774392204e-33,0.0,1.3049890034390116e-30,0.0,4.235293079243739e-61,3.195940590915752e-16,3.1525170887029565e-16,0.0,1.1712705888836789e-23,0.0,4.96244660674105e-18,0.0,9.392335178342535e-28,0.0,2.156869008277054e-25,0.0,7.000306330637881e-56,3.1959691409008126e-16,3.1525492817013556e-16,0.0,7.086585312666866e-29,0.0,4.962195021166902e-18,0.0,5.682100774392204e-33,0.0,1.3049890034390116e-30,0.0,4.235293079243739e-61,1.5498478847852992e-21,3.1226387135956718e-18
1.2514704231911914e-05,4.379082237235569e-16,4.3243536302330136e-16,0.0,9.725731161637981e-29,0.0,6.431396855409935e-18,0.0,7.798205245389143e-33,0.0,1.7387676838522726e-30,0.0,6.227874645249574e-61,4.379044488994159e-16,4.324311000115261e-16,0.0,1.6074691081456453e-23,0.0,6.4317341687734386e-18,0.0,1.2890194332396517e-27,0.0,2.8738138793081935e-25,0.0,1.0293749460077564e-55,4.379082237235569e-16,4.3243536302330136e-16,0.0,9.725731161637981e-29,0.0,6.431396855409935e-18,0.0,7.798205245389143e-33,0.0,1.7387676838522726e-30,0.0,6.227874645249574e-61,1.5498478847852992e-21,3.1226387135956718e-18
1.3830887165427254e-05,5.987277386986521e-16,5.918763156542377e-16,0.0,1.331790778321541e-28,0.0,8.316134900599962e-18,0.0,1.0677960418813705e-32,0.0,2.3109203266621138e-30,0.0,9.139599266665867e-61,5.987227633577455e-16,5.918706887370112e-16,0.0,2.2011849464602245e-23,0.0,8.31658573583192e-18,0.0,1.765034748917624e-27,0.0,3.819462143873524e-25,0.0,1.510640202935753e-55,5.987277386986521e-16,5.918763156542377e-16,0.0,1.331790778321541e-28,0.0,8.316134900599962e-18,0.0,1.0677960418813705e-32,0.0,2.3109203266621138e-30,0.0,9.139599266665867e-61,1.5498478847852992e-21,3.1226387135956718e-18
1.528549426641595e-05,8.168917491218316e-16,8.083683533753625e-16,0.0,1.8196561797105998e-28,0.0,1.0728331397987696e-17,0.0,1.4588034080018548e-32,0.0,3.064092730334457e-30,0.0,1.3386522447236346e-60,8.168852113216586e-16,8.083609491864665e-16,0.0,3.007530371805215e-23,0.0,1.0728932089104007e-17,0.0,2.411358979381851e-27,0.0,5.064298547445212e-25,0.0,2.2125943827417963e-55,8.168917491218316e-16,8.083683533753625e-16,0.0,1.8196561797105998e-28,0.0,1.0728331397987696e-17,0.0,1.4588034080018548e-32,0.0,3.064092730334457e-30,0.0,1.3386522447236346e-60,1.5498478847852992e-21,3.1226387135956718e-18
1.6893083731654926e-05,1.1122571102410455e-15,1.1017146205827139e-15,0.0,2.4807689773180084e-28,0.0,1.3808294102445427e-17,0.0,1.9884698959454225e-32,0.0,4.053685922206702e-30,0.0,1.9569457919173557e-60,1.1122485448176571e-15,1.1017049070572643e-15,0.0,4.10022000299148e-23,0.0,1.380909198798675e-17,0.0,3.286883124159545e-27,0.0,6.69988963918168e-25,0.0,3.2345433650962967e-55,1.1122571102410455e-15,1.1017146205827139e-15,0.0,2.4807689773180084e-28,0.0,1.3808294102445427e-17,0.0,1.9884698959454225e-32,0.0,4.053685922206702e-30,0.0,1.9569457919173557e-60,1.5498478847852992e-21,3.1226387135956718e-18
1.866974485684189e-05,1.5113330729405458e-15,1.4983629060050477e-15,0.0,3.3746025303539773e-28,0.0,1.7731257113303425e-17,0.0,2.7042358632940247e-32,0.0,5.351529380760808e-30,0.0,2.855425576530102e-60,1.5113218842094408e-15,1.4983502005443353e-15,0.0,5.577551847654982e-23,0.0,1.7732313652005686e-17,0.0,4.470024934037538e-27,0.0,8.844954871966133e-25,0.0,4.719599770039162e-55,1.5113330729405458e-15,1.4983629060050477e-15,0.0,3.3746025303539773e-28,0.0,1.7731257113303425e-17,0.0,2.7042358632940247e-32,0.0,5.351529380760808e-30,0.0,2.855425576530102e-60,1.5498478847852992e-21,3.1226387135956718e-18
