Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
3.6130731568934213e-06,9.113589838675736e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.417599704717036e-22,5.697537177664067e-19,9.113589838675736e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.113589838675736e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.993063377878372e-06,8.323267976583867e-17,7.963042547840215e-17,0.0,3.1773546783144954e-30,0.0,2.186861359691941e-18,0.0,1.4898594801023469e-33,0.0,1.1757839487960585e-30,0.0,1.8806707778772797e-61,1.417599704717036e-22,5.697537177664067e-19,8.13245196704437e-17,7.758787765321509e-17,0.0,7.763268851016615e-21,0.0,2.301972098576427e-18,0.0,3.8628166971749596e-24,0.0,2.7060640017907732e-21,0.0,4.449421995648041e-52,8.323267976583867e-17,7.963042547840215e-17,0.0,3.1773546783144954e-30,0.0,2.186861359691941e-18,0.0,1.4898594801023469e-33,0.0,1.1757839487960585e-30,0.0,1.8806707778772797e-61
4.413017519264094e-06,1.1544690484336804e-16,1.1075246277762627e-16,0.0,4.3796363681642215e-30,0.0,2.828105016132433e-18,0.0,2.0337236596878252e-33,0.0,1.6053085186335247e-30,0.0,2.7776559799733155e-61,1.417599704717036e-22,5.697537177664067e-19,1.1294321836766461e-16,1.0805720094603116e-16,0.0,1.0713603051396387e-20,0.0,2.9867342404247677e-18,0.0,5.283736598177496e-24,0.0,3.6996525375572435e-21,0.0,6.5827156768555495e-52,1.1544690484336804e-16,1.1075246277762627e-16,0.0,4.3796363681642215e-30,0.0,2.828105016132433e-18,0.0,2.0337236596878252e-33,0.0,1.6053085186335247e-30,0.0,2.7776559799733155e-61
4.877138623249005e-06,1.5876710684816546e-16,1.527444439798578e-16,0.0,5.9744836886089315e-30,0.0,3.613232805578103e-18,0.0,2.7431809302973965e-33,0.0,2.1714527238097716e-30,0.0,4.060648689422117e-61,1.417599704717036e-22,5.697537177664067e-19,1.5556045741754944e-16,1.4926598853226496e-16,0.0,1.4635296083278225e-20,0.0,3.829524505116999e-18,0.0,7.14328610707437e-24,0.0,5.0125108899955795e-21,0.0,9.64236388922957e-52,1.5876710684816546e-16,1.527444439798578e-16,0.0,5.9744836886089315e-30,0.0,3.613232805578103e-18,0.0,2.7431809302973965e-33,0.0,2.1714527238097716e-30,0.0,4.060648689422117e-61
5.39007176983831e-06,2.1610642013814298e-16,2.085370329465372e-16,0.0,8.052293054077916e-30,0.0,4.553786101534787e-18,0.0,3.65133507674355e-33,0.0,2.905215370624974e-30,0.0,5.865674707548312e-61,1.417599704717036e-22,5.697537177664067e-19,2.1212105268796913e-16,2.0417013991622334e-16,0.0,1.9756296733861592e-20,0.0,4.844821819025257e-18,0.0,9.531625573940052e-24,0.0,6.719038985471841e-21,0.0,1.3959976072368062e-51,2.1610642013814298e-16,2.085370329465372e-16,0.0,8.052293054077916e-30,0.0,4.553786101534787e-18,0.0,3.65133507674355e-33,0.0,2.905215370624974e-30,0.0,5.865674707548312e-61
5.956950566365845e-06,2.90586316895618e-16,2.8130927632269645e-16,0.0,1.0705804590231187e-29,0.0,5.6547940142543914e-18,0.0,4.791169827251921e-33,0.0,3.837176985411754e-30,0.0,8.35891167016791e-61,1.417599704717036e-22,5.697537177664067e-19,2.858058311637012e-16,2.7600364870749024e-16,0.0,2.6311932359413218e-20,0.0,6.040240898113382e-18,0.0,1.2539106134909124e-23,0.0,8.893596187683288e-21,0.0,1.9942653978110545e-51,2.90586316895618e-16,2.8130927632269645e-16,0.0,1.0705804590231187e-29,0.0,5.6547940142543914e-18,0.0,4.791169827251921e-33,0.0,3.837176985411754e-30,0.0,8.35891167016791e-61
6.583448526361776e-06,3.853437763076901e-16,3.7429047414248983e-16,0.0,1.4025124817114405e-29,0.0,6.9143283920701905e-18,0.0,6.19436039077626e-33,0.0,4.994232309998135e-30,0.0,1.1737495600368685e-60,1.417599704717036e-22,5.697537177664067e-19,3.798314316789612e-16,3.680750079891996e-16,0.0,3.453179169448243e-20,0.0,7.415741691883106e-18,0.0,1.6252664042262506e-23,0.0,1.1602499616773098e-20,0.0,2.807485952183241e-51,3.853437763076901e-16,3.7429047414248983e-16,0.0,1.4025124817114405e-29,0.0,6.9143283920701905e-18,0.0,6.19436039077626e-33,0.0,4.994232309998135e-30,0.0,1.1737495600368685e-60
7.275835851983024e-06,5.033790757899768e-16,4.905915715167225e-16,0.0,1.809498649728759e-29,0.0,8.324567180174092e-18,0.0,7.891044185538622e-33,0.0,6.397089457243815e-30,0.0,1.62312555134303e-60,1.417599704717036e-22,5.697537177664067e-19,4.97283700967933e-16,4.835838294502534e-16,0.0,4.463186300559404e-20,0.0,8.964528063358792e-18,0.0,2.0754754844478456e-23,0.0,1.489753929094407e-20,0.0,3.892198602300252e-51,5.033790757899768e-16,4.905915715167225e-16,0.0,1.809498649728759e-29,0.0,8.324567180174092e-18,0.0,7.891044185538622e-33,0.0,6.397089457243815e-30,0.0,1.62312555134303e-60
8.041042188303772e-06,6.475034042302109e-16,6.33129523941352e-16,0.0,2.29951763280176e-29,0.0,9.87391928336968e-18,0.0,9.91062981510969e-33,0.0,8.059394253518443e-30,0.0,2.2106973493503313e-60,1.417599704717036e-22,5.697537177664067e-19,6.410472315203328e-16,6.25527829530629e-16,0.0,5.681468836073525e-20,0.0,1.0675238166154686e-17,0.0,2.6125202435180312e-23,0.0,1.8813303622680902e-20,0.0,5.313981929760211e-51,6.475034042302109e-16,6.33129523941352e-16,0.0,2.29951763280176e-29,0.0,9.87391928336968e-18,0.0,9.91062981510969e-33,0.0,8.059394253518443e-30,0.0,2.2106973493503313e-60
8.886725977532709e-06,8.203879839825771e-16,8.0466421126123e-16,0.0,2.880380986598534e-29,0.0,1.1549479602661158e-17,0.0,1.228338452089385e-32,0.0,9.98858625335503e-30,0.0,2.96761843773139e-60,1.417599704717036e-22,5.697537177664067e-19,8.138461136783353e-16,7.967267673526018e-16,0.0,7.127703736892262e-20,0.0,1.253464135922457e-17,0.0,3.2445338626242236e-23,0.0,2.3368810554694005e-20,0.0,7.149271406150565e-51,8.203879839825771e-16,8.0466421126123e-16,0.0,2.880380986598534e-29,0.0,1.1549479602661158e-17,0.0,1.228338452089385e-32,0.0,9.98858625335503e-30,0.0,2.96761843773139e-60
