Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
5.598961070737947e-06,1.5579514263793587e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5579514263793587e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5579514263793587e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.027871637647556e-22,7.768422044823066e-19
6.187808946817254e-06,1.2277460589916792e-19,1.1941066036818152e-19,0.0,1.0479812968723115e-33,0.0,2.5527639883931376e-21,0.0,9.28609498774067e-37,0.0,2.8918697547544515e-34,0.0,1.0268708804778106e-63,1.2231079818006246e-19,1.1888100204648996e-19,0.0,5.56312768220058e-25,0.0,2.5981031290723245e-21,0.0,4.992708455301238e-28,0.0,1.505081849998683e-25,0.0,5.395769400357568e-55,1.2277460589916792e-19,1.1941066036818152e-19,0.0,1.0479812968723115e-33,0.0,2.5527639883931376e-21,0.0,9.28609498774067e-37,0.0,2.8918697547544515e-34,0.0,1.0268708804778106e-63,3.027871637647556e-22,7.768422044823066e-19
6.838586494630742e-06,1.6932270224120312e-19,1.6493428684375457e-19,0.0,1.4489747326509418e-33,0.0,3.336785917026089e-21,0.0,1.2858753071676553e-36,0.0,3.871616800985136e-34,0.0,1.5202384658089704e-63,1.687089237321977e-19,1.6423146079629556e-19,0.0,7.693210495947528e-25,0.0,3.398197763011252e-21,0.0,6.914788777869458e-28,0.0,2.015353740195678e-25,0.0,7.989632254538561e-55,1.6932270224120312e-19,1.6493428684375457e-19,0.0,1.4489747326509418e-33,0.0,3.336785917026089e-21,0.0,1.2858753071676553e-36,0.0,3.871616800985136e-34,0.0,1.5202384658089704e-63,3.027871637647556e-22,7.768422044823066e-19
7.557806914610765e-06,2.330676471323698e-19,2.2735611968768224e-19,0.0,1.9996740662091537e-33,0.0,4.352044720300273e-21,0.0,1.7773414776986705e-36,0.0,5.173796565579809e-34,0.0,2.246565804333288e-63,2.322578454244386e-19,2.264263091223539e-19,0.0,1.061906220810631e-24,0.0,4.4349856565318265e-21,0.0,9.559314734599748e-28,0.0,2.693671826761091e-25,0.0,1.1808932314710936e-54,2.330676471323698e-19,2.2735611968768224e-19,0.0,1.9996740662091537e-33,0.0,4.352044720300273e-21,0.0,1.7773414776986705e-36,0.0,5.173796565579809e-34,0.0,2.246565804333288e-63,3.027871637647556e-22,7.768422044823066e-19
8.352668406458868e-06,3.2020891095251447e-19,3.1279179823390205e-19,0.0,2.7547339677823748e-33,0.0,5.664164363889553e-21,0.0,2.4523365834332224e-36,0.0,6.901773066534319e-34,0.0,3.314128778056249e-63,3.191434615580903e-19,3.1156513923412357e-19,0.0,1.4631378856606747e-24,0.0,5.7758654826702115e-21,0.0,1.319198928921689e-27,0.0,3.5939412685324124e-25,0.0,1.7423517423329907e-54,3.2020891095251447e-19,3.1279179823390205e-19,0.0,2.7547339677823748e-33,0.0,5.664164363889553e-21,0.0,2.4523365834332224e-36,0.0,6.901773066534319e-34,0.0,3.314128778056249e-63,3.027871637647556e-22,7.768422044823066e-19
9.231126211147617e-06,4.391327644882213e-19,4.2952084436867966e-19,0.0,3.7883975159753045e-33,0.0,7.356788527479742e-21,0.0,3.3780012577927744e-36,0.0,9.191360894320373e-34,0.0,4.880857907190026e-63,4.377345541005126e-19,4.2790675120964215e-19,0.0,2.0125096115815236e-24,0.0,7.506811226503025e-21,0.0,1.8174503510672854e-27,0.0,4.7869989935466475e-25,0.0,2.5664678960906425e-54,4.391327644882213e-19,4.2952084436867966e-19,0.0,3.7883975159753045e-33,0.0,7.356788527479742e-21,0.0,3.3780012577927744e-36,0.0,9.191360894320373e-34,0.0,4.880857907190026e-63,3.027871637647556e-22,7.768422044823066e-19
1.0201972229646167e-05,6.01169015559496e-19,5.887372226609136e-19,0.0,5.2014172783443984e-33,0.0,9.536398937807682e-21,0.0,4.6456326278383036e-36,0.0,1.2220859352998595e-33,0.0,7.176864320324807e-63,5.993383912236289e-19,5.866183530357526e-19,0.0,2.763623446610998e-24,0.0,9.737359186379908e-21,0.0,2.499873883910677e-27,0.0,6.3658511507356245e-25,0.0,3.774380018069136e-54,6.01169015559496e-19,5.887372226609136e-19,0.0,5.2014172783443984e-33,0.0,9.536398937807682e-21,0.0,4.6456326278383036e-36,0.0,1.2220859352998595e-33,0.0,7.176864320324807e-63,3.027871637647556e-22,7.768422044823066e-19
1.127492301522033e-05,8.216050540517858e-19,8.055555749614071e-19,0.0,7.130395457723456e-33,0.0,1.233839363961365e-20,0.0,6.379264716945455e-36,0.0,1.6224157886435795e-33,0.0,1.0537098721168184e-62,8.192133027887947e-19,8.027800329918975e-19,0.0,3.789162640595365e-24,0.0,1.2606904965824418e-20,0.0,3.4333026776583455e-27,0.0,8.45251407102375e-25,0.0,5.542439286987778e-54,8.216050540517858e-19,8.055555749614071e-19,0.0,7.130395457723456e-33,0.0,1.233839363961365e-20,0.0,6.379264716945455e-36,0.0,1.6224157886435795e-33,0.0,1.0537098721168184e-62,3.027871637647556e-22,7.768422044823066e-19
1.2460717019963275e-05,1.121043187410491e-18,1.1003587455488851e-18,0.0,9.760379967133229e-33,0.0,1.5934744841585376e-20,0.0,8.74726280956816e-36,0.0,2.1507847698540803e-33,0.0,1.5448671507139566e-62,1.1179241093090428e-18,1.0967299998450423e-18,0.0,5.187598327143816e-24,0.0,1.629264461255307e-20,0.0,4.708466283431224e-27,0.0,1.120694695647974e-24,0.0,8.127138609452594e-54,1.121043187410491e-18,1.1003587455488851e-18,0.0,9.760379967133229e-33,0.0,1.5934744841585376e-20,0.0,8.74726280956816e-36,0.0,2.1507847698540803e-33,0.0,1.5448671507139566e-62,3.027871637647556e-22,7.768422044823066e-19
1.377122206883368e-05,1.52721540805728e-18,1.5006003551741672e-18,0.0,1.334183797793758e-32,0.0,2.0543631195604635e-20,0.0,1.1977973180013597e-35,0.0,2.8473557906688798e-33,0.0,2.261937347346745e-62,1.5231544134589257e-18,1.4958641944931708e-18,0.0,7.092227569790942e-24,0.0,2.1019573201693877e-20,0.0,6.4484293103588264e-27,0.0,1.4838712579309085e-24,0.0,1.1901213281839103e-53,1.52721540805728e-18,1.5006003551741672e-18,0.0,1.334183797793758e-32,0.0,2.0543631195604635e-20,0.0,1.1977973180013597e-35,0.0,2.8473557906688798e-33,0.0,2.261937347346745e-62,3.027871637647556e-22,7.768422044823066e-19
