Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
5409252669.039145,2.9501747847218284e-28,2.9501747847218284e-28,3.7071125258097915e-20
5978148738.34514,3.603145893894462e-28,3.603145893894462e-28,4.527617173976504e-20
6606876129.549673,4.400607046900219e-28,4.400607046900219e-28,5.529683136263858e-20
7301727357.706493,5.374517224811812e-28,5.374517224811812e-28,6.753468704206909e-20
8069656727.454557,6.563898415375886e-28,6.563898415375886e-28,8.248007123055402e-20
8918349934.03628,8.016394053396275e-28,8.016394053396275e-28,1.0073164784422235e-19
9856300984.318768,9.790170235862113e-28,9.790170235862113e-28,1.2302030095995028e-19
10892897207.669481,1.1956234620216437e-27,1.1956234620216437e-27,1.5023827136673048e-19
12038513207.50374,1.4601264068179937e-27,1.4601264068179937e-27,1.834746849559048e-19
13304614693.802717,1.7831051638481522e-27,1.7831051638481522e-27,2.2405886235693944e-19
14703873235.792698,2.1774707126670044e-27,2.1774707126670044e-27,2.7361309553279357e-19
16250293083.268963,2.658977377803137e-27,2.658977377803137e-27,3.3411693400818547e-19
17959351325.83471,3.2468457962128875e-27,3.2468457962128875e-27,4.079854523105538e-19
19848152792.81584,3.964520952586977e-27,3.964520952586977e-27,4.981644839671228e-19
21935601244.142014,4.840593939883763e-27,4.840593939883763e-27,6.082464205621899e-19
24242588565.529743,5.909921909708668e-27,5.909921909708668e-27,7.426109029944804e-19
26792203861.496704,7.214986484201497e-27,7.214986484201497e-27,9.065954587246948e-19
29609964538.88023,8.807528768979103e-27,8.807528768979103e-27,1.1067008542655767e-18
32724071693.62163,1.0750562306109901e-26,1.0750562306109901e-26,1.3508439468647972e-18
36165692356.81313,1.3120773373831523e-26,1.3120773373831523e-26,1.6486591205396728e-18
39969271424.820595,1.601144822033668e-26,1.601144822033668e-26,2.011865895161591e-18
44172876395.383736,1.953596471414061e-26,1.953596471414061e-26,2.454707327683301e-18
48818578359.928345,2.3832033193620775e-26,2.3832033193620775e-26,2.9944824536897744e-18
53952873065.18996,2.9066729499807616e-26,2.9066729499807616e-26,3.65217803869844e-18
59627146258.274864,3.5442161306993836e-26,3.5442161306993836e-26,4.45317909519921e-18
65898187972.48853,4.320008079768475e-26,4.320008079768475e-26,5.427843549044293e-18
72828760901.07677,5.262937200822659e-26,5.262937200822659e-26,6.61243981695642e-18
80488228547.35484,6.407491426030266e-26,6.407491426030266e-26,8.050257036457993e-18
88953249437.9627,7.794791624667731e-26,7.794791624667731e-26,9.792898318514413e-18
98308544347.16534,9.47398896637975e-26,9.47398896637975e-26,1.1902033354599169e-17
108647744210.8372,1.1503723214915981e-25,1.1503723214915981e-25,1.445122305930113e-17
120074327216.3391,1.3954164040249275e-25,1.3954164040249275e-25,1.752848015385601e-17
132702654446.9972,1.6909117545429112e-25,1.6909117545429112e-25,2.123890554120783e-17
146659114446.26334,2.0468692756862539e-25,2.0468692756862539e-25,2.570802841916305e-17
162083388156.73834,2.475250805465596e-25,2.475250805465596e-25,3.1085823369157797e-17
179129846893.994,2.990367691053897e-25,2.990367691053897e-25,3.755170621290858e-17
197969097346.58554,3.6090099876525765e-25,3.6090099876525765e-25,4.531609398242508e-17
218789689065.13324,4.349720778650076e-25,4.349720778650076e-25,5.461108502856016e-17
241800001529.59882,5.238299172662052e-25,5.238299172662052e-25,6.576027921024805e-17
267230329681.15973,6.300937597321794e-25,6.300937597321794e-25,7.909146887632779e-17
295335188791.3852,7.574284180227292e-25,7.574284180227292e-25,9.506421213041921e-17
326395861736.62006,9.095339036936423e-25,9.095339036936423e-25,1.1414151448942355e-16
360723214171.5524,1.0915779101791644e-24,1.0915779101791644e-24,1.3697118377563923e-16
398660805777.1729,1.3087582093408661e-24,1.3087582093408661e-24,1.6420357069352177e-16
440588328721.5358,1.5684594467938997e-24,1.5684594467938997e-24,1.9676431652038412e-16
486925407746.5948,1.8779157235654552e-24,1.8779157235654552e-24,2.355583728772923e-16
538135799913.6636,2.247608574955067e-24,2.247608574955067e-24,2.818993770321903e-16
594732036039.9564,2.6876636912577862e-24,2.6876636912577862e-24,3.37053948703184e-16
657280550279.2781,3.2124957146692697e-24,3.2124957146692697e-24,4.028276575459131e-16
726407349185.4163,3.836168084004273e-24,3.836168084004273e-24,4.809795058104544e-16
802804276996.1438,4.5791004312955495e-24,4.5791004312955495e-24,5.740671300927741e-16
887235939842.8854,5.460725366237335e-24,5.460725366237335e-24,6.845207930104846e-16
980547358185.8713,6.5092190184782014e-24,6.5092190184782014e-24,8.158682759912288e-16
1083672424062.9308,7.751067575596482e-24,7.751067575596482e-24,9.71421070947242e-16
1197643247794.8914,9.225351541858403e-24,9.225351541858403e-24,1.156071038717399e-15
1323600487692.5798,1.0968124830230208e-23,1.0968124830230208e-23,1.3743249807437735e-15
1462804766148.5842,1.3033419238305707e-23,1.3033419238305707e-23,1.6329447071898282e-15
1616649286369.8633,1.5470119370351769e-23,1.5470119370351769e-23,1.938039783901786e-15
1786673776023.7234,1.8352510907178686e-23,1.8352510907178686e-23,2.2989043344094e-15
1974579897349.8215,2.1746631835221736e-23,2.1746631835221736e-23,2.7237905243994886e-15
2182248277967.8196,2.5754507808768201e-23,2.5754507808768201e-23,3.225460553439731e-15
2411757332830.6978,3.0465110268133425e-23,3.0465110268133425e-23,3.8150312925689695e-15
2665404065700.1763,3.601766681806057e-23,3.601766681806057e-23,4.509914361869103e-15
2945727058332.4297,4.2529490630001474e-23,4.2529490630001474e-23,5.324762459228315e-15
3255531877457.5264,5.018783029058996e-23,5.018783029058996e-23,6.282983260736743e-15
3597919153834.27,5.914716805410095e-23,5.914716805410095e-23,7.403866752019878e-15
3976315614404.9795,6.965931246757823e-23,6.965931246757823e-23,8.718881253377215e-15
4394508378130.483,8.192561368342056e-23,8.192561368342056e-23,1.025316079977042e-14
4856682858749.594,9.628274546268358e-23,9.628274546268358e-23,1.2048765454808673e-14
