Energy,Flux Value,Flux Error,Is Upper Limit
1.5095185772444614e-06,1.05e-15,1.79e-16,0.0
1.5880962566078716e-06,1.1558e-15,0.0,0.0
5.7899342688828654e-06,3.08e-15,0.0,0.0
5.7899342688828654e-06,3.0894e-15,2.058e-18,0.0
5.7899342688828654e-06,3.3574e-15,1.0088e-16,0.0
5.7899342688828654e-06,3.08e-15,0.0,0.0
1.9975273227645886e-05,2.31e-14,0.0,0.0
2.0057986574344214e-05,2.2358e-14,1.9885e-15,0.0
2.0057986574344214e-05,2.5225e-14,2.619e-16,0.0
2.0057986574344214e-05,2.12e-14,2.67e-15,0.0
2.0057986574344214e-05,2.12e-14,3.18e-15,0.0
2.0223413267740866e-05,2.2e-14,0.0,0.0
2.067833667458166e-05,2.05e-14,0.0,0.0
2.067833667458166e-05,2.185e-14,0.0,0.0
2.067833667458166e-05,1.55e-14,0.0,0.0
3.473960561329719e-05,4.52e-14,0.0,0.0
3.473960561329719e-05,4.43e-14,0.0,0.0
3.473960561329719e-05,4.4268e-14,0.0,0.0
3.498774565339217e-05,4.4584e-14,3.384e-17,0.0
6.203501002374499e-05,6.11e-14,0.0,0.0
6.203501002374499e-05,6.88e-14,0.0,0.0
6.203501002374499e-05,6.44e-14,7.5e-16,0.0
0.00011745295231162385,1.961e-13,3.1247e-14,0.0
0.00012407002004748998,1.53e-13,8.7e-15,0.0
0.00018238292946981026,3.7372e-13,8.0251e-14,0.0
0.0002911509803781098,4.7286e-13,9.7739e-14,0.0
0.00041356673349163324,5.2305e-13,6.9125e-14,0.0
0.00041356673349163324,5.5709e-13,6.7487e-14,0.0
0.0005914004288930355,5.6539e-13,6.0883e-14,0.0
0.0005914004288930355,6.3966e-13,5.0133e-14,0.0
0.0008974398116768441,5.0539e-13,7.9125e-14,0.0
0.05636914577490961,8.8355e-13,1.0788e-13,0.0
0.05636914577490961,9.0081e-13,1.1556e-13,0.0
0.10330897002620998,5.0247e-13,2.5662e-14,0.0
0.10330897002620998,5.1655e-13,2.7748e-14,0.0
0.2695214402164974,4.5185e-13,1.5689e-14,0.0
0.2695214402164974,4.5687e-13,1.4735e-14,0.0
0.36464178891957305,4.0778e-13,1.3152e-14,0.0
0.36464178891957305,4.2192e-13,1.3265e-14,0.0
0.5748577595533703,7.5036e-13,1.0563e-13,0.0
0.746487953952398,6.9581e-13,1.232e-13,0.0
1.004553595651177,5.4936e-13,1.1478e-13,0.0
