Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
8.948463372830821e-06,1.9997832712391152e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.579542556092608e-21,1.1272585538919638e-19,1.9997832712391152e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9997832712391152e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.889581481117723e-06,1.0920561173342241e-18,1.091798616021759e-18,0.0,3.7002614898831116e-23,0.0,9.157556569701829e-23,0.0,2.1672239097518064e-27,0.0,4.259959806649572e-23,0.0,1.5297380543952675e-54,2.579542556092608e-21,1.1272585538919638e-19,1.091772146236138e-18,1.0914525000363883e-18,0.0,5.333490823277066e-23,0.0,1.0798890779740046e-22,0.0,3.256410577685234e-27,0.0,6.082309534119852e-23,0.0,2.3754284694823846e-54,1.0926999892635147e-18,1.092589000556877e-18,0.0,3.6233488815546235e-33,0.0,5.59413934990369e-23,0.0,1.9085971347494324e-37,0.0,4.265343652739445e-33,0.0,1.2268428705627444e-64
1.0929677844870814e-05,1.4672121867260908e-18,1.4668765509734164e-18,0.0,4.9915438725224846e-23,0.0,1.185766856546775e-22,0.0,2.9237703502961847e-27,0.0,5.550452100051655e-23,0.0,2.2063079312371053e-54,2.579542556092608e-21,1.1272585538919638e-19,1.4668337994390235e-18,1.466416016172911e-18,0.0,7.194679898793456e-23,0.0,1.4028962958003468e-22,0.0,4.393188867317092e-27,0.0,7.924891284809685e-23,0.0,3.4260409880554657e-54,1.468070861933503e-18,1.4679290143167174e-18,0.0,4.8878634666943064e-33,0.0,7.143306960321694e-23,0.0,2.5748467781360994e-37,0.0,5.5574131162488235e-33,0.0,1.7694361831831107e-64
1.2079162098086917e-05,1.9705098495637013e-18,1.970074247052075e-18,0.0,6.732721698181762e-23,0.0,1.5354520537757881e-22,0.0,3.943960870265344e-27,0.0,7.23102664233705e-23,0.0,3.181838288393548e-54,2.579542556092608e-21,1.1272585538919638e-19,1.97000537065856e-18,1.969461184388686e-18,0.0,9.704302834233321e-23,0.0,1.8226544205504576e-22,0.0,5.9261125556699304e-27,0.0,1.0324446448642463e-22,0.0,4.940896653243908e-54,1.9716555806003806e-18,1.971476288891052e-18,0.0,6.59298499002824e-33,0.0,9.118209492900871e-23,0.0,3.4732804345280537e-37,0.0,7.240027915366692e-33,0.0,2.5517878959330543e-64
1.3349538665527302e-05,2.645383283246951e-18,2.6448213368388693e-18,0.0,9.080135194258323e-23,0.0,1.9883139381689693e-22,0.0,5.3194049344609676e-27,0.0,9.419243567298208e-23,0.0,4.588251238913157e-54,2.579542556092608e-21,1.1272585538919638e-19,2.644710384670641e-18,2.6440049299718393e-18,0.0,1.3087681511376051e-22,0.0,2.3681489999234333e-22,0.0,7.992825875986323e-27,0.0,1.344883423439676e-22,0.0,7.12485034642672e-54,2.6469126699325984e-18,2.6466896883066853e-18,0.0,8.89184414299126e-33,0.0,1.1634700546828533e-22,0.0,4.6845860450858625e-37,0.0,9.4308836335118e-33,0.0,3.679698807130428e-64
1.4753521902867187e-05,3.5498350163908595e-18,3.549115886053551e-18,0.0,1.224423936036956e-22,0.0,2.574774746574896e-22,0.0,7.173403353281052e-27,0.0,1.226794005506599e-22,0.0,6.61556533190338e-54,2.579542556092608e-21,1.1272585538919638e-19,3.548937158407732e-18,3.548028405716994e-18,0.0,1.7648124375152528e-22,0.0,3.0770357244932205e-22,0.0,1.0778585132554863e-26,0.0,1.7516285425602308e-22,0.0,1.0272969891865964e-53,3.551877152589071e-18,3.551606198545149e-18,0.0,1.1990583846336216e-32,0.0,1.48397552991805e-22,0.0,6.317372066771883e-37,0.0,1.2282992038153788e-32,0.0,5.305565834328727e-64
1.6305163346240868e-05,4.761251066403021e-18,4.760340298221915e-18,0.0,1.6508222535169942e-22,0.0,3.334203625539024e-22,0.0,9.671837867754575e-27,0.0,1.597574695532774e-22,0.0,9.537405212935684e-54,2.579542556092608e-21,1.1272585538919638e-19,4.76005277410617e-18,4.758891532925426e-18,0.0,2.3793755984491413e-22,0.0,3.9982219466917113e-22,0.0,1.4532616131842745e-26,0.0,2.281041931622698e-22,0.0,1.4810146208744072e-53,4.763978355368132e-18,4.763659977430428e-18,0.0,1.616660217131104e-32,0.0,1.8919681490139788e-22,0.0,8.51776576524908e-37,0.0,1.5995208724590465e-32,0.0,7.648844428442614e-64
1.8019992344738447e-05,6.38277442685108e-18,6.381635915206848e-18,0.0,2.2252966050554306e-22,0.0,4.317530196561337e-22,0.0,1.3037759530313534e-26,0.0,2.0800707697644162e-22,0.0,1.3747661677091883e-53,2.579542556092608e-21,1.1272585538919638e-19,6.381175041116458e-18,6.3797058155351535e-18,0.0,3.2073483119119386e-22,0.0,5.195207056428501e-22,0.0,1.959002597752505e-26,0.0,2.969969066979792e-22,0.0,2.1348016052127796e-53,6.386416893664786e-18,6.386061076319178e-18,0.0,2.1793010062284438e-32,0.0,2.4110429537537495e-22,0.0,1.1482274371867733e-36,0.0,2.0825865985276028e-32,0.0,1.1025457004937836e-63
1.9915171483350687e-05,8.551725751055399e-18,8.550324949540042e-18,0.0,2.999046696461847e-22,0.0,5.590608939000819e-22,0.0,1.7570907015749453e-26,0.0,2.7077898330349906e-22,0.0,1.981314107417624e-53,2.579542556092608e-21,1.1272585538919638e-19,8.549591196482593e-18,8.547753944318685e-18,0.0,4.322515444093097e-22,0.0,6.750398545938979e-22,0.0,2.640111697714608e-26,0.0,3.866255033287029e-22,0.0,3.0766709652626288e-53,8.556589902084641e-18,8.556222744500629e-18,0.0,2.9371384357662217e-32,0.0,3.0710507674069543e-22,0.0,1.547499675994489e-36,0.0,2.711041043998767e-32,0.0,1.589003101472707e-63
2.2009668351888667e-05,1.1450705780206173e-17,1.1449013856422732e-17,0.0,4.0408534333809317e-22,0.0,7.238542496326204e-22,0.0,2.367378130640474e-26,0.0,3.524219951996999e-22,0.0,2.8549118867107373e-53,2.579542556092608e-21,1.1272585538919638e-19,1.1447857779172809e-17,1.1445590153694521e-17,0.0,5.823996231382215e-22,0.0,8.770679019363324e-22,0.0,3.557054311936199e-26,0.0,5.031996304919916e-22,0.0,4.43321576167577e-53,1.1457199320433535e-17,1.1456871760038444e-17,0.0,3.957557197206156e-32,0.0,3.909711581281087e-22,0.0,2.0850623481560445e-36,0.0,3.528419706755544e-32,0.0,2.28965172103334e-63
