Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
4089456869.009585,3.5214785902649604e-30,3.5214785902649604e-30,5.463805509739457e-21
4519548802.354087,4.3008166335455626e-30,4.3008166335455626e-30,6.673017184357873e-21
4994873899.185359,5.2525752235532385e-30,5.2525752235532385e-30,8.149761404544147e-21
5520189372.834774,6.41487817469986e-30,6.41487817469986e-30,9.953194917028615e-21
6100752757.12724,7.834269374169508e-30,7.834269374169508e-30,1.2155541046864795e-20
6742374525.54685,9.567568372363873e-30,9.567568372363873e-30,1.4844969757176494e-20
7451476244.408472,1.1684133113663233e-29,1.1684133113663233e-29,1.8129109841952883e-20
8235154842.05179,1.4268618343687313e-29,1.4268618343687313e-29,2.2139330808079452e-20
9101253637.285492,1.7424337125561088e-29,1.7424337125561088e-29,2.703596140352027e-20
10058440837.958134,2.1277355666658698e-29,2.1277355666658698e-29,3.3014647194019466e-20
11116296295.295776,2.5981479020341726e-29,2.5981479020341726e-29,4.0314092216038394e-20
12285407382.272955,3.172431800737631e-29,3.172431800737631e-29,4.922548083857844e-20
13577474955.599941,3.873466682250783e-29,3.873466682250783e-29,6.010393701631332e-20
15005430461.829498,4.7291467266890637e-29,4.7291467266890637e-29,7.33824507301067e-20
16583565359.6204,5.773469045715587e-29,5.773469045715587e-29,8.958878733012593e-20
18327674153.45918,7.047853131122845e-29,7.047853131122845e-29,1.093659965266874e-19
20255212470.3698,8.602736731031279e-29,8.602736731031279e-29,1.3349722769364432e-19
22385471761.695904,1.0499483826866297e-28,1.0499483826866297e-28,1.629354252408813e-19
24739772378.429943,1.2812745858764673e-28,1.2812745858764673e-28,1.9884005368278136e-19
27341676952.45197,1.5633246565975386e-28,1.5633246565975386e-28,2.4262047638530404e-19
30217226219.269115,1.9071177732095159e-28,1.9071177732095159e-28,2.9598885160330614e-19
33395199642.449184,2.3260209474583137e-28,2.3260209474583137e-28,3.6102268943201564e-19
36907403448.1651,2.836234963594011e-28,2.836234963594011e-28,4.402406786145088e-19
40788988952.596954,3.4573642067114672e-28,3.4573642067114672e-28,5.36691757721505e-19
45078804368.119026,4.21302789960773e-28,4.21302789960773e-28,6.540513115380616e-19
49819783609.2666,5.13120132189876e-28,5.13120132189876e-28,7.966784171062304e-19
55059375989.78328,6.244966809220812e-28,6.244966809220812e-28,9.69735352588985e-19
60850021111.30106,7.5934069742552745e-28,7.5934069742552745e-28,1.179329738901716e-18
67249673696.499146,9.222600456436426e-28,9.222600456436426e-28,1.432674076421522e-18
74322383619.4477,1.1187119517061443e-27,1.1187119517061443e-27,1.738321976791315e-18
82138936938.27545,1.3551409492490011e-27,1.3551409492490011e-27,2.1063899790460005e-18
90777564345.83162,1.6391985185489572e-27,1.6391985185489572e-27,2.54890391581242e-18
100324724128.7539,1.9799434456915176e-27,1.9799434456915176e-27,3.0801210284975586e-18
110875967471.06104,2.3881080172625115e-27,2.3881080172625115e-27,3.716954706742967e-18
122536894762.51819,2.8764186735699447e-27,2.8764186735699447e-27,4.479486180316825e-18
135424212482.83119,3.4600057205092015e-27,3.4600057205092015e-27,5.3916155544407086e-18
149666901239.32214,4.1562757389557805e-27,4.1562757389557805e-27,6.480923568675346e-18
165407506648.19894,4.983193142652411e-27,4.983193142652411e-27,7.77618100698642e-18
182803565978.99384,5.9685721919774334e-27,5.9685721919774334e-27,9.321219952574547e-18
202029184840.50684,7.137376577692772e-27,7.137376577692772e-27,1.1156150420853337e-17
223276779688.2576,8.528504644898342e-27,8.528504644898342e-27,1.3342428974781971e-17
246759003593.0459,1.0176756853820852e-26,1.0176756853820852e-26,1.593612928512766e-17
272710874544.35846,1.2135935727998534e-26,1.2135935727998534e-26,1.9022525982041022e-17
301392127589.4013,1.4454189294946195e-26,1.4454189294946195e-26,2.2679451861839137e-17
333089814348.7515,1.7207797330443106e-26,1.7207797330443106e-26,2.702798929763359e-17
368121175925.4566,2.0462385228069823e-26,2.0462385228069823e-26,3.217468195269867e-17
406836817960.62415,2.432501287636264e-26,2.432501287636264e-26,3.828981665066179e-17
449624219612.51794,2.8886451724572184e-26,2.8886451724572184e-26,4.552118005917131e-17
496911611578.2133,3.4289016527940095e-26,3.4289016527940095e-26,5.409642420910902e-17
549172261970.3434,4.0656750653014405e-26,4.0656750653014405e-26,6.421824296658456e-17
606929212943.4443,4.8189700264268696e-26,4.8189700264268696e-26,7.620714878931517e-17
670760515475.637,5.705623100064213e-26,5.705623100064213e-26,9.033936048401558e-17
