Energy,Flux Value,Flux Error,Is Upper Limit
5.7899342688828654e-06,3.7477e-15,1.96e-18,0.0
5.7899342688828654e-06,3.3002e-15,9.9156e-17,0.0
5.7899342688828654e-06,3.3e-15,9.94e-17,0.0
5.7899342688828654e-06,3.276e-15,0.0,0.0
9.512034870307564e-06,6.21e-15,0.0,0.0
9.512034870307564e-06,5.06e-15,0.0,0.0
2.0057986574344214e-05,6.69e-15,1e-15,0.0
2.0057986574344214e-05,6.74e-15,7.76e-16,0.0
2.0057986574344214e-05,6.305e-15,5.82e-16,0.0
2.067833667458166e-05,1.15e-14,0.0,0.0
2.067833667458166e-05,6.9e-15,0.0,0.0
3.473960561329719e-05,2.2e-14,0.0,0.0
3.473960561329719e-05,2.2033e-14,0.0,0.0
3.498774565339217e-05,2.2191e-14,3.384e-17,0.0
3.556673908028046e-05,1.38e-14,0.0,0.0
3.556673908028046e-05,1.72e-14,0.0,0.0
6.203501002374499e-05,2.07e-14,1.5e-16,0.0
0.05636914577490961,2.5435e-13,1.0976e-13,0.0
0.10330897002620998,1.7681e-13,2.6839e-14,0.0
0.10330897002620998,1.7183e-13,2.3565e-14,0.0
0.2695214402164974,1.7354e-13,9.3216e-15,0.0
0.2695214402164974,1.9471e-13,8.4141e-15,0.0
0.36464178891957305,1.5361e-13,7.1714e-15,0.0
0.36464178891957305,1.7141e-13,6.5268e-15,0.0
1.344091883847808,1.02e-13,9.43e-15,0.0
1.3589802862535068,1.1029e-13,1.1337e-14,0.0
1.6087745932824533,9.98e-14,3.13e-15,0.0
1.62821222975656,1.0961e-13,3.4262e-15,0.0
1.9354923127408437,1.7e-13,0.0,0.0
1.9388008466087767,1.7041e-13,1.6441e-14,0.0
1.9727133187550905,9.43e-14,2.7e-15,0.0
1.991323821762214,1.025e-13,2.9511e-15,0.0
2.551706745643377,6.19e-14,2.63e-15,0.0
2.6009211869288813,6.5997e-14,2.5348e-15,0.0
2.8196979889459555,4.2764e-13,4.1258e-14,0.0
3.457417891990054,4.21e-14,8.71e-15,0.0
3.4950524647377925,4.2397e-14,1.013e-14,0.0
4.714660761804619,2.549e-14,7.296e-15,0.0
547.9759218764141,3.026e-14,1.7004e-14,0.0
704.9928832709045,2.57328996143e-14,1.24316147641e-14,0.0
1000.0043615827692,2.8395e-14,1.0306e-14,0.0
1413.984661807894,4.4404e-14,2.5162e-14,0.0
1732.01747986296,3.4262e-14,1.2253e-14,0.0
2000.0087231655384,2.8113e-14,9.694e-15,0.0
3364.966038044068,3.52045603925e-14,1.34706438137e-14,0.0
4470.656389044555,2.0964e-14,2.6087e-14,0.0
76015122.5499,3.79746669231e-13,1.4880841566e-13,1.0
122011284.703,1.80117406217e-12,5.40585966961e-13,1.0
195839368.47800002,1.45960598615e-12,4.11359623049e-13,1.0
314336635.21900004,6.78242364982e-13,3.18913786682e-13,1.0
504533490.93600005,1.09921647134e-12,2.52062977038e-13,1.0
809822800.252,8.72245702344e-13,2.13503741341e-13,1.0
1000831495.0497525,4.086e-12,1.2023e-12,0.0
1000831495.0497525,4.6916e-12,1.7176e-12,0.0
1299840307.11,3.2058797553e-13,1.55581673776e-13,1.0
2001662990.099505,9.8135e-13,3.7503e-13,0.0
2086363613.7100003,1.79644344535e-13,8.93839352072e-14,1.0
3348806083.94,1.13419422703e-13,4.32966265703e-14,1.0
5375080835.95,2.56450445935e-13,1.13168679086e-13,1.0
8627401309.22,1.97964282638e-13,7.4600441661e-14,1.0
13847775048.9,2.35254641881e-13,8.71553281114e-14,1.0
22226956522.9,3.51180536747e-13,1.29802031175e-13,1.0
35676315836.0,5.5178545783e-13,2.03946529532e-13,1.0
57263778345.7,8.79135650892e-13,3.24939341282e-13,1.0
91912589103.20001,2.19216214605e-12,9.03998930356e-13,1.0
147526486720.0,2.31269048851e-12,8.5479702239e-13,1.0
236793621699.0,3.76839149845e-12,1.39284096929e-12,1.0
