Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
4.300041505639731e-06,5.51424655004623e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51424655004623e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51424655004623e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.036089019289009e-22,5.1323906873106285e-20
4.752280818551242e-06,1.0737088935312062e-20,1.0335017296570803e-20,0.0,6.32886825180587e-26,0.0,2.3144391167585696e-22,0.0,5.405015036942209e-28,0.0,3.4053153765734824e-29,0.0,2.752768517270744e-58,1.0759626788084943e-20,1.028527825224861e-20,0.0,9.057594698361683e-26,0.0,3.033176403777811e-22,0.0,7.734678443516826e-28,0.0,4.87289200513908e-29,0.0,3.939194918429849e-58,1.0684241230132025e-20,1.0450473424376876e-20,0.0,6.397862839033811e-34,0.0,6.456624117223033e-23,0.0,5.4651300358914694e-36,0.0,3.4434775756031413e-37,0.0,2.78349575423611e-66,8.036089019289009e-22,5.1323906873106285e-20
5.252082555191575e-06,1.4433818445266012e-20,1.3891996217259607e-20,0.0,8.518259571523437e-26,0.0,3.115405456367425e-22,0.0,7.275157215041398e-28,0.0,4.584173499013146e-29,0.0,3.972363268695039e-58,1.446427682478308e-20,1.3825143514041277e-20,0.0,1.2190959920361997e-25,0.0,4.083085669690897e-22,0.0,1.041089120464342e-27,0.0,6.559801514724084e-29,0.0,5.684430241648777e-58,1.436239956983832e-20,1.4047178218446977e-20,0.0,8.611113279126671e-34,0.0,8.686303171064371e-23,0.0,7.356066092122466e-36,0.0,4.63554207768035e-37,0.0,4.0166999384527207e-66,8.036089019289009e-22,5.1323906873106285e-20
5.8044488993301534e-06,1.9398336956446345e-20,1.8668323593947502e-20,0.0,1.1463144468611258e-25,0.0,4.192916240471711e-22,0.0,9.790782779642705e-28,0.0,6.170183755010959e-29,0.0,5.7325543298935094e-58,1.943950115395175e-20,1.8578490042659115e-20,0.0,1.640555608409961e-25,0.0,5.495577606923742e-22,0.0,1.4010803998112778e-27,0.0,8.829333217980971e-29,0.0,8.203257041958656e-58,1.930181669042436e-20,1.8876851417360008e-20,0.0,1.1588090403813028e-33,0.0,1.168377519417357e-22,0.0,9.8996632475911e-36,0.0,6.2393199297075225e-37,0.0,5.796532662934658e-66,8.036089019289009e-22,5.1323906873106285e-20
6.4149081189958975e-06,2.6063416398055434e-20,2.5080049870837494e-20,0.0,1.5423494780391026e-25,0.0,5.642207261640669e-22,0.0,1.3174075749593997e-27,0.0,8.303608131961611e-29,0.0,8.273169472460467e-58,2.6119051618067194e-20,2.49593645256186e-20,0.0,2.2073442724848317e-25,0.0,7.395554399015453e-22,0.0,1.8852365425412458e-27,0.0,1.1882196988698363e-28,0.0,1.1838867351200151e-57,2.5932967194406186e-20,2.5360195152755025e-20,0.0,1.5591601412965584e-33,0.0,1.5712587483658e-22,0.0,1.332057841306434e-35,0.0,8.396645672356371e-37,0.0,8.365499022539622e-66,8.036089019289009e-22,5.1323906873106285e-20
7.089569895241631e-06,3.5008777294219e-20,3.3684438375556216e-20,0.0,2.0748484514499774e-25,0.0,7.591226774725313e-22,0.0,1.7723486210801325e-27,0.0,1.117290349685393e-28,0.0,1.19405846867404e-57,3.508397350270889e-20,3.352234476446865e-20,0.0,2.96943400404177e-25,0.0,9.950836193906146e-22,0.0,2.5362660757004857e-27,0.0,1.5988067108179737e-28,0.0,1.70869220968401e-57,3.48324658296648e-20,3.40607072644043e-20,0.0,2.0974630731689888e-33,0.0,2.1126446079066256e-22,0.0,1.792058538435928e-35,0.0,1.1298090291369508e-36,0.0,1.2073843350585758e-65,8.036089019289009e-22,5.1323906873106285e-20
7.83518646988565e-06,4.7010700535813306e-20,4.5227632513764414e-20,0.0,2.7907019207624717e-25,0.0,1.0211846936627969e-21,0.0,2.383984521198313e-27,0.0,1.5031246849239776e-28,0.0,1.723517175129394e-57,4.711233869140163e-20,4.5009975482620584e-20,0.0,3.993931975155413e-25,0.0,1.3386876677813409e-21,0.0,3.411528154362173e-27,0.0,2.1509228468196653e-28,0.0,2.4663446954120255e-57,4.677239469043467e-20,4.5732885753331486e-20,0.0,2.8211204523868142e-33,0.0,2.8399960996611736e-22,0.0,2.410498234963835e-35,0.0,1.5199673137292927e-36,0.0,1.7427528666003832e-65,8.036089019289009e-22,5.1323906873106285e-20
8.659220224217429e-06,6.31082952515256e-20,6.070834301633968e-20,0.0,3.752869727494548e-25,0.0,1.373491206259164e-21,0.0,3.2061408477940117e-27,0.0,2.0218725753719043e-28,0.0,2.487995778237984e-57,6.324567765844743e-20,6.041614550821682e-20,0.0,5.370942487943592e-25,0.0,1.800651723268639e-21,0.0,4.588047174457773e-27,0.0,2.893232869663787e-28,0.0,3.5603081013531944e-57,6.278618631342743e-20,6.138663598999846e-20,0.0,3.793780236750503e-33,0.0,3.8169852151361876e-22,0.0,3.2418028810718215e-35,0.0,2.0445303764986814e-36,0.0,2.515766719982041e-65,8.036089019289009e-22,5.1323906873106285e-20
9.56991836501757e-06,8.469198953801013e-20,8.146294144634891e-20,0.0,5.045876856852573e-25,0.0,1.8470435667698322e-21,0.0,4.311088216621799e-27,0.0,2.7192146429177627e-28,0.0,3.5920043351239556e-57,8.48776921180761e-20,8.107076565722815e-20,0.0,7.2214320467550125e-25,0.0,2.4216503409931512e-21,0.0,6.169241929075887e-27,0.0,3.8911029654293425e-28,0.0,5.140133820275459e-57,8.425659411802086e-20,8.237332927842335e-20,0.0,5.10089207428922e-33,0.0,5.129017436649075e-22,0.0,4.3590499591405e-35,0.0,2.7496928825386557e-36,0.0,3.6321057061137287e-65,8.036089019289009e-22,5.1323906873106285e-20
1.0576395465375484e-05,1.136216674348102e-19,1.0927916642884791e-19,0.0,6.783187795776857e-25,0.0,2.4834707701985613e-21,0.0,5.7958531427071574e-27,0.0,3.656509124422579e-28,0.0,5.186666481487144e-57,1.1387269208924974e-19,1.0875291804410178e-19,0.0,9.707782687010767e-25,0.0,3.2563078125074806e-21,0.0,8.293956092205345e-27,0.0,5.232332374053293e-28,0.0,7.422075001018666e-57,1.1303312579833817e-19,1.105008021615301e-19,0.0,6.857162912531856e-33,0.0,6.890633408833474e-22,0.0,5.860350299213644e-35,0.0,3.697504605952887e-36,0.0,5.244586848920244e-65,8.036089019289009e-22,5.1323906873106285e-20
