Energy,Flux Value,Flux Error,Is Upper Limit
3.308533867933066e-07,3.2e-15,0.0,0.0
1.5095185772444614e-06,6.54e-15,1.57e-16,0.0
1.6873522726458637e-06,7.26e-15,0.0,0.0
1.6873522726458637e-06,7.752e-15,0.0,0.0
1.6873522726458637e-06,7.2624e-15,0.0,0.0
1.6873522726458637e-06,1.0934e-14,8.976e-16,0.0
1.6873522726458637e-06,7.26e-15,2.86e-16,0.0
2.626148757671871e-06,1.82e-14,1.71e-15,0.0
2.626148757671871e-06,1.8225e-14,1.7145e-15,0.0
3.4863675633344683e-06,1.7197e-14,0.0,0.0
4.549234068407966e-06,2.596e-14,0.0,0.0
5.7899342688828654e-06,2.856e-14,8.4e-16,0.0
5.7899342688828654e-06,2.8593e-14,8.5781e-16,0.0
5.7899342688828654e-06,2.856e-14,8.4e-16,0.0
5.7899342688828654e-06,2.856e-14,0.0,0.0
5.7899342688828654e-06,2.86e-14,8.58e-16,0.0
5.7899342688828654e-06,3.59e-14,0.0,0.0
5.7899342688828654e-06,2.97e-14,0.0,0.0
5.7899342688828654e-06,2.856e-14,0.0,0.0
5.7899342688828654e-06,2.856e-14,0.0,0.0
5.7899342688828654e-06,2.856e-14,0.0,0.0
5.7899342688828654e-06,2.856e-14,0.0,0.0
5.7899342688828654e-06,2.856e-14,5.74e-15,0.0
5.7899342688828654e-06,2.856e-14,5.74e-15,0.0
5.7899342688828654e-06,2.772e-14,0.0,0.0
5.8312909422320285e-06,3.1302e-14,1.551e-15,0.0
5.8312909422320285e-06,3.13e-14,1.55e-15,0.0
5.8312909422320285e-06,2.96e-14,0.0,0.0
5.839562276901861e-06,2.9652e-14,0.0,0.0
6.05461697831751e-06,3.3086e-14,0.0,0.0
6.058752645652427e-06,3.3109e-14,6.5925e-15,0.0
6.120787655676172e-06,3.848e-14,1.924e-15,0.0
6.199365335039582e-06,1.544e-15,0.0,0.0
6.199365335039582e-06,2.968e-14,0.0,0.0
6.203501002374499e-06,3.75e-14,0.0,0.0
6.203501002374499e-06,3.75e-14,0.0,0.0
9.512034870307564e-06,2.576e-14,0.0,0.0
9.512034870307564e-06,3.841e-14,0.0,0.0
9.512034870307564e-06,1.978e-14,0.0,0.0
9.512034870307564e-06,1.909e-14,0.0,0.0
1.033916833729083e-05,6.17e-14,0.0,0.0
1.095951843752828e-05,5.59e-14,1.33e-15,0.0
1.095951843752828e-05,5.5915e-14,1.325e-15,0.0
1.1145623467599516e-05,7.1148e-14,3.234e-15,0.0
1.1145623467599516e-05,5.0666e-14,1.8865e-15,0.0
1.1166301804274097e-05,5.4e-14,0.0,0.0
1.1166301804274097e-05,5.4e-14,0.0,0.0
1.1166301804274097e-05,5.4e-14,0.0,0.0
1.1166301804274097e-05,5.4e-14,1.08e-14,0.0
1.1166301804274097e-05,5.4e-14,1.08e-14,0.0
1.1166301804274097e-05,5.4e-14,0.0,0.0
1.1166301804274097e-05,5.67e-14,0.0,0.0
1.1269693487647006e-05,5.7506e-14,0.0,0.0
1.2407002004748997e-05,6.27e-14,0.0,0.0
1.2407002004748997e-05,6.27e-14,0.0,0.0
1.9851203207598396e-05,1.1184e-13,4.32e-15,0.0
1.9851203207598396e-05,1.33e-13,0.0,0.0
1.9851203207598396e-05,1.75e-13,9.12e-15,0.0
2.0057986574344214e-05,9.76e-14,4.8e-15,0.0
2.0057986574344214e-05,9.763e-14,4.8015e-15,0.0
2.0202734931066285e-05,1.1724e-13,0.0,0.0
2.0202734931066285e-05,1.1724e-13,2.3448e-14,0.0
2.0202734931066285e-05,1.1724e-13,2.3448e-14,0.0
2.0264769941090028e-05,1.176e-13,5.88e-15,0.0
2.067833667458166e-05,1e-13,0.0,0.0
2.067833667458166e-05,9.95e-14,8.5e-15,0.0
2.067833667458166e-05,8.95e-14,6.5e-15,0.0
2.067833667458166e-05,1.14e-13,0.0,0.0
2.067833667458166e-05,9.7e-14,0.0,0.0
2.067833667458166e-05,1.1e-13,0.0,0.0
2.067833667458166e-05,9.74e-14,0.0,0.0
2.067833667458166e-05,9.7e-14,0.0,0.0
2.067833667458166e-05,1.005e-13,0.0,0.0
2.067833667458166e-05,1e-13,0.0,0.0
2.067833667458166e-05,1.5865e-13,7.9e-15,0.0
2.067833667458166e-05,1.59e-13,7.9e-15,0.0
2.067833667458166e-05,1.14e-13,0.0,0.0
2.067833667458166e-05,9.7e-14,0.0,0.0
2.067833667458166e-05,9.7e-14,0.0,0.0
2.067833667458166e-05,1e-13,0.0,0.0
2.071555768059591e-05,1.0018e-13,5.5099e-15,0.0
2.0719693347930826e-05,1e-13,5.51e-15,0.0
2.4814004009497995e-05,1.44e-13,0.0,0.0
2.4814004009497995e-05,1.44e-13,0.0,0.0
2.7295404410447793e-05,1.0758e-13,6.6e-15,0.0
2.7295404410447793e-05,1.3464e-13,7.26e-15,0.0
3.256838026246612e-05,1.7876e-13,7.0875e-15,0.0
3.256838026246612e-05,1.0474e-13,1.0238e-14,0.0
3.308533867933066e-05,1.38e-13,1.2e-14,0.0
3.308533867933066e-05,2.92e-13,1.52e-14,0.0
3.308533867933066e-05,1.96e-13,0.0,0.0
3.308533867933066e-05,2.9176e-13,1.52e-14,0.0
3.308533867933066e-05,1.456e-13,0.0,0.0
3.3436870402798545e-05,1.4391e-13,7.2765e-15,0.0
3.3436870402798545e-05,2.9591e-13,1.1319e-14,0.0
3.473960561329719e-05,1.4784e-13,0.0,0.0
3.473960561329719e-05,2.05e-13,0.0,0.0
3.473960561329719e-05,1.62e-13,5.04e-15,0.0
3.473960561329719e-05,1.48e-13,0.0,0.0
3.473960561329719e-05,2.0551e-13,0.0,0.0
3.473960561329719e-05,1.4784e-13,0.0,0.0
3.473960561329719e-05,1.53e-13,0.0,0.0
3.556673908028046e-05,2.35e-13,0.0,0.0
3.556673908028046e-05,1.376e-13,0.0,0.0
3.556673908028046e-05,6.278e-14,0.0,0.0
3.556673908028046e-05,4.644e-14,0.0,0.0
3.556673908028046e-05,7.224e-14,0.0,0.0
3.573216577367711e-05,3.15e-13,1.64e-14,0.0
3.668336926070787e-05,1.6232e-13,6.209e-15,0.0
3.668336926070787e-05,1.62e-13,6.21e-15,0.0
4.3424507016621493e-05,2.289e-13,7.35e-15,0.0
4.3424507016621493e-05,1.512e-13,7.35e-15,0.0
4.425164048360476e-05,2.41e-13,1.39e-14,0.0
4.425164048360476e-05,2.44e-13,2.14e-15,0.0
4.425164048360476e-05,2.4385e-13,2.139e-15,0.0
4.962800801899599e-05,2.184e-13,0.0,0.0
5.789934268882865e-05,2.7e-13,5.6e-15,0.0
6.203501002374499e-05,3.48e-13,1.74e-14,0.0
6.203501002374499e-05,3.48e-13,0.0,0.0
6.203501002374499e-05,3.33e-13,0.0,0.0
7.650984569595215e-05,3.5335e-13,1.85e-14,0.0
