Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
3838095238.095238,1.3712320838813628e-22,6.968245001124644e-23,1.5417643002292609e-22
4241751237.947486,1.674742574259579e-22,8.510580226549958e-23,1.883021559579981e-22
4687860109.890938,2.0454185740903036e-22,1.0394216977802087e-22,2.299797882845579e-22
5180886661.458374,2.498117804185897e-22,1.2694650574289495e-22,2.80879903276774e-22
5725765268.0898285,3.050982276273876e-22,1.5504062794069213e-22,3.4304236328775672e-22
6327949258.020493,3.7261632560722763e-22,1.8935004444704294e-22,4.189578342947393e-22
6993465491.022621,4.550705802879728e-22,2.312488820763151e-22,5.116672479546583e-22
7728974677.24383,5.557627812040923e-22,2.8241468957415323e-22,6.248831361694318e-22
8541838039.832996,6.787236042085702e-22,3.4489527026498846e-22,7.631376161084638e-22
9440190988.535723,8.288730758509372e-22,4.211901620391762e-22,9.319628330850514e-22
10433024541.609478,1.0122161690019967e-21,5.1434994219449045e-22,1.1381109135814256e-21
11530275310.956312,1.2360811345604219e-21,6.280972094354667e-22,1.3898219833480256e-21
12742924951.074562,1.5094097819397994e-21,7.669739070139969e-22,1.697150615225465e-21
14083110067.148148,1.843110852063511e-21,9.365206245496124e-22,2.0723632452430203e-21
15564243682.270517,2.250489938556847e-21,1.1434946798548105e-21,2.5304216989390525e-21
17201149479.488,2.747772170836728e-21,1.3961351677955965e-21,3.0895710764347723e-21
19010210162.2022,3.3547366959923842e-21,1.7044845542310637e-21,3.772053434456832e-21
21009531417.77202,4.095481509432985e-21,2.080775910576681e-21,4.604968238763061e-21
23219123125.318264,4.9993646886070755e-21,2.5399098887955244e-21,5.621331123758671e-21
25661099621.319485,6.102129601510292e-21,3.1000239085814157e-21,6.861339956965113e-21
28359901027.324306,7.447277648066548e-21,3.783186551757782e-21,8.373919425648406e-21
31342537854.90251,9.087710337364666e-21,4.6162269027168204e-21,1.021856913207857e-20
34638861335.92335,1.1087725336935193e-20,5.631742298179493e-21,1.2467610199728083e-20
38281862183.71746,1.3525394104573289e-20,6.869296532383933e-21,1.5208862133323196e-20
42308000775.22445,1.649526368945753e-20,8.376771375119509e-21,1.854868818320841e-20
46757572058.7,2.0110685189303408e-20,1.0211479958084017e-20,2.2614637972735935e-20
51675108839.10173,2.4507445248730652e-20,1.2441965313472473e-20,2.755954713088083e-20
57109827477.36908,2.98481034382673e-20,1.51501519340463e-20,3.3566432595542015e-20
63116120464.30584,3.632707655788397e-20,1.8433852200671375e-20,4.0854236425206634e-20
69754100798.91006,4.4177452468073594e-20,2.241017675985581e-20,4.968550541664001e-20
77090203619.47267,5.367825916830449e-20,2.721911260653759e-20,6.037460498306681e-20
85197851108.77124,6.516447674975759e-20,3.302853791605766e-20,7.329900192963433e-20
94158187327.95303,7.903764637571632e-20,4.003945187373852e-20,8.891124961908242e-20
104060890333.57268,9.577924840549049e-20,4.849260975222432e-20,1.0775408735800695e-19
115005069705.72383,1.1596688218178676e-19,5.867655436826064e-20,1.3047869949999258e-19
127100258470.0286,1.4029433684292692e-19,7.093761377074767e-20,1.5786735337811928e-19
140467509340.9736,1.6958108924111107e-19,8.568380651812253e-20,1.9084440270559527e-19
155240606258.16345,2.0474658140120756e-19,1.0336892709357836e-19,2.304483667337433e-19
171567403340.95465,2.470490796473318e-19,1.2462318843481487e-19,2.7809723567951706e-19
189611304662.17776,2.97804238567466e-19,1.5009511126623906e-19,3.352773459570603e-19
209552899651.02026,3.588164339913721e-19,1.8068665140195193e-19,4.040227469842905e-19
231591770492.73224,4.3197037136758414e-19,2.1732610792474175e-19,4.864629041396018e-19
255948489614.2175,5.198390428324132e-19,2.6129666154102197e-19,5.854993683753534e-19
282866827247.02,6.251126488878151e-19,3.1392217485121466e-19,7.041721216796214e-19
312616191161.73486,7.51504580298142e-19,3.7705338110623787e-19,8.466691514789668e-19
345494322991.52655,9.028301562970583e-19,4.525653040650491e-19,1.017302732856049e-18
381830278130.47,1.0844208471281381e-18,5.431124790471331e-19,1.2220866631312642e-18
421987719030.53125,1.301719006649998e-18,6.513690942893086e-19,1.4671723312228734e-18
466368554857.6209,1.562188028276197e-18,7.81037550561324e-19,1.7609830959736578e-18
515416963933.6097,1.8735522941665564e-18,9.359117002783215e-19,2.1122502589945215e-18
569623839222.2703,2.24652849046567e-18,1.121306791719486e-18,2.533069282268951e-18
629531701351.0519,2.6920505012713453e-18,1.3425911036447054e-18,3.0358000253611136e-18
695740128339.8661,3.225197129755958e-18,1.6072258004183578e-18,3.637467478750022e-18
768911756379.4392,3.861309863306213e-18,1.9227352219800927e-18,4.3554167396795044e-18
849778911717.0232,4.621719597542233e-18,2.299660793409655e-18,5.213736531401852e-18
939150940023.6268,5.527971730071931e-18,2.748565338630372e-18,6.2367875960343895e-18
1037922306597.5197,6.6102017640015615e-18,3.2843261416808776e-18,7.458606963875704e-18
1147081548473.5742,7.898638102108469e-18,3.921762963107825e-18,8.913372984219354e-18
1267721168034.1763,9.435726290411794e-18,4.681809711925949e-18,1.0649033712864036e-17
1401048567140.2625,1.1263848117785667e-17,5.585254004435786e-18,1.271350560546303e-17
1548398131214.9739,1.3442816211683413e-17,6.661581182121001e-18,1.517436011537535e-17
1711244584221.4707,1.6032053390332982e-17,7.939966918506723e-18,1.8098769670949135e-17
1891217748196.022,1.9115553628539653e-17,9.461798255106728e-18,2.1581630460714225e-17
2090118855054.7578,2.277564397100168e-17,1.1267497778238469e-17,2.5716005726081875e-17
2309938573928.087,2.7129192433202648e-17,1.3414586050429795e-17,3.063395546440569e-17
2552876934446.4556,3.22904611294849e-17,1.595922036334574e-17,3.646462339466204e-17
2821365345376.3354,3.842231793253348e-17,1.898153583331254e-17,4.339205810960287e-17
3118090928976.3804,4.568278334483144e-17,2.255929140410011e-17,5.159482726138992e-17
3446023414620.1772,5.429825852348136e-17,2.680387816261071e-17,6.132877653661312e-17
3808444860845.958,6.448678281980427e-17,3.1822773713399145e-17,7.284023162865588e-17
4208982503301.6074,7.656255673182331e-17,3.777063069169409e-17,8.648423385143385e-17
4651645057338.179,9.082592966210507e-17,4.479584736152618e-17,1.0259997464874613e-16
5140862838580.48,1.0771210988200172e-16,5.311282331114352e-17,1.2167916666663089e-16
5681532103014.974,1.276337272190373e-16,6.292602815370717e-17,1.4418759259912986e-16
6279064050365.32,1.511920784561622e-16,7.453206730039667e-17,1.7080448192567316e-16
6939438981198.033,1.78950851489974e-16,8.821116619471153e-17,2.0216581617026318e-16
7669266149780.571,2.1173513333838187e-16,1.0437083332103495e-16,2.392034393161045e-16
8475849911719.479,2.5031185293173103e-16,1.233938137589115e-16,2.827821177474734e-16
9367262828406.418,2.9581271484304737e-16,1.4584025412454696e-16,3.3417956297306447e-16
10352426459925.805,3.49278792957741e-16,1.7223225581952425e-16,3.9456876412456077e-16
11441200655026.824,4.1225795233027563e-16,2.0333808828117362e-16,4.656965300585513e-16
12644482231803.691,4.861591963310652e-16,2.3986857048523825e-16,5.491489209006946e-16
13974314036713.719,5.73094878159816e-16,2.8287593086048165e-16,6.473084545299444e-16
15444005473432.307,6.749671479120821e-16,3.333266734887943e-16,7.62313876621892e-16
17068265707838.502,7.946525989694598e-16,3.926601870375913e-16,8.974074111565486e-16
18863350882290.965,9.347115458784797e-16,4.621885189130195e-16,1.0554639152887575e-15
20847226812564.574,1.0990486677379952e-15,5.438760283274482e-16,1.2408806624664876e-15
23039748795773.28,1.2910970470615185e-15,6.394996351329568e-16,1.4575062942712303e-15
25462860328857.043,1.5161520135978266e-15,7.517409186601063e-16,1.7112979676426227e-15
28140812726474.914,1.7788141033512715e-15,8.830093478809438e-16,2.007403127973226e-15
31100407836313.14,2.086254567949099e-15,1.0369649035878347e-15,2.3538792999363847e-15
34371266280985.246,2.444631589383304e-15,1.2168772708224935e-15,2.7576011002830578e-15
37986123911179.07,2.8636512162003734e-15,1.427745411179925e-15,3.22945816181592e-15
41981159437053.07,3.351554354982658e-15,1.6740136563835406e-15,3.778625883539178e-15
46396356516928.06,3.92147380024153e-15,1.9625166474453493e-15,4.419813577964722e-15
51275903927178.43,4.5844387481231976e-15,2.2993073786688082e-15,5.165264151491534e-15
56668637818358.57,5.3582183247217735e-15,2.6937419364421465e-15,6.034841568348066e-15
62628530483811.68,6.257585842665074e-15,3.1540855820913704e-15,7.044889410915095e-15
69215230532522.81,7.30660869343536e-15,3.69317476816871e-15,8.222254615751026e-15
76494659872445.81,8.525134558409257e-15,4.322345629098175e-15,9.58881279733365e-15
84539673479115.31,9.945788339228722e-15,5.059241363607398e-15,1.1180871267706657e-14
93430788552729.47,1.1595254608551295e-14,5.919438108777607e-15,1.3027723048234915e-14
103256990361351.72,1.3517781908614537e-14,6.927216095954127e-15,1.517848738548614e-14
114116622835383.33,1.574931719681724e-14,8.10403215127202e-15,1.7672458055822358e-14
126118372826672.97,1.8349912351927563e-14,9.483335987110445e-15,2.0576121838131094e-14
139382357883060.9,2.136806383621069e-14,1.109473153749842e-14,2.3942259211558065e-14
154041328425171.12,2.4885287337619393e-14,1.2984313547603209e-14,2.7860877865490318e-14
170241996357238.7,2.89670564178139e-14,1.5192936360466858e-14,3.240292255809554e-14
188146503409160.44,3.3723971748289687e-14,1.7784071261580783e-14,3.7690188330526875e-14
207934043905424.75,3.924435948708044e-14,2.0814001312917882e-14,4.3817970252868514e-14
229802658202140.2,4.5678028906888004e-14,2.4369915750325758e-14,5.0950811681934116e-14
253971214741483.88,5.3143718042420756e-14,2.852898297284121e-14,5.921628826419846e-14
280681600560633.12,6.18436030062409e-14,3.341040966090664e-14,6.883591806126337e-14
310201142178537.0,7.193607508174967e-14,3.911904544110258e-14,7.99792081159154e-14
342825281089568.1,8.369224506804426e-14,4.5816617035674137e-14,9.294254547419648e-14
378880530641299.8,9.732050218865246e-14,5.364348855754195e-14,1.079480919970074e-13
418727743889834.44,1.1318082485282294e-13,6.281658068705115e-14,1.2538861901364932e-13
462765725138472.8,1.315413233905035e-13,7.351960373958931e-14,1.4554885691193204e-13
511435221305228.6,1.5287329509780144e-13,8.603895219638251e-14,1.6894219330239764e-13
565223333066121.4,1.7750989938497143e-13,1.006071396835174e-13,1.9592094873748013e-13
624668389922462.6,2.060565890975066e-13,1.1759449452234733e-13,2.2714379771630963e-13
690365337983445.6,2.3890536070840796e-13,1.3728083377046135e-13,2.630230823988568e-13
762971694386769.1,2.7681513676878955e-13,1.6013244593340905e-13,3.0438370129277225e-13
843214127951157.9,3.202066996886534e-13,1.8646002796830583e-13,3.5166463528691663e-13
931895731922137.4,3.7000247439957775e-13,2.168315619283622e-13,4.058680633609617e-13
1029904061599165.9,4.2657877886895105e-13,2.515446627684026e-13,4.673796189980025e-13
1138220017287390.0,4.910158267694256e-13,2.912640747016676e-13,5.373730521628933e-13
1257927661477584.0,5.635012879815639e-13,3.3618466811537643e-13,6.160243088718361e-13
1390225068507933.5,6.452482762071795e-13,3.8704987718334906e-13,7.046526377393753e-13
1536436315294692.2,7.360052548323401e-13,4.4379311429685167e-13,8.029536373828746e-13
1698024733138999.8,8.370816841139943e-13,5.072098236400065e-13,9.123538117208268e-13
1876607553238387.5,9.47391129464802e-13,5.767184492822723e-13,1.0316419834425232e-12
2073972092480162.8,1.0683225277990005e-12,6.531511390929691e-13,1.1623353159266956e-12
2292093641509572.5,1.19738143011715e-12,7.350413235811461e-13,1.3016992315018567e-12
2533155234102488.0,1.3361106623595625e-12,8.233002454256598e-13,1.4514236086353675e-12
2799569495701177.5,1.479847366942548e-12,9.150826070087915e-13,1.606433315886154e-12
3094002789780652.5,1.6305796385498118e-12,1.0115608595606917e-12,1.768906570585011e-12
3419401903710497.5,1.7805616961223564e-12,1.1079147039938505e-12,1.930445789667012e-12
3779023541193346.5,1.9329125797500446e-12,1.206016036008313e-12,2.0944568385266577e-12
4176466916450134.5,2.0758298717992593e-12,1.2984323410657748e-12,2.24817505213023e-12
4615709776365762.0,2.214830781393419e-12,1.38855290082316e-12,2.397597470138557e-12
5101148211116899.0,2.333184125799088e-12,1.4657593804216582e-12,2.5246577014176932e-12
5637640651720009.0,2.4407446895932244e-12,1.5362170888309482e-12,2.6400283321093527e-12
6230556494841993.0,2.515283138058833e-12,1.5857426020533573e-12,2.7197327395928184e-12
6885829841526711.0,2.573422660439957e-12,1.6248609229295806e-12,2.7817294432919705e-12
7610018887672764.0,2.5873593051031195e-12,1.6357621286395752e-12,2.796053559199024e-12
8410371560662340.0,2.582783176807066e-12,1.6348352009111647e-12,2.790415417624327e-12
9294898059054512.0,2.526868830652231e-12,1.6009896001794217e-12,2.729460958318958e-12
1.0272451021344826e+16,2.4554691959149784e-12,1.5572076502879473e-12,2.6518237564365683e-12
1.1352814126146782e+16,2.3320237606341763e-12,1.4799406160435507e-12,2.5181475510063496e-12
1.2546800010535816e+16,2.2012856086095827e-12,1.3979658376093522e-12,2.3766246586950644e-12
1.3866358486555432e+16,2.025093785145713e-12,1.2866530049753945e-12,2.1861938729958882e-12
1.532469613895251e+16,1.8529437832656064e-12,1.1778961635196866e-12,2.0001306746125037e-12
1.6936408501116472e+16,1.6480724072971846e-12,1.0479273037715876e-12,1.778891895292975e-12
1.871762613208309e+16,1.458398583174881e-12,9.276702933225627e-13,1.5740399252440778e-12
2.0686176056590988e+16,1.251971663937762e-12,7.964417706424524e-13,1.3512174911375301e-12
2.286176018393718e+16,1.068667680148894e-12,6.800034734996677e-13,1.1533225915276618e-12
2.5266152491307132e+16,8.840446876834237e-13,5.62519242698817e-13,9.54077024937352e-13
2.79234169450572e+16,7.257533317129362e-13,4.618695033098426e-13,7.832209786021764e-13
