Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
1.3560953406314045e-06,3.395782730420923e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.395782730420923e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.395782730420923e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.578399148307507e-20,1.4422789836845575e-18
1.4987171326037143e-06,3.1723142980742206e-16,3.172612665983423e-16,0.0,1.2445746188223384e-22,0.0,5.2931507026030926e-21,0.0,1.709036317583378e-26,0.0,4.2373363472165595e-22,0.0,9.679122936031265e-55,3.1722433852077197e-16,3.1725317243290013e-16,0.0,1.3392434541050464e-22,0.0,5.616515351456399e-21,0.0,1.867053476837691e-26,0.0,4.551428647403272e-22,0.0,1.088146017748488e-54,3.172639178945004e-16,3.1729862673750524e-16,0.0,8.001142436633955e-23,0.0,3.818649969767609e-21,0.0,1.0185634341393085e-26,0.0,2.7476214182504345e-22,0.0,4.8894140117087145e-55,6.578399148307507e-20,1.4422789836845575e-18
1.6563385893753515e-06,4.0905906132655694e-16,4.091223135736886e-16,0.0,1.579591096291951e-22,0.0,6.3509218874092654e-21,0.0,2.1666070964417824e-26,0.0,5.283679109463988e-22,0.0,1.3162123349677954e-54,4.0905122037228716e-16,4.0911331775354123e-16,0.0,1.6997177518952506e-22,0.0,6.74016114937854e-21,0.0,2.3665464707745748e-26,0.0,5.67535284536938e-22,0.0,1.479723022887707e-54,4.090950068339648e-16,4.091638599732457e-16,0.0,1.0155630769563146e-22,0.0,4.575878477080514e-21,0.0,1.2923719402263853e-26,0.0,3.4260434373393777e-22,0.0,6.648556907700324e-55,6.578399148307507e-20,1.4422789836845575e-18
1.8305372394640764e-06,5.242398665974915e-16,5.243617309108137e-16,0.0,1.98993928315525e-22,0.0,7.560700281145731e-21,0.0,2.726404147870797e-26,0.0,6.547738929089059e-22,0.0,1.7767302652653928e-54,5.242313731132074e-16,5.243519236208842e-16,0.0,2.1412396714104816e-22,0.0,8.025585408661114e-21,0.0,2.9775129531293146e-26,0.0,7.033140931832201e-22,0.0,1.9974623113678105e-54,5.24278822865124e-16,5.244070452143954e-16,0.0,1.2794821256366173e-22,0.0,5.440518584584557e-21,0.0,1.627691848564674e-26,0.0,4.245616053935892e-22,0.0,8.974446670686167e-55,6.578399148307507e-20,1.4422789836845575e-18
2.023056521510178e-06,6.673617181737754e-16,6.675827714596597e-16,0.0,2.487692448694098e-22,0.0,8.930583761204979e-21,0.0,3.404720039906035e-26,0.0,8.059803382808346e-22,0.0,2.380084134172557e-54,6.673527372160286e-16,6.675723155687013e-16,0.0,2.6767964532167857e-22,0.0,9.481478654284433e-21,0.0,3.717696626428899e-26,0.0,8.657327335387188e-22,0.0,2.675785383748757e-54,6.674029227289859e-16,6.676310945480108e-16,0.0,1.5996456434141916e-22,0.0,6.417970500554703e-21,0.0,2.0343915051271324e-26,0.0,5.225973648498787e-22,0.0,1.2021751829209801e-54,6.578399148307507e-20,1.4422789836845575e-18
2.2358232331963326e-06,8.434416415275107e-16,8.438241516113593e-16,0.0,3.0858146210620428e-22,0.0,1.0467458305438359e-20,0.0,4.219065474246496e-26,0.0,9.84983153165703e-22,0.0,3.163529103844299e-54,8.434324143280855e-16,8.43813291883966e-16,0.0,3.320333264264064e-22,0.0,1.1115251584361845e-20,0.0,4.606168582512679e-26,0.0,1.0580093609101187e-21,0.0,3.5565746556133086e-54,8.434839768451389e-16,8.438743394494253e-16,0.0,1.9844022183921053e-22,0.0,7.512737411428285e-21,0.0,2.5230748920784665e-26,0.0,6.386537598536675e-22,0.0,1.5978687778149743e-54,6.578399148307507e-20,1.4422789836845575e-18
2.4709668152864485e-06,1.057866642825326e-15,1.0585011039791485e-15,0.0,3.798224691639333e-22,0.0,1.2177356115828186e-20,0.0,5.188265777369968e-26,0.0,1.1946600672619682e-21,0.0,4.1721686806685687e-54,1.0578574903967961e-15,1.05849017120306e-15,0.0,4.0868222097241825e-22,0.0,1.2933414385784867e-20,0.0,5.663434318203228e-26,0.0,1.2832351833846069e-21,0.0,4.690535044195321e-54,1.057908618621383e-15,1.058551607179343e-15,0.0,2.4427158949996632e-22,0.0,8.728687473109993e-21,0.0,3.105134551086176e-26,0.0,7.745963292061037e-22,0.0,2.1073138380519283e-54,6.578399148307507e-20,1.4422789836845575e-18
2.730840663784587e-06,1.3163426941971608e-15,1.317363099341758e-15,0.0,4.639955541267047e-22,0.0,1.4065938473274492e-20,0.0,6.332684122884936e-26,0.0,1.4377216644487404e-21,0.0,5.460475738822693e-54,1.3163340160766126e-15,1.317352508761344e-15,0.0,4.992433562551575e-22,0.0,1.4942089007678726e-20,0.0,6.911678618464782e-26,0.0,1.544321854440174e-21,0.0,6.138903908934716e-54,1.3163824523652449e-15,1.3174119694425434e-15,0.0,2.984268475881884e-22,0.0,1.0069402743415485e-20,0.0,3.7928817010901495e-26,0.0,9.321822825466545e-22,0.0,2.758034024446128e-54,6.578399148307507e-20,1.4422789836845575e-18
3.018045683513117e-06,1.624809658543283e-15,1.6264877315487692e-15,0.0,5.627412525466848e-22,0.0,1.6139032344840048e-20,0.0,7.674576805031117e-26,0.0,1.716711020859134e-21,0.0,7.094216993150406e-54,1.6248019307593166e-15,1.626477976297504e-15,0.0,6.054813860428474e-22,0.0,1.7147579141223748e-20,0.0,8.375153895020408e-26,0.0,1.844001079935214e-21,0.0,7.975614621256332e-54,1.62484498234065e-15,1.6265326509003468e-15,0.0,3.619625841514565e-22,0.0,1.1538563642682666e-20,0.0,4.5997573609743413e-26,0.0,1.113060277939891e-21,0.0,3.583260326757955e-54,6.578399148307507e-20,1.4422789836845575e-18
3.3354563188424414e-06,1.9898885723929377e-15,1.9923224796833413e-15,0.0,6.778724071808777e-22,0.0,1.8403156310164035e-20,0.0,9.238570873264422e-26,0.0,2.0340526037598436e-21,0.0,9.15288092435367e-54,1.9898823224966456e-15,1.9923141209400803e-15,0.0,7.293463063313143e-22,0.0,1.9556929499145254e-20,0.0,1.0080701351824229e-25,0.0,2.1848771419643327e-21,0.0,1.0290026156324087e-53,1.9899170004745278e-15,1.9923608069513766e-15,0.0,4.360463653449623e-22,0.0,1.3140322740479352e-20,0.0,5.540618823359765e-26,0.0,1.3188021287463954e-21,0.0,4.623157355665039e-54,6.578399148307507e-20,1.4422789836845575e-18
