Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
5.67221442926198e-07,4.073717237992708e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6170018570650437e-21,2.471665394582433e-18,4.073717237992708e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.073717237992708e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.268766428309385e-07,4.710298751961991e-26,1.37015503432459e-27,0.0,1.8983739599709573e-31,0.0,3.959999653375889e-26,0.0,9.487831449627613e-34,0.0,2.139245968498264e-35,0.0,1.3143019451729178e-61,1.6170018570650437e-21,2.471665394582433e-18,4.6048488529796107e-26,7.376861863455776e-28,0.0,3.248927972424573e-31,0.0,3.815932585316039e-26,0.0,1.5178089523330682e-33,0.0,2.756234473508106e-35,0.0,2.4396149342594193e-61,4.763577431649662e-26,2.1162637955984404e-27,0.0,2.2275507332141927e-39,0.0,4.025028875272207e-26,0.0,1.2118393597052398e-41,0.0,3.2453999834441832e-43,0.0,1.577095042291636e-69
6.928058348776492e-07,6.596034423777842e-26,1.992590767523992e-27,0.0,2.777820228525754e-31,0.0,5.565899955654165e-26,0.0,1.3853137494329643e-33,0.0,3.2316857737565066e-35,0.0,2.1332929998270796e-61,1.6170018570650437e-21,2.471665394582433e-18,6.447592326949736e-26,1.070756350039793e-27,0.0,4.749615008044361e-31,0.0,5.369137908232846e-26,0.0,2.215568797437664e-33,0.0,4.180966564967546e-35,0.0,3.976207039833936e-61,6.672819197732255e-26,3.083665776488984e-27,0.0,3.262788975273897e-39,0.0,5.653999842604081e-26,0.0,1.771106151766104e-41,0.0,4.891960965958924e-43,0.0,2.554226753726954e-69
7.656688605798955e-07,9.239931899323747e-26,2.8989675487748843e-27,0.0,4.06533395149646e-31,0.0,7.824226715669685e-26,0.0,2.0231774787963526e-33,0.0,4.883940930205826e-35,0.0,3.465272978452287e-61,1.6170018570650437e-21,2.471665394582433e-18,9.030941625406061e-26,1.5549159120332496e-27,0.0,6.944913410454665e-31,0.0,7.555795092258858e-26,0.0,3.2350221392353895e-33,0.0,6.344545979241472e-35,0.0,6.485429571588658e-61,9.350637032793246e-26,4.495016851227079e-27,0.0,4.779748388647328e-39,0.0,7.943190710082986e-26,0.0,2.588934513096955e-41,0.0,7.376681271834825e-43,0.0,4.1398348860869987e-69
8.461949575890194e-07,1.294775520862841e-25,4.219216734913685e-27,0.0,5.950459916518598e-31,0.0,1.100020624492532e-25,0.0,2.9554070228703235e-33,0.0,7.383438580246814e-35,0.0,5.633019264273945e-61,1.6170018570650437e-21,2.471665394582433e-18,1.2653504729821987e-25,2.2589580644174336e-27,0.0,1.0156837345521421e-30,0.0,1.063447168020758e-25,0.0,4.7248185357925766e-33,0.0,9.630794947662162e-35,0.0,1.058561533584292e-60,1.3107396016482238e-25,6.55460604975781e-27,0.0,7.002727452700301e-39,0.0,1.1160227084000408e-25,0.0,3.7850128441798773e-41,0.0,1.1126946174328689e-42,0.0,6.714495166761865e-69
9.351900581496415e-07,1.8148914971926514e-25,6.1428951053341584e-27,0.0,8.710886073465371e-31,0.0,1.546691571628156e-25,0.0,4.318107246150006e-33,0.0,1.1165298697133048e-34,0.0,9.163262524088737e-61,1.6170018570650437e-21,2.471665394582433e-18,1.7734627141459692e-25,3.283107889350136e-27,0.0,1.4856930779124788e-30,0.0,1.4969339111112277e-25,0.0,6.902451855952455e-33,0.0,1.462305371824895e-34,0.0,1.728978261750858e-60,1.8379127585830499e-25,9.560949705293939e-27,0.0,1.0260534244306461e-38,0.0,1.5681188187600112e-25,0.0,5.534507620922161e-41,0.0,1.6788193914858378e-42,0.0,1.0897789494186152e-68
1.0335448551404555e-06,2.544661175072487e-25,8.946629782437718e-27,0.0,1.2753497862005083e-30,0.0,2.1749160738279477e-25,0.0,6.31044287304547e-33,0.0,1.6888216419912088e-34,0.0,1.4916091402348608e-60,1.6170018570650437e-21,2.471665394582433e-18,2.4863354435221057e-25,4.773436637901983e-27,0.0,2.1735848061416247e-30,0.0,2.1073338479539268e-25,0.0,1.0086227864037292e-32,0.0,2.2207865704453396e-34,0.0,2.825856081656521e-60,2.577855349496081e-25,1.395036120956665e-26,0.0,1.5035236903481671e-38,0.0,2.2034551006538094e-25,0.0,8.09382424986679e-41,0.0,2.533512875200896e-42,0.0,1.769900512011889e-68
1.142243716427941e-06,3.5688374682618714e-25,1.3034236025936552e-26,0.0,1.867459230960927e-30,0.0,3.0585214802585664e-25,0.0,9.223925690063508e-33,0.0,2.554928706271575e-34,0.0,2.4296798634404025e-60,1.6170018570650437e-21,2.471665394582433e-18,3.4867310650691347e-25,6.942911534057449e-27,0.0,3.180539194786239e-30,0.0,2.966900808139865e-25,0.0,1.474211921894845e-32,0.0,3.373247684400245e-34,0.0,4.6215832585546836e-60,3.61668868231369e-25,2.0360720074978927e-26,0.0,2.2033689501321014e-38,0.0,3.096293862287679e-25,0.0,1.1838355305124387e-40,0.0,3.823957835500732e-42,0.0,2.8763231346494465e-68
1.2623745367508046e-06,5.006531273714446e-25,1.8995377365786444e-26,0.0,2.7348211767085712e-30,0.0,4.301369334458017e-25,0.0,1.348533907714447e-32,0.0,3.865770948795384e-34,0.0,3.9602900742349495e-60,1.6170018570650437e-21,2.471665394582433e-18,4.89096147590235e-25,1.0102146819407106e-26,0.0,4.6548187015300416e-30,0.0,4.177420410122663e-25,0.0,2.1552461008442705e-32,0.0,5.124400743825718e-34,0.0,7.563217422377271e-60,5.075489218403715e-25,2.972482814273069e-26,0.0,3.2292490588053457e-38,0.0,4.35098819988948e-25,0.0,1.7317806288346628e-40,0.0,5.77237681505213e-42,0.0,4.677347885306719e-68
1.3951396257362091e-06,7.025179546514563e-25,2.769136349534543e-26,0.0,4.005575525893285e-30,0.0,6.049579556253856e-25,0.0,1.971966595028866e-32,0.0,5.8497467855429345e-34,0.0,6.459292225180763e-60,1.6170018570650437e-21,2.471665394582433e-18,6.86252772363245e-25,1.4704342874535797e-26,0.0,6.813728070967323e-30,0.0,5.882290730069518e-25,0.0,3.1516696190893176e-32,0.0,7.78525169335892e-34,0.0,1.2384928619497137e-59,7.124515783685641e-25,4.3407113642123893e-26,0.0,4.733202621177891e-38,0.0,6.114172029933454e-25,0.0,2.5337301308340496e-40,0.0,8.71423378968076e-42,0.0,7.610811860478055e-68
