Energy,Flux Value,Flux Error,Is Upper Limit
1.5095185772444614e-06,1.68e-15,2.77e-16,0.0
1.5880962566078716e-06,1.824e-15,0.0,0.0
1.6873522726458637e-06,1.22e-15,2.86e-16,0.0
5.7899342688828654e-06,4.52e-15,0.0,0.0
5.7899342688828654e-06,4.5524e-15,1.3668e-16,0.0
5.7899342688828654e-06,4.76e-15,4.99e-16,0.0
5.7899342688828654e-06,4.522e-15,0.0,0.0
5.7899342688828654e-06,4.55e-15,1.37e-16,0.0
5.7899342688828654e-06,5.1736e-15,1.96e-18,0.0
1.1166301804274097e-05,1.27e-14,5.51e-16,0.0
1.9975273227645886e-05,1.69e-14,0.0,0.0
2.0057986574344214e-05,1.5908e-14,1.4065e-15,0.0
2.0057986574344214e-05,3.3601e-14,2.425e-17,0.0
2.0057986574344214e-05,1.75e-14,2.63e-15,0.0
2.0057986574344214e-05,1.77e-14,2.33e-15,0.0
2.0057986574344214e-05,1.7654e-14,2.328e-15,0.0
2.0223413267740866e-05,2.98e-14,0.0,0.0
2.067833667458166e-05,1.805e-14,0.0,0.0
2.067833667458166e-05,3.69e-14,0.0,0.0
2.067833667458166e-05,1.41e-14,0.0,0.0
3.3416192066123964e-05,4.45e-14,3.62e-15,0.0
3.473960561329719e-05,5.76e-14,0.0,0.0
3.473960561329719e-05,5.7574e-14,0.0,0.0
3.498774565339217e-05,5.7985e-14,3.384e-17,0.0
6.203501002374499e-05,2.57e-13,0.0,0.0
6.203501002374499e-05,1.51e-13,1.95e-15,0.0
6.203501002374499e-05,1.44e-13,0.0,0.0
9.098468136815932e-05,1.5e-13,0.0,0.0
9.098468136815932e-05,1.23e-13,0.0,0.0
9.512034870307565e-05,1.84e-13,1.84e-14,0.0
9.512034870307565e-05,2.17e-13,3.91e-14,0.0
0.00011745295231162385,2.9511e-13,3.0048e-14,0.0
0.00012407002004748998,2.4987e-13,2.0551e-14,0.0
0.00013647702205223897,2.64e-13,3.3e-14,0.0
0.00015219255792492102,3.75e-13,0.0,0.0
0.0001530196913919043,4.59e-13,0.0,0.0
0.0001530196913919043,4.255e-13,4.81e-14,0.0
0.0001530196913919043,4.107e-13,5.18e-14,0.0
0.0001530196913919043,4.551e-13,3.33e-14,0.0
0.0001530196913919043,3.922e-13,5.55e-14,0.0
0.0001530196913919043,4.81e-13,4.07e-14,0.0
0.0001530196913919043,3.885e-13,2.59e-14,0.0
0.0001530196913919043,3.996e-13,2.59e-14,0.0
0.0001530196913919043,4.07e-13,2.96e-14,0.0
0.0001530196913919043,4.44e-13,6.29e-14,0.0
0.0001530196913919043,4.699e-13,4.81e-14,0.0
0.0001530196913919043,4.921e-13,5.18e-14,0.0
0.0001530196913919043,4.144e-13,5.18e-14,0.0
0.0001530196913919043,3.922e-13,2.96e-14,0.0
0.0001530196913919043,2.368e-13,1.85e-14,0.0
0.0001530196913919043,2.59e-13,4.81e-14,0.0
0.0001530196913919043,5.661e-13,7.77e-14,0.0
0.0001530196913919043,6.253e-13,6.29e-14,0.0
0.0001530196913919043,4.144e-13,3.7e-14,0.0
0.00016956236073156964,3.28e-13,4.1e-14,0.0
0.00016956236073156964,2.87e-13,8.2e-14,0.0
0.0002522757074298963,1.83e-13,1.22e-13,0.0
0.0002911509803781098,6.9174e-13,1.0167e-13,0.0
0.00038875272948213525,5.64e-13,3.76e-13,0.0
0.0004131531667581416,8.99e-13,0.0,0.0
0.00041356673349163324,8.8192e-13,6.8261e-14,0.0
0.00041356673349163324,4.9653e-13,8.8436e-14,0.0
0.0005914004288930355,7.4208e-13,7.5244e-14,0.0
0.0005914004288930355,1.0717e-12,5.1815e-14,0.0
0.0008974398116768441,1.2095e-12,1.2072e-13,0.0
0.0008974398116768441,1.1956e-12,8.1104e-14,0.0
0.0009512034870307565,1.61e-12,0.0,0.0
0.0014598905692254653,1.9621e-12,2.5909e-13,0.0
0.0014598905692254653,1.9499e-12,2.904e-13,0.0
0.05636914577490961,1.4081e-12,1.327e-13,0.0
0.05636914577490961,1.3622e-12,1.1681e-13,0.0
0.10330897002620998,1.0203e-12,4.0588e-14,0.0
0.10330897002620998,1.025e-12,3.5594e-14,0.0
0.2695214402164974,1.3068e-12,3.5911e-14,0.0
0.2695214402164974,3.3281e-12,8.1461e-14,0.0
0.36464178891957305,1.3099e-12,3.7012e-14,0.0
0.36464178891957305,3.3391e-12,8.667e-14,0.0
0.5707220922184538,9.63e-13,1.08e-13,0.0
0.5748577595533703,9.6932e-13,1.1527e-13,0.0
0.746487953952398,1.1171e-12,1.4558e-13,0.0
0.7526914549547725,1.13e-12,1.38e-13,0.0
0.9925601603799198,7.62e-13,1.01e-13,0.0
1.004553595651177,7.7171e-13,1.0945e-13,0.0
1.344091883847808,2.84e-12,3.93e-14,0.0
1.3589802862535068,2.9751e-12,2.4992e-14,0.0
1.3589802862535068,2.9732e-12,2.2293e-14,0.0
1.5632822525983736,1.06e-12,3.89e-14,0.0
1.5632822525983736,3.5e-13,1.93e-14,0.0
1.6087745932824533,2.58e-12,3.33e-14,0.0
1.62821222975656,2.7003e-12,1.2164e-14,0.0
1.62821222975656,2.6793e-12,1.256e-14,0.0
1.9354923127408437,3.97e-12,0.0,0.0
1.9727133187550905,2.3e-12,2.33e-14,0.0
1.991323821762214,2.3583e-12,1.0641e-14,0.0
1.991323821762214,2.3463e-12,1.0829e-14,0.0
2.2870240362087317,1.055e-12,2.446e-13,0.0
2.2952953708785646,9.6414e-13,9.4109e-14,0.0
2.551706745643377,1.86e-12,1.89e-14,0.0
2.6009211869288813,1.9708e-12,9.6563e-15,0.0
2.6009211869288813,1.9599e-12,9.5212e-15,0.0
2.857746128427186,1.132e-12,1.244e-13,0.0
2.8639496294295603,8.0805e-13,9.7591e-14,0.0
3.457417891990054,1.52e-12,2.81e-14,0.0
3.4950524647377925,1.5369e-12,1.9863e-14,0.0
3.4950524647377925,1.5396e-12,2.0718e-14,0.0
3.531859904018548,8.21e-13,8.512e-14,0.0
3.5413719388888554,1.0013e-12,5.9675e-14,0.0
4.714660761804619,7.422e-13,5.051e-14,0.0
4.784967106498197,9.8841e-13,4.8684e-14,0.0
5.335010862042068,2.9e-13,5.19e-14,0.0
