Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
8.9887068314145e-06,5.669012409531899e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9031453679326325e-22,3.2973053026303936e-18,5.669012409531899e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.669012409531899e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.934057381187187e-06,2.241344406996796e-16,2.244495779686116e-16,0.0,2.167765117215246e-21,0.0,6.7397954711870574e-21,0.0,2.2437786106500368e-27,0.0,1.5532454591553915e-22,0.0,2.4354362352606645e-55,6.9031453679326325e-22,3.2973053026303936e-18,2.2410693106754635e-16,2.24416907405127e-16,0.0,4.788147704884914e-21,0.0,8.233079076485889e-21,0.0,7.219991847685744e-27,0.0,3.4294285774068533e-22,0.0,5.968664889111932e-55,2.2415719458792947e-16,2.244767023673607e-16,0.0,2.167385089129815e-30,0.0,5.51485166040284e-21,0.0,1.3948148599978756e-36,0.0,1.5534917474361608e-31,0.0,2.2141279601499105e-64
1.0978831316182826e-05,2.97172653228139e-16,2.975928493861109e-16,0.0,2.8574575012923263e-21,0.0,8.22756280968188e-21,0.0,2.947240696408099e-27,0.0,1.996652254538957e-22,0.0,3.443929046669954e-55,6.9031453679326325e-22,3.2973053026303936e-18,2.9713864674989093e-16,2.975521507707707e-16,0.0,6.311586195935037e-21,0.0,1.0143367056071775e-20,0.0,9.476898513051435e-27,0.0,4.408472672594728e-22,0.0,8.439009300675672e-55,2.9720078326995037e-16,2.976264632283609e-16,0.0,2.856943660417004e-30,0.0,6.656126517146814e-21,0.0,1.834642886452147e-36,0.0,1.9969520185557468e-31,0.0,3.131447062173157e-64
1.2133485085103417e-05,3.9289966645865844e-16,3.9344895049206294e-16,0.0,3.751943518466062e-21,0.0,1.000453889866066e-20,0.0,3.854490471840774e-27,0.0,2.5587527221114558e-22,0.0,4.853276341691811e-55,6.9031453679326325e-22,3.2973053026303936e-18,3.9285796460675176e-16,3.93398600128696e-16,0.0,8.28740178370575e-21,0.0,1.2451999884561853e-20,0.0,1.2384332076110547e-26,0.0,5.6496053061468135e-22,0.0,1.1890497107971531e-54,3.9293416501011605e-16,3.934905387104241e-16,0.0,3.7512448764042406e-30,0.0,7.997101454099552e-21,0.0,2.4031176379142182e-36,0.0,2.559117086866847e-31,0.0,4.413668187864062e-64
1.3409574850960939e-05,5.177810827587597e-16,5.184892331751457e-16,0.0,4.904276565033984e-21,0.0,1.2110628919839114e-20,0.0,5.015903996318606e-27,0.0,3.2680146651828015e-22,0.0,6.812000659493444e-55,6.9031453679326325e-22,3.2973053026303936e-18,5.177304402617632e-16,5.184274659484146e-16,0.0,1.083279112200443e-20,0.0,1.522197304664865e-20,0.0,1.6101530972221903e-26,0.0,7.215690720870363e-22,0.0,1.6686192855082898e-54,5.178229810354442e-16,5.185402546568201e-16,0.0,4.903332517755756e-30,0.0,9.558761600346666e-21,0.0,3.132636302884568e-36,0.0,3.2684544208259117e-31,0.0,6.196170125459643e-64
1.481987214904064e-05,6.798208441720575e-16,6.807171500409738e-16,0.0,6.377676408801319e-21,0.0,1.4585965575881435e-20,0.0,6.490728174770615e-27,0.0,4.158129597892687e-22,0.0,9.517090954316537e-55,6.9031453679326325e-22,3.2973053026303936e-18,6.79760069528499e-16,6.80642144625488e-16,0.0,1.408741032796844e-20,0.0,1.8519455040601544e-20,0.0,2.0815260608921195e-26,0.0,9.181129906464916e-22,0.0,2.3307418690984518e-54,6.798711290653644e-16,6.807791101998316e-16,0.0,6.37640918370301e-30,0.0,1.135988701911071e-20,0.0,4.06148946836107e-36,0.0,4.158655949102074e-31,0.0,8.658589196501506e-64
1.637849170871893e-05,8.887602898838357e-16,8.898652104419002e-16,0.0,8.24575754919149e-21,0.0,1.7468530554020377e-20,0.0,8.346977107150651e-27,0.0,5.268152669669247e-22,0.0,1.322595877368374e-54,6.9031453679326325e-22,3.2973053026303936e-18,8.886884045846978e-16,8.897752390651705e-16,0.0,1.821387986563173e-20,0.0,2.2410909030944123e-20,0.0,2.673927648191018e-26,0.0,1.1632170340192803e-21,0.0,3.238283564101207e-54,8.888197721606576e-16,8.89939537403799e-16,0.0,8.24406871519836e-30,0.0,1.3415100525279494e-20,0.0,5.2338769195147025e-36,0.0,5.268776564357288e-31,0.0,1.2035773783101185e-63
1.8101032718419308e-05,1.1562061337471357e-15,1.1575154804277186e-15,0.0,1.059228620298362e-20,0.0,2.0792155714439267e-20,0.0,1.066105568517818e-26,0.0,6.642098047235088e-22,0.0,1.8269658460664447e-54,6.9031453679326325e-22,3.2973053026303936e-18,1.1561225993368972e-15,1.1574091306693173e-15,0.0,2.3397248025678575e-20,0.0,2.696051054415836e-20,0.0,3.4113045864877904e-26,0.0,1.466601319113174e-21,0.0,4.472060030469381e-54,1.1562752600665128e-15,1.1576033416393602e-15,0.0,1.0590053129697735e-29,0.0,1.573334846354361e-20,0.0,6.69969876929783e-36,0.0,6.642829229691668e-31,0.0,1.662989476955552e-63
2.0004734947532757e-05,1.495642102576825e-15,1.4971018359543309e-15,0.0,1.3510424120472389e-20,0.0,2.4584935740233643e-20,0.0,1.351706666683355e-26,0.0,8.3278541650078605e-22,0.0,2.5067090628229725e-54,6.9031453679326325e-22,3.2973053026303936e-18,1.495547108466717e-15,1.496978297155085e-15,0.0,2.9843320462358333e-20,0.0,3.222789272417179e-20,0.0,4.3199581334133836e-26,0.0,1.8388418366521504e-21,0.0,6.134292337250795e-54,1.4957207171837291e-15,1.4972039013486542e-15,0.0,1.3507496645892736e-29,0.0,1.831686238541682e-20,0.0,8.514100826968507e-36,0.0,8.328700028575297e-31,0.0,2.2823452906232817e-63
2.21086512878248e-05,1.9222998522692177e-15,1.9237733118865446e-15,0.0,1.7101676402084853e-20,0.0,2.886848791245782e-20,0.0,1.7006031301280575e-26,0.0,1.0375443144216427e-21,0.0,3.414024891287005e-54,6.9031453679326325e-22,3.2973053026303936e-18,1.9221946342223324e-15,1.923632693501613e-15,0.0,3.777633543132006e-20,0.0,3.826680651242553e-20,0.0,5.428312711262749e-26,0.0,2.2909860765163407e-21,0.0,8.352319815398338e-54,1.9223869332652347e-15,1.9238894906081817e-15,0.0,1.7097873945924693e-29,0.0,2.1160912652773522e-20,0.0,1.0736917012979989e-35,0.0,1.0376407570275027e-30,0.0,3.1093229689559555e-63
