Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
7584070796.460177,4.091460413717938e-31,4.091460413717938e-31,1.6449688891526473e-22
8381694484.874603,4.996960913582517e-31,4.996960913582517e-31,2.0090272061062452e-22
9263204988.878456,6.102801575442829e-31,6.102801575442829e-31,2.453633656350194e-22
10237424761.881723,7.453282373136506e-31,7.453282373136506e-31,2.996599735863611e-22
11314104122.819193,9.102488556016115e-31,9.102488556016115e-31,3.6596714239435243e-22
12504018840.619556,1.1116447554485584e-30,1.1116447554485584e-30,4.469396504197674e-22
13819077981.722712,1.3575759327448903e-30,1.3575759327448903e-30,5.458182292468351e-22
15272443100.019457,1.6578803186474503e-30,1.6578803186474503e-30,6.665585222850208e-22
16878659962.106594,2.024564615772464e-30,2.024564615772464e-30,8.1398826100474655e-22
18653804126.20802,2.472280449914727e-30,2.472280449914727e-30,9.939987599803566e-22
20615641831.764618,3.0189041928650218e-30,3.0189041928650218e-30,1.2137781183616196e-21
22783807809.93003,3.6862426414464845e-30,3.6862426414464845e-30,1.4820950584787061e-21
25180001794.559486,4.500891313225119e-30,4.500891313225119e-30,1.8096441767068734e-21
27828205700.43976,5.495277562222041e-30,5.495277562222041e-30,2.209465577070457e-21
30754923642.35298,6.7089271595786e-30,6.7089271595786e-30,2.6974544580176094e-21
33989447197.165676,8.190000560941344e-30,8.190000560941344e-30,3.2929792834876956e-21
37564148563.775345,9.997151741161306e-30,9.997151741161306e-30,4.019629884458939e-21
41514804554.95763,1.2201751668376253e-29,1.2201751668376253e-29,4.90611268742347e-21
45880954663.73359,1.4890641260362466e-29,1.4890641260362466e-29,5.987358787610719e-21
50706296787.90562,1.8169381480948604e-29,1.8169381480948604e-29,7.305833024601279e-21
56039124573.30591,2.2166217150899035e-29,2.2166217150899035e-29,8.91313055274724e-21
61932810752.83609,2.703676619245066e-29,2.703676619245066e-29,1.0871866827888336e-20
68446341318.71719,3.2969703156207816e-29,3.2969703156207816e-29,1.3257968684468447e-20
75644905874.12582,4.019344036705051e-29,4.019344036705051e-29,1.6163369700593065e-20
83600550072.6536,4.8983307309711917e-29,4.8983307309711917e-29,1.9698915603469188e-20
92392896675.42369,5.966564172548805e-29,5.966564172548805e-29,2.3996068853090203e-20
102109942442.44646,7.262670089981883e-29,7.262670089981883e-29,2.921053300408679e-20
112848938833.77011,8.832345117176896e-29,8.832345117176896e-29,3.5526640149169684e-20
124717365334.78033,1.0729556319197863e-28,1.0729556319197863e-28,4.316224390611623e-20
137834005147.01514,1.301835784025311e-28,1.301835784025311e-28,5.237607791392287e-20
152330134010.3702,1.5774581027856092e-28,1.5774581027856092e-28,6.347466002074581e-20
168350834054.82727,1.908851439991058e-28,1.908851439991058e-28,7.682314701203145e-20
186056445831.17447,2.3067396479755156e-28,2.3067396479755156e-28,9.285551566245601e-20
205624173053.1311,2.7838718756629934e-28,2.7838718756629934e-28,1.1208800996105563e-19
227249856111.6748,3.355424329258324e-28,3.355424329258324e-28,1.3513549645545053e-19
251149932111.49835,4.039512167131078e-28,4.039512167131078e-28,1.6273226736056044e-19
277563601046.3012,4.857090572437477e-28,4.857090572437477e-28,1.9572890217062e-19
306755219792.7236,5.830019479496698e-28,5.830019479496698e-28,2.350169089356307e-19
339016947882.8214,6.9919513508315485e-28,6.9919513508315485e-28,2.819589354642759e-19
374671671534.8617,8.373769978958783e-28,8.373769978958783e-28,3.378161234562422e-19
414076235207.1205,1.0022914069579124e-27,1.0022914069579124e-27,4.045115811392174e-19
457625013017.1614,1.1983209235748942e-27,1.1983209235748942e-27,4.838368563066799e-19
505753855770.5563,1.4320925012171763e-27,1.4320925012171763e-27,5.784822132061351e-19
558944453102.2441,1.7097904361892114e-27,1.7097904361892114e-27,6.909787945135618e-19
617729154388.2982,2.040904808070229e-27,2.040904808070229e-27,8.251816600586843e-19
682696296677.4088,2.434061284747276e-27,2.434061284747276e-27,9.846267438195177e-19
754496092965.817,2.902732984317722e-27,2.902732984317722e-27,1.1747917407137548e-18
833847139747.521,3.459133671566013e-27,3.459133671566013e-27,1.4006879721944826e-18
921543608969.521,4.121489039578656e-27,4.121489039578656e-27,1.6697426923333047e-18
1018463196371.5907,4.906942634943302e-27,4.906942634943302e-27,1.9889978499340484e-18
1125575905760.249,5.84150487632476e-27,5.84150487632476e-27,2.3690588915561476e-18
1243953757132.884,6.949156371279074e-27,6.949156371279074e-27,2.819787328284768e-18
1374781515814.2,8.265569622778918e-27,8.265569622778918e-27,3.3557547146404713e-18
1519368549985.8108,9.823722878868612e-27,9.823722878868612e-27,3.990545714609685e-18
1679161935283.0833,1.1673212362692487e-26,1.1673212362692487e-26,4.7444452653138854e-18
1855760937614.4856,1.385962896780407e-26,1.385962896780407e-26,5.636258038045439e-18
2050933019152.327,1.6451901738993854e-26,1.6451901738993854e-26,6.694209435736394e-18
2266631527688.2363,1.951312561761346e-26,1.951312561761346e-26,7.944351068977565e-18
2505015246394.417,2.3138722600216274e-26,2.3138722600216274e-26,9.4258038331608e-18
2768469999651.2114,2.7416184000511244e-26,2.7416184000511244e-26,1.1174717577896801e-17
3059632531179.416,3.247812891046784e-26,3.247812891046784e-26,1.3245511946899409e-17
3381416893457.675,3.844634389617717e-26,3.844634389617717e-26,1.5688517841075147e-17
3737043612539.121,4.550431462632904e-26,4.550431462632904e-26,1.857909515084405e-17
4130071920158.5977,5.381760917904872e-26,5.381760917904872e-26,2.1985735375355178e-17
4564435375720.128,6.36359791166522e-26,6.36359791166522e-26,2.601115428677138e-17
5044481234681.576,7.518665465818553e-26,7.518665465818553e-26,3.074936443522089e-17
5575013957348.417,8.881225031281461e-26,8.881225031281461e-26,3.6341386724786424e-17
6161343293527.298,1.0482372505529958e-25,1.0482372505529958e-25,4.2915851950630367e-17
6809337424286.802,1.2369063513415424e-25,1.2369063513415424e-25,5.066614035104921e-17
7525481692685.907,1.4583889012004837e-25,1.4583889012004837e-25,5.976830362072807e-17
8316943511267.159,1.7191302031699336e-25,1.7191302031699336e-25,7.04878320591378e-17
9191644095930.434,2.0249812044589487e-25,2.0249812044589487e-25,8.306622916841835e-17
10158337744124.04,2.3848012668665617e-25,2.3848012668665617e-25,9.786834153329154e-17
11226699450796.074,2.8066377435342306e-25,2.8066377435342306e-25,1.152256337686043e-16
12407421738995.66,3.30267410891883e-25,3.30267410891883e-25,1.3563953285674024e-16
13712321674237.578,3.8839585170628585e-25,3.8839585170628585e-25,1.595638902107625e-16
15154459133665.754,4.567192332885896e-25,4.567192332885896e-25,1.8768545884087035e-16
16748267513693.258,5.36758084297359e-25,5.36758084297359e-25,2.206267174268122e-16
18509698184284.93,6.3081326339777475e-25,6.3081326339777475e-25,2.593323372946711e-16
20456380135629.32,7.409840547164932e-25,7.409840547164932e-25,3.0465811937938666e-16
22607796414997.887,8.704425263379287e-25,8.704425263379287e-25,3.5790389812176325e-16
24985479119630.543,1.0220888999404887e-24,1.0220888999404887e-24,4.2024627749877377e-16
27613224897202.047,1.2002963955716517e-24,1.2002963955716517e-24,4.934731318682523e-16
30517333110670.11,1.409065255973102e-24,1.409065255973102e-24,5.791986748194938e-16
33726869051139.633,1.6544113401888528e-24,1.6544113401888528e-24,6.798759748819666e-16
37273954833065.12,1.941821786986245e-24,1.941821786986245e-24,7.97706596085796e-16
41194090883168.78,2.2795456014898246e-24,2.2795456014898246e-24,9.360448935367956e-16
45526511240643.38,2.675046907988142e-24,2.675046907988142e-24,1.0978675669434812e-15
50314576224603.11,3.139517755789742e-24,3.139517755789742e-24,1.287713470379953e-15
55606206398731.76,3.682912290533885e-24,3.682912290533885e-24,1.5095273402314255e-15
61454362176390.305,4.320222115143677e-24,4.320222115143677e-24,1.7693734485451703e-15
67917573866234.6,5.064381761607182e-24,5.064381761607182e-24,2.072342962544693e-15
75060527463217.22,5.935126462490289e-24,5.935126462490289e-24,2.4264009100983287e-15
82954712047766.1,6.948632834317015e-24,6.948632834317015e-24,2.837865684604295e-15
91679135272530.61,8.13029423192686e-24,8.13029423192686e-24,3.316966936640478e-15
101321114097524.12,9.49921212916444e-24,9.49921212916444e-24,3.871093453910508e-15
111977148687608.33,1.1087152699524655e-23,1.1087152699524655e-23,4.513025697626725e-15
123753888218577.36,1.2914681728083464e-23,1.2914681728083464e-23,5.25060429928965e-15
136769198257956.16,1.502021255818052e-23,1.502021255818052e-23,6.099276104748162e-15
151153340403215.62,1.742226606266904e-23,1.742226606266904e-23,7.065895815723064e-15
167050275983622.62,2.0165472197018608e-23,2.0165472197018608e-23,8.168420662273636e-15
184619106873610.78,2.325950439215402e-23,2.325950439215402e-23,9.409973136006428e-15
204035667837814.5,2.675401100725838e-23,2.675401100725838e-23,1.0810573558517296e-14
225494286344495.25,3.063817427753063e-23,3.063817427753063e-23,1.2364951661766962e-14
249209727460158.7,3.4965164464899545e-23,3.4965164464899545e-23,1.4094643816624576e-14
275419343290525.38,3.968555439686699e-23,3.968555439686699e-23,1.597877683952121e-14
304385448480182.4,4.485582213124291e-23,4.485582213124291e-23,1.80403859571674e-14
336397945545710.75,5.036209915785621e-23,5.036209915785621e-23,2.023275959246854e-14
371777226317514.7,5.626861747255522e-23,5.626861747255522e-23,2.2582279120369395e-14
410877378528945.44,6.236340320020722e-23,6.236340320020722e-23,2.5003102516045993e-14
454089729645349.8,6.87332209412909e-23,6.87332209412909e-23,2.7530899361103048e-14
501846763400874.6,7.502839034386855e-23,7.502839034386855e-23,3.002511059345264e-14
554626448241036.75,8.139096256311239e-23,8.139096256311239e-23,3.2543722655908136e-14
612957020991582.0,8.729263826240415e-23,8.729263826240415e-23,3.4875412252125503e-14
677422273630180.4,9.298893347109874e-23,9.298893347109874e-23,3.7123496026174486e-14
748667396072758.9,9.773801580830462e-23,9.773801580830462e-23,3.8992262436026693e-14
827405433451036.6,1.0199474076265955e-22,1.0199474076265955e-22,4.0664201490989774e-14
914424422507861.0,1.0478346270905877e-22,1.0478346270905877e-22,4.175141074150149e-14
1010595278533806.1,1.0686150714467953e-22,1.0686150714467953e-22,4.255606586368434e-14
1116880511780121.0,1.070213697105615e-22,1.070213697105615e-22,4.2599073044642843e-14
1234343860584835.0,1.064135806656686e-22,1.064135806656686e-22,4.23377729068363e-14
1364160937623583.2,1.0362805552050872e-22,1.0362805552050872e-22,4.121366304069757e-14
1507630995836391.2,1.0024004584696776e-22,1.0024004584696776e-22,3.985128039982068e-14
1666189931787807.0,9.469728566166016e-23,9.469728566166016e-23,3.763673389237809e-14
1841424656602330.8,8.892597026130099e-23,8.892597026130099e-23,3.5332279398474046e-14
2035088978304331.2,8.132734564597823e-23,8.132734564597823e-23,3.230647856940109e-14
2249121154518232.5,7.398479860397897e-23,7.398479860397897e-23,2.938266153372599e-14
2485663291202275.0,6.538261852424394e-23,6.538261852424394e-23,2.5962869767787494e-14
2747082781564953.0,5.748863504298004e-23,5.748863504298004e-23,2.2823944906332973e-14
3035995999731941.5,4.901078407680258e-23,4.901078407680258e-23,1.945662860271982e-14
3355294486297742.5,4.154032928866778e-23,4.154032928866778e-23,1.648856474576217e-14
3708173887835839.5,3.4110451802708645e-23,3.4110451802708645e-23,1.3538935916942892e-14
4098165940003677.0,2.778562848812779e-23,2.778562848812779e-23,1.1027273293866067e-14
4529173814340211.0,2.1938628799505817e-23,2.1938628799505817e-23,8.706572331405927e-15
5005511182518553.0,1.7119055760408487e-23,1.7119055760408487e-23,6.793218545233417e-15
5531945389021947.0,1.2966312129217023e-23,1.2966312129217023e-23,5.145115356720114e-15
6113745164329740.0,9.657271912738412e-24,9.657271912738412e-24,3.831681868397504e-15
6756733356142847.0,6.99057737837063e-24,6.99057737837063e-24,2.7734004717263854e-15
7467345206400740.0,4.948407716504578e-24,4.948407716504578e-24,1.9629488845718227e-15
8252692757345690.0,3.404661394183975e-24,3.404661394183975e-24,1.3503755583355789e-15
9120636031231980.0,2.278292659038725e-24,2.278292659038725e-24,9.034618752543468e-16
1.0079861696070492e+16,1.479101066897337e-24,1.479101066897337e-24,5.864080764405266e-16
1.1139970004721776e+16,9.285041274089151e-25,9.285041274089151e-25,3.6801971545313473e-16
1.2311570877453538e+16,5.628527489659371e-25,5.628527489659371e-25,2.230207042563853e-16
1.3606390089588728e+16,3.2733640401488015e-25,3.2733640401488015e-25,1.2965686035699044e-16
1.5037386627006164e+16,1.8226428961944036e-25,1.8226428961944036e-25,7.216687542621525e-17
1.6618882384026892e+16,9.629012728160532e-26,9.629012728160532e-26,3.811118948979356e-17
1.8366705501746204e+16,4.810026443384848e-26,4.810026443384848e-26,1.903060740552624e-17
2.0298348781389892e+16,2.248111999190692e-26,2.248111999190692e-26,8.891474246895812e-18
2.243314475814836e+16,9.78663767534698e-27,9.78663767534698e-27,3.869547972881319e-18
2.4792459187686716e+16,3.9228049922321275e-27,3.9228049922321275e-27,1.5507128751666217e-18
2.739990488180879e+16,1.4408625075395419e-27,1.4408625075395419e-27,5.695213350113634e-19
3.028157803341403e+16,4.786472429705707e-28,4.786472429705707e-28,1.8920159944577735e-19
3.346631939596754e+16,1.4320857390966896e-28,1.4320857390966896e-28,5.662191438872886e-20
3.698600293145429e+16,3.8000722845664744e-29,3.8000722845664744e-29,1.5032974611722682e-20
4.08758548157039e+16,8.91860068784811e-30,8.91860068784811e-30,3.531448149608502e-21
4.517480599379844e+16,1.8231593640568386e-30,1.8231593640568386e-30,7.230022657534519e-22
4.992588181405547e+16,3.2480766335822594e-31,3.2480766335822594e-31,1.290976058044492e-22
5.5176632640175944e+16,5.018427496394915e-32,5.018427496394915e-32,2.0010097320315196e-23
6.097960975126597e+16,6.806349443538911e-33,6.806349443538911e-33,2.724834979453673e-24
6.73928912927013e+16,8.285111925416976e-34,8.285111925416976e-34,3.3304014651577443e-25
7.448066354172714e+16,9.253553295816245e-35,9.253553295816245e-35,3.7296977827561006e-26
8.231386330529381e+16,9.595882138236987e-36,9.595882138236987e-36,3.8674121761560735e-27
9.097088787946504e+16,8.940634352116095e-37,8.940634352116095e-37,3.5945225211340587e-28
1.0053837967590533e+17,7.141599046893094e-38,7.141599046893094e-38,2.8610763865725477e-29
