Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
1.1285136727385466e-05,1.914907456908754e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.914907456908754e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.914907456908754e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5552599664744038e-21,9.359977630658267e-19
1.2472004917613776e-05,1.8950450257491303e-20,1.8918674677170933e-20,0.0,2.690279170467416e-26,0.0,1.4655958683914986e-24,0.0,1.0913305839017734e-29,0.0,1.38661105160239e-25,0.0,3.3562659067654444e-55,1.8942339893061967e-20,1.8909307702298458e-20,0.0,8.713212804482283e-26,0.0,1.6679001694676762e-24,0.0,3.444325981736431e-29,0.0,4.0807572328340518e-25,0.0,1.031351530759138e-54,1.8954361404302332e-20,1.8923155127059468e-20,0.0,2.5613586520304337e-36,0.0,1.376260751994876e-24,0.0,1.0542241572155974e-39,0.0,1.3871148481958664e-35,0.0,3.2897715460135068e-65,1.5552599664744038e-21,9.359977630658267e-19
1.378369712504323e-05,2.5228096951877134e-20,2.518535917444924e-20,0.0,3.624781258197421e-26,0.0,1.888794840503009e-24,0.0,1.4774450105821777e-29,0.0,1.8123670284809465e-25,0.0,4.857161829115149e-55,2.5217241372519975e-20,2.5172841687434274e-20,0.0,1.1742834133159019e-25,0.0,2.1521656399172684e-24,0.0,4.662966552922662e-29,0.0,5.3337818487265775e-25,0.0,1.4925741793915248e-54,2.5233334057856538e-20,2.5191348983122314e-20,0.0,3.450584587838882e-36,0.0,1.7724959550516527e-24,0.0,1.42720554216846e-39,0.0,1.81301967671036e-35,0.0,4.760916378147093e-65,1.5552599664744038e-21,9.359977630658267e-19
1.5233341206160658e-05,3.3563597534860057e-20,3.3506114904598264e-20,0.0,4.886181688038489e-26,0.0,2.434803208865436e-24,0.0,2.0013785174287112e-29,0.0,2.3701503567121487e-25,0.0,7.033517119765692e-55,3.3549078968512796e-20,3.348939820978165e-20,0.0,1.5833390220397808e-25,0.0,2.7778373289559137e-24,0.0,6.316602107380751e-29,0.0,6.975386177341054e-25,0.0,2.161370215343484e-54,3.357060437628236e-20,3.3514117029756164e-20,0.0,4.650681502269657e-36,0.0,2.2833322308968925e-24,0.0,1.9333160840749407e-39,0.0,2.3709955133671016e-35,0.0,6.8941225436041545e-65,1.5552599664744038e-21,9.359977630658267e-19
1.6835445686172193e-05,4.462503614075725e-20,4.454772219562676e-20,0.0,6.590320878664212e-26,0.0,3.1397577713505276e-24,0.0,2.7130404941952306e-29,0.0,3.101625650352255e-25,0.0,1.0192308620215238e-54,4.460563726099771e-20,4.4525415918777894e-20,0.0,2.1361272207309985e-25,0.0,3.5868129649275764e-24,0.0,8.562768204336475e-29,0.0,9.12820368667078e-25,0.0,3.1320793988403386e-54,4.463440145043354e-20,4.4558403585508945e-20,0.0,6.271738217113685e-36,0.0,2.9423653580956876e-24,0.0,2.6207656372914725e-39,0.0,3.102719583881035e-35,0.0,9.990272350694731e-65,1.5552599664744038e-21,9.359977630658267e-19
1.860604496519965e-05,5.929612704306628e-20,5.919214321312822e-20,0.0,8.894984386732193e-26,0.0,4.0507237453388826e-24,0.0,3.6808270214274004e-29,0.0,4.061989506845301e-25,0.0,1.4782082950879172e-54,5.927023702588847e-20,5.916240794158852e-20,0.0,2.883932581941606e-25,0.0,4.633755924546318e-24,0.0,1.1617356422670478e-28,0.0,1.1954700565420348e-24,0.0,4.5425508265023955e-54,5.930862999737645e-20,5.920638636182666e-20,0.0,8.463678767057676e-36,0.0,3.7933099950377304e-24,0.0,3.5556206352242126e-39,0.0,4.063404643068213e-35,0.0,1.4489003771477836e-64,1.5552599664744038e-21,9.359977630658267e-19
2.0562859795946436e-05,7.874604154791236e-20,7.860619523093726e-20,0.0,1.2015600558273654e-25,0.0,5.229154491393642e-24,0.0,4.998699253916276e-29,0.0,5.324560282005165e-25,0.0,2.1459628220568603e-54,7.871153446167323e-20,7.856660327471102e-20,0.0,3.8967981072704447e-25,0.0,5.990167667205954e-24,0.0,1.577696042385004e-28,0.0,1.56706877230163e-24,0.0,6.594634901574699e-54,7.876271065777117e-20,7.862516504905701e-20,0.0,1.1431160138421155e-35,0.0,4.893189771360039e-24,0.0,4.828640903842894e-39,0.0,5.326389700346791e-35,0.0,2.103405467746841e-64,1.5552599664744038e-21,9.359977630658267e-19
2.2725474638946978e-05,1.0452230804919649e-19,1.0433424460122712e-19,0.0,1.6247088741174033e-25,0.0,6.75552030279448e-24,0.0,6.796096920566992e-29,0.0,6.987018950157685e-25,0.0,3.118895281063435e-54,1.044763861996357e-19,1.0428160018980231e-19,0.0,5.270643898974775e-25,0.0,7.74984644321964e-24,0.0,2.145017334928308e-28,0.0,2.056369414667183e-24,0.0,9.58460596053483e-54,1.0454449703216596e-19,1.0435947477627122e-19,0.0,1.5454303277665108e-35,0.0,6.316600997635377e-24,0.0,6.564854683827618e-39,0.0,6.989382063178486e-35,0.0,3.057026956155774e-64,1.5552599664744038e-21,9.359977630658267e-19
2.5115533670429824e-05,1.3867475777524158e-19,1.384218760720132e-19,0.0,2.199441009606122e-25,0.0,8.735533448189557e-24,0.0,9.251887537295073e-29,0.0,9.179938332333569e-25,0.0,4.538880733761214e-54,1.386137509656702e-19,1.3835198423087394e-19,0.0,7.137224659120209e-25,0.0,1.0036242273615105e-23,0.0,2.920162768820363e-28,0.0,2.7018078263028035e-24,0.0,1.394850678177872e-53,1.3870424279289258e-19,1.3845538008873976e-19,0.0,2.091767627694027e-35,0.0,8.161440844762238e-24,0.0,8.937031349010892e-39,0.0,9.182988027206624e-35,0.0,4.448818011604866e-64,1.5552599664744038e-21,9.359977630658267e-19
2.7756957404508808e-05,1.8392144253971016e-19,1.8358143977639504e-19,0.0,2.9815501745106325e-25,0.0,1.1308565743311685e-23,0.0,1.2614092903578965e-28,0.0,1.207850282860952e-24,0.0,6.615350704169246e-54,1.8384055228352224e-19,1.83488810659378e-19,0.0,9.678127973976005e-25,0.0,1.3012421338911785e-23,0.0,3.981427720512139e-28,0.0,3.554953398266699e-24,0.0,2.0330026026889436e-53,1.8396054611863856e-19,1.8362585295436932e-19,0.0,2.835101788002553e-35,0.0,1.0556645013401059e-23,0.0,1.2184733728171243e-38,0.0,1.2082434397690034e-34,0.0,6.484042129893843e-64,1.5552599664744038e-21,9.359977630658267e-19
