Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
4.72884588478693e-06,9.594620784155953e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.594620784155953e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.594620784155953e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.800530274241826e-23,1.1336546540051707e-19
5.226182947928209e-06,3.150475536936773e-17,3.1161292092829375e-17,0.0,3.024328024328596e-22,0.0,2.3403413822256888e-21,0.0,1.8902641316383315e-26,0.0,1.3240181496801192e-25,0.0,1.5289088341433584e-58,3.150437927861443e-17,3.116037316562948e-17,0.0,4.333247749786891e-22,0.0,2.7203729642080696e-21,0.0,2.708552477008859e-26,0.0,1.897039530948557e-25,0.0,2.20398734829603e-58,3.1505615428826705e-17,3.1163404203663357e-17,0.0,3.024516858688533e-30,0.0,1.4642268964491775e-21,0.0,1.8900790606913233e-34,0.0,1.3241162078700519e-33,0.0,1.5074414387364838e-66,1.800530274241826e-23,1.1336546540051707e-19
5.775825406593122e-06,4.2329551590649105e-17,4.1875701441064e-17,0.0,4.0675235670513507e-22,0.0,2.995325714941507e-21,0.0,2.5422722902878612e-26,0.0,1.7505530293726913e-25,0.0,2.204108855953616e-58,4.232909303403205e-17,4.1874516268221544e-17,0.0,5.827942099401444e-22,0.0,3.504361935349995e-21,0.0,3.64281698843465e-26,0.0,2.508177348919708e-25,0.0,3.1773164983959396e-58,4.2330600157594286e-17,4.1878426008748304e-17,0.0,4.067766302921978e-30,0.0,1.8217650775726106e-21,0.0,2.5420163010261775e-34,0.0,1.750677809141706e-33,0.0,2.1731619772221705e-66,1.800530274241826e-23,1.1336546540051707e-19
6.383274267249158e-06,5.68488490240316e-17,5.625146509146409e-17,0.0,5.4683746350558795e-22,0.0,3.836120115072432e-21,0.0,3.417818439792444e-26,0.0,2.3116517826666974e-25,0.0,3.1769935573570577e-58,5.684829115109194e-17,5.624993480563387e-17,0.0,7.835088325877796e-22,0.0,4.517798666723582e-21,0.0,4.8973908677965597e-26,0.0,3.3121185596358065e-25,0.0,4.5797685024746255e-58,5.685012459920093e-17,5.625498369981267e-17,0.0,5.468686965360106e-30,0.0,2.2644839023567824e-21,0.0,3.4174654816345217e-34,0.0,2.3118105916922925e-33,0.0,3.132391290362578e-66,1.800530274241826e-23,1.1336546540051707e-19
7.054609082264419e-06,7.63124218117785e-17,7.552882159241412e-17,0.0,7.348398591598481e-22,0.0,4.916532070183074e-21,0.0,4.592853733882456e-26,0.0,3.048741182150359e-25,0.0,4.578470458809593e-58,7.63117446118741e-17,7.552684341278524e-17,0.0,1.0528797959432933e-21,0.0,5.8291506906332e-21,0.0,6.581105378814277e-26,0.0,4.368219679799591e-25,0.0,6.600049065546979e-58,7.631397011312438e-17,7.553337093009441e-17,0.0,7.34880087199559e-30,0.0,2.812379938788759e-21,0.0,4.592368505573309e-34,0.0,3.0489433345555228e-33,0.0,4.514203868466605e-66,1.800530274241826e-23,1.1336546540051707e-19
7.79654879611098e-06,1.0238788788963859e-16,1.0136276381326888e-16,0.0,9.869827229008556e-22,0.0,6.3062274558642876e-21,0.0,6.168778560809204e-26,0.0,4.015661492599651e-25,0.0,6.596783717678481e-58,1.0238706774006992e-16,1.0136020372535797e-16,0.0,1.4141518759586714e-21,0.0,7.527607338286183e-21,0.0,8.839258337389873e-26,0.0,5.753623383479289e-25,0.0,9.509514133214389e-58,1.0238976288260896e-16,1.0136865255423503e-16,0.0,9.870345866361163e-30,0.0,3.490090004087823e-21,0.0,6.168113319301797e-34,0.0,4.015918854625673e-33,0.0,6.504210607148248e-66,1.800530274241826e-23,1.1336546540051707e-19
8.61651899081954e-06,1.3729789893426503e-16,1.359590648645255e-16,0.0,1.3248943740571905e-21,0.0,8.09541502654796e-21,0.0,8.28078042805965e-26,0.0,5.282285255223086e-25,0.0,9.502468406086543e-58,1.37296908206192e-16,1.3595574811045914e-16,0.0,1.8983144160336932e-21,0.0,9.729341738019362e-21,0.0,1.1865561594477406e-25,0.0,7.568443537658893e-25,0.0,1.3698140060320876e-57,1.37300163727701e-16,1.3596669560052827e-16,0.0,1.324961297723041e-29,0.0,4.3279363990706726e-21,0.0,8.279870727737937e-34,0.0,5.2826129328999184e-33,0.0,9.369166735833752e-66,1.800530274241826e-23,1.1336546540051707e-19
9.522726203700296e-06,1.8400089395013805e-16,1.8225355304616492e-16,0.0,1.7773622815874715e-21,0.0,1.0400881279638703e-20,0.0,1.1108800486603364e-25,0.0,6.939163675185038e-25,0.0,1.3684054765353373e-57,1.8399970077043214e-16,1.822492518222844e-16,0.0,2.546614504057962e-21,0.0,1.2585614410089032e-20,0.0,1.591785514205304e-25,0.0,9.942422604130254e-25,0.0,1.9725988397978394e-57,1.8400362133160342e-16,1.8226345066391305e-16,0.0,1.777448700741627e-29,0.0,5.3631890918758604e-21,0.0,1.1107559503306116e-33,0.0,6.93958087695372e-33,0.0,1.349218190791993e-65,1.800530274241826e-23,1.1336546540051707e-19
1.052424006112646e-05,2.4642851969198587e-16,2.441476746145385e-16,0.0,2.3826305878204675e-21,0.0,1.3373738594375986e-20,0.0,1.48918998469798e-25,0.0,9.103483450405663e-25,0.0,1.9699075331423673e-57,2.4642708801976056e-16,2.441420922392215e-16,0.0,3.413848909126829e-21,0.0,1.6293222639357645e-20,0.0,2.133869284175791e-25,0.0,1.3043466664682208e-24,0.0,2.839672705716768e-57,2.4643179193671196e-16,2.441605228195881e-16,0.0,2.3827422376598284e-29,0.0,6.6415816938563185e-21,0.0,1.489021083659212e-33,0.0,9.104014563230193e-33,0.0,1.942302373629913e-65,1.800530274241826e-23,1.1336546540051707e-19
1.1631084050403657e-05,3.2979641980492915e-16,3.2681693128064667e-16,0.0,3.191395105719414e-21,0.0,1.7209329844505347e-20,0.0,1.9946989788745602e-25,0.0,1.1926689185616132e-24,0.0,2.8346800489981806e-57,3.2979471008280123e-16,3.2680968195073256e-16,0.0,4.5726553757462716e-21,0.0,2.1107913890162203e-20,0.0,2.858218125743508e-25,0.0,1.7088566929294274e-24,0.0,4.086246810014469e-57,3.2980032715911653e-16,3.2683361930412673e-16,0.0,3.191539382124473e-29,0.0,8.219120359599588e-21,0.0,1.9944696097852258e-33,0.0,1.1927365108459974e-32,0.0,2.794985409556049e-65,1.800530274241826e-23,1.1336546540051707e-19
1.285433583819965e-05,4.4100943763213967e-16,4.3711307883780984e-16,0.0,4.2706848990032275e-21,0.0,2.2159819072637737e-20,0.0,2.6693110782757997e-25,0.0,1.5604212815235655e-24,0.0,4.077173086344736e-57,4.4100740843298334e-16,4.3710366194997977e-16,0.0,6.119074238184652e-21,0.0,2.73615055205858e-20,0.0,3.824876948868854e-25,0.0,2.2357740212290282e-24,0.0,5.877293276140697e-57,4.4101407450098616e-16,4.3713476069060877e-16,0.0,4.270871304449207e-29,0.0,1.016422428443593e-20,0.0,2.669000266429932e-33,0.0,1.5605072597889564e-32,0.0,4.0201306649913206e-65,1.800530274241826e-23,1.1336546540051707e-19
1.4206238139555775e-05,5.89187390286796e-16,5.840860545208681e-16,0.0,5.7088574078153426e-21,0.0,2.8550081761218286e-20,0.0,3.56826835926026e-25,0.0,2.038785104312345e-24,0.0,5.861046332770343e-57,5.891850016209908e-16,5.840738224195148e-16,0.0,8.179705556522701e-21,0.0,3.548357575501294e-20,0.0,5.113002943682e-25,0.0,2.9211763551439122e-24,0.0,8.448712413808988e-57,5.891928475945649e-16,5.841142234258134e-16,0.0,5.709098092236129e-29,0.0,1.2560230879699954e-20,0.0,3.567848087889986e-33,0.0,2.038894387956676e-32,0.0,5.779135689946582e-65,1.800530274241826e-23,1.1336546540051707e-19
1.570032124709416e-05,7.863433955017483e-16,7.796574002372768e-16,0.0,7.621970795121984e-21,0.0,3.6797573457916393e-20,0.0,4.7641387882159545e-25,0.0,2.6601441316188618e-24,0.0,8.419944398401048e-57,7.863406148120797e-16,7.796415182055498e-16,0.0,1.0920839581122836e-20,0.0,4.602869051094934e-20,0.0,6.826579860569163e-25,0.0,3.811463505681062e-24,0.0,1.2137274149001077e-56,7.863497468561799e-16,7.796939809744918e-16,0.0,7.622281196223011e-29,0.0,1.55082843528138e-20,0.0,4.763571732997191e-33,0.0,2.660282893722156e-32,0.0,8.302427196941095e-65,1.800530274241826e-23,1.1336546540051707e-19
1.735153844673361e-05,1.0482530431883554e-15,1.0394832367611179e-15,0.0,1.016182531539755e-20,0.0,4.7436873459687046e-20,0.0,6.351850362036435e-25,0.0,3.466059858597907e-24,0.0,1.2086771561152076e-56,1.0482498555867698e-15,1.0394626341659775e-15,0.0,1.455997865634886e-20,0.0,5.971016861859269e-20,0.0,9.101631527610455e-25,0.0,4.966185318323984e-24,0.0,1.742280673965338e-56,1.0482603212662006e-15,1.0395306984458874e-15,0.0,1.0162224891475985e-28,0.0,1.9130597994126212e-20,0.0,6.351086947214106e-33,0.0,3.466235808164401e-32,0.0,1.1918344271797362e-64,1.800530274241826e-23,1.1336546540051707e-19
1.917641567520151e-05,1.3955589994616523e-15,1.3840511178433644e-15,0.0,1.3525971788158562e-20,0.0,6.114952346879852e-20,0.0,8.454959578861242e-25,0.0,4.509737516736987e-24,0.0,1.7334749651532082e-56,1.395555424512449e-15,1.3840244296836916e-15,0.0,1.9380177679714766e-20,0.0,7.744129949141757e-20,0.0,1.211520406886013e-24,0.0,6.4615749992359714e-24,0.0,2.498736285205829e-56,1.3955671573012037e-15,1.3841126088768067e-15,0.0,1.3526484815869064e-28,0.0,2.3574030349578962e-20,0.0,8.453934180511222e-33,0.0,4.5099602239802033e-32,0.0,1.7093653061019816e-64,1.800530274241826e-23,1.1336546540051707e-19
2.1193216917162724e-05,1.8551609909355537e-15,1.8400604332309093e-15,0.0,1.7969947256374343e-20,0.0,7.879953362634173e-20,0.0,1.1233319369987243e-24,0.0,5.8590772666651095e-24,0.0,2.4834672035666476e-56,1.8551571093269057e-15,1.8400259320716505e-15,0.0,2.5747575789792856e-20,0.0,1.0038460822903546e-19,0.0,1.6096353446117065e-24,0.0,8.394920950203489e-24,0.0,3.5797718573505443e-56,1.855169840428912e-15,1.8401399384715693e-15,0.0,1.7970603631498112e-28,0.0,2.901383272636182e-20,0.0,1.1231945464279017e-32,0.0,5.85935852607944e-32,0.0,2.449005344205291e-64,1.800530274241826e-23,1.1336546540051707e-19
