Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
3.2517169522421204e-06,2.1768510295167717e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.460700899102632e-22,7.396891956741229e-19,2.1768510295167717e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1768510295167717e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5937030094315635e-06,4.835426127969556e-19,4.827206080456595e-19,0.0,1.958440645197979e-24,0.0,3.4543925471705467e-23,0.0,2.0307775217643044e-28,0.0,2.0588152557644635e-26,0.0,2.8744306998307835e-58,5.460700899102632e-22,7.396891956741229e-19,4.835219663857102e-19,4.82693671229438e-19,0.0,2.6139475885097103e-24,0.0,3.837375022425148e-23,0.0,2.7148661633026174e-28,0.0,2.747518980703258e-26,0.0,3.9040163954372715e-58,4.835763471420278e-19,4.827643849232918e-19,0.0,8.887289588797016e-25,0.0,2.835177902588319e-23,0.0,9.19129674344266e-29,0.0,9.34500212709453e-27,0.0,1.2669370223409192e-58
3.971656054224705e-06,6.4851334235679445e-19,6.474070620631711e-19,0.0,2.6426672625671167e-24,0.0,4.454806604795946e-23,0.0,2.7402864371505224e-28,0.0,2.6875666970085516e-26,0.0,4.14805567100737e-58,5.460700899102632e-22,7.396891956741229e-19,6.484864256069337e-19,6.473718208270923e-19,0.0,3.527196176262141e-24,0.0,4.961927789759654e-23,0.0,3.663386906301491e-28,0.0,3.586602836316103e-26,0.0,5.6338474046343444e-58,6.485573324863126e-19,6.474643466746411e-19,0.0,1.1992240324384432e-24,0.0,3.6348623322326214e-23,0.0,1.2402498633107558e-28,0.0,1.2198884687330963e-26,0.0,1.828296421919906e-58
4.389358767728212e-06,8.693910000718273e-19,8.679021911714973e-19,0.0,3.565996746456375e-24,0.0,5.746475665798228e-23,0.0,3.697737389498808e-28,0.0,3.508471380539646e-26,0.0,5.986294939830923e-58,5.460700899102632e-22,7.396891956741229e-19,8.693558627748723e-19,8.67856032023206e-19,0.0,4.759580719098809e-24,0.0,6.418085627615897e-23,0.0,4.9433755251867835e-28,0.0,4.6821211359771e-26,0.0,8.130538007879636e-58,8.69448438737402e-19,8.67977237845927e-19,0.0,1.6182207828235138e-24,0.0,4.660549303102786e-23,0.0,1.6735864152481904e-28,0.0,1.5924937262113874e-26,0.0,2.63851191619858e-58
4.850991659093588e-06,1.1649660716865551e-18,1.1629626571005562e-18,0.0,4.8120523986823824e-24,0.0,7.415014400348144e-23,0.0,4.989846952179944e-28,0.0,4.580352253919542e-26,0.0,8.639687066072288e-58,5.460700899102632e-22,7.396891956741229e-19,1.1649201435754355e-18,1.1629021285013614e-18,0.0,6.42271547542501e-24,0.0,8.304632567939865e-23,0.0,6.670761876079343e-28,0.0,6.112575238013029e-26,0.0,1.1734371079677767e-57,1.1650411675388187e-18,1.1630610852423977e-18,0.0,2.183666144404436e-24,0.0,5.976553785705345e-23,0.0,2.258386201235415e-28,0.0,2.0790151323831716e-26,0.0,3.8080087849236406e-58
5.361174905457777e-06,1.560281850699447e-18,1.5575863934036007e-18,0.0,6.493760160436633e-24,0.0,9.571540861696451e-23,0.0,6.733719084019415e-28,0.0,5.980101694943566e-26,0.0,1.2470127976588164e-57,5.460700899102632e-22,7.396891956741229e-19,1.5602217417512108e-18,1.5575069339867977e-18,0.0,8.667325822947004e-24,0.0,1.0750179167063982e-22,0.0,9.00210033840819e-28,0.0,7.98058089678849e-26,0.0,1.6936876154536203e-57,1.5603801556664915e-18,1.5577156304150826e-18,0.0,2.946804070400105e-24,0.0,7.665700976523155e-23,0.0,3.0476489647809354e-28,0.0,2.714353320822679e-26,0.0,5.4962930074561495e-58
5.925014592228882e-06,2.0886909353258477e-18,2.0850652440296782e-18,0.0,8.763655645382622e-24,0.0,1.2360408901104262e-22,0.0,9.087534068737924e-28,0.0,7.808268467739228e-26,0.0,1.8000503788333125e-57,5.460700899102632e-22,7.396891956741229e-19,2.0886121718662532e-18,2.0849608226873617e-18,0.0,1.1697005402768533e-23,0.0,1.3922325935732259e-22,0.0,1.2148859787743076e-27,0.0,1.042032431364067e-25,0.0,2.4448241392251156e-57,2.0888197772859268e-18,2.085235111916401e-18,0.0,3.9768526625816196e-24,0.0,9.834743489236161e-23,0.0,4.112964941200732e-28,0.0,3.544146244386708e-26,0.0,7.933826807534788e-58
6.548153816505212e-06,2.794579340054916e-18,2.7897039979467055e-18,0.0,1.1827839959850705e-23,0.0,1.5969339470108204e-22,0.0,1.2265021558452048e-27,0.0,1.0196392276198687e-25,0.0,2.5986543756193265e-57,5.460700899102632e-22,7.396891956741229e-19,2.7944760164495104e-18,2.7895666376207885e-18,0.0,1.5786843438104473e-23,0.0,1.8039704726090241e-22,0.0,1.639677253502607e-27,0.0,1.3607350448783544e-25,0.0,3.529490524296795e-57,2.794748393972434e-18,2.789927489536234e-18,0.0,5.36733704044189e-24,0.0,1.2621402198314036e-22,0.0,5.551065081152851e-28,0.0,4.628098209122124e-26,0.0,1.145369765038205e-57
7.236829165087606e-06,3.7369721309790304e-18,3.7304194369875384e-18,0.0,1.5964886989546363e-23,0.0,2.0642712487368444e-22,0.0,1.6555068688021042e-27,0.0,1.3316643266543602e-25,0.0,3.7520908177992475e-57,5.460700899102632e-22,7.396891956741229e-19,3.736836450632895e-18,3.730238585343634e-18,0.0,2.1308660971435915e-23,0.0,2.338782190492727e-22,0.0,2.213204834150236e-27,0.0,1.7771427414989858e-25,0.0,5.096092998093012e-57,3.7371941716236975e-18,3.7307137418108984e-18,0.0,7.24466907262475e-24,0.0,1.6203529951532902e-22,0.0,7.492695295433198e-28,0.0,6.044355077452759e-26,0.0,1.6537494769134545e-57
7.997933132336503e-06,4.9943023112208984e-18,4.985500841878173e-18,0.0,2.155147501177124e-23,0.0,2.6699028157984066e-22,0.0,2.2348301766611925e-27,0.0,1.739450694604188e-25,0.0,5.418408418906499e-57,5.460700899102632e-22,7.396891956741229e-19,4.994123982910613e-18,4.985262540955035e-18,0.0,2.8765222336277644e-23,0.0,3.0339929776506034e-22,0.0,2.9876911404628974e-27,0.0,2.3213475155177154e-25,0.0,7.359294987973545e-57,4.994594203227511e-18,4.98588869984677e-18,0.0,9.779778447357502e-24,0.0,2.0811054839074688e-22,0.0,1.0114646791092966e-27,0.0,7.895261719027015e-26,0.0,2.3881816420393703e-57
