Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
8609271523.178808,2.1382365108097177e-31,2.1382365108097177e-31,1.5058665157311118e-21
9514716513.234053,2.6114849677043584e-31,2.6114849677043584e-31,1.839160481489263e-21
10515387984.160402,3.1894488020263415e-31,3.1894488020263415e-31,2.246204438166169e-21
11621300992.376186,3.8952872373679014e-31,3.8952872373679014e-31,2.7433100976588624e-21
12843523886.977825,4.757276820950363e-31,4.757276820950363e-31,3.3503938224539043e-21
14194289085.497793,5.809940162818194e-31,5.809940162818194e-31,4.091771867877326e-21
15687115500.050741,7.095422769044363e-31,7.095422769044363e-31,4.9971304841685304e-21
17336943839.1498,8.665172111509217e-31,8.665172111509217e-31,6.102709068495788e-21
19160286139.339127,1.0581984719163892e-30,1.0581984719163892e-30,7.452742782417696e-21
21175391023.20553,1.292250114380507e-30,1.292250114380507e-30,9.101220995555526e-21
23402426337.72688,1.5780245617939223e-30,1.5780245617939223e-30,1.111402991789733e-20
25863681000.863335,1.9269327629767793e-30,1.9269327629767793e-30,1.357156223329521e-20
28583788076.539818,2.352894711811276e-30,2.352894711811276e-30,1.6571893897557297e-20
31589971310.629257,2.8728874248619803e-30,2.8728874248619803e-30,2.023464903110372e-20
34912317595.35151,3.507610956202536e-30,3.507610956202536e-30,2.4705698595835512e-20
38584078089.003204,4.282297154487029e-30,4.282297154487029e-30,3.016286793320772e-20
42642001004.72616,5.227689853855797e-30,5.227689853855797e-30,3.682285714625512e-20
47126699398.9759,6.381222476239508e-30,6.381222476239508e-30,4.4949563323890895e-20
52083057640.641266,7.788469877045439e-30,7.788469877045439e-30,5.486433444693461e-20
57560680628.89438,9.504874331471544e-30,9.504874331471544e-30,6.695817903922716e-20
63614390255.69434,1.1597850398238459e-29,1.1597850398238459e-29,8.17066567729657e-20
70304774081.70827,1.414928870775494e-29,1.414928870775494e-29,9.968761889653859e-20
77698791716.98251,1.7258595124029017e-29,1.7258595124029017e-29,1.2160274951033012e-19
85870444975.2261,2.1046285788563037e-29,2.1046285788563037e-29,1.4830309591405993e-19
94901518508.835,2.565798349014002e-29,2.565798349014002e-29,1.8081763277574556e-19
104882398337.18222,3.126740709444172e-29,3.126740709444172e-29,2.2037559812546773e-19
115912976460.27946,3.808155513632866e-29,3.808155513632866e-29,2.6844392555092634e-19
128103650611.488,4.6346843285221e-29,4.6346843285221e-29,3.267716373604288e-19
141576429155.14023,5.635618703063251e-29,5.635618703063251e-29,3.974413301805583e-19
156466152187.2582,6.845883110691739e-29,6.845883110691739e-29,4.829398001010228e-19
172921841060.5561,8.307029838452023e-29,8.307029838452023e-29,5.862306731958649e-19
191108189840.226,1.0068677119691641e-28,1.0068677119691641e-28,7.10857791826592e-19
211207213617.49774,1.2189948144161332e-28,1.2189948144161332e-28,8.610504207272042e-19
233420070177.84943,1.474131571175426e-28,1.474131571175426e-28,1.0418573682833141e-18
257969073255.736,1.7806819741888806e-28,1.7806819741888806e-28,1.2593083729689773e-18
285099917525.1656,2.148684504952188e-28,2.148684504952188e-28,1.520615588879005e-18
315084137594.57874,2.589858247437173e-28,2.589858247437173e-28,1.8342251684657425e-18
348221825616.4743,3.116933672914538e-28,3.116933672914538e-28,2.2093988480145768e-18
384844634710.537,3.748098681461318e-28,3.748098681461318e-28,2.6591921704972702e-18
425319098259.53143,4.501262886691752e-28,4.501262886691752e-28,3.1966868539208783e-18
470050298298.5928,5.4021668039096935e-28,5.4021668039096935e-28,3.840417096789592e-18
519485919712.3881,6.476032651234253e-28,6.476032651234253e-28,4.608875940866257e-18
574120730815.912,7.758988716803206e-28,7.758988716803206e-28,5.528173936711703e-18
634501535162.083,9.286349467458113e-28,9.286349467458113e-28,6.62431345858874e-18
701232644135.4873,1.110964933659597e-27,1.110964933659597e-27,7.934624251645388e-18
774981925103.8302,1.327781965465882e-27,1.327781965465882e-27,9.495320922145243e-18
856487485659.0333,1.5863814611850844e-27,1.5863814611850844e-27,1.1359396135562239e-17
946565060846.0966,1.893596570390212e-27,1.893596570390212e-27,1.3577633412805901e-17
1046116177313.6123,2.2593786636037274e-27,2.2593786636037274e-27,1.6222752975101728e-17
1156137176095.4714,2.6931876735882098e-27,2.6931876735882098e-27,1.9365402849901528e-17
1277729184326.8184,3.2090937088887014e-27,3.2090937088887014e-27,2.3108666374565384e-17
1412109135694.5193,3.820121443535277e-27,3.820121443535277e-27,2.7550322159790875e-17
1560621949918.5205,4.545556452184352e-27,4.545556452184352e-27,3.283242743128665e-17
1724753993160.4595,5.403044348834493e-27,5.403044348834493e-27,3.9088361912408724e-17
1906147954075.7837,6.419197600993574e-27,6.419197600993574e-27,4.651504974217749e-17
2106619284393.9504,7.617901444682833e-27,7.617901444682833e-27,5.529424288707577e-17
2328174368569.5273,9.035754857290886e-27,9.035754857290886e-27,6.569803647309437e-17
2573030604352.175,1.0704952046076074e-26,1.0704952046076074e-26,7.797308568377778e-17
2843638595248.633,1.2675506418831345e-26,1.2675506418831345e-26,9.24931245310521e-17
3142706676986.2754,1.499063672245983e-26,1.499063672245983e-26,1.0959155298911267e-16
3473228023447.3887,1.7718629411464956e-26,1.7718629411464956e-26,1.2978115933392512e-16
3838510603359.4194,2.0917332476168357e-26,2.0917332476168357e-26,1.5351116839734123e-16
4242210287557.836,2.4679278803055153e-26,2.4679278803055153e-26,1.8148021208341582e-16
4688367438170.254,2.9079814085167084e-26,2.9079814085167084e-26,2.1427926437908925e-16
5181447345918.589,3.424209942446033e-26,3.424209942446033e-26,2.528449490773067e-16
5726384920249.473,4.0264082024647626e-26,4.0264082024647626e-26,2.97952875117342e-16
6328634079566.657,4.730967875590702e-26,4.730967875590702e-26,3.5085812829713e-16
6994222335879.512,5.550443877814173e-26,5.550443877814173e-26,4.125657547407794e-16
7729811120169.165,6.506489845055147e-26,6.506489845055147e-26,4.847458368100499e-16
8542762452228.703,7.6149896865557e-26,7.6149896865557e-26,5.686852112407952e-16
9441212622231.762,8.90437438670304e-26,8.90437438670304e-26,6.665931209601076e-16
10434153621459.277,1.0394473507831503e-25,1.0394473507831503e-25,7.800969337558581e-16
11531523137170.486,1.212236490984867e-25,1.212236490984867e-25,9.120999824374281e-16
12744304012317.287,1.411235729004364e-25,1.411235729004364e-25,1.0646264361279553e-15
14084634165527.85,1.641241457235089e-25,1.641241457235089e-25,1.2414620652487125e-15
15565928071476.041,1.9051545853689552e-25,1.9051545853689552e-25,1.4450655397991645e-15
