Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
11055555555.555555,2.3961868247732342e-21,3.687101386525312e-22,4.264118058349636e-21
12218278483.16966,2.926707058854417e-21,4.5034326547061e-22,5.208201602681581e-21
13503286048.548544,3.574685128678313e-21,5.5005007295212895e-22,6.361306352963582e-21
14923439039.312479,4.366126211835077e-21,6.718320781158871e-22,7.769709603971336e-21
16492950823.922934,5.332792981219001e-21,8.20576726873002e-22,9.4899343434722e-21
18227529603.851418,6.51348028079244e-21,1.0022535338617598e-21,1.1591017584830732e-20
20144535626.539516,7.95557199759022e-21,1.22415364518432e-21,1.4157280876608893e-20
22263154932.590267,9.716942600352417e-21,1.4951824367330315e-21,1.729171415645177e-20
24604591376.11117,1.1868279642594287e-20,1.8262168885302934e-21,2.1120108722408685e-20
27192278840.012943,1.4495920415180935e-20,2.2305420740966794e-21,2.5796105145535018e-20
30052115770.186108,1.7705316557344476e-20,2.7243842774565232e-21,3.150735864737965e-20
33212724375.852234,2.1625265621889336e-20,3.327562126154419e-21,3.848306928509662e-20
36705737090.25406,2.6413079348951373e-20,4.064281861852715e-21,4.700317902051614e-20
40566113158.67942,3.2260895964791345e-20,4.9641086502657276e-21,5.740960458904899e-20
44832488522.338356,3.9403389691320516e-20,6.063152890773841e-21,7.011995670501631e-20
49547562499.8486,4.812718666384109e-20,7.405519105545936e-21,8.564429580747588e-20
54758525136.36822,5.878236475634518e-20,9.045075499640628e-21,1.0460559607779498e-19
60517529497.4285,7.179649743258918e-20,1.1047615004863469e-20,1.277647363944349e-19
66882213634.34313,8.769180843221487e-20,1.3493495002667629e-20,1.5605102711775298e-19
73916277445.1986,1.0710611966434885e-19,1.6480860776200202e-20,1.905994864747984e-19
81690120204.8444,1.3081843653644922e-19,2.012958257250976e-20,2.3279636913300664e-19
90281545144.49792,1.597801913536758e-19,2.4586063382222575e-20,2.8433476260697707e-19
99776538132.6328,1.951534017684837e-19,3.002911083501876e-20,3.4728248853711283e-19
110270128250.45166,2.383572663607429e-19,3.667710751388038e-20,4.241650164399295e-19
