Energy,Flux Value,Flux Error,Is Upper Limit
6.286214349072825e-07,4.85e-16,7.57e-17,0.0
1.6873522726458637e-06,6.53e-16,8.26e-17,0.0
5.7899342688828654e-06,5.474e-15,0.0,0.0
5.7899342688828654e-06,2.0049e-15,1.918e-18,0.0
5.7899342688828654e-06,2.0037e-15,6.0374e-17,0.0
5.7899342688828654e-06,5.47e-15,0.0,0.0
5.7899342688828654e-06,2e-15,6.02e-17,0.0
1.9975273227645886e-05,3.86e-15,0.0,0.0
2.0057986574344214e-05,5.58e-15,6.79e-16,0.0
2.0057986574344214e-05,5.6745e-15,5.335e-16,0.0
2.0057986574344214e-05,5.43e-15,8.15e-16,0.0
2.067833667458166e-05,9.37e-15,0.0,0.0
2.067833667458166e-05,5.6e-15,0.0,0.0
2.067833667458166e-05,7e-15,0.0,0.0
3.473960561329719e-05,1.66e-14,0.0,0.0
3.473960561329719e-05,1.6565e-14,0.0,0.0
3.498774565339217e-05,1.6683e-14,3.384e-17,0.0
6.203501002374499e-05,3.78e-14,0.0,0.0
6.203501002374499e-05,5.32e-14,0.0,0.0
6.203501002374499e-05,3.37e-14,1.05e-15,0.0
0.00041356673349163324,4.0607e-13,5.867e-14,0.0
0.0005914004288930355,4.396e-13,6.3033e-14,0.0
0.0008974398116768441,5.5648e-13,6.418e-14,0.0
0.05636914577490961,1.9294e-12,1.2771e-13,0.0
0.05636914577490961,1.9853e-12,1.361e-13,0.0
0.10330897002620998,1.3363e-12,4.2021e-14,0.0
0.10330897002620998,1.3107e-12,3.7045e-14,0.0
0.2695214402164974,1.2676e-12,3.3864e-14,0.0
0.2695214402164974,1.6649e-12,4.1974e-14,0.0
0.36464178891957305,1.0775e-12,3.0447e-14,0.0
0.36464178891957305,1.4126e-12,3.7736e-14,0.0
1.344091883847808,5.77e-13,1.59e-14,0.0
1.3589802862535068,5.8488e-13,1.5208e-14,0.0
1.3589802862535068,5.8474e-13,1.5513e-14,0.0
1.6087745932824533,4.9e-13,7.22e-15,0.0
1.62821222975656,4.8567e-13,5.3823e-15,0.0
1.62821222975656,4.8736e-13,5.5674e-15,0.0
1.9354923127408437,1.95e-13,0.0,0.0
1.9727133187550905,4.27e-13,5.9e-15,0.0
1.991323821762214,4.2573e-13,4.6539e-15,0.0
1.991323821762214,4.2451e-13,4.4185e-15,0.0
2.551706745643377,3.27e-13,5.11e-15,0.0
2.6009211869288813,3.3063e-13,3.92e-15,0.0
2.6009211869288813,3.2961e-13,4.0106e-15,0.0
3.457417891990054,2.51e-13,1.2e-14,0.0
3.4950524647377925,2.4683e-13,1.1624e-14,0.0
3.4950524647377925,2.519e-13,1.3214e-14,0.0
5.335010862042068,1.1e-12,7.56e-14,0.0
5.335010862042068,1.68e-12,9.09e-14,0.0
5.541794228787886,8.081e-13,4.517e-14,0.0
5.562472565462467,1.4909e-12,5.1124e-14,0.0
5.562472565462467,1.5059e-13,8.3763e-15,0.0
7.998380625728187,9.2266e-13,1.4771e-13,0.0
8.064551303086848,7.83e-13,1.35e-13,0.0
8.064551303086848,5.4e-13,1.15e-13,0.0
489.99505404292637,7.61137087921e-14,1.90556692542e-14,0.0
547.9759218764141,9.5361e-14,2.5024e-14,0.0
734.9925810643896,9.25655882994e-14,7.13255249152e-14,0.0
894.9909593665728,9.93444431055e-14,3.76410136934e-14,0.0
1000.0043615827692,3.3545e-13,6.8615e-14,0.0
1000.0043615827692,6.6044e-14,1.4723e-14,0.0
1000.8314950497524,6.4248e-14,2.554e-14,0.0
1000.8314950497524,7.5455e-14,2.8295e-14,0.0
1149.9883459170394,1.0891983976e-13,3.31593216315e-14,0.0
1354.9862560127765,1.16266409672e-13,1.12060767373e-13,0.0
1413.984661807894,1.7001e-13,4.0609e-14,0.0
1504.9847747859565,1.20801357903e-13,7.34984617197e-14,0.0
1732.01747986296,1.383e-13,1.9951e-14,0.0
1909.9807099112218,1.31107319454e-13,4.61498784027e-14,0.0
2000.0087231655384,4.0248e-13,7.5073e-14,0.0
2000.0087231655384,7.2317e-14,1.551e-14,0.0
