Energy,Flux Value,Flux Error,Is Upper Limit
5.7899342688828654e-06,2.856e-15,0.0,0.0
5.7899342688828654e-06,8.582e-17,2.03e-18,0.0
5.7899342688828654e-06,3.5903e-15,2.016e-18,0.0
5.7899342688828654e-06,3.5128e-15,1.0553e-16,0.0
5.7899342688828654e-06,3.51e-15,1.76e-16,0.0
5.7899342688828654e-06,2.86e-15,0.0,0.0
5.7899342688828654e-06,3.59e-15,0.0,0.0
5.7899342688828654e-06,3.51e-15,1.05e-16,0.0
1.9975273227645886e-05,2.61e-14,0.0,0.0
2.0057986574344214e-05,1.69e-14,2.13e-15,0.0
2.0057986574344214e-05,1.7072e-14,1.5035e-15,0.0
2.0057986574344214e-05,1.75e-14,2.62e-15,0.0
2.0057986574344214e-05,1.4865e-14,1.455e-17,0.0
2.0223413267740866e-05,1.26e-14,0.0,0.0
2.067833667458166e-05,6.45e-15,0.0,0.0
2.067833667458166e-05,9.66e-15,0.0,0.0
2.067833667458166e-05,1.8e-14,0.0,0.0
3.473960561329719e-05,2.6384e-14,0.0,0.0
3.473960561329719e-05,2.64e-14,0.0,0.0
3.498774565339217e-05,2.6573e-14,3.384e-17,0.0
6.203501002374499e-05,2.16e-14,1.5e-16,0.0
6.203501002374499e-05,2.81e-14,0.0,0.0
6.203501002374499e-05,2.27e-14,0.0,0.0
0.05636914577490961,1.2298e-12,1.2435e-13,0.0
0.05636914577490961,1.2759e-12,1.5691e-13,0.0
0.10330897002620998,1.1693e-12,4.4528e-14,0.0
0.10330897002620998,1.1639e-12,3.9455e-14,0.0
0.2695214402164974,1.8272e-12,4.743e-14,0.0
0.2695214402164974,1.7742e-12,4.7395e-14,0.0
0.36464178891957305,1.9789e-12,5.2863e-14,0.0
0.36464178891957305,1.9021e-12,5.3746e-14,0.0
0.5583150902137048,4.18e-12,4.05e-13,0.0
0.5707220922184538,2.63e-12,1.21e-13,0.0
0.5748577595533703,2.6453e-12,1.2467e-13,0.0
0.746487953952398,2.5638e-12,1.5567e-13,0.0
0.7485557876198562,3.62e-12,5.43e-13,0.0
0.7526914549547725,2.59e-12,1.52e-13,0.0
0.9925601603799198,2.21e-12,1.3e-13,0.0
1.004553595651177,2.24e-12,1.3601e-13,0.0
1.0091028297195852,4.39e-12,1.22e-12,0.0
1.344091883847808,1.97e-12,3.63e-14,0.0
1.344091883847808,1.93e-12,2.32e-14,0.0
1.344091883847808,1.98e-12,1.82e-14,0.0
1.344091883847808,1.97e-12,3.63e-14,0.0
1.344091883847808,2e-12,0.0,0.0
1.3589802862535068,2.0846e-12,1.8519e-14,0.0
1.3771772225271388,3.66e-12,0.0,0.0
1.5703128870677314,2.7167e-12,2.621e-13,0.0
1.6087745932824533,1.82e-12,8.39e-15,0.0
1.6087745932824533,1.78e-12,2.95e-14,0.0
1.6087745932824533,1.84e-12,0.0,0.0
1.6087745932824533,1.78e-12,2.95e-14,0.0
1.6087745932824533,1.78e-12,8.21e-15,0.0
1.62821222975656,1.8591e-12,8.9508e-15,0.0
1.7700656193441904,2.91e-12,0.0,0.0
1.9354923127408437,2.14e-12,0.0,0.0
1.9388008466087767,3.6265e-12,3.4988e-13,0.0
1.9388008466087767,2.1453e-12,2.0698e-13,0.0
1.9388008466087767,3.3074e-12,3.191e-13,0.0
1.9727133187550905,1.61e-12,0.0,0.0
1.9727133187550905,1.56e-12,7.17e-15,0.0
1.9727133187550905,1.62e-12,2.24e-14,0.0
1.9727133187550905,1.61e-12,8.91e-15,0.0
1.9727133187550905,1.62e-12,2.24e-14,0.0
1.991323821762214,1.6373e-12,8.3645e-15,0.0
2.253938697529401,2.89e-12,0.0,0.0
2.2870240362087317,1.555e-12,2.33e-13,0.0
2.551706745643377,1.34e-12,2.11e-14,0.0
2.551706745643377,1.36e-12,7.49e-15,0.0
2.551706745643377,1.36e-12,0.0,0.0
2.551706745643377,1.34e-12,2.11e-14,0.0
2.551706745643377,1.33e-12,7.32e-15,0.0
2.6009211869288813,1.4032e-12,7.8566e-15,0.0
2.8196979889459555,4.5612e-12,4.4006e-13,0.0
2.8196979889459555,3.7591e-12,3.6267e-13,0.0
2.8196979889459555,4.1983e-12,4.0505e-13,0.0
2.820525122412939,2.52e-12,0.0,0.0
2.857746128427186,1.665e-12,1.122e-13,0.0
3.445010889985305,1.92e-12,0.0,0.0
3.457417891990054,1.13e-12,1.98e-14,0.0
3.457417891990054,1.13e-12,0.0,0.0
3.457417891990054,1.07e-12,2.47e-14,0.0
3.457417891990054,1.14e-12,2.09e-14,0.0
3.457417891990054,1.14e-12,2.09e-14,0.0
3.4950524647377925,1.1221e-12,2.0214e-14,0.0
3.531859904018548,1.46e-12,8.257e-14,0.0
4.714660761804619,1.173e-12,7.032e-14,0.0
5.541794228787886,1.058e-12,1.126e-13,0.0
6.0794309823270085,9.839e-13,4.506e-14,0.0
369.99626286485034,9.64331014503e-14,5.54585345632e-14,0.0
484.99510937761534,9.87333999878e-14,6.31760953168e-14,0.0
547.9759218764141,5.4128e-14,2.3419e-14,0.0
649.9934323451097,1.01069154894e-13,4.26953939725e-14,0.0
934.99054649068,1.04142042953e-13,2.72699489422e-14,0.0
1000.0043615827692,6.4437e-14,2.082e-14,0.0
1000.8314950497524,1.8042e-13,5.5942e-14,0.0
1000.8314950497524,9.5655e-14,1.1144e-14,0.0
1000.8314950497524,1.849e-13,6.0206e-14,0.0
