Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
4898305084.745763,5.564892103654666e-32,5.564892103654666e-32,5.502120709425815e-22
5413464327.523088,6.796454054377392e-32,6.796454054377392e-32,6.719858433982839e-22
5982803340.8184595,8.300484939537666e-32,8.300484939537666e-32,8.207033177397344e-22
6612020260.838388,1.0137229586733221e-31,1.0137229586733221e-31,1.002323006287133e-21
7307412502.005545,1.2380238299978292e-31,1.2380238299978292e-31,1.2241198396557975e-21
8075939783.598933,1.5119298962389787e-31,1.5119298962389787e-31,1.494975449927615e-21
8925293784.96368,1.846401242708366e-31,1.846401242708366e-31,1.8257322212598575e-21
9863975126.423182,2.254815106112418e-31,2.254815106112418e-31,2.2296250080640153e-21
10901378446.344461,2.7534970147982627e-31,2.7534970147982627e-31,2.7228074025866907e-21
12047886425.836586,3.362367780519776e-31,3.362367780519776e-31,3.3249930333688373e-21
13314973702.11295,4.105731227179122e-31,4.105731227179122e-31,4.060236712012704e-21
14715321710.517275,5.013232715934002e-31,5.013232715934002e-31,4.957885454633453e-21
16262945604.590889,6.121024699261823e-31,6.121024699261823e-31,6.0537356421655675e-21
17973334524.44003,7.47318286808652e-31,7.47318286808652e-31,7.391440025190906e-21
19863606617.256123,9.123425115014418e-31,9.123425115014418e-31,9.02421711630021e-21
21952680361.486454,1.1137195695352961e-30,1.1137195695352961e-30,1.1016925951633543e-20
24261463909.325226,1.359418575718142e-30,1.359418575718142e-30,1.3448578917057004e-20
26813064342.528152,1.6591345860190395e-30,1.6591345860190395e-30,1.6415355192389642e-20
29633018935.85325,2.0246615490441302e-30,2.0246615490441302e-30,2.00343225593183e-20
32749550742.689987,2.470331955027364e-30,2.470331955027364e-30,2.4447849256006573e-20
36193851060.86369,3.0135529317283762e-30,3.0135529317283762e-30,2.9828984403212065e-20
40000391605.62799,3.675439159913462e-30,3.675439159913462e-30,3.638784379946273e-20
44207269514.17731,4.4815797053571634e-30,4.4815797053571634e-30,4.437935631684917e-20
48856588634.60094,5.4629369273151816e-30,5.4629369273151816e-30,5.4112403910196943e-20
53994880915.34617,6.65680810505067e-30,6.65680810505067e-30,6.595984245860314e-20
59673572112.59837,8.107348526318976e-30,8.107348526318976e-30,8.036527861022955e-20
65949496476.533714,9.866749276180703e-30,9.866749276180703e-30,9.785584341825832e-20
72885465567.59746,1.1996642722579473e-29,1.1996642722579473e-29,1.190574565087495e-19
80550896895.71269,1.4569663511711893e-29,1.4569663511711893e-29,1.4471218141308552e-19
89022508674.05164,1.7671815499381378e-29,1.7671815499381378e-29,1.7570317344764795e-19
98385087640.69891,2.1404636960911893e-29,2.1404636960911893e-29,2.130790927024432e-19
108732337632.82428,2.5888674706415034e-29,2.5888674706415034e-29,2.580907276434648e-19
120167817406.17972,3.126663698688949e-29,3.126663698688949e-29,3.1222658154506535e-19
132805977085.93443,3.770759207271457e-29,3.770759207271457e-29,3.7725908348613986e-19
146773303621.9956,4.541203521079669e-29,4.541203521079669e-29,4.55300412112568e-19
162209586712.9166,5.461836747073452e-29,5.461836747073452e-29,5.488728733168231e-19
179269317868.1854,6.560071805891763e-29,6.560071805891763e-29,6.609102513120188e-19
198123236611.1776,7.864113574967072e-29,7.864113574967072e-29,7.945487026483041e-19
218960039297.69394,9.417901047980801e-29,9.417901047980801e-29,9.544047930742873e-19
241988267652.51227,1.1260675194168809e-28,1.1260675194168809e-28,1.1448978650947611e-18
267438395925.06244,1.3453877126741198e-28,1.3453877126741198e-28,1.3725496591983032e-18
295565137553.18,1.60522892176047e-28,1.60522892176047e-28,1.6436016674086375e-18
326649994420.80286,1.9140880107844303e-28,1.9140880107844303e-28,1.96718661791387e-18
361004074223.4438,2.2795549701777484e-28,2.2795549701777484e-28,2.352067148163791e-18
398971204138.57275,2.7136825383957157e-28,2.7136825383957157e-28,2.8112842579694382e-18
440931371963.57294,3.2268287989637157e-28,3.2268287989637157e-28,3.3570025286990458e-18
487304529161.33704,3.8359163352685764e-28,3.8359163352685764e-28,4.007690234803253e-18
538554793875.65594,4.555297379881371e-28,4.555297379881371e-28,4.7804098825846665e-18
595195095981.6001,5.4074557427090315e-28,5.4074557427090315e-28,5.700236979705603e-18
657792310660.1079,6.412036623522028e-28,6.412036623522028e-28,6.790883531717126e-18
726972931875.3329,7.600672897997475e-28,7.600672897997475e-28,8.087885655041365e-18
803429342536.8074,9.000074485218237e-28,9.000074485218237e-28,9.624019722650234e-18
