Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
4.7045142650045435e-06,8.524474064359383e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.524474064359383e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.524474064359383e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.871674328369265e-21,6.196860607389311e-19
5.19929234935504e-06,4.5272271475696345e-17,4.5267278083645524e-17,0.0,5.214626122346447e-33,0.0,4.340832932508462e-22,0.0,3.927179907182846e-37,0.0,7.63404218321227e-32,0.0,6.209891138195737e-64,4.526297008917706e-17,4.525667516109068e-17,0.0,4.6070801517318146e-23,0.0,5.929397436035039e-22,0.0,5.63699660102535e-27,0.0,6.143011595604297e-22,0.0,6.07392369903477e-54,4.5272271475696345e-17,4.5267278083645524e-17,0.0,5.214626122346447e-33,0.0,4.340832932508462e-22,0.0,3.927179907182846e-37,0.0,7.63404218321227e-32,0.0,6.209891138195737e-64,6.871674328369265e-21,6.196860607389311e-19
5.7461066990804095e-06,6.04106587661009e-17,6.040468412528903e-17,0.0,6.952585746997579e-33,0.0,5.463962000079444e-22,0.0,5.220332486746874e-37,0.0,9.86754933819384e-32,0.0,8.853793426803996e-64,6.039855040068303e-17,6.03908949770841e-17,0.0,6.14068742827591e-23,0.0,7.50809884766675e-22,0.0,7.494687590264321e-27,0.0,7.940343272009165e-22,0.0,8.661393904668199e-54,6.04106587661009e-17,6.040468412528903e-17,0.0,6.952585746997579e-33,0.0,5.463962000079444e-22,0.0,5.220332486746874e-37,0.0,9.86754933819384e-32,0.0,8.853793426803996e-64,6.871674328369265e-21,6.196860607389311e-19
6.350430015983311e-06,8.047377661453748e-17,8.046682945760914e-17,0.0,9.25101609201425e-33,0.0,6.857658355575752e-22,0.0,6.921472575839033e-37,0.0,1.2734262426742023e-31,0.0,1.2597528435552495e-63,8.04580865926973e-17,8.044897219967207e-17,0.0,8.167979120370962e-23,0.0,9.480682765759996e-22,0.0,9.939218892720999e-27,0.0,1.0247246994542459e-21,0.0,1.2326183178899278e-53,8.047377661453748e-17,8.046682945760914e-17,0.0,9.25101609201425e-33,0.0,6.857658355575752e-22,0.0,6.921472575839033e-37,0.0,1.2734262426742023e-31,0.0,1.2597528435552495e-63,6.871674328369265e-21,6.196860607389311e-19
7.018310570939435e-06,1.0699034428083904e-16,1.0698261909879655e-16,0.0,1.2280408814200489e-32,0.0,8.578351776190363e-22,0.0,9.149854615063726e-37,0.0,1.64036497687588e-31,0.0,1.7881761598602312e-63,1.0697012428496329e-16,1.0695961003065276e-16,0.0,1.083871070487456e-22,0.0,1.1933531292691917e-21,0.0,1.3142447548539363e-26,0.0,1.3200112192350483e-21,0.0,1.750055794286676e-53,1.0699034428083904e-16,1.0698261909879655e-16,0.0,1.2280408814200489e-32,0.0,8.578351776190363e-22,0.0,9.149854615063726e-37,0.0,1.64036497687588e-31,0.0,1.7881761598602312e-63,6.871674328369265e-21,6.196860607389311e-19
7.75643273702517e-06,1.4192533323573388e-16,1.4191737392309078e-16,0.0,1.6257672281367346e-32,0.0,1.0690518042132686e-21,0.0,1.2054786304728397e-36,0.0,2.108568590398208e-31,0.0,2.5313018137041223e-63,1.4189944394000378e-16,1.4188790395295052e-16,0.0,1.434321147623497e-22,0.0,1.4966782802552428e-21,0.0,1.7319653351641967e-26,0.0,1.6967932327513472e-21,0.0,2.4779872194483426e-53,1.4192533323573388e-16,1.4191737392309078e-16,0.0,1.6257672281367346e-32,0.0,1.0690518042132686e-21,0.0,1.2054786304728397e-36,0.0,2.108568590398208e-31,0.0,2.5313018137041223e-63,6.871674328369265e-21,6.196860607389311e-19
8.572183888970097e-06,1.87785108638748e-16,1.8777806753506572e-16,0.0,2.145466945474005e-32,0.0,1.3264469345242625e-21,0.0,1.5818862713869725e-36,0.0,2.703813196049477e-31,0.0,3.571726418844833e-63,1.8775221298051965e-16,1.8774059182559466e-16,0.0,1.8919685666327488e-22,0.0,1.869187495744432e-21,0.0,2.2734311513911566e-26,0.0,2.1758167436848107e-21,0.0,3.497560850340535e-53,1.87785108638748e-16,1.8777806753506572e-16,0.0,2.145466945474005e-32,0.0,1.3264469345242625e-21,0.0,1.5818862713869725e-36,0.0,2.703813196049477e-31,0.0,3.571726418844833e-63,6.871674328369265e-21,6.196860607389311e-19
9.47372833848637e-06,2.4773845113458096e-16,2.4773455665374064e-16,0.0,2.821383453374708e-32,0.0,1.6382388361623373e-21,0.0,2.0671122559517595e-36,0.0,3.4574804468252987e-31,0.0,5.021953722548722e-63,2.4769702633003487e-16,2.4768728967872006e-16,0.0,2.486799796582573e-22,0.0,2.324021798513549e-21,0.0,2.971677584177874e-26,0.0,2.782340013861067e-21,0.0,4.919362987498565e-53,2.4773845113458096e-16,2.4773455665374064e-16,0.0,2.821383453374708e-32,0.0,1.6382388361623373e-21,0.0,2.0671122559517595e-36,0.0,3.4574804468252987e-31,0.0,5.021953722548722e-63,6.871674328369265e-21,6.196860607389311e-19
1.0470089045444239e-05,3.2575118110767914e-16,3.2575448768341706e-16,0.0,3.695150962752406e-32,0.0,2.0125804589327493e-21,0.0,2.6880143717546487e-36,0.0,4.407236659730777e-31,0.0,7.031957152499869e-63,3.256995600317877e-16,3.256954466369949e-16,0.0,3.255198648507758e-22,0.0,2.874668027142495e-21,0.0,3.865475042818332e-26,0.0,3.546680946273308e-21,0.0,6.890991323075599e-53,3.2575118110767914e-16,3.2575448768341706e-16,0.0,3.695150962752406e-32,0.0,2.0125804589327493e-21,0.0,2.6880143717546487e-36,0.0,4.407236659730777e-31,0.0,7.031957152499869e-63,6.871674328369265e-21,6.196860607389311e-19
1.1571237922687407e-05,4.2672915236885916e-16,4.2674678092830126e-16,0.0,4.8172435894681656e-32,0.0,2.457962811679195e-21,0.0,3.4765174313662814e-36,0.0,5.597742438687484e-31,0.0,9.800604563589606e-63,4.266656071745466e-16,4.2667386004503724e-16,0.0,4.241212853652333e-22,0.0,3.535523400287948e-21,0.0,5.0008948918588204e-26,0.0,4.5047885372875554e-21,0.0,9.608353101543337e-53,4.2672915236885916e-16,4.2674678092830126e-16,0.0,4.8172435894681656e-32,0.0,2.457962811679195e-21,0.0,3.4765174313662814e-36,0.0,5.597742438687484e-31,0.0,9.800604563589606e-63,6.871674328369265e-21,6.196860607389311e-19
