Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
2312925170.068027,2.453099766976206e-29,2.453099766976206e-29,2.479993908324918e-21
2556177633.644355,2.996150839673965e-29,2.996150839673965e-29,3.0289897389210892e-21
2825013182.1391683,3.659406911577577e-29,3.659406911577577e-29,3.699503009244769e-21
3122122412.080551,4.4694705352308176e-29,4.4694705352308176e-29,4.518425365444865e-21
3450478892.5036182,5.458829575956002e-29,5.458829575956002e-29,5.518597169289245e-21
3813368925.428868,6.667158323407047e-29,6.667158323407047e-29,6.740122395972514e-21
4214424436.2773676,8.142905853977533e-29,8.142905853977533e-29,8.23197372805989e-21
4657659323.401102,9.945234885805463e-29,9.945234885805463e-29,1.005395169299904e-20
5147509630.526796,1.2146388213308853e-28,1.2146388213308853e-28,1.2279075650573655e-20
5688877944.172537,1.483457664970815e-28,1.483457664970815e-28,1.499650140816897e-20
6287182460.381464,1.8117502877093463e-28,1.8117502877093463e-28,1.831508085869568e-20
6948411211.848893,2.2126660464883896e-28,2.2126660464883896e-28,2.2367704057007125e-20
7679181998.166165,2.7022577479957484e-28,2.7022577479957484e-28,2.7316594481700127e-20
8486808618.983286,3.300121066278561e-28,3.300121066278561e-28,3.3359764948503293e-20
9379374072.97408,4.030174037714547e-28,4.030174037714547e-28,4.073888602665544e-20
10365811455.203686,4.9216069989189095e-28,4.9216069989189095e-28,4.974887236780381e-20
11455993362.546524,6.0100393309537025e-28,6.0100393309537025e-28,6.074955186155436e-20
12660830701.95407,7.338922811955548e-28,7.338922811955548e-28,7.41798119831185e-20
13992381890.478922,8.961263530988648e-28,8.961263530988648e-28,9.057496426075242e-20
15463973539.965658,1.0941702403692707e-27,1.0941702403692707e-27,1.105876993480409e-19
17090333834.261368,1.335905510328392e-27,1.335905510328392e-27,1.3501366740165463e-19
18887739933.82994,1.6309384314467848e-27,1.6309384314467848e-27,1.648223821265704e-19
20874180883.044907,1.9909743106559852e-27,1.9909743106559852e-27,2.0119486506270496e-19
23069537650.591877,2.4302695946098697e-27,2.4302695946098697e-27,2.4556904339481246e-19
25495782104.88534,2.9661639233521946e-27,2.9661639233521946e-27,2.9969295747350563e-19
28177196915.912792,3.61963433220723e-27,3.61963433220723e-27,3.6567909302419665e-19
31140618584.35765,4.41605318511917e-27,4.41605318511917e-27,4.460797202495278e-19
34415706030.31812,5.386115478963205e-27,5.386115478963205e-27,5.439789308101922e-19
38035237429.74829,6.566945372141716e-27,6.566945372141716e-27,6.6310221615280295e-19
42035438269.46015,8.003524266302866e-27,8.003524266302866e-27,8.0795859893278475e-19
46456343903.97147,9.75032485152284e-27,9.75032485152284e-27,9.840020402498438e-19
51342200242.79018,1.187343608435856e-26,1.187343608435856e-26,1.1978427348319915e-18
56741906578.34816,1.4452999672266776e-26,1.4452999672266776e-26,1.4574874589451067e-18
62709504986.555664,1.75862372250805e-26,1.75862372250805e-26,1.7726387222210756e-18
69304721198.06114,2.1391151046665052e-26,2.1391151046665052e-26,2.1550602415402186e-18
76593562353.43799,2.601108166057846e-26,2.601108166057846e-26,2.6190274397219254e-18
84648977624.83344,3.161879558451474e-26,3.161879558451474e-26,3.1817128995297722e-18
93551588315.80214,3.8417738552710487e-26,3.8417738552710487e-26,3.863241525032291e-18
103390494746.4101,4.667084407787046e-26,4.667084407787046e-26,4.689787456315626e-18
114264167999.18546,5.667858929667365e-26,5.667858929667365e-26,5.6910016463278855e-18
126281435450.80978,6.882763260754309e-26,6.882763260754309e-26,6.905286991477821e-18
139562569953.08215,8.356222782192967e-26,8.356222782192967e-26,8.376380499185157e-18
154240493564.04456,1.014500294050524e-25,1.014500294050524e-25,1.0160516741023378e-17
170462107876.6161,1.2314713801016585e-25,1.2314713801016585e-25,1.2322130255451053e-17
188389764259.10995,1.4949228280817946e-25,1.4949228280817946e-25,1.4944153265098988e-17
208202888722.29532,1.8145239109428631e-25,1.8145239109428631e-25,1.8121285997546797e-17
230099777675.22116,2.2026433959764445e-25,2.2026433959764445e-25,2.197556781080393e-17
254299582542.3265,2.6735722500347883e-25,2.6735722500347883e-25,2.6646633311814245e-17
281044503104.55707,3.2453684190917857e-25,3.2453684190917857e-25,3.231203821077218e-17
310602211516.17737,3.9391194190315334e-25,3.9391194190315334e-25,3.9177300314158e-17
343268531257.66016,4.781506947391946e-25,4.781506947391946e-25,4.750423208529873e-17
379370397836.5076,5.803629821565283e-25,5.803629821565283e-25,5.759513248329465e-17
419269130867.69666,7.0446118404376505e-25,7.0446118404376505e-25,6.983272405357068e-17
463364050281.8314,8.550199652801498e-25,8.550199652801498e-25,8.466038112838677e-17
512096472853.222,1.0377945682118007e-24,1.0377945682118007e-24,1.0263957456630346e-16
565954129046.4961,1.2595213988216649e-24,1.2595213988216649e-24,1.2442137003660656e-16
625476044387.0199,1.528669126477887e-24,1.528669126477887e-24,1.5082972292240275e-16
691257934209.5271,1.8551600571943926e-24,1.8551600571943926e-24,1.8282099359664643e-16
763958165777.4192,2.251451439935743e-24,2.251451439935743e-24,2.2160384889389754e-16
844304347443.6178,2.732162484797501e-24,2.732162484797501e-24,2.685836259671974e-16
933100610799.5233,3.315633748323903e-24,3.315633748323903e-24,3.255351056787517e-16
1031235658694.2573,4.0234134865689206e-24,4.0234134865689206e-24,3.9452445921644575e-16
1139691659671.477,4.882490559479955e-24,4.882490559479955e-24,4.781562656963412e-16
1259554077842.2856,5.924540475335347e-24,5.924540475335347e-24,5.79458928750974e-16
1392022536574.884,7.189199820578554e-24,7.189199820578554e-24,7.022461501175223e-16
1538422824728.4558,8.723084044584392e-24,8.723084044584392e-24,8.509627695797632e-16
1700220165593.6794,1.0584480645831665e-23,1.0584480645831665e-23,1.03120144769514e-15
1879033881339.896,1.2841967035187716e-23,1.2841967035187716e-23,1.2494837459644835e-15
2076653599735.6614,1.558125246943822e-23,1.558125246943822e-23,1.5140110051354685e-15
2295057165344.9585,1.890321623972284e-23,1.890321623972284e-23,1.834352012114449e-15
2536430434460.38,2.293389852977475e-23,2.293389852977475e-23,2.222535700826676e-15
2803189151887.5938,2.782168044003281e-23,2.782168044003281e-23,2.692602236733779e-15
3098003128531.3066,3.375187014965149e-23,3.375187014965149e-23,3.2621925944712184e-15
3423822961760.175,4.094260354445174e-23,4.094260354445174e-23,3.951899155961113e-15
3783909565976.9736,4.966615147641371e-23,4.966615147641371e-23,4.787579440257507e-15
4181866808945.996,6.02428461668865e-23,6.02428461668865e-23,5.799405308601444e-15
4621677580512.928,7.307217531317001e-23,7.307217531317001e-23,7.02522792595561e-15
5107743654705.108,8.862393754934182e-23,8.862393754934182e-23,8.509204547288751e-15
5644929744165.512,1.074834698150825e-22,1.074834698150825e-22,1.0306677718241144e-14
6238612187831.927,1.303383720500117e-22,1.303383720500117e-22,1.2482152217250274e-14
