Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
2.221419300802465e-06,6.697772048808765e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.354934859398818e-22,9.727557175296747e-19,6.697772048808765e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.697772048808765e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.455048008098818e-06,1.70903498817088e-21,1.6690451992540248e-21,0.0,2.0881095688044166e-33,0.0,2.5016880765862987e-23,0.0,2.1632426834873896e-36,0.0,8.423344968952236e-37,0.0,2.3524675965104656e-66,5.354934859398818e-22,9.727557175296747e-19,1.6873267778661564e-21,1.6106461859165492e-21,0.0,1.9046698612823447e-25,0.0,5.804294414868145e-23,0.0,1.9820805217628334e-28,0.0,7.553275365703725e-29,0.0,2.3780579475981824e-58,1.70903498817088e-21,1.6690451992540248e-21,0.0,2.0881095688044166e-33,0.0,2.5016880765862987e-23,0.0,2.1632426834873896e-36,0.0,8.423344968952236e-37,0.0,2.3524675965104656e-66
2.713247661030365e-06,2.3159662608609457e-21,2.2643872838168417e-21,0.0,2.8552050119641363e-33,0.0,3.3061351036651286e-23,0.0,2.9576556238202928e-36,0.0,1.1432337764371148e-36,0.0,3.5300899191638903e-66,5.354934859398818e-22,9.727557175296747e-19,2.2878536494383824e-21,2.1866707557929292e-21,0.0,2.6063564864182924e-25,0.0,7.786742214243251e-23,0.0,2.712302301273231e-28,0.0,1.0263091327736035e-28,0.0,3.5725389685142836e-58,2.3159662608609457e-21,2.2643872838168417e-21,0.0,2.8552050119641363e-33,0.0,3.3061351036651286e-23,0.0,2.9576556238202928e-36,0.0,1.1432337764371148e-36,0.0,3.5300899191638903e-66
2.9986024085075254e-06,3.143457040277907e-21,3.0769825154314987e-21,0.0,3.9108062009884473e-33,0.0,4.376917813014146e-23,0.0,4.050710648525796e-36,0.0,1.5563620834847104e-36,0.0,5.313479090029643e-66,5.354934859398818e-22,9.727557175296747e-19,3.107020835414552e-21,2.973359627206236e-21,0.0,3.5725578278198865e-25,0.0,1.0467019833427874e-22,0.0,3.71779190696547e-28,0.0,1.3987380471921805e-28,0.0,5.3833521578116285e-58,3.143457040277907e-21,3.0769825154314987e-21,0.0,3.9108062009884473e-33,0.0,4.376917813014146e-23,0.0,4.050710648525796e-36,0.0,1.5563620834847104e-36,0.0,5.313479090029643e-66
3.313968176754115e-06,4.273746537086595e-21,4.188112124641527e-21,0.0,5.366060547188934e-33,0.0,5.804955868699759e-23,0.0,5.557395045611155e-36,0.0,2.1253743387814463e-36,0.0,8.022828704115725e-66,5.354934859398818e-22,9.727557175296747e-19,4.2264747990848815e-21,4.049664930432212e-21,0.0,4.905357778431819e-25,0.0,1.4098331262923664e-22,0.0,5.104777194633029e-28,0.0,1.9121977730014576e-28,0.0,8.13716217380992e-58,4.273746537086595e-21,4.188112124641527e-21,0.0,5.366060547188934e-33,0.0,5.804955868699759e-23,0.0,5.557395045611155e-36,0.0,2.1253743387814463e-36,0.0,8.022828704115725e-66
3.6625012523768305e-06,5.8204854707908455e-21,5.7101694093795e-21,0.0,7.37584114071609e-33,0.0,7.713010571655006e-23,0.0,7.637902633467217e-36,0.0,2.911537106915011e-36,0.0,1.2151908889084796e-65,5.354934859398818e-22,9.727557175296747e-19,5.759081627902645e-21,5.524797666522384e-21,0.0,6.747049506189217e-25,0.0,1.9028118047467583e-22,0.0,7.021323590602922e-28,0.0,2.622280921436787e-28,0.0,1.2338133798335437e-57,5.8204854707908455e-21,5.7101694093795e-21,0.0,7.37584114071609e-33,0.0,7.713010571655006e-23,0.0,7.637902633467217e-36,0.0,2.911537106915011e-36,0.0,1.2151908889084796e-65
4.047689871542502e-06,7.94095549061315e-21,7.798772176140262e-21,0.0,1.0156209061908763e-32,0.0,1.0267019498814538e-22,0.0,1.0515674499447337e-35,0.0,4.0010389722729256e-36,0.0,1.8464246238718542e-65,5.354934859398818e-22,9.727557175296747e-19,7.861080731739208e-21,7.55001837390367e-21,0.0,9.296206134165552e-25,0.0,2.5733744374515647e-22,0.0,9.674053630583178e-28,0.0,3.6072478113562975e-28,0.0,1.8766482323561155e-57,7.94095549061315e-21,7.798772176140262e-21,0.0,1.0156209061908763e-32,0.0,1.0267019498814538e-22,0.0,1.0515674499447337e-35,0.0,4.0010389722729256e-36,0.0,1.8464246238718542e-65
4.4733891314181335e-06,1.0853091360713817e-20,1.0669635104854618e-20,0.0,1.400890783434138e-32,0.0,1.369149311910786e-22,0.0,1.4502699565710553e-35,0.0,5.515398144548482e-36,0.0,2.8143560768141854e-65,5.354934859398818e-22,9.727557175296747e-19,1.0749017862217376e-20,1.0335064357097037e-20,0.0,1.2830226699942863e-24,0.0,3.48718180814721e-22,0.0,1.335160250424924e-27,0.0,4.97751097411499e-28,0.0,2.863271329955471e-57,1.0853091360713817e-20,1.0669635104854618e-20,0.0,1.400890783434138e-32,0.0,1.369149311910786e-22,0.0,1.4502699565710553e-35,0.0,5.515398144548482e-36,0.0,2.8143560768141854e-65
4.943859573278992e-06,1.4859199266728937e-20,1.4622078074818843e-20,0.0,1.9355731585231665e-32,0.0,1.829043042631324e-22,0.0,2.003500668639379e-35,0.0,7.626298711114655e-36,0.0,4.302950251163014e-65,5.354934859398818e-22,9.727557175296747e-19,1.472334255271856e-20,1.4171042205103717e-20,0.0,1.7736975472328772e-24,0.0,4.734637805965837e-22,0.0,1.8457532957863964e-27,0.0,6.889162344080343e-28,0.0,4.381946232603026e-57,1.4859199266728937e-20,1.4622078074818843e-20,0.0,1.9355731585231665e-32,0.0,1.829043042631324e-22,0.0,2.003500668639379e-35,0.0,7.626298711114655e-36,0.0,4.302950251163014e-65
5.463809823437831e-06,2.0379010647472915e-20,2.0071786283543885e-20,0.0,2.678675978403705e-32,0.0,2.4475734372276985e-22,0.0,2.772246730923604e-35,0.0,1.0576766200807192e-35,0.0,6.59876923993039e-65,5.354934859398818e-22,9.727557175296747e-19,2.0201298507885278e-20,1.9462336211989654e-20,0.0,2.4559194389708923e-24,0.0,6.440319288695753e-22,0.0,2.5556537344899195e-27,0.0,9.563290193269495e-28,0.0,6.726133658586445e-57,2.0379010647472915e-20,2.0071786283543885e-20,0.0,2.678675978403705e-32,0.0,2.4475734372276985e-22,0.0,2.772246730923604e-35,0.0,1.0576766200807192e-35,0.0,6.59876923993039e-65
