Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
3.91013098216797e-06,3.973672283527485e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.108219574107559e-21,1.1994149339967574e-18,3.973672283527485e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.973672283527485e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3213630473586e-06,3.62140854532139e-20,3.3799614021258957e-20,0.0,8.322858889163596e-24,0.0,1.8070923342756474e-21,0.0,1.584292542791811e-26,0.0,1.421278609637093e-26,0.0,2.086415052946077e-56,1.108219574107559e-21,1.1994149339967574e-18,3.624608348826525e-20,3.3712787027266745e-20,0.0,8.919882188111228e-24,0.0,1.923766086286294e-21,0.0,1.6978694476167285e-26,0.0,1.5230052022026663e-26,0.0,2.2359775395211363e-56,3.578476149427636e-20,3.4939082527613884e-20,0.0,4.182252810938713e-25,0.0,2.6283847629852603e-22,0.0,7.964636235027851e-28,0.0,7.155645436198121e-28,0.0,1.0490670781123731e-57
4.77584476638749e-06,4.874899619739846e-20,4.549441234011899e-20,0.0,1.1212920044436582e-23,0.0,2.4345816716137676e-21,0.0,2.1345830264445536e-26,0.0,1.9129536491155643e-26,0.0,3.0105412309016733e-56,1.108219574107559e-21,1.1994149339967574e-18,4.879247126511458e-20,4.5377788363190986e-20,0.0,1.2017321947139046e-23,0.0,2.591791192837315e-21,0.0,2.287622377792912e-26,0.0,2.049882882264541e-26,0.0,3.2263668264442334e-56,4.816641344399019e-20,4.7025443053393445e-20,0.0,5.6341851106673045e-25,0.0,3.5393291838137078e-22,0.0,1.0730462134249346e-27,0.0,9.630482152783558e-28,0.0,1.5136348580074225e-57
5.278124745055227e-06,6.560987328856439e-20,6.12233480063977e-20,0.0,1.5104495482279505e-23,0.0,3.279544872308068e-21,0.0,2.875638380065567e-26,0.0,2.5741901434257993e-26,0.0,4.34399314185169e-56,1.108219574107559e-21,1.1994149339967574e-18,6.566893376115002e-20,6.106672523648443e-20,0.0,1.6188161235156055e-23,0.0,3.491346815878138e-21,0.0,3.081824240064048e-26,0.0,2.75846581428919e-26,0.0,4.655439385719452e-56,6.481939746637199e-20,6.328017032728088e-20,0.0,7.589162642052225e-25,0.0,4.765322638420261e-22,0.0,1.445489962101132e-27,0.0,1.2958620323439842e-27,0.0,2.1839376285669254e-57
5.833229970210488e-06,8.828415530538155e-20,8.237271853580848e-20,0.0,2.034378200286695e-23,0.0,4.4171792773277784e-21,0.0,3.8734313660465683e-26,0.0,3.463236802273607e-26,0.0,6.268090277414748e-56,1.108219574107559e-21,1.1994149339967574e-18,8.836437603546707e-20,8.216241124498936e-20,0.0,2.1803451687842478e-23,0.0,4.702493472432574e-21,0.0,4.151181326730459e-26,0.0,3.711175479337258e-26,0.0,6.717522155562544e-56,8.721171579217816e-20,8.513545074809135e-20,0.0,1.0221044853613616e-24,0.0,6.415044479031305e-22,0.0,1.9469411980216506e-27,0.0,1.7433137443435413e-27,0.0,3.1510955090996436e-57
6.446716121523916e-06,1.1876838979012855e-19,1.1080298876889275e-19,0.0,2.7396291209014104e-23,0.0,5.948612341933449e-21,0.0,5.216685366290126e-26,0.0,4.6582564713160193e-26,0.0,9.044489721192546e-56,1.108219574107559e-21,1.1994149339967574e-18,1.1887733413932558e-19,1.1052064134165121e-19,0.0,2.93621274356835e-23,0.0,6.332899702789615e-21,0.0,5.590783201354939e-26,0.0,4.991774376688055e-26,0.0,9.693043985617194e-56,1.1731357855423796e-19,1.1451327308991765e-19,0.0,1.3763602955320692e-24,0.0,8.634548289553385e-22,0.0,2.621975241567772e-27,0.0,2.3447294173828887e-27,0.0,4.5465959750319284e-57
7.12472317459765e-06,1.5974152020300737e-19,1.490100644096934e-19,0.0,3.688782880644294e-23,0.0,8.009814715303073e-21,0.0,7.024694140730816e-26,0.0,6.264095028847414e-26,0.0,1.3050798619926786e-55,1.108219574107559e-21,1.1994149339967574e-18,1.598894474835582e-19,1.4863106318176427e-19,0.0,3.953492741273384e-23,0.0,8.527332251636021e-21,0.0,7.528483697952391e-26,0.0,6.712619991214047e-26,0.0,1.3986703722901523e-55,1.577682441782494e-19,1.539920080709565e-19,0.0,1.8531095036961052e-24,0.0,1.1620067941030344e-21,0.0,3.530524387578736e-27,0.0,3.152858375889333e-27,0.0,6.560186252448417e-57
7.874036851904938e-06,2.1479676409669093e-19,2.0034107187935975e-19,0.0,4.9659494259752237e-23,0.0,1.0783565908269767e-20,0.0,9.45781952146835e-26,0.0,8.421336112066013e-26,0.0,1.8831988762631655e-55,1.108219574107559e-21,1.1994149339967574e-18,2.1499758818074192e-19,1.998324187587059e-19,0.0,5.322334501868823e-23,0.0,1.1480396624325011e-20,0.0,1.0136152076012962e-25,0.0,9.024368395834435e-26,0.0,2.0182574487900183e-55,2.1212058440633713e-19,2.070292898748949e-19,0.0,2.4945880078088805e-24,0.0,1.56351931928903e-21,0.0,4.7531509505821225e-27,0.0,4.2384280091966086e-27,0.0,9.465704578903634e-57
8.702156536581244e-06,2.8875174045626367e-19,2.692829759566173e-19,0.0,6.684147792903043e-23,0.0,1.451551300896056e-20,0.0,1.2731580415738195e-25,0.0,1.131840989943627e-25,0.0,2.717464119040103e-55,1.108219574107559e-21,1.1994149339967574e-18,2.8902432862706134e-19,2.6860044165428167e-19,0.0,7.163872545007026e-23,0.0,1.5453635962073835e-20,0.0,1.364477328319729e-25,0.0,1.212895074766049e-25,0.0,2.9123676423677104e-55,2.851227248053571e-19,2.7826014013300967e-19,0.0,3.357546867120084e-24,0.0,2.103389852770709e-21,0.0,6.398124022713093e-27,0.0,5.696235009979493e-27,0.0,1.365838125161728e-56
9.617370328771505e-06,3.88063042258821e-19,3.6184854046411687e-19,0.0,8.995205394868013e-23,0.0,1.9535714910453058e-20,0.0,1.7135556640682475e-25,0.0,1.5207782949887599e-25,0.0,3.921419047247563e-55,1.108219574107559e-21,1.1994149339967574e-18,3.8843297498434653e-19,3.609328536179184e-19,0.0,9.64083687043829e-23,0.0,2.0798471042109415e-20,0.0,1.8364708713136473e-25,0.0,1.629692325588575e-25,0.0,4.202691738667655e-55,3.831425406570273e-19,3.7389565096380354e-19,0.0,4.518222144495034e-24,0.0,2.8291409912561173e-21,0.0,8.610914227946976e-27,0.0,7.653289755524277e-27,0.0,1.9708718732360597e-56
1.0628837995721912e-05,5.213801421531684e-19,4.860923645259092e-19,0.0,1.2103033714211432e-22,0.0,2.6287535618317804e-20,0.0,2.3058746421599805e-25,0.0,2.0427600625652577e-25,0.0,5.6589891644371304e-55,1.108219574107559e-21,1.1994149339967574e-18,5.218820973089457e-19,4.848641117396641e-19,0.0,1.2971782231603763e-22,0.0,2.798696589255576e-20,0.0,2.471287399505765e-25,0.0,2.1890660460422876e-25,0.0,6.064918130687866e-55,5.147093320426357e-19,5.022560301849432e-19,0.0,6.078999468786879e-24,0.0,3.8045564016581236e-21,0.0,1.1586929182538849e-26,0.0,1.0279703554532883e-26,0.0,2.844034691492688e-56
1.1746682645809286e-05,7.002850667144691e-19,6.528006238896928e-19,0.0,1.6281427698370405e-22,0.0,3.5366382127795897e-20,0.0,3.1023572749380377e-25,0.0,2.743060897599046e-25,0.0,8.166882749485404e-55,1.108219574107559e-21,1.1994149339967574e-18,7.009660498833635e-19,6.511534288077989e-19,0.0,1.7450166139951594e-22,0.0,3.7653076447871785e-20,0.0,3.3249186679668127e-25,0.0,2.9395349728640507e-25,0.0,8.752741222594291e-55,6.912423487275253e-19,6.744830478025039e-19,0.0,8.177349004699079e-24,0.0,5.115221024784041e-21,0.0,1.5588591666575116e-26,0.0,1.3803237032666976e-26,0.0,4.104256098011953e-56
1.2982092044012347e-05,9.402796057362151e-19,8.764125623544287e-19,0.0,2.189792481488345e-22,0.0,4.7571629806396325e-20,0.0,4.173147885680343e-25,0.0,3.682278407632896e-25,0.0,1.1786982486892743e-54,1.108219574107559e-21,1.1994149339967574e-18,9.412033270332696e-19,8.742039701126797e-19,0.0,2.346992194340059e-22,0.0,5.0647942158977904e-20,0.0,4.4725435261820945e-25,0.0,3.94603891358819e-25,0.0,1.2632577888535388e-54,9.28022893809844e-19,9.05491800993249e-19,0.0,1.0997801533296033e-23,0.0,6.87594032449072e-21,0.0,2.0968236548506275e-26,0.0,1.852872998444099e-26,0.0,5.923304517723358e-56
1.4347430582823655e-05,1.2621021626119355e-18,1.1762509406329033e-18,0.0,2.9445779391138508e-22,0.0,6.397621141245075e-20,0.0,5.612404977727533e-25,0.0,4.941489511797191e-25,0.0,1.7013199841660486e-54,1.108219574107559e-21,1.1994149339967574e-18,1.263354967442086e-18,1.1732902440723005e-18,0.0,3.155973035144499e-22,0.0,6.811398735455324e-20,0.0,6.015078929304552e-25,0.0,5.2954646391374305e-25,0.0,1.8233784890168913e-54,1.2454907045272457e-18,1.215241514116025e-18,0.0,1.4787997036905626e-23,0.0,9.240673144093396e-21,0.0,2.8198802691582257e-26,0.0,2.4864034697096562e-26,0.0,8.549324145768956e-56
1.5856363029245864e-05,1.6934833238985683e-18,1.5781642436931664e-18,0.0,3.958680230351305e-22,0.0,8.601985694793487e-20,0.0,7.546492896670583e-25,0.0,6.629129360993711e-25,0.0,2.4559275718215586e-54,1.108219574107559e-21,1.1994149339967574e-18,1.6951822299859234e-18,1.5741962330323224e-18,0.0,4.242893716480981e-22,0.0,9.158420856110892e-20,0.0,8.087959810936799e-25,0.0,7.104017889668878e-25,0.0,2.632132628278404e-54,1.6709717819602991e-18,1.6304315360120333e-18,0.0,1.988018537300512e-23,0.0,1.2415825773921303e-20,0.0,3.7914964174761816e-26,0.0,3.3354611189236e-26,0.0,1.2340892522156888e-55
