Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
7810218978.102189,1.724563863644528e-31,1.724563863644528e-31,2.916370543234666e-21
8631626878.401043,2.106239149162045e-31,2.106239149162045e-31,3.5618389809560865e-21
9539423001.688917,2.572361003176954e-31,2.572361003176954e-31,4.35012906009396e-21
10542692876.688492,3.141603313519533e-31,3.141603313519533e-31,5.312827395943295e-21
11651477565.51941,3.836765116451763e-31,3.836765116451763e-31,6.48849992107628e-21
12876874158.022898,4.685680029386096e-31,4.685680029386096e-31,7.924231262628476e-21
14231146835.166748,5.722325374795118e-31,5.722325374795118e-31,9.677502440644751e-21
15727849613.090582,6.988174486379913e-31,6.988174486379913e-31,1.1818480706797067e-20
17381961996.25504,8.533845000849709e-31,8.533845000849709e-31,1.4432811209877626e-20
19210038897.357197,1.0421107173173536e-30,1.0421107173173536e-30,1.762501934465657e-20
21230376324.461155,1.2725329774474064e-30,1.2725329774474064e-30,2.152265575352028e-20
23463194493.59623,1.553845735905756e-30,1.553845735905756e-30,2.6281343747679115e-20
25930840199.475227,1.897263209571982e-30,1.897263209571982e-30,3.2090922247559306e-20
28658010469.726944,2.316459647767734e-30,2.316459647767734e-30,3.918291717235718e-20
31671999741.049652,2.828104063070556e-30,2.828104063070556e-30,4.7839621604879095e-20
35002973031.107506,3.452509023629497e-30,3.452509023629497e-30,5.840512117850032e-20
38684267840.16622,4.2144160610534926e-30,4.2144160610534926e-30,7.129865488450526e-20
42752727804.00076,5.1439366745699555e-30,5.1439366745699555e-30,8.703066028571894e-20
47249071437.38578,6.277714916052035e-30,6.277714916052035e-30,1.06222565991985e-19
52218299658.677505,7.660303309488528e-30,7.660303309488528e-30,1.2963030692039462e-19
57710146174.12989,9.34584068635835e-30,9.34584068635835e-30,1.5817300271900155e-19
63779575229.54297,1.1400039866698504e-29,1.1400039866698504e-29,1.92967059638047e-19
70487331710.90883,1.390259802948913e-29,1.390259802948913e-29,2.353675592845e-19
77900549099.64783,1.6950033911636322e-29,1.6950033911636322e-29,2.8701720225511137e-19
86093421367.05486,2.0658780335045795e-29,2.0658780335045795e-29,3.499005319451585e-19
95147945532.50157,2.5167176412133834e-29,2.5167176412133834e-29,4.263835652567714e-19
105154742317.16649,3.0639361968071274e-29,3.0639361968071274e-29,5.1928389972161365e-19
116213963106.67105,3.7269896162223046e-29,3.7269896162223046e-29,6.319541067458714e-19
128436292299.80911,4.5288991910166324e-29,4.5288991910166324e-29,7.683775671384788e-19
141944055075.21228,5.497009630133536e-29,5.497009630133536e-29,9.333028695545596e-19
156872441662.85257,6.66371856300198e-29,6.66371856300198e-29,1.1323787781851456e-18
173370860373.30328,8.067586902299208e-29,8.067586902299208e-29,1.3723512641061754e-18
191604432926.3285,9.754395711613765e-29,9.754395711613765e-29,1.6612595507406477e-18
211755647044.55432,1.1778527010454043e-28,1.1778527010454043e-28,2.008688342865347e-18
234026182851.93295,1.420462475310624e-28,1.420462475310624e-28,2.426071782858485e-18
258638931356.21,1.7109698109790743e-28,1.7109698109790743e-28,2.927074886624055e-18
285840225217.04706,2.058292446023505e-28,2.058292446023505e-28,3.52764732150339e-18
315902304126.0738,2.471854317281025e-28,2.471854317281025e-28,4.245066156052861e-18
349126039473.22546,2.9657133935391944e-28,2.9657133935391944e-28,5.104197223729399e-18
385843945568.7394,3.553034802461972e-28,3.553034802461972e-28,6.1294108719727484e-18
426423507558.1338,4.253581558499903e-28,4.253581558499903e-28,7.35592573697114e-18
471270859337.06085,5.085785471759658e-28,5.085785471759658e-28,8.818172418584658e-18
520834848275.83875,6.077159404816463e-28,6.077159404816463e-28,1.0565625622598669e-17
575611527434.7992,7.25333625305038e-28,7.25333625305038e-28,1.264665922210685e-17
636149120230.0431,8.653423435820239e-28,8.653423435820239e-28,1.5131969877823175e-17
703053507237.652,1.0312615847311136e-27,1.0312615847311136e-27,1.8088828214669468e-17
776994290050.1403,1.2286007231610507e-27,1.2286007231610507e-27,2.1617488697858836e-17
858711492874.2494,1.4622477469572935e-27,1.4622477469572935e-27,2.5812306713412516e-17
949022968941.9446,1.7396126258731603e-27,1.7396126258731603e-27,3.0810177780793893e-17
1048832585860.4452,2.0674137462529377e-27,2.0674137462529377e-27,3.674233086874397e-17
1159139271823.0435,2.456092791669179e-27,2.456092791669179e-27,4.380282234304267e-17
1281047013218.2114,2.9148278612694993e-27,2.9148278612694993e-27,5.2173229454980934e-17
1415775903696.4365,3.457768289913996e-27,3.457768289913996e-27,6.212010132219521e-17
1564674355277.571,4.09719846172326e-27,4.09719846172326e-27,7.389074117770188e-17
1729232593711.5347,4.852477787548217e-27,4.852477787548217e-27,8.785399682662345e-17
1911097573158.5093,5.74005460243652e-27,5.74005460243652e-27,1.0434662483467743e-16
2112089459459.7332,6.786328157782764e-27,6.786328157782764e-27,1.2387749850339817e-16
2334219846969.0107,8.013233792796655e-27,8.013233792796655e-27,1.469035204920047e-16
2579711891265.1406,9.456511873261994e-27,9.456511873261994e-27,1.7412253122409447e-16
2851022559240.1597,1.1145313811929992e-26,1.1145313811929992e-26,2.061523209267298e-16
3150867219249.8286,1.3128038227247146e-26,1.3128038227247146e-26,2.439494862627167e-16
3482246817432.798,1.544336500333372e-26,1.544336500333372e-26,2.8834736955383346e-16
3848477912188.206,1.815627167034723e-26,1.815627167034723e-26,3.4064786580732593e-16
4253225867406.8936,2.1316262280702127e-26,2.1316262280702127e-26,4.019461409249753e-16
4700541536665.167,2.5008617755382876e-26,2.5008617755382876e-26,4.739833954239072e-16
5194901805528.957,2.9296734359879316e-26,2.9296734359879316e-26,5.581975912708081e-16
5741254397729.279,3.429275036102136e-26,3.429275036102136e-26,6.569189716328811e-16
6345067393644.315,4.0076525730256565e-26,4.0076525730256565e-26,7.720120029712971e-16
7012383956685.749,4.67943287562335e-26,4.67943287562335e-26,9.065742002260038e-16
7749882815309.328,5.454532753194275e-26,5.454532753194275e-26,1.0629959165855762e-15
8564945105974.091,6.35191926842824e-26,6.35191926842824e-26,1.2453726159247184e-15
9465728246036.918,7.383740457233424e-26,7.383740457233424e-26,1.4567347278049936e-15
10461247575927.205,8.574433293862316e-26,8.574433293862316e-26,1.7024648721885391e-15
11561466587704.121,9.938590739982729e-26,9.938590739982729e-26,1.9863465441472515e-15
12777396643033.88,1.1507447100274353e-25,1.1507447100274353e-25,2.315402835581479e-15
14121207178598.45,1.329799416542916e-25,1.329799416542916e-25,2.694252673437488e-15
15606347501908.082,1.5349599234559835e-25,1.5349599234559835e-25,3.1319552399433047e-15
17247681396491.338,1.7681492022779607e-25,1.7681492022779607e-25,3.63402949467783e-15
19061635883636.61,2.03432406877926e-25,2.03432406877926e-25,4.212122033102493e-15
21066365629542.375,2.3355953150882273e-25,2.3355953150882273e-25,4.872669604547677e-15
23281934643318.605,2.6781717907931754e-25,2.6781717907931754e-25,5.630546090984571e-15
25730517084333.64,3.0642743552212996e-25,3.0642743552212996e-25,6.493015710841708e-15
28436619188654.184,3.501657348017375e-25,3.501657348017375e-25,7.478963284082065e-15
