Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
3.677045981759947e-06,4.4719821430141645e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4719821430141645e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4719821430141645e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1992015639215914e-21,1.714656772647426e-18
4.063764283468003e-06,1.014748639545304e-17,1.0125471865023317e-17,0.0,1.7176691856617587e-22,0.0,1.664260985407395e-22,0.0,1.8545537997303794e-29,0.0,4.697588977432577e-25,0.0,4.156189211838338e-59,1.0147509133156559e-17,1.0125367176835684e-17,0.0,2.4621383067906706e-22,0.0,2.1466265633275445e-22,0.0,3.1977129381712296e-29,0.0,6.733477133995709e-25,0.0,6.8176227190003425e-59,1.0147455866161784e-17,1.0125610973129165e-17,0.0,7.250592029692094e-23,0.0,1.0241222215940495e-22,0.0,5.7105888134056176e-30,0.0,1.9829893132563834e-25,0.0,1.416689753442802e-59,2.1992015639215914e-21,1.714656772647426e-18
4.491154104003366e-06,1.3526371273637693e-17,1.3496964646150429e-17,0.0,2.324434466098303e-22,0.0,2.1990131205570256e-22,0.0,2.510220539083046e-29,0.0,6.158365764216843e-25,0.0,6.023521311644144e-59,1.352640525900559e-17,1.3496826878228108e-17,0.0,3.3318873807226097e-22,0.0,2.8470447801887784e-22,0.0,4.328359773925273e-29,0.0,8.827342162878743e-25,0.0,9.880704863361788e-59,1.352632571066286e-17,1.3497147750847756e-17,0.0,9.811855347704555e-23,0.0,1.338963386588916e-22,0.0,7.729088282872078e-30,0.0,2.5996249565374405e-25,0.0,2.0531954339685414e-59,2.1992015639215914e-21,1.714656772647426e-18
4.963492904340602e-06,1.8023274117768323e-17,1.7984074453529296e-17,0.0,3.1476276767150983e-22,0.0,2.9089441958653854e-22,0.0,3.399972584965204e-29,0.0,8.079882806871707e-25,0.0,8.736856226962672e-59,1.8023324473946855e-17,1.7983893141430802e-17,0.0,4.5118686547255435e-22,0.0,3.780235576677276e-22,0.0,5.862713099362084e-29,0.0,1.158162903731079e-24,0.0,1.4331519114597741e-58,1.8023206684838284e-17,1.7984315482034964e-17,0.0,1.3286698277923072e-22,0.0,1.7525142572233286e-22,0.0,1.0468056055893379e-29,0.0,3.410751968901532e-25,0.0,2.97807695418507e-59,2.1992015639215914e-21,1.714656772647426e-18
5.4855080099520735e-06,2.4006871617028e-17,2.3954749796759203e-17,0.0,4.265623421295497e-22,0.0,3.8529745640072175e-22,0.0,4.608645163572842e-29,0.0,1.0610756287869519e-24,0.0,1.2684116128121201e-58,2.4006945741585392e-17,2.3954511180581206e-17,0.0,6.1144259646981085e-22,0.0,5.025499691790495e-22,0.0,7.947094292948155e-29,0.0,1.5209363387690434e-24,0.0,2.0806374962986712e-58,2.4006772444474647e-17,2.3955067064075435e-17,0.0,1.8005953210470545e-22,0.0,2.296630172103409e-22,0.0,1.4188545484879047e-29,0.0,4.47910531091352e-25,0.0,4.323570653928076e-59,2.1992015639215914e-21,1.714656772647426e-18
6.06242392347006e-06,3.1967706515513736e-17,3.1898612734844984e-17,0.0,5.785812032433224e-22,0.0,5.110519306184867e-22,0.0,6.25249226385088e-29,0.0,1.3949135100646967e-24,0.0,1.8434075127655615e-58,3.1967815090230956e-17,3.189829873234602e-17,0.0,8.293494947202283e-22,0.0,6.690024270540726e-22,0.0,1.0782016971885146e-28,0.0,1.9994570854629004e-24,0.0,3.023821874448099e-58,3.196756135358448e-17,3.1899030311289666e-17,0.0,2.442293267811313e-22,0.0,3.0138434944991525e-22,0.0,1.924828316028152e-29,0.0,5.888329021324259e-25,0.0,6.283568251129713e-59,2.1992015639215914e-21,1.714656772647426e-18
6.700014613265163e-06,4.2558937349979754e-17,4.246767033397446e-17,0.0,7.85566825402477e-22,0.0,6.788914363366811e-22,0.0,8.491169382484212e-29,0.0,1.835993708167002e-24,0.0,2.6822524639381064e-58,4.2559095802727254e-17,4.246725719708747e-17,0.0,1.1260469152367511e-21,0.0,8.91907818506778e-22,0.0,1.4642854552945025e-28,0.0,2.631698347673286e-24,0.0,4.3997951591411746e-58,4.255872561917475e-17,4.24682198343782e-17,0.0,3.316015202440194e-22,0.0,3.9611111602387518e-22,0.0,2.613854179601328e-29,0.0,7.750252076699917e-25,0.0,9.142996800205908e-59,2.1992015639215914e-21,1.714656772647426e-18
7.404661301262525e-06,5.665102535351936e-17,5.653096089555316e-17,0.0,1.0678195522957758e-21,0.0,9.033655784605413e-22,0.0,1.1544447495525093e-28,0.0,2.41983897404881e-24,0.0,3.9080588132773136e-58,5.665125597573483e-17,5.65304174523758e-17,0.0,1.5306338250112382e-21,0.0,1.1910097487053444e-21,0.0,1.9908666828850192e-28,0.0,3.468578294829466e-24,0.0,6.410486639186212e-58,5.665071732048554e-17,5.653168382051494e-17,0.0,4.507452215073262e-22,0.0,5.214944458222711e-22,0.0,3.5535576976641666e-29,0.0,1.0214825537922333e-24,0.0,1.3321574069620208e-58,2.1992015639215914e-21,1.714656772647426e-18
8.183416328355506e-06,7.54052770027118e-17,7.524805168337333e-17,0.0,1.4533536735649257e-21,0.0,1.2042560036847795e-21,0.0,1.5715587806578361e-28,0.0,3.194229653367303e-24,0.0,5.702640730881299e-58,7.54056120171368e-17,7.524733703649782e-17,0.0,2.083266543164659e-21,0.0,1.5932202457465225e-21,0.0,2.710251156570358e-28,0.0,4.57858510792408e-24,0.0,9.354099722820366e-58,7.540482968863401e-17,7.524900248455303e-17,0.0,6.1348571940244585e-22,0.0,6.878452946859282e-22,0.0,4.8372573320377643e-29,0.0,1.3483742966160907e-24,0.0,1.94391802970621e-58,2.1992015639215914e-21,1.714656772647426e-18
9.044073736603913e-06,1.0037295081391504e-16,1.0016808358809072e-16,0.0,1.9809294232649566e-21,0.0,1.6085400542479914e-21,0.0,2.1424110921189615e-28,0.0,4.223641352470716e-24,0.0,8.335240601865206e-58,1.0037343681839121e-16,1.0016714409820572e-16,0.0,2.8395048826316723e-21,0.0,2.1353313432219647e-21,0.0,3.6947951873288174e-28,0.0,6.054137929842875e-24,0.0,1.3672217711300153e-57,1.0037230206738805e-16,1.0016933368534722e-16,0.0,8.361843361703187e-22,0.0,9.091044422281939e-22,0.0,6.594052839229787e-29,0.0,1.7829172932323266e-24,0.0,2.841383763222884e-58,2.1992015639215914e-21,1.714656772647426e-18
9.995247274626414e-06,1.3362907443871172e-16,1.3336347621535971e-16,0.0,2.704316934955825e-21,0.0,2.1531201583112187e-21,0.0,2.9251830908613864e-28,0.0,5.595367203376887e-24,0.0,1.2205712509900442e-57,1.336297788402048e-16,1.3336224154249222e-16,0.0,3.876424210131762e-21,0.0,2.8677909953059064e-21,0.0,5.044842672274989e-28,0.0,8.020362522849082e-24,0.0,2.0020610661828723e-57,1.336281343537686e-16,1.3336511926887198e-16,0.0,1.1415383086143555e-21,0.0,1.204181470048446e-21,0.0,9.003001705816301e-29,0.0,2.361960263273101e-24,0.0,4.160902223982634e-58,2.1992015639215914e-21,1.714656772647426e-18
1.1046456606891964e-05,1.7795339808108854e-16,1.7761067334486608e-16,0.0,3.698304023188738e-21,0.0,2.888624034598515e-21,0.0,4.0007621252277546e-28,0.0,7.427986883809034e-24,0.0,1.790962867959735e-57,1.7795441840390235e-16,1.7760905124313798e-16,0.0,5.301227151924223e-21,0.0,3.859969907249566e-21,0.0,6.89988977817723e-28,0.0,1.0647230769834105e-23,0.0,2.9375978069689437e-57,1.7795203658109443e-16,1.7761283218723452e-16,0.0,1.561116764708239e-21,0.0,1.5988063214744234e-21,0.0,1.231307227389844e-28,0.0,3.135558773077794e-24,0.0,6.10558043988652e-58,2.1992015639215914e-21,1.714656772647426e-18
1.2208222589721615e-05,2.370752673862587e-16,2.366346760971442e-16,0.0,5.067171020397031e-21,0.0,3.884700225537276e-21,0.0,5.481859878190773e-28,0.0,9.883106129663032e-24,0.0,2.6336694902553807e-57,2.3707674472248514e-16,2.3663254555560425e-16,0.0,7.26339164066251e-21,0.0,5.2075139613623836e-21,0.0,9.454299826277287e-28,0.0,1.416638810771787e-23,0.0,4.319728198410361e-57,2.3707329628191965e-16,2.366375118680669e-16,0.0,2.1389380814759695e-21,0.0,2.1280917930213244e-21,0.0,1.6871250910873876e-28,0.0,4.171930774067933e-24,0.0,8.978871582769111e-58,2.1992015639215914e-21,1.714656772647426e-18
