Energy,Flux Value,Flux Error,Is Upper Limit
3.0521224931682534e-07,4.5e-16,6.64e-17,0.0
3.060393827838086e-07,4.514e-16,6.66e-17,0.0
6.286214349072825e-07,8.79e-16,7.57e-17,0.0
1.5095185772444614e-06,1.35e-15,1.61e-16,0.0
1.5880962566078716e-06,1.3325e-15,0.0,0.0
5.7899342688828654e-06,3.6547e-15,1.932e-18,0.0
5.7899342688828654e-06,3.095e-15,9.3005e-17,0.0
5.7899342688828654e-06,2.67e-15,0.0,0.0
5.7899342688828654e-06,3.09e-15,9.24e-17,0.0
5.7899342688828654e-06,2.674e-15,0.0,0.0
5.9140042889303555e-06,2.8e-15,0.0,0.0
2.0057986574344214e-05,1.0864e-14,9.7e-16,0.0
2.0057986574344214e-05,1.1621e-14,1.455e-17,0.0
2.0057986574344214e-05,1.09e-14,1.26e-15,0.0
2.0057986574344214e-05,1.06e-14,1.59e-15,0.0
2.067833667458166e-05,1.095e-14,0.0,0.0
2.067833667458166e-05,7.84e-15,0.0,0.0
2.067833667458166e-05,3.33e-15,0.0,0.0
3.473960561329719e-05,2.18e-14,0.0,0.0
3.473960561329719e-05,2.1e-14,0.0,0.0
3.473960561329719e-05,2.1025e-14,0.0,0.0
3.498774565339217e-05,2.1175e-14,3.384e-17,0.0
6.203501002374499e-05,1.96e-14,0.0,0.0
6.203501002374499e-05,3.61e-14,0.0,0.0
6.203501002374499e-05,1.99e-14,1.5e-16,0.0
0.00041356673349163324,2.5124e-13,5.2356e-14,0.0
0.05636914577490961,3.2021e-12,1.7145e-13,0.0
0.05636914577490961,3.1611e-12,1.7823e-13,0.0
0.10330897002620998,2.6443e-12,6.4742e-14,0.0
0.10330897002620998,2.6541e-12,6.6928e-14,0.0
0.2695214402164974,2.3324e-12,5.8801e-14,0.0
0.2695214402164974,3.5042e-12,8.5773e-14,0.0
0.36464178891957305,2.1559e-12,5.7591e-14,0.0
0.36464178891957305,3.2451e-12,8.6687e-14,0.0
1.344091883847808,1.6e-13,0.0,0.0
1.344091883847808,9.47e-14,1.21e-14,0.0
1.344091883847808,1.54e-13,1.84e-14,0.0
1.3589802862535068,1.5504e-13,1.9647e-14,0.0
1.3589802862535068,1.1405e-13,1.9491e-14,0.0
1.6087745932824533,1.31e-13,0.0,0.0
1.6087745932824533,9.38e-14,5.36e-15,0.0
1.6087745932824533,5.94e-14,4.28e-15,0.0
1.62821222975656,9.3852e-14,5.5499e-15,0.0
1.62821222975656,8.7658e-14,5.8329e-15,0.0
