Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
7865853658.536585,3.3947306374795286e-29,3.3947306374795286e-29,3.16171477964997e-20
8693112709.25357,4.14601652869902e-29,4.14601652869902e-29,3.861432150803921e-20
9607375353.820848,5.063516262021689e-29,5.063516262021689e-29,4.715954422608762e-20
10617791840.079536,6.183981178457582e-29,6.183981178457582e-29,5.759510332203362e-20
11734474755.83682,7.552279548164249e-29,7.552279548164249e-29,7.033888407124265e-20
12968600239.04369,9.223185358978837e-29,9.223185358978837e-29,8.590102975289166e-20
14332519832.33998,1.126355959399952e-28,1.126355959399952e-28,1.0490425725423894e-19
15839884101.444601,1.3755009352403165e-28,1.3755009352403165e-28,1.2810862314243293e-19
17505779254.605385,1.679712838709879e-28,1.679712838709879e-28,1.5644170485901533e-19
19346878130.44186,2.0511444587233576e-28,2.0511444587233576e-28,1.9103536617232027e-19
21381607065.318096,2.5046226319252006e-28,2.5046226319252006e-28,2.332705217764488e-19
23630330310.31036,3.0582331151684087e-28,3.0582331151684087e-28,2.848316103533442e-19
26115553843.476505,3.734031821783169e-28,3.734031821783169e-28,3.4777283682339503e-19
28862150617.24893,4.558909029620469e-28,4.558909029620469e-28,4.2459866202169674e-19
31897609495.302628,5.565638465470315e-28,5.565638465470315e-28,5.18361511375945e-19
35252310370.34209,6.794149387810313e-28,6.794149387810313e-28,6.327802532693957e-19
38959828216.27865,8.293065278857845e-28,8.293065278857845e-28,7.723835091109481e-19
43057269117.8542,1.0121544259694497e-27,1.0121544259694497e-27,9.42681066271042e-19
47585641640.80915,1.2351554654829194e-27,1.2351554654829194e-27,1.1503758193342574e-18
52590267259.391815,1.507056041289629e-27,1.507056041289629e-27,1.4036138872248984e-18
58121233948.90572,1.838479527071752e-27,1.838479527071752e-27,1.7122895653617383e-18
64233897483.00165,2.242312949690306e-27,2.242312949690306e-27,2.088405474239332e-18
70989435452.86595,2.734175589390579e-27,2.734175589390579e-27,2.5465090147744135e-18
78455459553.11581,3.332968344201028e-27,3.332968344201028e-27,3.1042040552548966e-18
86706692262.36383,4.061465784636254e-27,4.061465784636254e-27,3.78270240549471e-18
95825714690.89926,4.94666079830573e-27,4.94666079830573e-27,4.607144974998387e-18
105903793080.19623,6.020493867703525e-27,6.020493867703525e-27,5.607281123276824e-18
117041792226.1339,7.320709441764488e-27,7.320709441764488e-27,6.81826643029875e-18
129351184967.7756,8.891818259436109e-27,8.891818259436109e-27,8.281559200642746e-18
142955167845.0095,1.0786517249607534e-26,1.0786517249607534e-26,1.00462431377892e-17
157989894090.92737,1.306701045372599e-26,1.306701045372599e-26,1.2170257988047124e-17
174605836299.14456,1.5807081577921932e-26,1.5807081577921932e-26,1.4722330193583762e-17
192969292404.09186,1.9093990075763956e-26,1.9093990075763956e-26,1.778373943735313e-17
213264050046.6383,2.3030977715127376e-26,2.3030977715127376e-26,2.1450653836092102e-17
235693225982.57416,2.774026645253686e-26,2.774026645253686e-26,2.583692291147006e-17
260481298943.37244,3.3366883151244727e-26,3.3366883151244727e-26,3.107764075512879e-17
287876356294.7842,4.0077464264816897e-26,4.0077464264816897e-26,3.7328035507745284e-17
318152576978.5789,4.8044278054129135e-26,4.8044278054129135e-26,4.4748595319470394e-17
351612975587.54926,5.753136123477765e-26,5.753136123477765e-26,5.35852740669201e-17
388592435037.40204,6.877590029780723e-26,6.877590029780723e-26,6.405905021733566e-17
429461058187.5369,8.21458785474399e-26,8.21458785474399e-26,7.651271525329343e-17
