Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
7.554658213973663e-06,4.866108730148808e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.129018828936983e-22,2.6426792634887194e-19,4.866108730148808e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.866108730148808e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.349188554084988e-06,6.922888789352861e-19,6.681046906554811e-19,0.0,3.715665905500418e-33,0.0,7.522654327686747e-21,0.0,3.27334625924021e-36,0.0,7.493202196025227e-33,0.0,2.419007601958449e-61,5.129018828936983e-22,2.6426792634887194e-19,6.907969258643613e-19,6.664222617265561e-19,0.0,3.469220661996432e-24,0.0,7.561561737214638e-21,0.0,3.0511946794228707e-27,0.0,6.960051899752287e-24,0.0,2.249030945601041e-52,6.922888789352861e-19,6.681046906554811e-19,0.0,3.715665905500418e-33,0.0,7.522654327686747e-21,0.0,3.27334625924021e-36,0.0,7.493202196025227e-33,0.0,2.419007601958449e-61
9.227280379504809e-06,9.74576659962998e-19,9.428742960155493e-19,0.0,5.141250861756666e-33,0.0,9.894729976805533e-21,0.0,4.585423337429625e-36,0.0,1.0337746757452042e-32,0.0,3.639809012104522e-61,5.129018828936983e-22,2.6426792634887194e-19,9.725657258000704e-19,9.40600410562585e-19,0.0,4.8011055737468966e-24,0.0,9.948451104906802e-21,0.0,4.274773137541808e-27,0.0,9.603237060955395e-24,0.0,3.384435016104048e-52,9.74576659962998e-19,9.428742960155493e-19,0.0,5.141250861756666e-33,0.0,9.894729976805533e-21,0.0,4.585423337429625e-36,0.0,1.0337746757452042e-32,0.0,3.639809012104522e-61
1.0197721928358716e-05,1.3661384389021019e-18,1.3248298914400563e-18,0.0,7.072489248984092e-33,0.0,1.2935228439813994e-20,0.0,6.384610486814868e-36,0.0,1.4183402889728066e-32,0.0,5.4491530837099744e-61,5.129018828936983e-22,2.6426792634887194e-19,1.3634575683465641e-18,1.3217890357959113e-18,0.0,6.605837119618167e-24,0.0,1.3008905509048307e-20,0.0,5.9529081670489136e-27,0.0,1.3177203717039938e-23,0.0,5.067463901082394e-52,1.3661384389021019e-18,1.3248298914400563e-18,0.0,7.072489248984092e-33,0.0,1.2935228439813994e-20,0.0,6.384610486814868e-36,0.0,1.4183402889728066e-32,0.0,5.4491530837099744e-61
1.1270225705844382e-05,1.9061532015718325e-18,1.8527014843756362e-18,0.0,9.667084757363415e-33,0.0,1.679621504854041e-20,0.0,8.830184429487908e-36,0.0,1.93452526446067e-32,0.0,8.112763037991244e-61,5.129018828936983e-22,2.6426792634887194e-19,1.902622200209298e-18,1.8486822483863494e-18,0.0,9.031086302703052e-24,0.0,1.6896497681181028e-20,0.0,8.234381234650433e-27,0.0,1.797514850751135e-23,0.0,7.545518147073987e-52,1.9061532015718325e-18,1.8527014843756362e-18,0.0,9.667084757363415e-33,0.0,1.679621504854041e-20,0.0,8.830184429487908e-36,0.0,1.93452526446067e-32,0.0,8.112763037991244e-61
1.245552569024782e-05,2.646187961584015e-18,2.5775802655878943e-18,0.0,1.3120720807116134e-32,0.0,2.1647787730724988e-20,0.0,1.2121864397442736e-35,0.0,2.622020698134214e-32,0.0,1.200460895055561e-60,5.129018828936983e-22,2.6426792634887194e-19,2.6415990441744754e-18,2.5723361123209276e-18,0.0,1.2260172389390355e-23,0.0,2.1783125874718667e-20,0.0,1.1305815728863476e-26,0.0,2.436651558839228e-23,0.0,1.1166863285817687e-51,2.646187961584015e-18,2.5775802655878943e-18,0.0,1.3120720807116134e-32,0.0,2.1647787730724988e-20,0.0,1.2121864397442736e-35,0.0,2.622020698134214e-32,0.0,1.200460895055561e-60
1.3765484762205967e-05,3.653231518189987e-18,3.566027356714304e-18,0.0,1.7670271842528504e-32,0.0,2.767191054047988e-20,0.0,1.650374218352927e-35,0.0,3.530045598330045e-32,0.0,1.7643351310347092e-60,5.129018828936983e-22,2.6426792634887194e-19,3.647355349567974e-18,3.559282343811559e-18,0.0,1.6515113650287842e-23,0.0,2.78528221110919e-20,0.0,1.5395379609823962e-26,0.0,3.280956683897863e-23,0.0,1.6414627211826676e-51,3.653231518189987e-18,3.566027356714304e-18,0.0,1.7670271842528504e-32,0.0,2.767191054047988e-20,0.0,1.650374218352927e-35,0.0,3.530045598330045e-32,0.0,1.7643351310347092e-60
1.5213213432403527e-05,5.012993945323714e-18,4.90344639597256e-18,0.0,2.3594538982076352e-32,0.0,3.505268225200523e-20,0.0,2.226582125533281e-35,0.0,4.718468172736302e-32,0.0,2.573648068981036e-60,5.129018828936983e-22,2.6426792634887194e-19,5.0055915513884355e-18,4.89490817182693e-18,0.0,2.2057358341664726e-23,0.0,3.529194108822088e-20,0.0,2.0774246804277676e-26,0.0,4.386188083514079e-23,0.0,2.3947988524602898e-51,5.012993945323714e-18,4.90344639597256e-18,0.0,2.3594538982076352e-32,0.0,3.505268225200523e-20,0.0,2.226582125533281e-35,0.0,4.718468172736302e-32,0.0,2.573648068981036e-60
1.6813201055970144e-05,6.833216025857152e-18,6.697143895794293e-18,0.0,3.121519942791997e-32,0.0,4.396939786580675e-20,0.0,2.974855215652361e-35,0.0,6.25817469229499e-32,0.0,3.7232678726988764e-60,5.129018828936983e-22,2.6426792634887194e-19,6.824057546099911e-18,6.686521056330869e-18,0.0,2.9188705869578866e-23,0.0,4.428219882165982e-20,0.0,2.776085308503259e-26,0.0,5.81838080043761e-23,0.0,3.4651036091377224e-51,6.833216025857152e-18,6.697143895794293e-18,0.0,3.121519942791997e-32,0.0,4.396939786580675e-20,0.0,2.974855215652361e-35,0.0,6.25817469229499e-32,0.0,3.7232678726988764e-60
1.8581460846817e-05,9.246571152824256e-18,9.08006679809075e-18,0.0,4.088350766038797e-32,0.0,5.456919257250642e-20,0.0,3.932798573701573e-35,0.0,8.231603629845569e-32,0.0,5.337525947466022e-60,5.129018828936983e-22,2.6426792634887194e-19,9.23546127234824e-18,9.067100429559227e-18,0.0,3.823889162284717e-23,0.0,5.497299491866584e-20,0.0,3.6707030975856663e-26,0.0,7.654354037445359e-23,0.0,4.968267426884067e-51,9.246571152824256e-18,9.08006679809075e-18,0.0,4.088350766038797e-32,0.0,5.456919257250642e-20,0.0,3.932798573701573e-35,0.0,8.231603629845569e-32,0.0,5.337525947466022e-60
