Energy,Flux Value,Flux Error,Is Upper Limit
3.4863675633344683e-06,1.6944e-15,0.0,0.0
5.7899342688828654e-06,2.954e-15,0.0,0.0
5.7899342688828654e-06,3.08e-15,0.0,0.0
5.7899342688828654e-06,2.814e-15,5.6e-16,0.0
5.7899342688828654e-06,3.08e-15,6.16e-16,0.0
5.7899342688828654e-06,2.814e-15,5.6e-16,0.0
5.7899342688828654e-06,2.814e-15,5.6e-16,0.0
5.7899342688828654e-06,2.814e-15,5.6e-16,0.0
5.7899342688828654e-06,3.08e-15,6.16e-16,0.0
5.7899342688828654e-06,3.08e-15,6.16e-16,0.0
5.7899342688828654e-06,3.08e-15,6.16e-16,0.0
5.7899342688828654e-06,3.08e-15,6.16e-16,0.0
5.7899342688828654e-06,3.08e-15,0.0,0.0
5.7899342688828654e-06,2.954e-15,0.0,0.0
5.7899342688828654e-06,2.814e-15,8.4e-17,0.0
5.7899342688828654e-06,2.814e-15,0.0,0.0
5.7899342688828654e-06,2.87e-15,0.0,0.0
5.7899342688828654e-06,3.0818e-15,2.016e-18,0.0
5.7899342688828654e-06,2.8171e-15,8.4702e-17,0.0
5.7899342688828654e-06,2.87e-15,0.0,0.0
5.7899342688828654e-06,2.8e-15,0.0,0.0
5.7899342688828654e-06,2.82e-15,8.54e-17,0.0
5.7899342688828654e-06,3.29e-15,0.0,0.0
5.7899342688828654e-06,2.912e-15,0.0,0.0
6.199365335039582e-06,2.9081e-15,0.0,0.0
6.199365335039582e-06,3.2978e-15,0.0,0.0
6.199365335039582e-06,3.1629e-15,0.0,0.0
6.203501002374499e-06,2.85e-15,0.0,0.0
6.203501002374499e-06,2.85e-15,0.0,0.0
6.617067735866132e-06,1.76e-15,1.76e-16,0.0
9.512034870307564e-06,3.91e-15,0.0,0.0
9.512034870307564e-06,2.53e-15,0.0,0.0
9.512034870307564e-06,2.99e-15,0.0,0.0
9.512034870307564e-06,3.91e-15,0.0,0.0
9.512034870307564e-06,3.22e-15,0.0,0.0
9.512034870307564e-06,2.99e-15,0.0,0.0
1.1269693487647006e-05,5.1783e-15,0.0,0.0
1.2407002004748997e-05,5.1e-15,0.0,0.0
1.2407002004748997e-05,5.1e-15,0.0,0.0
1.9851203207598396e-05,7.776e-15,0.0,0.0
1.9851203207598396e-05,6.96e-15,0.0,0.0
1.9975273227645886e-05,2.46e-15,0.0,0.0
1.9975273227645886e-05,2.8e-15,0.0,0.0
2.0057986574344214e-05,7.71e-15,8.73e-16,0.0
2.0057986574344214e-05,7.57e-15,1.13e-15,0.0
2.0057986574344214e-05,7.7115e-15,8.73e-16,0.0
2.0057986574344214e-05,7.0325e-15,6.305e-16,0.0
2.0202734931066285e-05,7.0832e-15,1.4166e-15,0.0
2.0202734931066285e-05,7.0832e-15,1.4166e-15,0.0
2.0202734931066285e-05,7.0832e-15,1.4166e-15,0.0
2.0202734931066285e-05,7.0832e-15,1.4166e-15,0.0
2.0202734931066285e-05,7.0832e-15,1.4166e-15,0.0
2.0223413267740866e-05,8.22e-15,0.0,0.0
2.067833667458166e-05,8.55e-15,0.0,0.0
2.067833667458166e-05,8.5e-15,0.0,0.0
2.067833667458166e-05,5.32e-15,0.0,0.0
2.067833667458166e-05,5.5e-15,0.0,0.0
2.067833667458166e-05,6.7e-15,0.0,0.0
2.067833667458166e-05,6.65e-15,0.0,0.0
2.067833667458166e-05,2.5e-15,0.0,0.0
2.067833667458166e-05,5.1e-15,0.0,0.0
2.067833667458166e-05,5.85e-15,0.0,0.0
2.067833667458166e-05,8.55e-15,0.0,0.0
2.067833667458166e-05,7.8e-15,0.0,0.0
2.067833667458166e-05,6.65e-15,0.0,0.0
2.067833667458166e-05,7.25e-15,0.0,0.0
2.4814004009497995e-05,1.02e-14,0.0,0.0
2.4814004009497995e-05,1.02e-14,0.0,0.0
3.473960561329719e-05,1.3608e-14,2.688e-15,0.0
3.473960561329719e-05,1.3608e-14,2.688e-15,0.0
3.473960561329719e-05,1.3591e-14,0.0,0.0
3.473960561329719e-05,1.3608e-14,2.688e-15,0.0
3.473960561329719e-05,1.3608e-14,2.688e-15,0.0
3.473960561329719e-05,1.3608e-14,2.688e-15,0.0
3.473960561329719e-05,1.3608e-14,0.0,0.0
3.473960561329719e-05,1.36e-14,0.0,0.0
3.498774565339217e-05,1.3688e-14,3.384e-17,0.0
3.5153172346788825e-05,1.377e-14,0.0,0.0
3.556673908028046e-05,8.6e-15,0.0,0.0
3.556673908028046e-05,7.74e-15,0.0,0.0
3.556673908028046e-05,1.032e-14,0.0,0.0
3.556673908028046e-05,8.6e-15,0.0,0.0
3.556673908028046e-05,7.31e-15,0.0,0.0
3.556673908028046e-05,1.032e-14,0.0,0.0
4.962800801899599e-05,1.44e-14,0.0,0.0
6.203501002374499e-05,2.025e-14,1.5e-16,0.0
6.203501002374499e-05,2.02e-14,1.5e-16,0.0
0.00012407002004748998,3.09e-14,3e-15,0.0
0.0001530196913919043,1.554e-13,3.33e-14,0.0
0.056121005734814634,1.6692e-12,1.2214e-13,0.0
0.056121005734814634,1.5607e-12,9.4997e-14,0.0
0.056121005734814634,1.5471e-12,9.4997e-14,0.0
0.05636914577490961,8.3605e-13,6.2009e-14,0.0
0.05636914577490961,1.5568e-12,1.0672e-13,0.0
0.10330897002620998,7.6052e-13,2.1494e-14,0.0
0.10330897002620998,1.5077e-12,3.802e-14,0.0
0.1072378539943805,1.6157e-12,2.8527e-14,0.0
0.1072378539943805,1.5638e-12,3.1121e-14,0.0
0.1072378539943805,1.5846e-12,3.8901e-14,0.0
0.2695214402164974,3.0892e-12,5.8655e-14,0.0
0.2695214402164974,3.1002e-12,7.5884e-14,0.0
0.2695214402164974,3.1022e-12,5.8655e-14,0.0
0.2695214402164974,2.44e-12,3.9007e-14,0.0
0.2695214402164974,3.1348e-12,5.8655e-14,0.0
0.36464178891957305,3.474e-12,5.9535e-14,0.0
0.36464178891957305,4.2504e-12,1.0715e-13,0.0
0.37010086980166257,4.3134e-12,8.949e-14,0.0
0.37010086980166257,4.2687e-12,8.0541e-14,0.0
0.37010086980166257,4.3045e-12,8.949e-14,0.0
0.5661728581500459,6.2011e-12,2.464e-13,0.0
0.5661728581500459,5.5851e-12,2.0534e-13,0.0
0.5661728581500459,5.5851e-12,0.0,0.0
0.5661728581500459,5.5851e-12,0.0,0.0
0.5665864248835375,3.64e-12,6.77e-14,0.0
0.5707220922184538,7.33e-12,4.16e-13,0.0
0.5707220922184538,7.1e-12,4.94e-13,0.0
0.5707220922184538,8.3e-12,7.26e-13,0.0
0.5707220922184538,5.75e-12,2.12e-13,0.0
0.5732034926194037,5.8468e-12,2.2168e-13,0.0
0.5732034926194037,5.8468e-12,2.2168e-13,0.0
0.5732034926194037,5.8468e-12,2.2168e-13,0.0
0.5732034926194037,5.8468e-12,2.2168e-13,0.0
0.5732034926194037,5.8468e-12,0.0,0.0
0.5732034926194037,5.8468e-12,0.0,0.0
0.5732034926194037,5.8468e-12,0.0,0.0
0.5732034926194037,5.8468e-12,2.2168e-13,0.0
0.5732034926194037,5.8468e-12,2.2168e-13,0.0
0.5748577595533703,5.7872e-12,2.1718e-13,0.0
0.746487953952398,7.2392e-12,2.9246e-13,0.0
0.7518643214877893,7.4881e-12,2.7263e-13,0.0
0.7518643214877893,7.4881e-12,0.0,0.0
0.7518643214877893,7.4881e-12,0.0,0.0
0.7518643214877893,7.4881e-12,2.908e-13,0.0
0.7518643214877893,7.4881e-12,2.908e-13,0.0
0.7518643214877893,7.4881e-12,2.908e-13,0.0
0.7518643214877893,1.036e-11,4.1803e-13,0.0
0.7518643214877893,7.4881e-12,2.908e-13,0.0
0.7518643214877893,7.4881e-12,2.908e-13,0.0
0.7526914549547725,3.11e-12,0.0,0.0
0.7526914549547725,9.83e-12,0.0,0.0
0.7526914549547725,1.04e-11,3.8e-13,0.0
0.7526914549547725,1.17e-11,6.51e-13,0.0
0.7526914549547725,7.3e-12,2.89e-13,0.0
0.7526914549547725,1.01e-11,4.19e-13,0.0
0.7568271222896888,5.14e-12,1.44e-13,0.0
0.7605492228911135,9.104e-12,1.8392e-13,0.0
0.7605492228911135,7.5039e-12,2.9427e-13,0.0
0.9917330269129365,7.6266e-12,2.878e-13,0.0
0.9917330269129365,7.6266e-12,0.0,0.0
0.9917330269129365,7.6266e-12,0.0,0.0
0.9917330269129365,9.2335e-12,1.6788e-13,0.0
0.9925601603799198,1.07e-11,3.59e-13,0.0
0.9925601603799198,1.22e-11,6.21e-13,0.0
0.9925601603799198,1.03e-11,3.97e-13,0.0
0.9925601603799198,7.55e-12,2.78e-13,0.0
1.0008314950497526,7.525e-12,2.6616e-13,0.0
1.0008314950497526,7.5492e-12,0.0,0.0
1.0008314950497526,7.525e-12,2.6616e-13,0.0
1.0008314950497526,1.0307e-11,3.8714e-13,0.0
1.0008314950497526,7.525e-12,2.6616e-13,0.0
1.0008314950497526,7.525e-12,2.6616e-13,0.0
1.0008314950497526,7.525e-12,0.0,0.0
1.0008314950497526,7.525e-12,2.6616e-13,0.0
1.0008314950497526,7.525e-12,2.6616e-13,0.0
1.004553595651177,7.6393e-12,2.8669e-13,0.0
1.0339168337290832,6.26e-12,2.95e-13,0.0
1.56741791993329,1.06e-11,0.0,0.0
1.6240765624216438,1.2369e-11,1.7277e-12,0.0
1.7700656193441904,8.71e-12,2.44e-13,0.0
1.7700656193441904,8.87e-12,2.48e-13,0.0
1.8072866253584372,3.44e-12,3.17e-13,0.0
1.8072866253584372,8.18e-12,1.51e-13,0.0
1.8610503007123496,9.32e-12,0.0,0.0
1.9354923127408437,9.64e-12,0.0,0.0
1.9354923127408437,9.26e-12,6.83e-13,0.0
1.9388008466087767,2.5089e-11,2.4206e-12,0.0
1.9847067540263479,1.0942e-11,9.1181e-13,0.0
2.2390502951237026,9.4209e-12,4.8729e-13,0.0
2.2390502951237026,7.8507e-12,0.0,0.0
2.2415316955246523,9.05e-12,0.0,0.0
2.2415316955246523,8.15e-12,2.28e-13,0.0
2.2415316955246523,7.86e-12,2.2e-13,0.0
2.2415316955246523,1.02e-11,1.31e-12,0.0
2.2870240362087317,1.052e-11,7.795e-14,0.0
2.2952953708785646,8.963e-12,3.4234e-13,0.0
2.3159737075531464,5.67e-12,0.0,0.0
2.3159737075531464,5.67e-12,0.0,0.0
2.572385082317959,8.1479e-12,3.1099e-13,0.0
