Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
8537735849.056603,4.448041037744634e-31,4.448041037744634e-31,7.740531295875548e-21
9435657366.589256,5.432746748062084e-31,5.432746748062084e-31,9.454121178444854e-21
10428014114.480696,6.6354299800261055e-31,6.6354299800261055e-31,1.154703426633825e-20
11524737932.606441,8.10433641539302e-31,8.10433641539302e-31,1.41032264597427e-20
12736805201.559902,9.898387447272385e-31,9.898387447272385e-31,1.7225230868441466e-20
14076346697.958641,1.208954136243811e-30,1.208954136243811e-30,2.103826643090174e-20
15556769003.334063,1.4765676274435843e-30,1.4765676274435843e-30,2.5695254345307212e-20
17192888681.705482,1.8034109889682555e-30,1.8034109889682555e-30,3.138294251730929e-20
19001080568.73286,2.2025896480210112e-30,2.2025896480210112e-30,3.8329382214454744e-20
20999441656.575844,2.6901072245725374e-30,2.6901072245725374e-30,4.6813054692189274e-20
23207972214.673923,3.2855057760087194e-30,3.2855057760087194e-30,5.717401077940517e-20
25648775959.165302,4.012647184614116e-30,4.012647184614116e-30,6.98274657689182e-20
28346281274.30732,4.900666673659255e-30,4.900666673659255e-30,8.528038844721779e-20
31327485699.956757,5.9851361837724464e-30,5.9851361837724464e-30,1.0415174032353844e-19
34622226132.022934,7.309483531548183e-30,7.309483531548183e-30,1.2719716340646322e-19
38263477440.15045,8.92672320615938e-30,8.92672320615938e-30,1.5533908740277918e-19
42287682491.29791,1.0901566364788177e-29,1.0901566364788177e-29,1.8970343004911885e-19
46735116882.19921,1.33129889778407e-29,1.33129889778407e-29,2.3166425826497583e-19
51650292031.0728,1.6257371307195957e-29,1.6257371307195957e-29,2.8289839122098027e-19
57082400662.85603,1.985231058064713e-29,1.985231058064713e-29,3.454516925798294e-19
63085809146.53055,2.424127382721077e-29,2.424127382721077e-29,4.218199698399291e-19
69720601612.01627,2.959924552005404e-29,2.959924552005404e-29,5.150471437948461e-19
77053181292.33849,3.613961390437713e-29,3.613961390437713e-29,6.288449416748472e-19
85156935109.50307,4.4122516733649336e-29,4.4122516733649336e-29,7.677379102728253e-19
94112968155.47784,5.386487721946255e-29,5.386487721946255e-29,9.37237628532141e-19
104010915419.21361,6.575190535600427e-29,6.575190535600427e-29,1.1440415355393509e-18
114949838883.74084,8.025168073639205e-29,8.025168073639205e-29,1.396285746574443e-18
127039218971.79167,9.793268015359445e-29,9.793268015359445e-29,1.7038488707316379e-18
140400050262.66824,1.1948507581348997e-28,1.1948507581348997e-28,2.0787209884735867e-18
155166052446.66016,1.4574683963955821e-28,1.4574683963955821e-28,2.5354564680741106e-18
171485008636.6494,1.7773489621640124e-28,1.7773489621640124e-28,3.091713435734456e-18
189520244431.17624,2.1668353667425794e-28,2.1668353667425794e-28,3.768920031170981e-18
209452262531.92416,2.640900585761203e-28,2.640900585761203e-28,4.593064600985574e-18
231480549275.42822,3.2177025043664903e-28,3.2177025043664903e-28,5.5956567482409335e-18
255825571159.38025,3.9192565622821248e-28,3.9192565622821248e-28,6.814892327700771e-18
282730981345.4391,4.77225141301966e-28,4.77225141301966e-28,8.297066457355336e-18
312466058221.9677,5.80892822851236e-28,5.80892822851236e-28,1.009808365147159e-17
345328400432.6509,7.0678681441172245e-28,7.0678681441172245e-28,1.2284773179242712e-17
381646905343.7477,8.596908656746395e-28,8.596908656746395e-28,1.4940119739960765e-17
421785060759.47943,1.0452416359472455e-27,1.0452416359472455e-27,1.8161718742794012e-17
466144582830.14655,1.2704449997543315e-27,1.2704449997543315e-27,2.207104794837549e-17
515169436562.3831,1.5435213209182263e-27,1.5435213209182263e-27,2.6810380287866768e-17
569350279170.1628,1.8747032176341302e-27,1.8747032176341302e-27,3.255705302770193e-17
629229370737.115,2.2759467751753967e-27,2.2759467751753967e-27,3.951790232365247e-17
695406001337.6997,2.7622022184086385e-27,2.7622022184086385e-27,4.7951934784015065e-17
768542488933.7003,3.3508006909180246e-27,3.3508006909180246e-27,5.815881759691056e-17
849370808075.0013,4.063526067561912e-27,4.063526067561912e-27,7.051579466410924e-17
938699915746.9037,4.92545878299904e-27,4.92545878299904e-27,8.545632764436148e-17
1037423847683.5391,5.968136844756413e-27,5.968136844756413e-27,1.0352619100614845e-16
1146530666177.9873,7.227728411107528e-27,7.227728411107528e-27,1.2535015393175237e-16
1267112348941.8096,8.749975270493991e-27,8.749975270493991e-27,1.5171948732818868e-16
1400375717985.011,1.0586857209067783e-26,1.0586857209067783e-26,1.8353160035784e-16
1547654517896.3381,1.2804337880510418e-26,1.2804337880510418e-26,2.2192686302497085e-16
1710422764407.4207,1.5476776849615552e-26,1.5476776849615552e-26,2.681882291698217e-16
1890309496837.6357,1.8699115848386407e-26,1.8699115848386407e-26,3.239561371266033e-16
2089115082067.1646,2.2577349384690858e-26,2.2577349384690858e-26,3.910581721209709e-16
2308829233213.8516,2.724769551146444e-26,2.724769551146444e-26,4.718466494990032e-16
2551650923350.8447,3.2860610960545996e-26,3.2860610960545996e-26,5.689140613441988e-16
2820010393568.2285,3.961081514735669e-26,3.961081514735669e-26,6.856209994311504e-16
3116593475642.6665,4.77109094845539e-26,4.77109094845539e-26,8.256282572013994e-16
3444368472744.578,5.743828141060406e-26,5.743828141060406e-26,9.9372041845872e-16
3806615867213.9434,6.909187643075548e-26,6.909187643075548e-26,1.19504145173143e-15
4206961152730.16,8.306513357839769e-26,8.306513357839769e-26,1.436373563127269e-15
4649411119471.379,9.977543886151613e-26,9.977543886151613e-26,1.7248926846484972e-15
5138393955417.306,1.1977774289736444e-25,1.1977774289736444e-25,2.0701584799997724e-15
5678803565142.9,1.4365130219999176e-25,1.4365130219999176e-25,2.4821214502744963e-15
6276048549660.243,1.7217536106286291e-25,1.7217536106286291e-25,2.974195880728767e-15
6936106337515.346,2.0614780609288092e-25,2.0614780609288092e-25,3.560075463345722e-15
7665583008902.156,2.4665679898860268e-25,2.4665679898860268e-25,4.258479245989739e-15
8471779411533.479,2.9479224233081894e-25,2.9479224233081894e-25,5.088094551498372e-15
9362764229978.82,3.520646974327128e-25,3.520646974327128e-25,6.074888296534801e-15
10347454739771.533,4.199489355688057e-25,4.199489355688057e-25,7.244120738292125e-15
11435706054499.512,5.00528207053132e-25,5.00528207053132e-25,8.631577587085797e-15
12638409759094.475,5.957760723839272e-25,5.957760723839272e-25,1.0271024922358691e-14
13967602916474.66,7.085447840695683e-25,7.085447840695683e-25,1.2211421992071268e-14
15436588538516.389,8.414407726939651e-25,8.414407726939651e-25,1.4497307850403403e-14
17060068727068.186,9.983370794405645e-25,9.983370794405645e-25,1.7195112175411068e-14
18854291817527.586,1.1826231940792559e-24,1.1826231940792559e-24,2.036267622952128e-14
20837214997643.14,1.399513449248578e-24,1.399513449248578e-24,2.408936676987149e-14
23028684029084.918,1.6533342154245773e-24,1.6533342154245773e-24,2.844890028427957e-14
25450631870497.773,1.9510383619109206e-24,1.9510383619109206e-24,3.3560348020700434e-14
28127298189923.35,2.2980209728769286e-24,2.2980209728769286e-24,3.95154741262455e-14
31085471963545.137,2.7034558908077494e-24,2.7034558908077494e-24,4.6471264936191366e-14
34354759588765.973,3.1738719752469765e-24,3.1738719752469765e-24,5.453853332119193e-14
37967881194984.63,3.721234213824165e-24,3.721234213824165e-24,6.39218745948804e-14
41960998117648.266,4.353128642443032e-24,4.353128642443032e-24,7.474969545965162e-14
46374074813051.836,5.0849667872246574e-24,5.0849667872246574e-24,8.728533570028324e-14
51251278836049.34,5.925058891192908e-24,5.925058891192908e-24,1.0166892758344776e-13
56641422883787.64,6.892983016198193e-24,6.892983016198193e-24,1.182347719870842e-13
62598453329586.56,7.997002429831488e-24,7.997002429831488e-24,1.3712133442822715e-13
69181990136374.74,9.261626034966503e-24,9.261626034966503e-24,1.5874684043260195e-13
76457923553317.64,1.0693617025391694e-23,1.0693617025391694e-23,1.832230381227278e-13
84499073567577.86,1.2323192055410193e-23,1.2323192055410193e-23,2.1106525638572239e-13
93385918711221.67,1.415313934108114e-23,1.415313934108114e-23,2.423160491468948e-13
