Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
8.199958842459933e-06,2.4315435694780302e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6678202740973495e-22,3.2617641565497033e-18,2.4315435694780302e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4315435694780302e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.062356042103947e-06,2.0203131590962034e-17,2.0277321720424664e-17,0.0,1.2477198654749748e-31,0.0,1.5265868269954713e-20,0.0,4.5337507389890574e-35,0.0,8.831314259561855e-31,0.0,5.68276795197639e-62,3.6678202740973495e-22,3.2617641565497033e-18,2.0212048852223287e-17,2.0257241392052835e-17,0.0,2.1016629018345915e-21,0.0,2.0269813553455297e-20,0.0,7.687077708824998e-25,0.0,1.4623015770992225e-20,0.0,9.907176149557508e-52,2.0203131590962034e-17,2.0277321720424664e-17,0.0,1.2477198654749748e-31,0.0,1.5265868269954713e-20,0.0,4.5337507389890574e-35,0.0,8.831314259561855e-31,0.0,5.68276795197639e-62
1.0015452346980428e-05,2.33530911185351e-17,2.3442770151574972e-17,0.0,1.4375590276333385e-31,0.0,1.729831922501807e-20,0.0,5.22489461299343e-35,0.0,1.0093420745338634e-30,0.0,7.01611604789222e-62,3.6678202740973495e-22,3.2617641565497033e-18,2.3367088478889185e-17,2.3424917670909414e-17,0.0,2.4217823894222718e-21,0.0,2.2939106925565487e-20,0.0,8.860213116687852e-25,0.0,1.6716627512179923e-20,0.0,1.2232967579116706e-51,2.33530911185351e-17,2.3442770151574972e-17,0.0,1.4375590276333385e-31,0.0,1.729831922501807e-20,0.0,5.22489461299343e-35,0.0,1.0093420745338634e-30,0.0,7.01611604789222e-62
1.1068786665255235e-05,2.6946650658049434e-17,2.7053971369758894e-17,0.0,1.653987277042626e-31,0.0,1.9575246479685022e-20,0.0,6.013605412432803e-35,0.0,1.1506851048447392e-30,0.0,8.64829560561073e-62,3.6678202740973495e-22,3.2617641565497033e-18,2.6966069112703517e-17,2.703835127020204e-17,0.0,2.786700723704765e-21,0.0,2.592461846406039e-20,0.0,1.0198854767031022e-24,0.0,1.9061023847101535e-20,0.0,1.50799393360321e-51,2.6946650658049434e-17,2.7053971369758894e-17,0.0,1.653987277042626e-31,0.0,1.9575246479685022e-20,0.0,6.013605412432803e-35,0.0,1.1506851048447392e-30,0.0,8.64829560561073e-62
1.2232901120823631e-05,3.104632131481802e-17,3.117373091790259e-17,0.0,1.9007424844088427e-31,0.0,2.2126152627338734e-20,0.0,6.913739656631495e-35,0.0,1.308793672843018e-30,0.0,1.0645451495465148e-61,3.6678202740973495e-22,3.2617641565497033e-18,3.107153947535044e-17,3.1160347461025356e-17,0.0,3.202715149955251e-21,0.0,2.926399801149584e-20,0.0,1.1726511670853163e-24,0.0,2.1683270601901463e-20,0.0,1.8563443273841216e-51,3.104632131481802e-17,3.117373091790259e-17,0.0,1.9007424844088427e-31,0.0,2.2126152627338734e-20,0.0,6.913739656631495e-35,0.0,1.308793672843018e-30,0.0,1.0645451495465148e-61
1.3519446562429291e-05,3.57236296505209e-17,3.5873916447735864e-17,0.0,2.182094383627565e-31,0.0,2.4984085799771383e-20,0.0,7.9411472684539e-35,0.0,1.4854525761980087e-30,0.0,1.3088386333703268e-61,3.6678202740973495e-22,3.2617641565497033e-18,3.575507276996452e-17,3.58627792349601e-17,0.0,3.6770190241681085e-21,0.0,3.299935482120495e-20,0.0,1.347007579034196e-24,0.0,2.461295063878178e-20,0.0,2.2824394692277947e-51,3.57236296505209e-17,3.5873916447735864e-17,0.0,2.182094383627565e-31,0.0,2.4984085799771383e-20,0.0,7.9411472684539e-35,0.0,1.4854525761980087e-30,0.0,1.3088386333703268e-61
1.4941299169274606e-05,4.1060374127713784e-17,4.123672014899277e-17,0.0,2.50291836234082e-31,0.0,2.8186040084285033e-20,0.0,9.113952825691253e-35,0.0,1.682606038514024e-30,0.0,1.6075805583132138e-61,3.6678202740973495e-22,3.2617641565497033e-18,4.1098523008055795e-17,4.1227849039019776e-17,0.0,4.217825995045734e-21,0.0,3.7177751268231495e-20,0.0,1.5460299006522374e-24,0.0,2.7882292162893547e-20,0.0,2.803493165945933e-51,4.1060374127713784e-17,4.123672014899277e-17,0.0,2.50291836234082e-31,0.0,2.8186040084285033e-20,0.0,9.113952825691253e-35,0.0,1.682606038514024e-30,0.0,1.6075805583132138e-61
1.651268932015015e-05,4.71500608867586e-17,4.7356101347007994e-17,0.0,2.8687796803811597e-31,0.0,3.1773402832496804e-20,0.0,1.0452877281194197e-34,0.0,1.902365750148586e-30,0.0,1.9728280927651738e-61,3.6678202740973495e-22,3.2617641565497033e-18,4.719546086490305e-17,4.7349530845748414e-17,0.0,4.834511750744486e-21,0.0,4.18517538044119e-20,0.0,1.773233879236423e-24,0.0,3.1526301402615043e-20,0.0,3.440532699009621e-51,4.71500608867586e-17,4.7356101347007994e-17,0.0,2.8687796803811597e-31,0.0,3.1773402832496804e-20,0.0,1.0452877281194197e-34,0.0,1.902365750148586e-30,0.0,1.9728280927651738e-61
1.8249344015848246e-05,5.4099544571597914e-17,5.433943474320863e-17,0.0,3.286029564513204e-31,0.0,3.579245385202926e-20,0.0,1.1981605903764138e-34,0.0,2.1470194197055874e-30,0.0,2.4193091027973202e-61,3.6678202740973495e-22,3.2617641565497033e-18,5.415281478386706e-17,5.433521803102117e-17,0.0,5.537775765636011e-21,0.0,4.7080047060784695e-20,0.0,2.0326382344567133e-24,0.0,3.558290386761765e-20,0.0,4.21924303637749e-51,5.4099544571597914e-17,5.433943474320863e-17,0.0,3.286029564513204e-31,0.0,3.579245385202926e-20,0.0,1.1981605903764138e-34,0.0,2.1470194197055874e-30,0.0,2.4193091027973202e-61
2.016864428027336e-05,6.203090003492083e-17,6.230939312349646e-17,0.0,3.7619148240235403e-31,0.0,4.029492199691802e-20,0.0,1.3727208998389347e-34,0.0,2.4190402211031326e-30,0.0,2.9650133971693267e-61,3.6678202740973495e-22,3.2617641565497033e-18,6.209274315931398e-17,6.230760587568669e-17,0.0,6.339825812012768e-21,0.0,5.292811761583624e-20,0.0,2.3288360295509835e-24,0.0,4.009310055263537e-20,0.0,5.1709979463697236e-51,6.203090003492083e-17,6.230939312349646e-17,0.0,3.7619148240235403e-31,0.0,4.029492199691802e-20,0.0,1.3727208998389347e-34,0.0,2.4190402211031326e-30,0.0,2.9650133971693267e-61
2.2289799115570902e-05,7.108356347418111e-17,7.140609724013283e-17,0.0,4.30470285692769e-31,0.0,4.5338605261794253e-20,0.0,1.5720622892490412e-34,0.0,2.7210976861231783e-30,0.0,3.6319148735896396e-61,3.6678202740973495e-22,3.2617641565497033e-18,7.115477614774186e-17,7.140684138551874e-17,0.0,7.254588380436929e-21,0.0,5.946901463921238e-20,0.0,2.6670762701948468e-24,0.0,4.5101148188513734e-20,0.0,6.334119401492427e-51,7.108356347418111e-17,7.140609724013283e-17,0.0,4.30470285692769e-31,0.0,4.5338605261794253e-20,0.0,1.5720622892490412e-34,0.0,2.7210976861231783e-30,0.0,3.6319148735896396e-61
2.4634037752277197e-05,8.141677398861683e-17,8.178957003305417e-17,0.0,4.923824174093359e-31,0.0,5.098806114060065e-20,0.0,1.7997199739332452e-34,0.0,3.0560707874028264e-30,0.0,4.446853551069891e-61,3.6678202740973495e-22,3.2617641565497033e-18,8.149825809667256e-17,8.179297758466133e-17,0.0,8.297948585611372e-21,0.0,6.678419538801839e-20,0.0,3.0533571813885466e-24,0.0,5.0654775875783536e-20,0.0,7.755415821220942e-51,8.141677398861683e-17,8.178957003305417e-17,0.0,4.923824174093359e-31,0.0,5.098806114060065e-20,0.0,1.7997199739332452e-34,0.0,3.0560707874028264e-30,0.0,4.446853551069891e-61
2.722482211859439e-05,9.321236054258854e-17,9.364253745704688e-17,0.0,5.63003486229464e-31,0.0,5.731537473716229e-20,0.0,2.0597335908369094e-34,0.0,3.427064172271998e-30,0.0,5.4426128895789285e-61,3.6678202740973495e-22,3.2617641565497033e-18,9.330513557858667e-17,9.364877454007056e-17,0.0,9.488023628667643e-21,0.0,7.496446438092238e-20,0.0,3.494532819541329e-24,0.0,5.680545400866756e-20,0.0,9.492060892729855e-51,9.321236054258854e-17,9.364253745704688e-17,0.0,5.63003486229464e-31,0.0,5.731537473716229e-20,0.0,2.0597335908369094e-34,0.0,3.427064172271998e-30,0.0,5.4426128895789285e-61
3.0088081655253096e-05,1.0667792160763842e-16,1.0717362399428225e-16,0.0,6.435601741675932e-31,0.0,6.440101291779882e-20,0.0,2.356719012578318e-34,0.0,3.837428726713748e-30,0.0,6.659235635408284e-61,3.6678202740973495e-22,3.2617641565497033e-18,1.067831383074661e-16,1.0718289519001801e-16,0.0,1.0845474449247311e-20,0.0,8.41110160097128e-20,0.0,3.998434913440789e-24,0.0,6.360873502728086e-20,0.0,1.1613888376477155e-50,1.0667792160763842e-16,1.0717362399428225e-16,0.0,6.435601741675932e-31,0.0,6.440101291779882e-20,0.0,2.356719012578318e-34,0.0,3.837428726713748e-30,0.0,6.659235635408284e-61
3.325247282607117e-05,1.2205045190197564e-16,1.2262099754212202e-16,0.0,7.35451335361582e-31,0.0,7.233477368127785e-20,0.0,2.695950412100214e-34,0.0,4.290787845257714e-30,0.0,8.145631003236218e-61,3.6678202740973495e-22,3.2617641565497033e-18,1.2216940736535893e-16,1.226335506628635e-16,0.0,1.2393860840577024e-20,0.0,9.433659137511509e-20,0.0,4.574012098058972e-24,0.0,7.112468879541135e-20,0.0,1.4206194997928366e-50,1.2205045190197564e-16,1.2262099754212202e-16,0.0,7.35451335361582e-31,0.0,7.233477368127785e-20,0.0,2.695950412100214e-34,0.0,4.290787845257714e-30,0.0,8.145631003236218e-61
3.6749665921474644e-05,1.3960047811413943e-16,1.4025652587141542e-16,0.0,8.402720347626757e-31,0.0,8.12168408953634e-20,0.0,3.0834540354280346e-34,0.0,4.791070921703931e-30,0.0,9.961537697992195e-61,3.6678202740973495e-22,3.2617641565497033e-18,1.3973463263815174e-16,1.4027265728041916e-16,0.0,1.4160046028121918e-20,0.0,1.0576676126065793e-19,0.0,5.231489013883036e-24,0.0,7.941845770850798e-20,0.0,1.7373163917527235e-50,1.3960047811413943e-16,1.4025652587141542e-16,0.0,8.402720347626757e-31,0.0,8.12168408953634e-20,0.0,3.0834540354280346e-34,0.0,4.791070921703931e-30,0.0,9.961537697992195e-61
4.061466202540939e-05,1.5963677396693392e-16,1.6039051536204822e-16,0.0,9.598409327673637e-31,0.0,9.115895561967782e-20,0.0,3.526115347849876e-34,0.0,5.342555613987338e-30,0.0,1.2179921560522432e-60,3.6678202740973495e-22,3.2617641565497033e-18,1.5978776983293939e-16,1.6041057595452063e-16,0.0,1.6174657539042956e-20,0.0,1.1854134839355497e-19,0.0,5.982548097086223e-24,0.0,8.85609572747e-20,0.0,2.1242046176633384e-50,1.5963677396693392e-16,1.6039051536204822e-16,0.0,9.598409327673637e-31,0.0,9.115895561967782e-20,0.0,3.526115347849876e-34,0.0,5.342555613987338e-30,0.0,1.2179921560522432e-60
4.4886143317953896e-05,1.825117345735411e-16,1.8337711236590692e-16,0.0,1.096231477706962e-30,0.0,1.0228571641029299e-19,0.0,4.031801456167315e-34,0.0,5.9499203268381106e-30,0.0,1.4889904063870104e-60,3.6678202740973495e-22,3.2617641565497033e-18,1.8268141704916112e-16,1.8340151433150017e-16,0.0,1.8472612128887822e-20,0.0,1.3281600349446232e-19,0.0,6.84053728857586e-24,0.0,9.862974609514749e-20,0.0,2.596826793708065e-50,1.825117345735411e-16,1.8337711236590692e-16,0.0,1.096231477706962e-30,0.0,1.0228571641029299e-19,0.0,4.031801456167315e-34,0.0,5.9499203268381106e-30,0.0,1.4889904063870104e-60
4.9606860219578104e-05,2.086275009008278e-16,2.0962045846404698e-16,0.0,1.2518074315927443e-30,0.0,1.1473602229228914e-19,0.0,4.609500980711759e-34,0.0,6.618308054225015e-30,0.0,1.8200339191750032e-60,3.6678202740973495e-22,3.2617641565497033e-18,2.088179417428748e-16,2.0964968295847008e-16,0.0,2.109371359885032e-20,0.0,1.4876395109947064e-19,0.0,7.82070734986695e-24,0.0,1.0971008417027771e-19,0.0,3.174166848711808e-50,2.086275009008278e-16,2.0962045846404698e-16,0.0,1.2518074315927443e-30,0.0,1.1473602229228914e-19,0.0,4.609500980711759e-34,0.0,6.618308054225015e-30,0.0,1.8200339191750032e-60
5.4824059251721526e-05,2.3844293744273757e-16,2.3958170323277376e-16,0.0,1.4292633266243707e-30,0.0,1.286646735034437e-19,0.0,5.269483860357373e-34,0.0,7.353402201114435e-30,0.0,2.224418225254741e-60,3.6678202740973495e-22,3.2617641565497033e-18,2.3865646121567386e-16,2.396163090957606e-16,0.0,2.4083333548720572e-20,0.0,1.665779227598307e-19,0.0,8.940482998944676e-24,0.0,1.2189618979854586e-19,0.0,3.879411936793189e-50,2.3844293744273757e-16,2.3958170323277376e-16,0.0,1.4292633266243707e-30,0.0,1.286646735034437e-19,0.0,5.269483860357373e-34,0.0,7.353402201114435e-30,0.0,2.224418225254741e-60
6.058995589585888e-05,2.724815800947164e-16,2.737869920885956e-16,0.0,1.6316705318671726e-30,0.0,1.4424414666717812e-19,0.0,6.023483927245667e-34,0.0,8.161514262564618e-30,0.0,2.7183825965234455e-60,3.6678202740973495e-22,3.2617641565497033e-18,2.727207936522559e-16,2.7382762575755303e-16,0.0,2.749318648678321e-20,0.0,1.8647229700077598e-19,0.0,1.02197726790543e-23,0.0,1.3529269304290787e-19,0.0,4.740883040400635e-50,2.724815800947164e-16,2.737869920885956e-16,0.0,1.6316705318671726e-30,0.0,1.4424414666717812e-19,0.0,6.023483927245667e-34,0.0,8.161514262564618e-30,0.0,2.7183825965234455e-60
6.69622571835892e-05,3.113406869032912e-16,3.1283656254020326e-16,0.0,1.8625297025055033e-30,0.0,1.6166656275907133e-19,0.0,6.884907491604838e-34,0.0,9.0496823265794e-30,0.0,3.3217617973554644e-60,3.6678202740973495e-22,3.2617641565497033e-18,3.116085124185258e-16,3.128839693233684e-16,0.0,3.1382212280493803e-20,0.0,2.0868546736476963e-19,0.0,1.1681322458277554e-23,0.0,1.5001626862913953e-19,0.0,5.793171612184298e-50,3.113406869032912e-16,3.1283656254020326e-16,0.0,1.8625297025055033e-30,0.0,1.6166656275907133e-19,0.0,6.884907491604838e-34,0.0,9.0496823265794e-30,0.0,3.3217617973554644e-60
7.400473924800503e-05,3.5570154205858224e-16,3.574150999528254e-16,0.0,2.1258304896737058e-30,0.0,1.8114586810274915e-19,0.0,7.86907163801068e-34,0.0,1.0025778395399359e-29,0.0,4.0587821359630736e-60,3.6678202740973495e-22,3.2617641565497033e-18,3.56001254030785e-16,3.574701368426683e-16,0.0,3.5817580705754164e-20,0.0,2.334824619919721e-19,0.0,1.3351120339885408e-23,0.0,1.6619741503185726e-19,0.0,7.0785278732073545e-50,3.5570154205858224e-16,3.574150999528254e-16,0.0,2.1258304896737058e-30,0.0,1.8114586810274915e-19,0.0,7.86907163801068e-34,0.0,1.0025778395399359e-29,0.0,4.0587821359630736e-60
8.178788561666644e-05,4.063411834392139e-16,4.083035239646602e-16,0.0,2.4261195087403974e-30,0.0,2.0292025068321787e-19,0.0,8.993476460817088e-34,0.0,1.109862166287491e-29,0.0,4.959033764074309e-60,3.6678202740973495e-22,3.2617641565497033e-18,4.06676450153584e-16,4.0836717419160274e-16,0.0,4.087583486632523e-20,0.0,2.6115784051839623e-19,0.0,1.5258858156583717e-23,0.0,1.839823322973287e-19,0.0,8.648556484845403e-50,4.063411834392139e-16,4.083035239646602e-16,0.0,2.4261195087403974e-30,0.0,2.0292025068321787e-19,0.0,8.993476460817088e-34,0.0,1.109862166287491e-29,0.0,4.959033764074309e-60
