Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
6142131979.695432,1.2417209076524867e-31,1.2417209076524867e-31,1.587589493231628e-22
6788105638.941796,1.5165086672480095e-31,1.5165086672480095e-31,1.9389205328824492e-22
7502016940.983785,1.8520834932038008e-31,1.8520834932038008e-31,2.367972690646793e-22
8291010950.086111,2.2618831610545862e-31,2.2618831610545862e-31,2.891927863399324e-22
9162984183.481915,2.7623121485509886e-31,2.7623121485509886e-31,3.5317615116695833e-22
10126663642.371346,3.373394921674133e-31,3.373394921674133e-31,4.313078135499955e-22
11191694154.682823,4.11957233791382e-31,4.11957233791382e-31,5.267129828069149e-22
12368734903.752674,5.030672189953031e-31,5.030672189953031e-31,6.4320576134410605e-22
13669566109.01465,6.143091489455638e-31,6.143091489455638e-31,7.85440370161124e-22
15107206926.39548,7.501235994484033e-31,7.501235994484033e-31,9.590952925920388e-22
16696045748.403273,9.159271952757582e-31,9.159271952757582e-31,1.1710973772198725e-21
18451984207.99586,1.1183256332677821e-30,1.1183256332677821e-30,1.4298943911110256e-21
20392596327.46814,1.3653725236163924e-30,1.3653725236163924e-30,1.7457862384892038e-21
22537304405.17404,1.666883604072159e-30,1.666883604072159e-30,2.131327098227638e-21
24907573400.416534,2.0348177415200334e-30,2.0348177415200334e-30,2.6018131274914053e-21
27527125761.974915,2.483738298772671e-30,2.483738298772671e-30,3.1758731680791926e-21
30422178850.34563,3.0313701018794104e-30,3.0313701018794104e-30,3.876182071970738e-21
33621707329.898037,3.699262055912353e-30,3.699262055912353e-30,4.7303099443924386e-21
37157733157.05414,4.5136109545633854e-30,4.5136109545633854e-30,5.771777428980176e-21
41065646066.79146,5.506225454448633e-30,5.506225454448633e-30,7.041292008797155e-21
45384557765.005516,6.715701439807585e-30,6.715701439807585e-30,8.588255463210114e-21
50157693371.60842,8.188801167701598e-30,8.188801167701598e-30,1.04725346843224e-20
55432824032.0573,9.98212133342713e-30,9.98212133342713e-30,1.2766604053390707e-20
61262745027.0346,1.2164034193984469e-29,1.2164034193984469e-29,1.5558042065531265e-20
67705804165.362144,1.48166853811549e-29,1.48166853811549e-29,1.8952116047294637e-20
74826485748.48326,1.8036657533268494e-29,1.8036657533268494e-29,2.3072726530847743e-20
82696055951.02562,2.1937279668226723e-29,2.1937279668226723e-29,2.806542663770939e-20
91393276076.63011,2.66514498210741e-29,2.66514498210741e-29,3.410111023996894e-20
101005190827.55045,3.233461693821422e-29,3.233461693821422e-29,4.137993726242199e-20
111627999477.28992,3.916981594083211e-29,3.916981594083211e-29,5.0137859011920355e-20
123368018665.26436,4.7371789713046944e-29,4.7371789713046944e-29,6.065206349565644e-20
136342746449.46387,5.719442107847673e-29,5.719442107847673e-29,7.325060673422539e-20
150682038266.50922,6.893685185361524e-29,6.893685185361524e-29,8.832049166982802e-20
166529406568.50787,8.295197201114036e-29,8.295197201114036e-29,1.0631879398576e-19
184043457143.91068,9.965679680349225e-29,9.965679680349225e-29,1.277862577916886e-19
203399476497.55176,1.1954597436634593e-28,1.1954597436634593e-28,1.5336492951186116e-19
224791186176.90543,1.431807920725844e-28,1.431807920725844e-28,1.837854555523152e-19
248432681602.44443,1.7110663105206536e-28,1.7110663105206536e-28,2.1976548558072083e-19
