Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
5.899131845830614e-06,2.342548848499647e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5709026779574636e-23,2.863075790871569e-19,2.342548848499647e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.342548848499647e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5195489579058946e-06,1.8791775043044784e-17,1.8791934478908027e-17,0.0,4.9034948181378255e-34,0.0,4.3605776881221047e-23,0.0,2.669579699689362e-38,0.0,7.69920075405752e-33,0.0,1.1024120281887497e-64,3.5709026779574636e-23,2.863075790871569e-19,1.8791634570438823e-17,1.8791775987515507e-17,0.0,6.237810244264268e-25,0.0,4.768510658817455e-23,0.0,3.7659905558019367e-29,0.0,9.550482147136073e-24,0.0,1.403421067912494e-55,1.8791775043044784e-17,1.8791934478908027e-17,0.0,4.9034948181378255e-34,0.0,4.3605776881221047e-23,0.0,2.669579699689362e-38,0.0,7.69920075405752e-33,0.0,1.1024120281887497e-64
7.2052159072480005e-06,2.5561755300087302e-17,2.556201843043502e-17,0.0,7.135666344538361e-34,0.0,6.042767932248652e-23,0.0,3.8870083250004246e-38,0.0,1.0832786696547453e-32,0.0,1.7163144570337933e-64,3.5709026779574636e-23,2.863075790871569e-19,2.5561579907683144e-17,2.5561818199087433e-17,0.0,9.076812541096414e-25,0.0,6.621465482641923e-23,0.0,5.483470006610689e-29,0.0,1.3437556525374733e-23,0.0,2.184957144897127e-55,2.5561755300087302e-17,2.556201843043502e-17,0.0,7.135666344538361e-34,0.0,6.042767932248652e-23,0.0,3.8870083250004246e-38,0.0,1.0832786696547453e-32,0.0,1.7163144570337933e-64
7.962995079146516e-06,3.491823129021481e-17,3.491866026216254e-17,0.0,1.0448658280365779e-33,0.0,8.423167879099242e-23,0.0,5.693941359343379e-38,0.0,1.5337248227283424e-32,0.0,2.6886241894213792e-64,3.5709026779574636e-23,2.863075790871569e-19,3.4918012936930675e-17,3.4918407446340405e-17,0.0,1.329015140606409e-24,0.0,9.248894904188538e-23,0.0,8.032621433640436e-29,0.0,1.9025146279917835e-23,0.0,3.4227801776523814e-55,3.491823129021481e-17,3.491866026216254e-17,0.0,1.0448658280365779e-33,0.0,8.423167879099242e-23,0.0,5.693941359343379e-38,0.0,1.5337248227283424e-32,0.0,2.6886241894213792e-64
8.800470582252231e-06,4.7904282824723004e-17,4.790497593284915e-17,0.0,1.5391721598140835e-33,0.0,1.180705029477043e-22,0.0,8.389105531272275e-38,0.0,2.184645197457947e-32,0.0,4.236830412048479e-64,3.5709026779574636e-23,2.863075790871569e-19,4.790401127284599e-17,4.7904656233619987e-17,0.0,1.957605073243958e-24,0.0,1.2991812185222245e-22,0.0,1.183491338249266e-28,0.0,2.7099538576916174e-23,0.0,5.3937885949418426e-55,4.7904282824723004e-17,4.790497593284915e-17,0.0,1.5391721598140835e-33,0.0,1.180705029477043e-22,0.0,8.389105531272275e-38,0.0,2.184645197457947e-32,0.0,4.236830412048479e-64
9.726024152885443e-06,6.599468234762801e-17,6.5995796423217e-17,0.0,2.2800133158966355e-33,0.0,1.6635089387554864e-22,0.0,1.2425581746249767e-37,0.0,3.129510974067003e-32,0.0,6.713436296088374e-64,3.5709026779574636e-23,2.863075790871569e-19,6.599434403753287e-17,6.599539035103068e-17,0.0,2.8996215517756266e-24,0.0,1.8343681755234408e-22,0.0,1.7529610942231354e-28,0.0,3.882020763782602e-23,0.0,8.546790693526432e-55,6.599468234762801e-17,6.5995796423217e-17,0.0,2.2800133158966355e-33,0.0,1.6635089387554864e-22,0.0,1.2425581746249767e-37,0.0,3.129510974067003e-32,0.0,6.713436296088374e-64
1.0748919042270303e-05,9.126927133871839e-17,9.127106521668427e-17,0.0,3.3942440536547526e-33,0.0,2.3540580442308197e-22,0.0,1.8488830715770919e-37,0.0,4.505923115541019e-32,0.0,1.0689644620885271e-63,3.5709026779574636e-23,2.863075790871569e-19,9.126884747099679e-17,9.127054525657273e-17,0.0,4.3162858172987456e-24,0.0,2.6015522408297304e-22,0.0,2.6083889180899707e-28,0.0,5.589404083919096e-23,0.0,1.3609077506996528e-54,9.126927133871839e-17,9.127106521668427e-17,0.0,3.3942440536547526e-33,0.0,2.3540580442308197e-22,0.0,1.8488830715770919e-37,0.0,4.505923115541019e-32,0.0,1.0689644620885271e-63
1.18793927262667e-05,1.2664719816245562e-16,1.2665011359822302e-16,0.0,5.073852735102999e-33,0.0,3.3426892574017725e-22,0.0,2.761062124048062e-37,0.0,6.515692406551267e-32,0.0,1.708898745624591e-63,3.5709026779574636e-23,2.863075790871569e-19,1.266466615132749e-16,1.266494396745806e-16,0.0,6.4515602167445096e-24,0.0,3.7024473356295516e-22,0.0,3.8953628845719315e-28,0.0,8.082442376165243e-23,0.0,2.1756620723439288e-54,1.2664719816245562e-16,1.2665011359822302e-16,0.0,5.073852735102999e-33,0.0,3.3426892574017725e-22,0.0,2.761062124048062e-37,0.0,6.515692406551267e-32,0.0,1.708898745624591e-63
1.312875936546931e-05,1.7619569213568372e-16,1.7620050793802093e-16,0.0,7.607688742013765e-33,0.0,4.756854644527034e-22,0.0,4.133144533952748e-37,0.0,9.453026723653053e-32,0.0,2.739789005502395e-63,3.5709026779574636e-23,2.863075790871569e-19,1.7619500197091666e-16,1.7619962038046634e-16,0.0,9.67242190810279e-24,0.0,5.281011611390376e-22,0.0,5.831266853704087e-28,0.0,1.1726089217755583e-22,0.0,3.4882305697385725e-54,1.7619569213568372e-16,1.7620050793802093e-16,0.0,7.607688742013765e-33,0.0,4.756854644527034e-22,0.0,4.133144533952748e-37,0.0,9.453026723653053e-32,0.0,2.739789005502395e-63
1.4509523041129996e-05,2.455240439645828e-16,2.455321635348449e-16,0.0,1.1426544038403839e-32,0.0,6.773629867105586e-22,0.0,6.1924546739444754e-37,0.0,1.3743168566675791e-31,0.0,4.3991566020468507e-63,3.5709026779574636e-23,2.863075790871569e-19,2.4552313830359916e-16,2.4553097257720413e-16,0.0,1.4526060808447884e-23,0.0,7.537968758895249e-22,0.0,8.736905425014375e-28,0.0,1.7047841531708002e-22,0.0,5.601118563522208e-54,2.455240439645828e-16,2.455321635348449e-16,0.0,1.1426544038403839e-32,0.0,6.773629867105586e-22,0.0,6.1924546739444754e-37,0.0,1.3743168566675791e-31,0.0,4.3991566020468507e-63
1.6035502900205425e-05,3.4226414995414436e-16,3.4227813562222065e-16,0.0,1.7165183238589475e-32,0.0,9.633958698020636e-22,0.0,9.269088044648532e-37,0.0,1.9993711881457126e-31,0.0,7.062644590118896e-63,3.5709026779574636e-23,2.863075790871569e-19,3.4226293440771685e-16,3.422765063820642e-16,0.0,2.1818530218383777e-23,0.0,1.0747566428763566e-21,0.0,1.3078142861686963e-27,0.0,2.4801396063701874e-22,0.0,8.992815217873886e-54,3.4226414995414436e-16,3.4227813562222065e-16,0.0,1.7165183238589475e-32,0.0,9.633958698020636e-22,0.0,9.269088044648532e-37,0.0,1.9993711881457126e-31,0.0,7.062644590118896e-63
1.77219714620247e-05,4.766184547407735e-16,4.766430205089136e-16,0.0,2.574390385038296e-32,0.0,1.3656614181129218e-21,0.0,1.383214615963953e-36,0.0,2.9059840924840303e-31,0.0,1.131604093722197e-62,3.5709026779574636e-23,2.863075790871569e-19,4.766167872434877e-16,4.766407524582789e-16,0.0,3.2718064387066164e-23,0.0,1.5274410755203525e-21,0.0,1.951704499755302e-27,0.0,3.6047575586320115e-22,0.0,1.4409643670234487e-53,4.766184547407735e-16,4.766430205089136e-16,0.0,2.574390385038296e-32,0.0,1.3656614181129218e-21,0.0,1.383214615963953e-36,0.0,2.9059840924840303e-31,0.0,1.131604093722197e-62
1.958580747079629e-05,6.619171034187411e-16,6.619609567616593e-16,0.0,3.8468661455167944e-32,0.0,1.9247600791837617e-21,0.0,2.0529476266396996e-36,0.0,4.212204063825351e-31,0.0,1.8055943361816438e-62,3.5709026779574636e-23,2.863075790871569e-19,6.619147744345377e-16,6.619577569854312e-16,0.0,4.8881731736837486e-23,0.0,2.158565222232946e-21,0.0,2.8967917995696775e-27,0.0,5.225072547420269e-22,0.0,2.299423231075465e-53,6.619171034187411e-16,6.619609567616593e-16,0.0,3.8468661455167944e-32,0.0,1.9247600791837617e-21,0.0,2.0529476266396996e-36,0.0,4.212204063825351e-31,0.0,1.8055943361816438e-62
2.164566482375277e-05,9.150598127396354e-16,9.151390640538521e-16,0.0,5.714056059723538e-32,0.0,2.689758499333888e-21,0.0,3.022250184577551e-36,0.0,6.076918842607026e-31,0.0,2.8621425865446046e-62,3.5709026779574636e-23,2.863075790871569e-19,9.150565210286077e-16,9.151345142471162e-16,0.0,7.259358893537116e-23,0.0,3.0250139035323974e-21,0.0,4.264625672497764e-27,0.0,7.538178558290367e-22,0.0,3.6453740398387807e-53,9.150598127396354e-16,9.151390640538521e-16,0.0,5.714056059723538e-32,0.0,2.689758499333888e-21,0.0,3.022250184577551e-36,0.0,6.076918842607026e-31,0.0,2.8621425865446046e-62
