Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
2.8751745261532682e-06,4.999115742166577e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999115742166577e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999115742166577e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2263936660219413e-21,6.654678197328796e-19
3.1775592706965153e-06,1.4665700258560707e-18,1.4650469793969624e-18,0.0,1.1462779813627436e-32,0.0,1.4945972532490802e-21,0.0,1.7181287976901372e-36,0.0,1.2081925426689716e-33,0.0,2.772073244820873e-64,1.4647880094289287e-18,1.4631225635214333e-18,0.0,2.9375894119640097e-24,0.0,1.5717740055019755e-21,0.0,4.7375604175533785e-28,0.0,3.064837431582647e-25,0.0,7.22716737145636e-56,1.4665700258560707e-18,1.4650469793969624e-18,0.0,1.1462779813627436e-32,0.0,1.4945972532490802e-21,0.0,1.7181287976901372e-36,0.0,1.2081925426689716e-33,0.0,2.772073244820873e-64,1.2263936660219413e-21,6.654678197328796e-19
3.511746096435459e-06,1.9704745138463895e-18,1.9685451281414414e-18,0.0,1.5472665990770476e-32,0.0,1.904062538499468e-21,0.0,2.3198433294505515e-36,0.0,1.57723148559426e-33,0.0,4.0027415453294475e-64,1.968108042215278e-18,1.9659908123792324e-18,0.0,3.9652643520609456e-24,0.0,2.0048670587878196e-21,0.0,6.396863434801083e-28,0.0,4.0010750987353547e-25,0.0,1.0435924362750327e-55,1.9704745138463895e-18,1.9685451281414414e-18,0.0,1.5472665990770476e-32,0.0,1.904062538499468e-21,0.0,2.3198433294505515e-36,0.0,1.57723148559426e-33,0.0,4.0027415453294475e-64,1.2263936660219413e-21,6.654678197328796e-19
3.881079657446139e-06,2.646191475073689e-18,2.6437509155880785e-18,0.0,2.0881835644007807e-32,0.0,2.4247279220242552e-21,0.0,3.131780946991543e-36,0.0,2.0586975684131563e-33,0.0,5.779076083771467e-64,2.6430464312593288e-18,2.6403580759584192e-18,0.0,5.351564920484867e-24,0.0,2.5563378277341408e-21,0.0,8.635919821289116e-28,0.0,5.2225577330307035e-25,0.0,1.5067499699820846e-55,2.646191475073689e-18,2.6437509155880785e-18,0.0,2.0881835644007807e-32,0.0,2.4247279220242552e-21,0.0,3.131780946991543e-36,0.0,2.0586975684131563e-33,0.0,5.779076083771467e-64,1.2263936660219413e-21,6.654678197328796e-19
4.289256368144476e-06,3.551765400445815e-18,3.548685490159968e-18,0.0,2.8177327077294083e-32,0.0,3.086531422541805e-21,0.0,4.227187540976838e-36,0.0,2.6867684988605654e-33,0.0,8.342751404052547e-64,3.547582659829028e-18,3.544175894477e-18,0.0,7.221316396654207e-24,0.0,3.2582880991441047e-21,0.0,1.1656737384119009e-27,0.0,6.816005070141368e-25,0.0,2.175208936847421e-55,3.551765400445815e-18,3.548685490159968e-18,0.0,2.8177327077294083e-32,0.0,3.086531422541805e-21,0.0,4.227187540976838e-36,0.0,2.6867684988605654e-33,0.0,8.342751404052547e-64,1.2263936660219413e-21,6.654678197328796e-19
4.740361398244055e-06,4.764623776628939e-18,4.760751086046229e-18,0.0,3.801515416171764e-32,0.0,3.9273927005786205e-21,0.0,5.704732390494593e-36,0.0,3.505992121388451e-33,0.0,1.2042361018283949e-63,4.759057402507514e-18,4.754753668074805e-18,0.0,9.7426513173302e-24,0.0,4.1514479277893644e-21,0.0,1.573144295914118e-27,0.0,8.894450978719045e-25,0.0,3.1398706182631113e-55,4.764623776628939e-18,4.760751086046229e-18,0.0,3.801515416171764e-32,0.0,3.9273927005786205e-21,0.0,5.704732390494593e-36,0.0,3.505992121388451e-33,0.0,1.2042361018283949e-63,1.2263936660219413e-21,6.654678197328796e-19
5.238909558507732e-06,6.38795190677765e-18,6.383108189163135e-18,0.0,5.127870614087201e-32,0.0,4.995318635153008e-21,0.0,7.697291099554197e-36,0.0,4.574426696966357e-33,0.0,1.7380664510416383e-63,6.38054009270627e-18,6.375128152410977e-18,0.0,1.3141976699006236e-23,0.0,5.287472629070591e-21,0.0,2.1226507018260063e-27,0.0,1.1605212591244422e-24,0.0,4.531839314965613e-55,6.38795190677765e-18,6.383108189163135e-18,0.0,5.127870614087201e-32,0.0,4.995318635153008e-21,0.0,7.697291099554197e-36,0.0,4.574426696966357e-33,0.0,1.7380664510416383e-63,1.2263936660219413e-21,6.654678197328796e-19
5.789890486491284e-06,8.55912156733258e-18,8.553108641837906e-18,0.0,6.915724359451931e-32,0.0,6.351058368032161e-21,0.0,1.0383747116546258e-35,0.0,5.967729861589831e-33,0.0,2.508268703098446e-63,8.549247969337636e-18,8.542486421871897e-18,0.0,1.7724091649570446e-23,0.0,6.731845392019368e-21,0.0,2.8635294389458923e-27,0.0,1.5140267216330472e-24,0.0,6.540181932787492e-55,8.55912156733258e-18,8.553108641837906e-18,0.0,6.915724359451931e-32,0.0,6.351058368032161e-21,0.0,1.0383747116546258e-35,0.0,5.967729861589831e-33,0.0,2.508268703098446e-63,1.2263936660219413e-21,6.654678197328796e-19
6.398818584513017e-06,1.146081647000828e-17,1.145342894669756e-17,0.0,9.325135233063268e-32,0.0,8.071447599853658e-21,0.0,1.400483861894328e-35,0.0,7.784481989279357e-33,0.0,3.619385862359251e-63,1.1447658843098576e-17,1.143928580741705e-17,0.0,2.3899213984491987e-23,0.0,8.567541460138796e-21,0.0,3.862177349537535e-27,0.0,1.974976236787481e-24,0.0,9.437522021954909e-55,1.146081647000828e-17,1.145342894669756e-17,0.0,9.325135233063268e-32,0.0,8.071447599853658e-21,0.0,1.400483861894328e-35,0.0,7.784481989279357e-33,0.0,3.619385862359251e-63,1.2263936660219413e-21,6.654678197328796e-19
7.071788209645777e-06,1.533569090396891e-17,1.5326741674014147e-17,0.0,1.257145274392235e-31,0.0,1.0253615868914508e-20,0.0,1.8884420024687678e-35,0.0,1.0153115282140921e-32,0.0,5.222141753995835e-63,1.5318153029171628e-17,1.530790775672132e-17,0.0,3.221926662911791e-23,0.0,1.089964825712585e-20,0.0,5.2079161335075855e-27,0.0,2.57596016176649e-24,0.0,1.3616917382769703e-54,1.533569090396891e-17,1.5326741674014147e-17,0.0,1.257145274392235e-31,0.0,1.0253615868914508e-20,0.0,1.8884420024687678e-35,0.0,1.0153115282140921e-32,0.0,5.222141753995835e-63,1.2263936660219413e-21,6.654678197328796e-19
