Energy,Flux Value,Flux Error,Is Upper Limit
5.7899342688828654e-06,1.876e-15,0.0,0.0
5.7899342688828654e-06,2.5736e-15,2.03e-18,0.0
5.7899342688828654e-06,2.7281e-15,8.2008e-17,0.0
5.7899342688828654e-06,2.73e-15,8.26e-17,0.0
5.7899342688828654e-06,1.88e-15,0.0,0.0
1.9975273227645886e-05,9.66e-15,0.0,0.0
2.0057986574344214e-05,9.99e-15,1.31e-15,0.0
2.0057986574344214e-05,1.0282e-14,9.215e-16,0.0
2.0057986574344214e-05,9.85e-15,1.48e-15,0.0
2.0057986574344214e-05,9.991e-15,1.3095e-15,0.0
2.0057986574344214e-05,1.3832e-14,9.7e-18,0.0
2.067833667458166e-05,7.25e-15,0.0,0.0
2.067833667458166e-05,9.9e-15,0.0,0.0
2.067833667458166e-05,1.015e-14,0.0,0.0
3.473960561329719e-05,2.4486e-14,0.0,0.0
3.473960561329719e-05,2.45e-14,0.0,0.0
3.498774565339217e-05,2.4661e-14,3.384e-17,0.0
6.203501002374499e-05,3.84e-14,0.0,0.0
6.203501002374499e-05,6.35e-14,0.0,0.0
6.203501002374499e-05,3.18e-14,7.5e-16,0.0
0.00013647702205223897,7.19e-14,3.3e-15,0.0
0.05636914577490961,6.2493e-13,9.0181e-14,0.0
0.10330897002620998,4.47e-13,2.6393e-14,0.0
0.2695214402164974,3.9609e-13,1.3099e-14,0.0
0.36464178891957305,3.2421e-13,1.0193e-14,0.0
0.5748577595533703,9.36e-13,9.5041e-14,0.0
0.746487953952398,9.8065e-13,1.6622e-13,0.0
1.004553595651177,8.8158e-13,1.3528e-13,0.0
1.344091883847808,9.33e-13,1.46e-14,0.0
1.344091883847808,9.41e-13,0.0,0.0
1.344091883847808,8.84e-13,2.2e-14,0.0
1.344091883847808,9.25e-13,1.96e-14,0.0
1.3589802862535068,9.5953e-13,1.5347e-14,0.0
1.6087745932824533,8.84e-13,1.63e-14,0.0
1.6087745932824533,8.82e-13,6.5e-15,0.0
1.6087745932824533,8.87e-13,0.0,0.0
1.6087745932824533,8.17e-13,6.77e-15,0.0
1.62821222975656,8.8953e-13,6.8618e-15,0.0
1.9354923127408437,1.75e-12,0.0,0.0
1.9727133187550905,7.95e-13,5.85e-15,0.0
1.9727133187550905,8.39e-13,6.18e-15,0.0
1.9727133187550905,8.46e-13,1.25e-14,0.0
1.9727133187550905,8.39e-13,0.0,0.0
1.991323821762214,8.5021e-13,6.1273e-15,0.0
2.2870240362087317,4.796e-13,9.226e-14,0.0
2.2952953708785646,4.0068e-13,4.2684e-14,0.0
2.551706745643377,7.78e-13,5.73e-15,0.0
2.551706745643377,7.79e-13,0.0,0.0
2.551706745643377,7.78e-13,1.51e-14,0.0
2.551706745643377,7.34e-13,5.41e-15,0.0
2.6009211869288813,8.0366e-13,5.725e-15,0.0
2.857746128427186,4.073e-13,4.776e-14,0.0
2.8639496294295603,3.7264e-13,3.0343e-14,0.0
