Energy,Flux Value,Flux Error,Is Upper Limit
1.6873522726458637e-06,4.61e-15,2.04e-16,0.0
3.4863675633344683e-06,6.1092e-15,1.8377e-16,0.0
3.4863675633344683e-06,6.11e-15,1.84e-16,0.0
3.4863675633344683e-06,6.16e-15,1.85e-16,0.0
1.9851203207598396e-05,2.9088e-14,1.392e-15,0.0
1.9851203207598396e-05,4.99e-14,2.4e-15,0.0
2.0057986574344214e-05,2.9876e-14,1.6005e-15,0.0
2.0057986574344214e-05,2.8e-14,1.45e-15,0.0
2.0057986574344214e-05,2.99e-14,1.6e-15,0.0
2.0661794005242e-05,2.6981e-14,0.0,0.0
2.067833667458166e-05,5.195e-14,2.6e-15,0.0
2.067833667458166e-05,5.2e-14,2.6e-15,0.0
2.067833667458166e-05,6.12e-14,1.1e-15,0.0
3.308533867933066e-05,8.28e-14,4.16e-15,0.0
3.308533867933066e-05,6.83e-14,1.36e-15,0.0
3.308533867933066e-05,8.28e-14,4.16e-15,0.0
3.4441837565183216e-05,2.9147e-14,0.0,0.0
3.473960561329719e-05,5.11e-14,0.0,0.0
3.473960561329719e-05,5.1122e-14,0.0,0.0
3.556673908028046e-05,5.0052e-14,9.46e-16,0.0
3.573216577367711e-05,8.99e-14,4.32e-15,0.0
7.444201202849398e-05,2.83e-13,1.98e-14,0.0
8.229977996483502e-05,2.09e-13,1.39e-14,0.0
8.229977996483502e-05,2.09e-13,1.05e-14,0.0
8.271334669832664e-05,2.57e-13,1.28e-14,0.0
8.271334669832664e-05,2.102e-13,1.06e-14,0.0
9.512034870307565e-05,3.48e-13,4.58e-14,0.0
9.512034870307565e-05,3.91e-13,9.2e-15,0.0
9.512034870307565e-05,4.37e-13,2.3e-14,0.0
9.512034870307565e-05,3.68e-13,9.2e-15,0.0
0.00011745295231162385,5.5435e-13,3.4715e-14,0.0
0.00012407002004748998,6.72e-13,2.4e-14,0.0
0.00012407002004748998,6.7124e-13,2.297e-14,0.0
0.00013647702205223897,5.61e-13,2.31e-14,0.0
0.00013647702205223897,5.61e-13,1.98e-14,0.0
0.00013647702205223897,6.6e-13,6.6e-14,0.0
0.00013647702205223897,4.85e-13,6.83e-14,0.0
0.00016956236073156964,8.2e-13,0.0,0.0
0.00016956236073156964,6.56e-13,2.87e-14,0.0
0.00016956236073156964,5.74e-13,8.2e-14,0.0
0.00016956236073156964,6.97e-13,2.87e-14,0.0
0.00016956236073156964,9.43e-13,8.2e-14,0.0
0.00016956236073156964,6.97e-13,8.36e-14,0.0
0.00018196936273631864,1.1741e-12,6.3771e-14,0.0
0.00018196936273631864,1.17e-12,6.16e-14,0.0
0.00018238292946981026,9.8315e-13,8.4565e-14,0.0
0.0002522757074298963,1.22e-12,1.83e-13,0.0
0.0002522757074298963,8.54e-13,6.1e-14,0.0
0.0002522757074298963,8.02e-13,1.43e-13,0.0
0.0002522757074298963,8.54e-13,6.1e-14,0.0
0.0002522757074298963,1.28e-12,1.83e-13,0.0
0.0002522757074298963,7.32e-13,1.22e-13,0.0
0.00028949671344414326,1.0362e-12,1.0918e-13,0.0
0.00028949671344414326,1.04e-12,1.12e-13,0.0
0.0002911509803781098,1.2014e-12,1.1134e-13,0.0
0.00038875272948213525,1.13e-12,3.76e-13,0.0
0.00041356673349163324,1.3895e-12,5.2937e-14,0.0
0.00041356673349163324,1.33e-12,7e-14,0.0
0.00041356673349163324,1.3256e-12,7.3814e-14,0.0
0.0005914004288930355,1.37e-12,5.72e-14,0.0
0.0005914004288930355,1.3781e-12,6.1253e-14,0.0
0.0005914004288930355,1.6587e-12,6.2403e-14,0.0
0.0008974398116768441,1.8162e-12,1.2515e-13,0.0
0.0008974398116768441,2.0491e-12,7.7614e-14,0.0
0.0014598905692254653,2.8922e-12,2.9071e-13,0.0
0.0014598905692254653,3.118e-12,5.4807e-13,0.0
0.05636914577490961,3.9358e-12,1.9738e-13,0.0
0.05636914577490961,3.8675e-12,2.1529e-13,0.0
0.10330897002620998,3.0868e-12,7.1169e-14,0.0
0.10330897002620998,2.9724e-12,7.7174e-14,0.0
0.2695214402164974,6.8202e-12,1.6202e-13,0.0
0.2695214402164974,3.4689e-12,9.0043e-14,0.0
0.36464178891957305,3.3824e-12,9.295e-14,0.0
0.36464178891957305,6.5709e-12,1.6566e-13,0.0
0.5748577595533703,2.2488e-12,1.125e-13,0.0
0.746487953952398,1.7396e-12,1.2099e-13,0.0
1.004553595651177,1.3411e-12,1.1993e-13,0.0
1.9354923127408437,1.34e-12,0.0,0.0
1.9388008466087767,1.5754e-12,1.5199e-13,0.0
2.8196979889459555,2.0498e-12,1.9776e-13,0.0
3.531859904018548,2.204e-12,1.155e-13,0.0
4.714660761804619,1.443e-12,1.977e-13,0.0
5.541794228787886,5.014e-13,1.419e-13,0.0
489.99505404292637,2.01567540258e-13,3.40420935523e-14,0.0
689.9930194733525,2.48021965734e-13,6.64115298112e-14,0.0
819.9916999820507,2.73733367194e-13,1.15455100316e-13,0.0
919.990712494747,2.91651451863e-13,1.17433785469e-13,0.0
1029.9896143422009,3.10227375337e-13,1.02514131034e-13,0.0
1154.988350185588,3.30366055659e-13,9.46562098308e-14,0.0
1294.9869200249084,3.51727397283e-13,1.19924948307e-13,0.0
1444.9853791989863,3.73612483317e-13,1.26105440161e-13,0.0
1549.9843363769935,3.88629036506e-13,3.7513836588e-13,0.0
1679.9830168856918,4.05651012726e-13,1.2812090803e-13,0.0
1919.9805396386062,4.36148927624e-13,1.36317590853e-13,0.0
2334.976304491256,4.83844245741e-13,1.41197125e-13,0.0
2714.9724566867285,5.28219902434e-13,4.39259433263e-13,0.0
3234.967297932132,5.77928041352e-13,1.4100064775e-13,0.0
3864.9609218143787,6.40663666361e-13,3.75013758255e-13,0.0
4309.956354642352,6.80179842304e-13,4.56778429254e-13,0.0
5124.948169578872,7.4481902754e-13,3.06246700394e-13,0.0
7239.927027982239,8.88284504154e-13,5.13717295502e-13,0.0
69151244.4332,2.52640030121e-11,2.01620587528e-12,0.0
91854407.4725,1.30904600408e-11,1.49277747555e-12,0.0
122011284.703,1.50706546244e-11,1.25897909089e-12,0.0
162069017.748,1.24782360354e-11,1.07156661699e-12,0.0
200166299.00995046,1.428e-11,8.9114e-13,0.0
200166299.00995046,1.5216e-11,1.3688e-12,0.0
215278173.472,1.09131138288e-11,9.39924135575e-13,0.0
285956517.893,1.01993571613e-11,8.48994452802e-13,0.0
379835017.117,8.92742308246e-12,7.82849144458e-13,0.0
504533490.93600005,9.13264444831e-12,7.32174442882e-13,0.0
600498897.0298514,8.3322e-12,4.8084e-13,0.0
600498897.0298514,9.4315e-12,7.5493e-13,0.0
600498897.0298514,3.6988e-12,1.0458e-12,0.0
670177742.133,9.31622697251e-12,7.13777022448e-13,0.0
890204940.048,8.08615869054e-12,7.02611014327e-13,0.0
1000831495.0497525,8.8662e-12,1.731e-12,0.0
1000831495.0497525,1.9252e-11,2.2123e-12,0.0
1000831495.0497525,5.4548e-12,1.9083e-12,0.0
1000831495.0497525,8.6973e-12,2.1195e-12,0.0
1000831495.0497525,5.4633e-12,1.9252e-12,0.0
1000831495.0497525,7.1352e-12,1.9506e-12,0.0
1000831495.0497525,4.374e-12,1.5875e-12,0.0
1000831495.0497525,4.0278e-12,1.5537e-12,0.0
1000831495.0497525,4.6104e-12,1.7648e-12,0.0
1000831495.0497525,9.204e-12,2.0097e-12,0.0
1000831495.0497525,9.1195e-12,1.7141e-12,0.0
1000831495.0497525,1.6297e-11,2.0772e-12,0.0
1000831495.0497525,1.6635e-11,1.9928e-12,0.0
1000831495.0497525,1.1231e-11,2.0435e-12,0.0
1000831495.0497525,1.1653e-11,1.8999e-12,0.0
1182469642.6999998,8.18163615554e-12,7.17530743524e-13,0.0
1570688268.51,4.87347283243e-12,6.4005827082e-13,0.0
2001662990.099505,7.8139e-12,8.9158e-13,0.0
2001662990.099505,3.4136e-12,1.163e-12,0.0
2001662990.099505,5.1174e-12,4.1748e-13,0.0
2086363613.7100003,5.69202919591e-12,7.01288014003e-13,0.0
2771341211.29,4.94212733564e-12,7.11814010507e-13,0.0
3681204972.5699997,3.75463490046e-12,7.07587984465e-13,0.0
4889787657.650001,4.25511806273e-12,8.10362195456e-13,0.0
6004988970.298514,2.8441e-12,4.3584e-13,0.0
6004988970.298514,2.3628e-12,5.9287e-13,0.0
6495087408.139999,1.2451494147e-12,5.7506434276e-13,0.0
8627401309.22,2.75504394612e-12,8.45157106591e-13,0.0
11459878152.3,1.29428877874e-12,6.54503886176e-13,1.0
20219946399.600002,7.43416835474e-13,2.7499840861e-13,1.0
26858391499.5,9.86276364509e-13,3.65701543929e-13,1.0
35676315836.0,3.06967316042e-12,1.62962073433e-12,1.0
47389267955.700005,1.57485086233e-12,5.82090070515e-13,1.0
60049889702.985146,1.0357e-12,4.6341e-13,0.0
60049889702.985146,2.5302e-13,2.1436e-13,0.0
62947719369.4,2.13955614129e-12,7.91022253576e-13,1.0
83614192511.1,2.84872556503e-12,1.05306382669e-12,1.0
111064432025.0,5.39843007415e-12,2.14605624331e-12,1.0
147526486720.0,5.04026919499e-12,1.86294154151e-12,1.0
195961159271.0,6.76956498851e-12,2.5021091554e-12,1.0
260297501802.0,9.17487556401e-12,3.39113972546e-12,1.0
