Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
8254545454.545455,3.6492711471960175e-24,3.228156699711845e-32,7.072260895646533e-24
9122683578.297165,4.4568139776815604e-24,3.942479246142503e-32,8.637317823261408e-24
10082124585.540312,5.442986525381045e-24,4.814798266622813e-32,1.0548585430311568e-23
11142470884.354645,6.647272818272851e-24,5.880031879020776e-32,1.288259673022344e-23
12314334776.893396,8.117872018257818e-24,7.180803373280646e-32,1.5732780502153477e-23
13609444670.87015,9.913616722059922e-24,8.769136292627994e-32,1.9213181509833657e-23
15040762461.405294,1.2106311142301034e-23,1.0708520137360412e-31,2.346299555890107e-23
16622613258.029026,1.4783580018871688e-23,1.307642670601956e-31,2.8652095946078354e-23
18370828755.19237,1.8052338293835794e-23,1.5967373903579727e-31,3.498776524428723e-23
20302905681.18646,2.204301460236832e-23,1.9496653986386918e-31,4.272289128731349e-23
22438180911.280117,2.691468915731737e-23,2.3804867241393492e-31,5.2165940005301954e-23
24798024997.666924,3.286133937732265e-23,2.9063430625721523e-31,6.369308191437069e-23
27406056053.13442,4.0119425426083566e-23,3.5481264566501963e-31,7.776292521139873e-23
30288376129.07522,4.897709351844249e-23,4.331290058309902e-31,9.493439828806124e-23
33473832453.590595,5.978532820905663e-23,5.286829823021617e-31,1.1588842978044007e-22
36994306144.24512,7.297144661082134e-23,6.452471251643686e-31,1.4145419660674205e-22
40885031285.00695,8.905537054130323e-23,7.874098572790771e-31,1.7264080122471707e-22
45184947560.80271,1.0866892721242707e-22,9.607444532072347e-31,2.1067491920363305e-22
49937089978.97233,1.325799141698423e-22,1.1720202616841292e-30,2.5704766619649656e-22
55189019578.087074,1.6172011672142775e-22,1.4294473257259538e-30,3.135693415741302e-22
60993299434.80937,1.9721949108504248e-22,1.7429748334179154e-30,3.824362196459477e-22
67408020732.83116,2.404460930361577e-22,2.124638011136087e-30,4.663088053520738e-22
74497384158.9653,2.9305435040303135e-22,2.588977029271443e-30,5.684065090400337e-22
82332342445.1979,3.570409475358008e-22,3.1535189635660915e-30,6.926176655700025e-22
90991310487.47798,4.348009125676682e-22,3.8392477350000144e-30,8.436118585047697e-22
100560950148.35231,5.291380788376881e-22,4.6706119997835045e-30,1.0268719102835964e-21
111137037598.01396,6.433270599694348e-22,5.676015883991605e-30,1.2488219474312182e-21
122825421874.40488,7.811892971830694e-22,6.888425422246282e-30,1.516983952739638e-21
135743084255.96478,9.471711408453343e-22,8.345963702044476e-30,1.8401423134493286e-21
150019309049.5846,1.146486599347781e-21,1.0093106320123271e-29,2.2286297825594127e-21
165796977511.40366,1.3852252318572528e-21,1.2181491452176e-29,2.694556553125148e-21
183233997850.44553,1.6705664267335228e-21,1.467172220214501e-29,3.2522384221820414e-21
202504885627.04813,2.0109435817444907e-21,1.7634616638547306e-29,3.91854297041416e-21
223802510363.2488,2.416284253950034e-21,2.115312932854047e-29,4.7133830443982455e-21
247340025845.78638,2.898303587746088e-21,2.5324705474716733e-29,5.6603188464867706e-21
273353003440.842,3.4708979475874905e-21,3.026451037347548e-29,6.787355758831142e-21
302101789771.45105,4.149727127695645e-21,3.610060971284382e-29,8.12629021763984e-21
333874112354.0109,4.9494470102449004e-21,4.294605648044831e-29,9.707821773604672e-21
368987959271.9742,5.8969083510584526e-21,5.102674026912092e-29,1.158559702943742e-20
407794761707.4674,7.012519040632716e-21,6.049825262968812e-29,1.3802617697400054e-20
450682911182.6815,8.333649745144054e-21,7.167240354477606e-29,1.6433905946940065e-20
498081646712.76996,9.889154638913093e-21,8.476765676135284e-29,1.954047153634765e-20
550465350774.1823,1.1730331577173051e-20,1.0020742946380646e-28,2.322593194128936e-20
608358297083.9362,1.389780030584399e-20,1.1829695495198106e-28,2.7576494120530204e-20
672339897707.1917,1.646494171423456e-20,1.3964002150610773e-28,3.274064502221029e-20
743050502007.9437,1.948799862414632e-20,1.6465423110373422e-28,3.88384444171353e-20
821197805480.6904,2.3070640021704593e-20,1.9418817623026123e-28,4.608027793923203e-20
907563932604.8015,2.7293438636047483e-20,2.2883984909932673e-28,5.463817746670903e-20
1003013264609.1942,3.229179695381374e-20,2.6969433026182146e-28,6.4790149087774e-20
1108501090490.195,3.817973442291613e-20,3.175950568249386e-28,7.678002318502793e-20
1225083167864.905,4.515093761221757e-20,3.740913331726732e-28,9.100586812056325e-20
1353926289348.2808,5.3366339145188944e-20,4.403700180057429e-28,1.0781233759202454e-19
1496319960205.7937,6.308551005391978e-20,5.184737448101712e-28,1.2773756871504852e-19
1653689304155.5544,7.45292518730138e-20,6.100126469554962e-28,1.5125695659528847e-19
1827609326485.4724,8.805434939520512e-20,7.177654973409601e-28,1.7911417429563258e-19
2019820677235.5647,1.0396781555235467e-19,8.439586182922363e-28,2.1197196141509286e-19
2232247072208.6064,1.2276100388814006e-19,9.923830052254367e-28,2.5085944425950948e-19
2467014546164.4614,1.4486302206638897e-19,1.16614318800299e-27,2.9670391691226797e-19
2726472730890.5566,1.7094765414404357e-19,1.3703859725512343e-27,3.509237587932465e-19
3013218371106.533,2.016184578378721e-19,1.6094848010354052e-27,4.14822307376423e-19
3330121313558.214,2.3780836319976084e-19,1.8905197391916276e-27,4.903698725682295e-19
3680353229408.4146,2.8037389102044776e-19,2.219736636881833e-27,5.794105918856853e-19
4067419357387.9707,3.305996069933521e-19,2.6068148473431373e-27,6.84667006029595e-19
4495193585403.127,3.896512619189525e-19,3.060202944560577e-27,8.086562691256683e-19
4967957221707.733,4.592481488575556e-19,3.5926660394412745e-27,9.550485851490918e-19
5490441843675.277,5.410063501158131e-19,4.215944276068275e-27,1.1273296311561942e-18
6067876653015.562,6.372653849102859e-19,4.947259816924018e-27,1.3305140875646421e-18
6706040811382.994,7.502557946705099e-19,5.802868673567158e-27,1.5694057299534505e-18
7411321280168.908,8.831621510396503e-19,6.806051755301846e-27,1.850853004927387e-18
8190776743357.854,1.039069335476982e-18,7.979436661284701e-27,2.1814795269650414e-18
9052208253209.457,1.2223342965319083e-18,9.354766882361331e-27,2.5706699115192124e-18
10004237305811.459,1.437246584502252e-18,1.096384809603445e-26,3.027587031312655e-18
11056392127910.287,1.6897958277201776e-18,1.285033394445131e-26,3.5651301360554054e-18
12219203038606.982,1.985958534851152e-18,1.5059160005291118e-26,4.195979560806136e-18
13504307840330.016,2.333994741697726e-18,1.7650749684436335e-26,4.937893294318166e-18
14924568293873.686,2.7421749689076516e-18,2.0688191496504128e-26,5.808293621616287e-18
16494198843223.092,3.2217731567655577e-18,2.4254177091999727e-26,6.831387431077371e-18
18228908878487.145,3.7842607174318454e-18,2.8437773023042273e-26,8.031123769317677e-18
20146059960754.97,4.445261851431727e-18,3.3354761575418394e-26,9.440886540756734e-18
22264839582434.61,5.2208336797271944e-18,3.913261318953159e-26,1.1093811002047009e-17
24606453202126.27,6.132774976356304e-18,4.5935243507803787e-26,1.3036145151669244e-17
27194336475979.34,7.203732364862552e-18,5.394705509761542e-26,1.5313982704822354e-17
30054389809616.2,8.464404442645969e-18,6.340333831281922e-26,1.799183716032437e-17
33215237578096.91,9.947024562459593e-18,7.457394623895499e-26,2.113429182190824e-17
36708514608286.1,1.1695224586833954e-17,8.780093804423658e-26,2.483198202827704e-17
40569182790832.86,1.3755265376526818e-17,1.034829087783351e-25,2.9176032111951333e-17
44835880990523.49,1.6189867195463588e-17,1.2212421712494243e-25,3.4294978081539874e-17
49551311757027.41,1.9066199190208456e-17,1.4432061330188852e-25,4.031877586177904e-17
54762668706366.586,2.247489536250602e-17,1.7081990867258545e-25,4.743053871580399e-17
60522108850487.67,2.6513723667251304e-17,2.025130847226874e-25,5.581612457514483e-17
66887274602167.72,3.1314208122624806e-17,2.405129285477862e-25,6.57374398031852e-17
73921870679655.61,3.701905188430801e-17,2.861527203067632e-25,7.746122591209266e-17
81696301684904.42,4.381956149113896e-17,3.4108983655548034e-25,9.136306721521166e-17
90288376736490.86,5.1924158871399054e-17,4.0731548203936607e-25,1.0782646960433194e-16
99784088209427.5,6.161108001712313e-17,4.872929010954856e-25,1.273903806582176e-16
110278472375754.38,7.318437395783888e-17,5.839842887897748e-25,1.506063208307898e-16
121876560559492.58,8.704819209935402e-17,7.010377505374631e-25,1.782474328637812e-16
134694430325436.62,1.036452349451707e-16,8.428395953581612e-25,2.111065945291251e-16
148860367222439.1,1.2356129961324853e-16,1.014768746588691e-24,2.502918180350492e-16
164516148708301.0,1.4743889048323875e-16,1.2232823842288659e-24,2.969412083079268e-16
181818463106222.75,1.7612329813488183e-16,1.4762571495393436e-24,3.5263768444528033e-16
200940477794207.72,2.105413572035513e-16,1.783118271982463e-24,4.190077049201638e-16
222073572322383.78,2.519050155324358e-16,2.15529963864284e-24,4.983013390499155e-16
245429253803867.5,3.015408252770881e-16,2.606421351932971e-24,5.928284931852941e-16
271241273749041.28,3.611708185042075e-16,3.1528950389276885e-24,7.057633466088798e-16
299767967529235.9,4.326723257704018e-16,3.814144810132707e-24,8.403542458823413e-16
331294839883957.06,5.184424875391088e-16,4.6131922920651015e-24,1.0009954280688534e-15
366137422348277.4,6.209485645270329e-16,5.575784683175677e-24,1.1919256477211353e-15
404644431198496.6,7.430878743353863e-16,6.729777214197556e-24,1.418451871614009e-15
447201257521840.6,8.87020546428347e-16,8.09842711221892e-24,1.684186230430722e-15
494233824339996.56,1.054795976945415e-15,9.700897970824912e-24,1.992957248978225e-15
546212849389873.1,1.2490557185127548e-15,1.1566026733162438e-23,2.3491272184051233e-15
603658556224921.4,1.4739399081902772e-15,1.3733598314097658e-23,2.7602821805586626e-15
667145880787316.0,1.7345675176073416e-15,1.625818895896018e-23,3.235056395001542e-15
737310225560104.2,2.0379663680705856e-15,1.92080543042331e-23,3.7862272223566286e-15
814853818888823.0,2.392417723462445e-15,2.267055298010196e-23,4.427891889879968e-15
900552743118809.4,2.8093534754388224e-15,2.6757390688466124e-23,5.1807411683840725e-15
995264701888157.0,3.3014689185102884e-15,3.16013850721805e-23,6.066539151759018e-15
1099937604314019.8,3.884289255313604e-15,3.7354323252042543e-23,7.113373537296876e-15
1215619051985653.2,4.570064337601252e-15,4.414597601502825e-23,8.342021484021724e-15
1343466823713232.5,5.3806122099980784e-15,5.2189876829032625e-23,9.791924724561928e-15
1484760462967329.2,6.290358273359395e-15,6.123894661030431e-23,1.141640494538058e-14
1640914083980026.5,7.372409544438661e-15,7.201806698782025e-23,1.3346323362867156e-14
