Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
2.9165380053191544e-06,8.679150219052568e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.955194841330226e-23,7.928664424802304e-20,8.679150219052568e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.679150219052568e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.223272984941081e-06,8.206891551291759e-18,8.197219269362955e-18,0.0,3.548155328710263e-22,0.0,3.281627211639216e-21,0.0,8.532856469325822e-28,0.0,2.566918625940258e-25,0.0,2.1336348573997458e-58,5.955194841330226e-23,7.928664424802304e-20,8.204221569520514e-18,8.19370592602594e-18,0.0,6.307364317731817e-22,0.0,3.763217876130153e-21,0.0,1.5616674480557002e-27,0.0,4.562748499212836e-25,0.0,4.184688848257889e-58,8.210285074443603e-18,8.201686722082901e-18,0.0,3.549940804606317e-30,0.0,2.670840933993627e-21,0.0,8.212987224684641e-36,0.0,2.5684448972929957e-33,0.0,1.851332348209929e-66
3.562267563975773e-06,1.1032405587322682e-17,1.101996852415727e-17,0.0,4.775939114452383e-22,0.0,4.1475152171660705e-21,0.0,1.1485822247824497e-27,0.0,3.400243837408163e-25,0.0,3.0795318484870124e-58,5.955194841330226e-23,7.928664424802304e-20,1.1029055443028729e-17,1.1015503511834997e-17,0.0,8.490130032266037e-22,0.0,4.7810012213134785e-21,0.0,2.102197956551854e-27,0.0,6.044145154272436e-25,0.0,6.040006557451481e-58,1.1036664598292558e-17,1.1025647389783898e-17,0.0,4.778199474774712e-30,0.0,3.3440968139763983e-21,0.0,1.1054675538340468e-35,0.0,3.402162536786317e-33,0.0,2.6720038608811636e-66
3.936914514110198e-06,1.4825060833944945e-17,1.4809349306778142e-17,0.0,6.42667393722481e-22,0.0,5.239674367254021e-21,0.0,1.5456153792428768e-27,0.0,4.499007506912196e-25,0.0,4.444498344533966e-58,5.955194841330226e-23,7.928664424802304e-20,1.4820856586724886e-17,1.4803670849388233e-17,0.0,1.1424872689120803e-21,0.0,6.072947263134643e-21,0.0,2.828979846956466e-27,0.0,7.9974441556615095e-25,0.0,8.717338439528707e-58,1.4830407040208597e-17,1.481657326518432e-17,0.0,6.42953677934078e-30,0.0,4.182888162819213e-21,0.0,1.4875211411217061e-35,0.0,4.501419293141204e-33,0.0,3.8562474902136745e-66
4.350963427944515e-06,1.9913529608627704e-17,1.9894204502157157e-17,0.0,8.64525633587493e-22,0.0,6.617111678510139e-21,0.0,2.079242583665277e-27,0.0,5.946033197951846e-25,0.0,6.414100738660979e-58,5.955194841330226e-23,7.928664424802304e-20,1.9908251663763656e-17,1.988697666320262e-17,0.0,1.5369220062441703e-21,0.0,7.713158001472382e-21,0.0,3.805835093612164e-27,0.0,1.0569898532350058e-24,0.0,1.2580679196300475e-57,1.992024302903652e-17,1.990340190271564e-17,0.0,8.648884424371341e-30,0.0,5.227077605689924e-21,0.0,2.0009918863259127e-35,0.0,5.949064816251653e-33,0.0,5.565056285617751e-66
4.8085582461750135e-06,2.6737179514915504e-17,2.6714352861249557e-17,0.0,1.1625881919050378e-21,0.0,8.354255863918892e-21,0.0,2.7961823545877926e-27,0.0,7.849474951241634e-25,0.0,9.256039981593538e-58,5.955194841330226e-23,7.928664424802304e-20,2.6730550196042654e-17,2.6705143876632205e-17,0.0,2.0668457057321325e-21,0.0,9.795907627645941e-21,0.0,5.118304683960759e-27,0.0,1.395379826050666e-24,0.0,1.8155126801821614e-57,2.674561438591242e-17,2.6726074419489792e-17,0.0,1.1630483159337996e-29,0.0,6.525924014156237e-21,0.0,2.690820841016314e-35,0.0,7.853286083749995e-33,0.0,8.030686860185687e-66
5.314278731545455e-06,3.588293624937184e-17,3.585766118696095e-17,0.0,1.5628670960437756e-21,0.0,1.0544993393400181e-20,0.0,3.759014599910776e-27,0.0,1.0350448963644157e-24,0.0,1.3356489870537642e-57,5.955194841330226e-23,7.928664424802304e-20,3.5874603899607385e-17,3.584591536231906e-17,0.0,2.7785087871143384e-21,0.0,1.2441167583279093e-20,0.0,6.880974309681668e-27,0.0,1.840003955704415e-24,0.0,2.6198151724968064e-57,3.589354138332591e-17,3.587261591689495e-17,0.0,1.563451122847073e-29,0.0,8.140229709249821e-21,0.0,3.6172050776816683e-35,0.0,1.0355240885325988e-32,0.0,1.1588193259002351e-65
5.873186304651986e-06,4.8134270484768006e-17,4.8109340980174986e-17,0.0,2.100183226084866e-21,0.0,1.3307758429122973e-20,0.0,5.051513554227492e-27,0.0,1.3632958653873232e-24,0.0,1.927250267393959e-57,5.955194841330226e-23,7.928664424802304e-20,4.8123789099897185e-17,4.8094342261697104e-17,0.0,3.733824603203895e-21,0.0,1.580164794383881e-20,0.0,9.24724044073617e-27,0.0,2.4235771969719397e-24,0.0,3.7802373139089284e-57,4.8147615360424706e-17,4.8128442784702725e-17,0.0,2.100925188212044e-29,0.0,1.0144954800641431e-20,0.0,4.860726645479755e-35,0.0,1.3638985161550012e-32,0.0,1.6720907870651217e-65
6.490874700341542e-06,6.453627380502163e-17,6.45174310912467e-17,0.0,2.821117605455541e-21,0.0,1.6791950048600383e-20,0.0,6.785748908334388e-27,0.0,1.7936812236099797e-24,0.0,2.7807577899415185e-57,5.955194841330226e-23,7.928664424802304e-20,6.452307692143635e-17,6.449825588853776e-17,0.0,5.0156172231603875e-21,0.0,2.0071769498757674e-20,0.0,1.2422314433624787e-26,0.0,3.188736638567537e-24,0.0,5.454375241811422e-57,6.455308203138028e-17,6.454185911305285e-17,0.0,2.822061092697892e-29,0.0,1.2632393180742135e-20,0.0,6.529182105042818e-35,0.0,1.7944393434087395e-32,0.0,2.41260318285101e-65
7.173525951690466e-06,8.64820766249002e-17,8.647967820194146e-17,0.0,3.787936058960561e-21,0.0,2.1186018949890008e-20,0.0,9.111528697530683e-27,0.0,2.3574448974630772e-24,0.0,4.01206145409626e-57,5.955194841330226e-23,7.928664424802304e-20,8.646544390708811e-17,8.645513437618731e-17,0.0,6.734600032526316e-21,0.0,2.5499091043146824e-20,0.0,1.6680514850925227e-26,0.0,4.191033303878514e-24,0.0,7.869523639534252e-57,8.650326877813953e-17,8.651095489041306e-17,0.0,3.7891369185479526e-29,0.0,1.5716020954205956e-20,0.0,8.766664400381487e-35,0.0,2.358398864227677e-32,0.0,3.480921308472158e-65
