Energy,Flux Value,Flux Error,Is Upper Limit
3.0521224931682534e-07,2.34e-15,2.44e-16,0.0
3.060393827838086e-07,2.3458e-15,2.442e-16,0.0
1.5095185772444614e-06,4.51e-15,1.17e-16,0.0
1.5839605892729554e-06,5.4e-15,0.0,0.0
1.5839605892729554e-06,5.4e-15,0.0,0.0
1.5880962566078716e-06,4.9498e-15,0.0,0.0
1.592231923942788e-06,4.31e-15,0.0,0.0
1.592231923942788e-06,5.27e-15,0.0,0.0
1.6873522726458637e-06,5.26e-15,0.0,0.0
1.6873522726458637e-06,6.16e-15,0.0,0.0
1.6873522726458637e-06,5.26e-15,3.26e-16,0.0
5.7899342688828654e-06,1.3071e-14,3.9217e-16,0.0
5.7899342688828654e-06,1.4783e-14,2.31e-18,0.0
5.7899342688828654e-06,7.84e-15,0.0,0.0
5.7899342688828654e-06,7.84e-15,0.0,0.0
5.7899342688828654e-06,1.31e-14,3.92e-16,0.0
1.1166301804274097e-05,1.566e-14,0.0,0.0
1.1166301804274097e-05,1.566e-14,0.0,0.0
1.1166301804274097e-05,1.57e-14,0.0,0.0
2.0057986574344214e-05,4.8888e-14,4.3165e-15,0.0
2.0057986574344214e-05,4.68e-14,2.47e-15,0.0
2.0057986574344214e-05,5.37e-14,8.06e-15,0.0
2.0057986574344214e-05,4.1928e-14,4.365e-17,0.0
2.0057986574344214e-05,4.6754e-14,2.4735e-15,0.0
2.067833667458166e-05,5e-14,0.0,0.0
2.067833667458166e-05,3.1e-14,0.0,0.0
2.067833667458166e-05,8.5e-15,0.0,0.0
2.067833667458166e-05,5.54e-14,0.0,0.0
2.067833667458166e-05,3.55e-14,0.0,0.0
3.473960561329719e-05,7.2912e-14,0.0,0.0
3.473960561329719e-05,7.29e-14,0.0,0.0
3.498774565339217e-05,7.3433e-14,3.384e-17,0.0
6.203501002374499e-05,8.4e-14,0.0,0.0
6.203501002374499e-05,9.84e-14,4.5e-16,0.0
9.884244930450034e-05,1.43e-13,0.0,0.0
0.00011745295231162385,1.7729e-13,3.0207e-14,0.0
0.0005914004288930355,3.4096e-13,6.2527e-14,0.0
0.10330897002620998,1.8911e-13,2.403e-14,0.0
0.10330897002620998,1.5119e-13,2.2256e-14,0.0
0.2695214402164974,1.5524e-13,7.9276e-15,0.0
