Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
3966745843.230404,1.309890534653586e-30,1.309890534653586e-30,3.975388436928206e-21
4383932145.335705,1.599789837777883e-30,1.599789837777883e-30,4.855209588156221e-21
4844994313.842004,1.9538294093291796e-30,1.9538294093291796e-30,5.929693421142904e-21
5354546813.900061,2.386192507409444e-30,2.386192507409444e-30,7.241886298567748e-21
5917689418.196963,2.914195442269984e-30,2.914195442269984e-30,8.84434378261364e-21
6540058247.195283,3.5589782528280215e-30,3.5589782528280215e-30,1.0801227070084912e-20
7227882177.321022,4.346347024757935e-30,4.346347024757935e-30,1.3190859773995113e-20
7988045181.652485,5.307800869816185e-30,5.307800869816185e-30,1.610884531910616e-20
8828155227.03663,6.481783653329228e-30,6.481783653329228e-30,1.967186669190048e-20
9756620417.1784,7.915209081553397e-30,7.915209081553397e-30,2.4022316192650805e-20
10782733143.76866,9.665318018724553e-30,9.665318018724553e-30,2.933393402043661e-20
11916763087.863525,1.1801939211889988e-29,1.1801939211889988e-29,3.5818671949492767e-20
13170060002.304123,1.4410239318802674e-29,1.4410239318802674e-29,4.37350431256188e-20
14555167303.857811,1.759406565896874e-29,1.759406565896874e-29,5.3398272348376894e-20
16085947611.949188,2.148000587274279e-29,2.148000587274279e-29,6.519262444023662e-20
17777721490.41465,2.622231313162888e-29,2.622231313162888e-29,7.958636284151136e-20
19647420780.854733,3.200886789103948e-29,3.200886789103948e-29,9.714985916981796e-20
21713758062.195786,3.9068320156754805e-29,3.9068320156754805e-29,1.185772963260336e-19
23997413932.46941,4.7678911526841384e-29,4.7678911526841384e-29,1.447134699121874e-19
26521243987.188557,5.817891418275453e-29,5.817891418275453e-29,1.765855204262513e-19
29310507565.829422,7.09793594666153e-29,7.09793594666153e-29,2.1544162595818108e-19
32393120555.790924,8.657911049340812e-29,8.657911049340812e-29,2.6279684673449063e-19
35799934783.978584,1.055831388301402e-28,1.055831388301402e-28,3.2048872210130912e-19
39565046792.25793,1.2872402330448296e-28,1.2872402330448296e-28,3.907427161071204e-19
43726139087.10565,1.568853862336594e-28,1.568853862336594e-28,4.762437362517654e-19
48324857278.8,1.9111698944593196e-28,1.9111698944593196e-28,5.8018314487394675e-19
53407226884.68604,2.3266418381149467e-28,2.3266418381149467e-28,7.063490029145772e-19
59024113968.022896,2.830026353687647e-28,2.830026353687647e-28,8.592325645500207e-19
65231734222.641525,3.4387774019502483e-28,3.4387774019502483e-28,1.0441494044994409e-18
72092215598.50339,4.173614475871686e-28,4.173614475871686e-28,1.2674131990965092e-18
79674220099.10548,5.0590689248125645e-28,5.0590689248125645e-28,1.5365039428878098e-18
88053630973.88963,6.1243140628652905e-28,6.1243140628652905e-28,1.860321866729959e-18
97314312183.30789,7.403952127254662e-28,7.403952127254662e-28,2.2494299089751056e-18
107548947737.52657,8.939041406804023e-28,8.939041406804023e-28,2.7163693875612172e-18
118859969309.1521,1.0778327972153751e-27,1.0778327972153751e-27,3.276038731821708e-18
131360581403.83887,1.297980495940571e-27,1.297980495940571e-27,3.946172195619062e-18
145175894349.03146,1.5610520442993764e-27,1.5610520442993764e-27,4.747299390398103e-18
160444176440.17233,1.8741151079800765e-27,1.8741151079800765e-27,5.701147660516464e-18
177318237776.2765,2.2477117111043532e-27,2.2477117111043532e-27,6.839943084091576e-18
195966959634.76346,2.6916615668728958e-27,2.6916615668728958e-27,8.193927337307256e-18
216576984692.04483,3.2207435655911153e-27,3.2207435655911153e-27,9.80833381905745e-18
239354585006.1628,3.84862136599539e-27,3.84862136599539e-27,1.1725315251323645e-17
264527726456.8765,4.595800559858849e-27,4.595800559858849e-27,1.4007727398416863e-17
292348350304.8099,5.481151001669432e-27,5.481151001669432e-27,1.6713898724957585e-17
323094894704.26794,6.533718292473558e-27,6.533718292473558e-27,1.9932945580404242e-17
357075081405.87036,7.779201884942081e-27,7.779201884942081e-27,2.3744503089684495e-17
394628995539.2626,9.258364445875105e-27,9.258364445875105e-27,2.8273781846300407e-17
436132489299.39734,1.1006594863470173e-26,1.1006594863470173e-26,3.3630663805786106e-17
482000943601.6328,1.3078430004095675e-26,1.3078430004095675e-26,3.998310639084927e-17
532693425353.54474,1.5522046802937382e-26,1.5522046802937382e-26,4.7481062168160166e-17
588717281950.8383,1.8413932284220485e-26,1.8413932284220485e-26,5.636035251936767e-17
650633218980.6083,2.1819208827066671e-26,2.1819208827066671e-26,6.682421850202375e-17
719060911951.3125,2.5840878430641938e-26,2.5840878430641938e-26,7.919100996127784e-17
794685208213.5448,3.0564997953680844e-26,3.0564997953680844e-26,9.373029777771066e-17
878262981142.5002,3.6131585025538693e-26,3.6131585025538693e-26,1.1087575759915385e-16
970630705181.1118,4.2654287617371636e-26,4.2654287617371636e-26,1.3098472485247465e-16
1072712827557.4231,5.032270077744749e-26,5.032270077744749e-26,1.5464574773098847e-16
1185531020463.161,5.928612554580321e-26,5.928612554580321e-26,1.8233014010050778e-16
1310214406292.4316,6.979925673297938e-26,6.979925673297938e-26,2.1483052601902104e-16
1448010858278.1455,8.205735507855184e-26,8.205735507855184e-26,2.5276588071122355e-16
1600299489626.764,9.640255225976812e-26,9.640255225976812e-26,2.9720355401779163e-16
1768604456146.802,1.1308968567948907e-25,1.1308968567948907e-25,3.489547417904778e-16
1954610210512.442,1.3257403355849194e-25,1.3257403355849194e-25,4.0944374694062427e-16
2160178360832.0718,1.5517451668969315e-25,1.5517451668969315e-25,4.796926606296595e-16
2387366302247.9272,1.8148210467567835e-25,1.8148210467567835e-25,5.615575573508394e-16
2638447808038.205,2.1189577304398917e-25,2.1189577304398917e-25,6.563258477375082e-16
2915935786304.2646,2.4718368609031775e-25,2.4718368609031775e-25,7.664193761690574e-16
3222607429999.5186,2.878347890515043e-25,2.878347890515043e-25,8.934291016579862e-16
3561532012009.973,3.348381535883667e-25,3.348381535883667e-25,1.040486664200712e-15
3936101603468.869,3.8878182916367595e-25,3.8878182916367595e-25,1.209524562839737e-15
4350065022744.717,4.509301361098574e-25,4.509301361098574e-25,1.4045643158467823e-15
4807565354875.545,5.219772498613698e-25,5.219772498613698e-25,1.6279138047594002e-15
5313181416956.48,6.035262625100818e-25,6.035262625100818e-25,1.8846973239905567e-15
5871973584480.268,6.96374213230763e-25,6.96374213230763e-25,2.1776031977563434e-15
6489534437276.005,8.02533093513954e-25,8.02533093513954e-25,2.513097683412212e-15
7172044731927.852,9.22875838955601e-25,9.22875838955601e-25,2.894184934103171e-15
7926335260864.32,1.059882745850548e-24,1.059882745850548e-24,3.328888162248426e-15
8759955217224.796,1.2144626968449862e-24,1.2144626968449862e-24,3.82042315377528e-15
9681247749721.89,1.3896636506306834e-24,1.3896636506306834e-24,4.378712977050197e-15
10699433463677.938,1.5863713508470673e-24,1.5863713508470673e-24,5.0070194905298526e-15
11824702703942.248,1.8082997513574663e-24,1.8082997513574663e-24,5.717514953788256e-15
13068317543287.443,2.05621728505081e-24,2.05621728505081e-24,6.513227091555395e-15
14442724497019.096,2.3346226393532966e-24,2.3346226393532966e-24,7.408997160820803e-15
15961679091884.234,2.644034412587971e-24,2.644034412587971e-24,8.407205141752299e-15
17640383536006.562,2.989875352387678e-24,2.989875352387678e-24,9.525851404856809e-15
19495638867694.902,3.372227684929072e-24,3.372227684929072e-24,1.0766061076239775e-14
21546013105881.65,3.7976472917170215e-24,3.7976472917170215e-24,1.2149699006897441e-14
23812027085097.19,4.2655671956345465e-24,4.2655671956345465e-24,1.3675898441275184e-14
26316359834879.04,4.7838404693911704e-24,4.7838404693911704e-24,1.5370964726666766e-14
29084075559122.355,5.350842466905074e-24,5.350842466905074e-24,1.723064161252649e-14
32142874487056.75,5.9759445222197566e-24,5.9759445222197566e-24,1.9286423200269544e-14
35523370106450.805,6.655932196092376e-24,6.655932196092376e-24,2.1528786900262982e-14
39259395553687.31,7.40194321813742e-24,7.40194321813742e-24,2.3995245556769472e-14
43388342227163.586,8.208402084259432e-24,8.208402084259432e-24,2.666826977436122e-14
47951534012974.75,9.08846185417671e-24,9.08846185417671e-24,2.959222769406463e-14
52994640868254.94,1.0033078229280028e-23,1.0033078229280028e-23,3.2737644328643476e-14
58568135901458.625,1.1057711447777027e-23,1.1057711447777027e-23,3.615672443950163e-14
64727800524194.305,1.2148338755320817e-23,1.2148338755320817e-23,3.980267172113441e-14
71535282730341.17,1.332311509446526e-23,1.332311509446526e-23,4.3736839946339806e-14
79058714089892.16,1.4560955273766623e-23,1.4560955273766623e-23,4.788775302149782e-14
87373391632606.22,1.5883218514950226e-23,1.5883218514950226e-23,5.232769109208544e-14
96562531445990.66,1.7258965631881256e-23,1.7258965631881256e-23,5.695075489581983e-14
106718101529874.06,1.8713555850342447e-23,1.8713555850342447e-23,6.184297359907001e-14
117941742243061.05,2.0202614996731446e-23,2.0202614996731446e-23,6.685169725475601e-14
130345783554205.12,2.1756860749544283e-23,2.1756860749544283e-23,7.208152861850938e-14
144054369277890.47,2.331413851569007e-23,2.331413851569007e-23,7.731834642426815e-14
159204699547654.8,2.491290173325053e-23,2.491290173325053e-23,8.269367614872113e-14
175948403961039.25,2.64683130635234e-23,2.64683130635234e-23,8.791563383330457e-14
194453059139566.56,2.80305313628158e-23,2.80305313628158e-23,9.3156401010749e-14
214903865891892.9,2.9486945478343805e-23,2.9486945478343805e-23,9.802984731470699e-14
237505502765749.06,3.090549668133e-23,3.090549668133e-23,1.0276951390208268e-13
262484174539641.53,3.2141059530064194e-23,3.2141059530064194e-23,1.0688027650600783e-13
290089876156304.06,3.3287795388878685e-23,3.3287795388878685e-23,1.1068530002005189e-13
320598894756113.4,3.416448434461651e-23,3.416448434461651e-23,1.1357017334548752e-13
354316574851651.6,3.4902056495862303e-23,3.4902056495862303e-23,1.1598227702745992e-13
391580374318218.6,3.5281956301921227e-23,3.5281956301921227e-23,1.171858263251435e-13
432763241785672.0,3.548339622922983e-23,3.548339622922983e-23,1.1778907654077047e-13
478277349233664.44,3.5252985941617214e-23,3.5252985941617214e-23,1.1694529119497892e-13
